RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.46617160,0.84939970,0.42091500,0.46617160,0.84939970,0.42091500,0.46617160,0.84939970,0.42091500,0.46615590,0.87471290,0.42101850,0.47847280,0.89616970,0.42067150,0.48806010,0.92703490,0.42246640,0.49261500,0.95961110,0.42953620,0.46493360,0.93764930,0.46504650,0.46846660,0.96777550,0.48753580,0.46932910,0.98831470,0.50029800,0.44831570,0.92619590,0.47440090,0.43782670,0.96088340,0.49705680,0.43024330,0.98366750,0.51031150,0.43123330,0.91464440,0.47253380,0.41681270,0.94515010,0.49173760,0.40613200,0.96699600,0.50215960,0.43551860,0.87088930,0.43993150,0.41481810,0.90218780,0.46557430,0.40130440,0.92269070,0.48380780,0.39048450,0.93695380,0.49321120,0.50463600,0.98097270,0.42977900,0.46969410,1.00576600,0.51416100,0.42404990,1.00288200,0.52485720,0.39736150,0.98757030,0.51159160,0.38089310,0.95335630,0.50402100,10,0
0.46641480,0.84940640,0.42092930,0.46641480,0.84940640,0.42092930,0.46641480,0.84940640,0.42092930,0.46642570,0.87471900,0.42113970,0.47864270,0.89623410,0.42088190,0.48813230,0.92710990,0.42298700,0.49144160,0.95974580,0.43046240,0.46514350,0.93746990,0.46543000,0.46850910,0.96758830,0.48795530,0.46920930,0.98818550,0.50063370,0.44848650,0.92599500,0.47468800,0.43792080,0.96082970,0.49708090,0.43019560,0.98379440,0.50993590,0.43139730,0.91447000,0.47272290,0.41683700,0.94515930,0.49152420,0.40599280,0.96725230,0.50123210,0.43573000,0.87084850,0.43994830,0.41498900,0.90206050,0.46566360,0.40116130,0.92297170,0.48318400,0.39008330,0.93825670,0.49043490,0.50241090,0.98165730,0.43112990,0.46939760,1.00572800,0.51438490,0.42383220,1.00323500,0.52410350,0.39704280,0.98810200,0.50985630,0.38016880,0.95601020,0.49846040,10,0
0.46724020,0.84974470,0.42104510,0.46724020,0.84974470,0.42104510,0.46724020,0.84974470,0.42104510,0.46715650,0.87505660,0.42131570,0.47916990,0.89668660,0.42110770,0.48840390,0.92762430,0.42342810,0.49036650,0.96030040,0.43119730,0.46551240,0.93769660,0.46575080,0.46857400,0.96786230,0.48825620,0.46901910,0.98854170,0.50081160,0.44887130,0.92613790,0.47493290,0.43806300,0.96110030,0.49700890,0.43009160,0.98421930,0.50942980,0.43183080,0.91455430,0.47289060,0.41702160,0.94539400,0.49124630,0.40594690,0.96768210,0.50022040,0.43642070,0.87102750,0.44002540,0.41548930,0.90210100,0.46575410,0.40129690,0.92336360,0.48254480,0.39007370,0.93936780,0.48772470,0.50019650,0.98273320,0.43220930,0.46895120,1.00619800,0.51441660,0.42347050,1.00386700,0.52318750,0.39675970,0.98875290,0.50801810,0.38003210,0.95804660,0.49303130,10,0
0.46801370,0.85006260,0.42115290,0.46801370,0.85006260,0.42115290,0.46801370,0.85006260,0.42115290,0.46784510,0.87537330,0.42148440,0.47966400,0.89711060,0.42132650,0.48865060,0.92810610,0.42383970,0.48934830,0.96077110,0.43186740,0.46586720,0.93789950,0.46606580,0.46864540,0.96810630,0.48855300,0.46884970,0.98886240,0.50098750,0.44923870,0.92626360,0.47517280,0.43820620,0.96134500,0.49694690,0.43000570,0.98460530,0.50894770,0.43224260,0.91462840,0.47305420,0.41722590,0.94561690,0.49098590,0.40596130,0.96808000,0.49925980,0.43707010,0.87119690,0.44009710,0.41596280,0.90213840,0.46584130,0.40145930,0.92371400,0.48195300,0.39023260,0.94020390,0.48526550,0.49808170,0.98363720,0.43319200,0.46853830,1.00662700,0.51444730,0.42314280,1.00444500,0.52230520,0.39658030,0.98934330,0.50626380,0.38027870,0.95946040,0.48809340,10,0
0.46874580,0.85036430,0.42125450,0.46874580,0.85036430,0.42125450,0.46874580,0.85036430,0.42125450,0.46850160,0.87550850,0.42164490,0.48014890,0.89715570,0.42156460,0.48895270,0.92797170,0.42421980,0.48888730,0.96038670,0.43237410,0.46622690,0.93751220,0.46608190,0.46881420,0.96773060,0.48816040,0.46874510,0.98862700,0.50004330,0.44971680,0.92588020,0.47505540,0.43847100,0.96077280,0.49647580,0.43002420,0.98399950,0.50795220,0.43287240,0.91427530,0.47287570,0.41759170,0.94549450,0.48959720,0.40600880,0.96829600,0.49566100,0.43788890,0.87122200,0.44004130,0.41675610,0.90183560,0.46563470,0.40136270,0.92459240,0.47861420,0.39068610,0.94150860,0.47675280,0.49646930,0.98346910,0.43404260,0.46813370,1.00663600,0.51291640,0.42288320,1.00390100,0.52075930,0.39630380,0.98989810,0.50021020,0.38184240,0.96095090,0.47281970,10,0
0.46899510,0.85065290,0.42203870,0.46899510,0.85065290,0.42203870,0.46899510,0.85065290,0.42203870,0.46877510,0.87579440,0.42258610,0.48040530,0.89745080,0.42266640,0.48919360,0.92824660,0.42559350,0.48844120,0.96057750,0.43404160,0.46642520,0.93752030,0.46740430,0.46895160,0.96783890,0.48935210,0.46869880,0.98894020,0.50086470,0.44987550,0.92584930,0.47625340,0.43848590,0.96074890,0.49758610,0.42984230,0.98407720,0.50870440,0.43302620,0.91427570,0.47394870,0.41754800,0.94587500,0.48974890,0.40577550,0.96901400,0.49385240,0.43810110,0.87142410,0.44086030,0.41691990,0.90189830,0.46657980,0.40093430,0.92564950,0.47676010,0.39142150,0.94222300,0.47056030,0.49499000,0.98394000,0.43613440,0.46786330,1.00722900,0.51332380,0.42246870,1.00413900,0.52112360,0.39591040,0.99089460,0.49618800,0.38464190,0.96057020,0.46112110,10,0
0.46925590,0.85093190,0.42276360,0.46925590,0.85093190,0.42276360,0.46925590,0.85093190,0.42276360,0.46905600,0.87606980,0.42346050,0.48065960,0.89773940,0.42369210,0.48941840,0.92851810,0.42687630,0.48794790,0.96075130,0.43559890,0.46662380,0.93752910,0.46863910,0.46908690,0.96794250,0.49046270,0.46865920,0.98923040,0.50162110,0.45003730,0.92582020,0.47736820,0.43850740,0.96073420,0.49860200,0.42967810,0.98416040,0.50936260,0.43318500,0.91427550,0.47494340,0.41754930,0.94621280,0.48988600,0.40568260,0.96955200,0.49218970,0.43832300,0.87161770,0.44161530,0.41709030,0.90195670,0.46745200,0.40075460,0.92639320,0.47515210,0.39273230,0.94206650,0.46547710,0.49346410,0.98434070,0.43808620,0.46761010,1.00777400,0.51368060,0.42208470,1.00437600,0.52139400,0.39577420,0.99153540,0.49248530,0.38845750,0.95847940,0.45191160,10,0
0.46952590,0.85120330,0.42344220,0.46952590,0.85120330,0.42344220,0.46952590,0.85120330,0.42344220,0.46934300,0.87633700,0.42428260,0.48091310,0.89802240,0.42465870,0.48963220,0.92878590,0.42808900,0.48741840,0.96090570,0.43706940,0.46682280,0.93753820,0.46980540,0.46922030,0.96804480,0.49150580,0.46862220,0.98950780,0.50231550,0.45020150,0.92579230,0.47841790,0.43853320,0.96072680,0.49954190,0.42952540,0.98424880,0.50993960,0.43334770,0.91427480,0.47587680,0.41758080,0.94652380,0.48998890,0.40569110,0.96995740,0.49057500,0.43855270,0.87180470,0.44232010,0.41726610,0.90201150,0.46826710,0.40075250,0.92694380,0.47364980,0.39447340,0.94132230,0.46110210,0.49189040,0.98467330,0.43992890,0.46736520,1.00829100,0.51397870,0.42172100,1.00461400,0.52157770,0.39583000,0.99190210,0.48892610,0.39299210,0.95523030,0.44448720,10,0
0.46977230,0.85144420,0.42403330,0.46977230,0.85144420,0.42403330,0.46977230,0.85144420,0.42403330,0.46960320,0.87657350,0.42500000,0.48104170,0.89832670,0.42547450,0.48952840,0.92916070,0.42885450,0.48728290,0.96128780,0.43780060,0.46700130,0.93754610,0.47082400,0.46885360,0.96842530,0.49204560,0.46759940,0.99031510,0.50190110,0.45034980,0.92576770,0.47933310,0.43822070,0.96084540,0.49995440,0.42869960,0.98460920,0.50929050,0.43349550,0.91427410,0.47668940,0.41724500,0.94692170,0.48925120,0.40540250,0.96989100,0.48445400,0.43876230,0.87197040,0.44293280,0.41742630,0.90205980,0.46897540,0.40033660,0.92695850,0.47233520,0.39460600,0.94071360,0.45886040,0.49097310,0.98517100,0.44080920,0.46564670,1.00963900,0.51253960,0.42032150,1.00535700,0.51979880,0.39610740,0.99045250,0.47594790,0.39459310,0.95324550,0.44112250,10,0
0.46926760,0.85210160,0.42499500,0.46926760,0.85210160,0.42499500,0.46926760,0.85210160,0.42499500,0.46923240,0.87722240,0.42617100,0.48065500,0.89897950,0.42681720,0.48908030,0.92982110,0.43028140,0.48676280,0.96191240,0.43933690,0.46684840,0.93782420,0.47249600,0.46837800,0.96894570,0.49338680,0.46666030,0.99114780,0.50244140,0.45011230,0.92606620,0.48086630,0.43775470,0.96125630,0.50115750,0.42791990,0.98522110,0.50961330,0.43320260,0.91468690,0.47808590,0.41674670,0.94769660,0.48936920,0.40548380,0.96969130,0.48041280,0.43832300,0.87263790,0.44399020,0.41708640,0.90262490,0.47023150,0.39972780,0.92752400,0.47164840,0.39513240,0.94042640,0.45695060,0.48970270,0.98586680,0.44259550,0.46419210,1.01087700,0.51219180,0.41916190,1.00627700,0.51915480,0.39750700,0.98795440,0.46683480,0.39724310,0.95116750,0.43819280,10,0
