RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.39517780,0.78851460,0.39849000,0.39517780,0.78851460,0.39849000,0.39517780,0.78851460,0.39849000,0.39828680,0.81341890,0.39689190,0.41234840,0.83358160,0.39693770,0.42329230,0.86313270,0.39052320,0.43030800,0.89573900,0.38832370,0.39751290,0.87930610,0.43539560,0.39943050,0.91587320,0.44354930,0.39846290,0.93986680,0.44243580,0.37837920,0.87069890,0.44234010,0.36808290,0.90957960,0.45594430,0.35996790,0.93558940,0.45553210,0.36066760,0.86106290,0.43826510,0.34299470,0.89330580,0.44991860,0.33229140,0.91660700,0.44414480,0.36487730,0.81470190,0.41016190,0.34434740,0.85001650,0.42940290,0.32568350,0.87393020,0.43116010,0.31812050,0.88914290,0.42043680,0.44429040,0.91504620,0.38334370,0.39613530,0.96187360,0.44161060,0.35237430,0.95877950,0.45157490,0.32485680,0.93740160,0.43445750,0.31842220,0.90315850,0.40384910,10,4
0.39484330,0.79008440,0.39910530,0.39484330,0.79008440,0.39910530,0.39484330,0.79008440,0.39910530,0.39800870,0.81499300,0.39769620,0.41221820,0.83505060,0.39791410,0.42330700,0.86452110,0.39137900,0.43048410,0.89708500,0.38907360,0.39751530,0.88057240,0.43672630,0.39929070,0.91724870,0.44440820,0.39795830,0.94114210,0.44212780,0.37838170,0.87195680,0.44366090,0.36782490,0.91089030,0.45691000,0.35951590,0.93679990,0.45543230,0.36063410,0.86239680,0.43956380,0.34288900,0.89450450,0.45147830,0.33233480,0.91770240,0.44505080,0.36464320,0.81625160,0.41107890,0.34425950,0.85146150,0.43066410,0.32558440,0.87539040,0.43205950,0.31820020,0.89053240,0.42111410,0.44454190,0.91630640,0.38397550,0.39521770,0.96300580,0.43992300,0.35183850,0.95965920,0.44999090,0.32531630,0.93808750,0.43424710,0.31869930,0.90446900,0.40446450,10,4
0.39368960,0.79152180,0.39988830,0.39368960,0.79152180,0.39988830,0.39368960,0.79152180,0.39988830,0.39700110,0.81642580,0.39876200,0.41139430,0.83634730,0.39924330,0.42269700,0.86573890,0.39271880,0.43008270,0.89825800,0.39044120,0.39689310,0.88155960,0.43853440,0.39861430,0.91830440,0.44589390,0.39701320,0.94206240,0.44259840,0.37770950,0.87297810,0.44537230,0.36697440,0.91197350,0.45829180,0.35858120,0.93777170,0.45573450,0.35990600,0.86356950,0.44116850,0.34216040,0.89566610,0.45311190,0.33195000,0.91874780,0.44577520,0.36364380,0.81772800,0.41216100,0.34346740,0.85283220,0.43214650,0.32492930,0.87689100,0.43304590,0.31797830,0.89196560,0.42173000,0.44425210,0.91739240,0.38532490,0.39395220,0.96372450,0.43916550,0.35095670,0.96024690,0.44881850,0.32557520,0.93862820,0.43370610,0.31897880,0.90572530,0.40495640,10,4
0.39265580,0.79294750,0.40064560,0.39265580,0.79294750,0.40064560,0.39265580,0.79294750,0.40064560,0.39609920,0.81784440,0.39979010,0.41064540,0.83764740,0.40050870,0.42211090,0.86697380,0.39397520,0.42964110,0.89946040,0.39170830,0.39635280,0.88253910,0.44027220,0.39799110,0.91935310,0.44729730,0.39610970,0.94293190,0.44301120,0.37712650,0.87398540,0.44702440,0.36619170,0.91305460,0.45954720,0.35772370,0.93868870,0.45584340,0.35927160,0.86471800,0.44272590,0.34151660,0.89686080,0.45453040,0.33171510,0.91975000,0.44611250,0.36275450,0.81917720,0.41321740,0.34277270,0.85416740,0.43359440,0.32441040,0.87837540,0.43390720,0.31798650,0.89333090,0.42213100,0.44388110,0.91853230,0.38655440,0.39272140,0.96432150,0.43838500,0.35018860,0.96067260,0.44741540,0.32607500,0.93897390,0.43269000,0.31959420,0.90681340,0.40518050,10,4
0.39174670,0.79429450,0.40134940,0.39174670,0.79429450,0.40134940,0.39174670,0.79429450,0.40134940,0.39530670,0.81918230,0.40074350,0.41011070,0.83878090,0.40174360,0.42200240,0.86803060,0.39564210,0.42947010,0.90055970,0.39382020,0.39588870,0.88346230,0.44187750,0.39774610,0.92012830,0.44958850,0.39597760,0.94377460,0.44563980,0.37662630,0.87493120,0.44855510,0.36588210,0.91370470,0.46211870,0.35751430,0.93951120,0.45956220,0.35872540,0.86579180,0.44417440,0.34092120,0.89786310,0.45609840,0.33119730,0.92077750,0.44765900,0.36197660,0.82053600,0.41420470,0.34217160,0.85541180,0.43494720,0.32375100,0.87957350,0.43537810,0.31731100,0.89463010,0.42374030,0.44368550,0.91972600,0.38895710,0.39261470,0.96516660,0.44100640,0.35003520,0.96182530,0.45199630,0.32580690,0.93987050,0.43395010,0.31888430,0.90832640,0.40695880,10,4
0.39062230,0.79586750,0.40220050,0.39062230,0.79586750,0.40220050,0.39062230,0.79586750,0.40220050,0.39422550,0.82074450,0.40142820,0.40920480,0.84021540,0.40230530,0.42134980,0.86932920,0.39605460,0.42865210,0.90188620,0.39406840,0.39515530,0.88526430,0.44217850,0.39710430,0.92194460,0.44979850,0.39529480,0.94554630,0.44560860,0.37591420,0.87680940,0.44901240,0.36525100,0.91555010,0.46273310,0.35687230,0.94137910,0.46045450,0.35797230,0.86767860,0.44478460,0.34009470,0.89985810,0.45630060,0.33043170,0.92256470,0.44725190,0.36097290,0.82224090,0.41506480,0.34134830,0.85727600,0.43571030,0.32286740,0.88139530,0.43578040,0.31645870,0.89628600,0.42391400,0.44275930,0.92109960,0.38907800,0.39181750,0.96680620,0.44047800,0.34936180,0.96370420,0.45295210,0.32528460,0.94114980,0.43277310,0.31805370,0.90979140,0.40698050,10,4
0.38958100,0.79741850,0.40302650,0.38958100,0.79741850,0.40302650,0.38958100,0.79741850,0.40302650,0.39322670,0.82228480,0.40212320,0.40836380,0.84163770,0.40290000,0.42072960,0.87062750,0.39650780,0.42785070,0.90321510,0.39437090,0.39449090,0.88698540,0.44257690,0.39648740,0.92369390,0.45004780,0.39458710,0.94722310,0.44550530,0.37527000,0.87859790,0.44954940,0.36463630,0.91733600,0.46330000,0.35622430,0.94315640,0.46104550,0.35728910,0.86948220,0.44545670,0.33933030,0.90177620,0.45651640,0.32979680,0.92421350,0.44669190,0.36004890,0.82390560,0.41592680,0.34059840,0.85907040,0.43651650,0.32209420,0.88316890,0.43612500,0.31581900,0.89786140,0.42394440,0.44183860,0.92248280,0.38925560,0.39094880,0.96830280,0.43977810,0.34868660,0.96540310,0.45334050,0.32499700,0.94216080,0.43131700,0.31755930,0.91110500,0.40681960,10,4
0.38866240,0.79883810,0.40377590,0.38866240,0.79883810,0.40377590,0.38866240,0.79883810,0.40377590,0.39234680,0.82369480,0.40276980,0.40765670,0.84291360,0.40348620,0.42033650,0.87181180,0.39729780,0.42690320,0.90452770,0.39535380,0.39391190,0.88853190,0.44299370,0.39618890,0.92516730,0.45073830,0.39454630,0.94882270,0.44679030,0.37470940,0.88020190,0.45008490,0.36421770,0.91890910,0.46403040,0.35584320,0.94476880,0.46211320,0.35669390,0.87110350,0.44610770,0.33873740,0.90327360,0.45752700,0.32898600,0.92582330,0.44818530,0.35923670,0.82542100,0.41672260,0.33994360,0.86069020,0.43728150,0.32157890,0.88488750,0.43655480,0.31517310,0.89956560,0.42442510,0.44057940,0.92404830,0.39035600,0.39111570,0.97006320,0.44154890,0.34828960,0.96711000,0.45470280,0.32393160,0.94397350,0.43313370,0.31650640,0.91297850,0.40739570,10,4
0.38872440,0.80016990,0.40489940,0.38872440,0.80016990,0.40489940,0.38872440,0.80016990,0.40489940,0.39235800,0.82502710,0.40373190,0.40776460,0.84417280,0.40431640,0.42061980,0.87300710,0.39819180,0.42655940,0.90584590,0.39630380,0.39406340,0.89008950,0.44358470,0.39645220,0.92670250,0.45140090,0.39489690,0.95041190,0.44775200,0.37492130,0.88176550,0.45084420,0.36442170,0.92045980,0.46481950,0.35597100,0.94630310,0.46301950,0.35689700,0.87261370,0.44703240,0.33883840,0.90468120,0.45857800,0.32888500,0.92718090,0.44932930,0.35933430,0.82677290,0.41788560,0.34010950,0.86212210,0.43837100,0.32179990,0.88634460,0.43721870,0.31529380,0.90091020,0.42500700,0.43986520,0.92562450,0.39132000,0.39150870,0.97170470,0.44269900,0.34831260,0.96862300,0.45565270,0.32365900,0.94525430,0.43424370,0.31628950,0.91435070,0.40797630,10,4
0.38873520,0.80150770,0.40597800,0.38873520,0.80150770,0.40597800,0.38873520,0.80150770,0.40597800,0.39232650,0.82636420,0.40467410,0.40762840,0.84559930,0.40503130,0.42038890,0.87454590,0.39924790,0.42489840,0.90763070,0.39773540,0.39418120,0.89161190,0.44421610,0.39652080,0.92817100,0.45229510,0.39491860,0.95191270,0.44888440,0.37509520,0.88329490,0.45162980,0.36461030,0.92217030,0.46510450,0.35615200,0.94801190,0.46331550,0.35706120,0.87410060,0.44796950,0.33899840,0.90605310,0.45982350,0.32893760,0.92849840,0.45055880,0.35938680,0.82812940,0.41901960,0.34023640,0.86354600,0.43945840,0.32206240,0.88787150,0.43832990,0.31539400,0.90246240,0.42623650,0.43722130,0.92808560,0.39295810,0.39146870,0.97323640,0.44400640,0.34842380,0.97037030,0.45614060,0.32361500,0.94646870,0.43538420,0.31604160,0.91599610,0.40926290,10,4
