RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.38070710,1.06709700,0.43468280,0.38070710,1.06709700,0.43468280,0.38070710,1.06709700,0.43468280,0.36466820,1.08347600,0.44299080,0.34375220,1.09419000,0.44696830,0.32106010,1.11027300,0.46106100,0.31521870,1.13754700,0.47756330,0.33526920,1.15055500,0.43242730,0.32866110,1.18466600,0.44318600,0.32698100,1.17878100,0.46567580,0.35607150,1.15541600,0.43075950,0.34918450,1.18924800,0.45318240,0.34608760,1.17781700,0.47679990,0.37477950,1.15376800,0.43747580,0.37004040,1.18549800,0.45669450,0.36243860,1.17649500,0.47929120,0.39240830,1.10456800,0.44442410,0.39247780,1.14825700,0.44724010,0.39077840,1.17380500,0.46181510,0.38179650,1.17081600,0.47883940,0.32357810,1.15633400,0.48917080,0.32969280,1.15844100,0.47199650,0.34468690,1.15506700,0.48421580,0.35835240,1.15368600,0.48241250,0.37183970,1.15255500,0.48213010,11,5
0.38071910,1.06297500,0.43498980,0.38071910,1.06297500,0.43498980,0.38071910,1.06297500,0.43498980,0.36479940,1.07944200,0.44335460,0.34385380,1.09014200,0.44721060,0.32105430,1.10624500,0.46110660,0.31496920,1.13351700,0.47752330,0.33572480,1.14667700,0.43289110,0.32934310,1.18093300,0.44332120,0.32762130,1.17555300,0.46593400,0.35654680,1.15142600,0.43114660,0.34997100,1.18540500,0.45344080,0.34690980,1.17383300,0.47699470,0.37527010,1.14967800,0.43779440,0.37092490,1.18176500,0.45650730,0.36331760,1.17313100,0.47924600,0.39265820,1.10038400,0.44468380,0.39297400,1.14407200,0.44749450,0.39164040,1.16995500,0.46150370,0.38275830,1.16741300,0.47865240,0.32310320,1.15235000,0.48921520,0.33017370,1.15536200,0.47277700,0.34542140,1.15103200,0.48423410,0.35903990,1.15039700,0.48264600,0.37265340,1.14932400,0.48241190,11,5
0.38072210,1.05899400,0.43513940,0.38072210,1.05899400,0.43513940,0.38072210,1.05899400,0.43513940,0.36491040,1.07553600,0.44355960,0.34383020,1.08608400,0.44708710,0.32067910,1.10205100,0.46055220,0.31398750,1.12926300,0.47683150,0.33613790,1.14291900,0.43321060,0.33014410,1.17750500,0.44274530,0.32815120,1.17385000,0.46567830,0.35697780,1.14756500,0.43140340,0.35080490,1.18207700,0.45298190,0.34764860,1.17100000,0.47675990,0.37571260,1.14572100,0.43799260,0.37190630,1.17857100,0.45545860,0.36424460,1.17108300,0.47858200,0.39287690,1.09633900,0.44481020,0.39341830,1.14002400,0.44763580,0.39225710,1.16623900,0.46103060,0.38352560,1.16432400,0.47833750,0.32138860,1.14823700,0.48877960,0.33025560,1.15433200,0.47437690,0.34592180,1.14836900,0.48446320,0.35960100,1.14860200,0.48302610,0.37330820,1.14647600,0.48286460,11,5
0.38160840,1.05636300,0.43482760,0.38160840,1.05636300,0.43482760,0.38160840,1.05636300,0.43482760,0.36583800,1.07282900,0.44347080,0.34460840,1.08313200,0.44682260,0.32110480,1.09876500,0.46006690,0.31378740,1.12573600,0.47647870,0.33707710,1.14033300,0.43390830,0.33130750,1.17507100,0.44301780,0.32914730,1.17266000,0.46609970,0.35791380,1.14498300,0.43207540,0.35198900,1.17969600,0.45339980,0.34882020,1.16876700,0.47724430,0.37667030,1.14306000,0.43857980,0.37322370,1.17633400,0.45530150,0.36558010,1.16956900,0.47865270,0.39382340,1.09359900,0.44483480,0.39440560,1.13725300,0.44810240,0.39331520,1.16362400,0.46119310,0.38473840,1.16207300,0.47861340,0.32046470,1.14473000,0.48881450,0.33094790,1.15376400,0.47613580,0.34698190,1.14619400,0.48509150,0.36071770,1.14727600,0.48375720,0.37449360,1.14438000,0.48365430,11,5
0.38240680,1.05364300,0.43444170,0.38240680,1.05364300,0.43444170,0.38240680,1.05364300,0.43444170,0.36667780,1.07003900,0.44329100,0.34530140,1.08010000,0.44643550,0.32146050,1.09533000,0.45954660,0.31356890,1.12201000,0.47616570,0.33794750,1.13765600,0.43446440,0.33223300,1.17255100,0.44299120,0.32978440,1.17245400,0.46616980,0.35878260,1.14230600,0.43261160,0.35305450,1.17783600,0.45260050,0.34973650,1.16833200,0.47702840,0.37755730,1.14030400,0.43903910,0.37438210,1.17417200,0.45458000,0.36676840,1.16882300,0.47830530,0.39468570,1.09077100,0.44476710,0.39531680,1.13439100,0.44845090,0.39425550,1.16093700,0.46118590,0.38586380,1.15993200,0.47873590,0.31928160,1.14101900,0.48895610,0.33115420,1.15512300,0.47877120,0.34766540,1.14632400,0.48629240,0.36163180,1.14694900,0.48477100,0.37554640,1.14252100,0.48455300,11,5
0.38277180,1.05033100,0.43474920,0.38277180,1.05033100,0.43474920,0.38277180,1.05033100,0.43474920,0.36709510,1.06671800,0.44370930,0.34560280,1.07662100,0.44655140,0.32143910,1.09155900,0.45940490,0.31301080,1.11800400,0.47613580,0.33862770,1.13450800,0.43537790,0.33303720,1.16956900,0.44328390,0.33026520,1.17160900,0.46633620,0.35948190,1.13909400,0.43358230,0.35397230,1.17536200,0.45226580,0.35040870,1.16723800,0.47715280,0.37824230,1.13697200,0.44001320,0.37535150,1.17137600,0.45438970,0.36767520,1.16741700,0.47836600,0.39517900,1.08733200,0.44537450,0.39596970,1.13092000,0.44939680,0.39495810,1.15766000,0.46172310,0.38667090,1.15724100,0.47934640,0.31779080,1.13699600,0.48932590,0.33112540,1.15604300,0.48110080,0.34802350,1.14585100,0.48770550,0.36220510,1.14603500,0.48608580,0.37622150,1.14017000,0.48589090,11,5
0.38311060,1.04700600,0.43495230,0.38311060,1.04700600,0.43495230,0.38311060,1.04700600,0.43495230,0.36748470,1.06338200,0.44402020,0.34589470,1.07314700,0.44658320,0.32144350,1.08782200,0.45919420,0.31252630,1.11404400,0.47602170,0.33927170,1.13133600,0.43617060,0.33380740,1.16653600,0.44352440,0.33078230,1.17042500,0.46630550,0.36014430,1.13585900,0.43442920,0.35485200,1.17272700,0.45196550,0.35108180,1.16583900,0.47719220,0.37889050,1.13362100,0.44086180,0.37626180,1.16846100,0.45419870,0.36854480,1.16575500,0.47833560,0.39564160,1.08388100,0.44586660,0.39658670,1.12743400,0.45021650,0.39562130,1.15434800,0.46216050,0.38743060,1.15447000,0.47983350,0.31644190,1.13299300,0.48955490,0.33118140,1.15664000,0.48276300,0.34841070,1.14506600,0.48884740,0.36277690,1.14488200,0.48715160,0.37686450,1.13774000,0.48703620,11,5
0.38342850,1.04367100,0.43507330,0.38342850,1.04367100,0.43507330,0.38342850,1.04367100,0.43507330,0.36785230,1.06003500,0.44424660,0.34623100,1.06976200,0.44669200,0.32166400,1.08426500,0.45927600,0.31249510,1.11029200,0.47627080,0.33988710,1.12814500,0.43686820,0.33449540,1.16345100,0.44375260,0.33124730,1.16913700,0.46612160,0.36077710,1.13260700,0.43517860,0.35569500,1.16993800,0.45177110,0.35171680,1.16455900,0.47733070,0.37950940,1.13025500,0.44161150,0.37691430,1.16523100,0.45459390,0.36918560,1.16340200,0.47880920,0.39607980,1.08042000,0.44626780,0.39717490,1.12393700,0.45093660,0.39598980,1.15091700,0.46271300,0.38790240,1.15156700,0.48042190,0.31567610,1.12916600,0.49009810,0.33115310,1.15775600,0.48432820,0.34871610,1.14468700,0.49039080,0.36319260,1.14300800,0.48854850,0.37727430,1.13523400,0.48840300,11,5
0.38377330,1.04080900,0.43640390,0.38377330,1.04080900,0.43640390,0.38377330,1.04080900,0.43640390,0.36823190,1.05711100,0.44574520,0.34657590,1.06679200,0.44806150,0.32185530,1.08105300,0.46062070,0.31238380,1.10677700,0.47790880,0.34057590,1.12543200,0.43920220,0.33526890,1.16080200,0.44581750,0.33177550,1.16807600,0.46768400,0.36149020,1.12982800,0.43764860,0.35660940,1.16749700,0.45352470,0.35237650,1.16344200,0.47928690,0.38018910,1.12731000,0.44411550,0.37764560,1.16238300,0.45684620,0.36984260,1.16134800,0.48108470,0.39653600,1.07734800,0.44814680,0.39779430,1.12079100,0.45341620,0.39640090,1.14778200,0.46514470,0.38836510,1.14887400,0.48285540,0.31479560,1.12546600,0.49213730,0.33115630,1.15909600,0.48717760,0.34900830,1.14445000,0.49351530,0.36357680,1.14143800,0.49162120,0.37764020,1.13293100,0.49147110,11,5
0.38410190,1.03790000,0.43758160,0.38410190,1.03790000,0.43758160,0.38410190,1.03790000,0.43758160,0.36859490,1.05414300,0.44708320,0.34690360,1.06377700,0.44925810,0.32202360,1.07780200,0.46176950,0.31223710,1.10322900,0.47931930,0.34123650,1.12265500,0.44134030,0.33602080,1.15809300,0.44765750,0.33232340,1.16691100,0.46891390,0.36217350,1.12698600,0.43991340,0.35750840,1.16498500,0.45505140,0.35305320,1.16224700,0.48094950,0.38084020,1.12430800,0.44640870,0.37836820,1.15950700,0.45880140,0.37050380,1.15931400,0.48304130,0.39697210,1.07423100,0.44984220,0.39838770,1.11759700,0.45568180,0.39680310,1.14461800,0.46731560,0.38881860,1.14617200,0.48501490,0.31387520,1.12172200,0.49390890,0.33121690,1.16042100,0.48935110,0.34933180,1.14419500,0.49627160,0.36396570,1.13994300,0.49438600,0.37799790,1.13065300,0.49426080,11,5
