RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.23788270,0.84084430,0.31574030,0.23788270,0.84084430,0.31574030,0.23788270,0.84084430,0.31574030,0.21654730,0.84619980,0.30522000,0.19894560,0.85163370,0.29009640,0.17101980,0.85081930,0.27625010,0.13910520,0.85217370,0.28172060,0.16368930,0.89741430,0.29757300,0.12979260,0.88425910,0.29659060,0.14310950,0.86535730,0.29365190,0.16574740,0.89749330,0.31890170,0.12908370,0.87904090,0.31572570,0.14391940,0.85805640,0.30959350,0.16748180,0.88757110,0.33611650,0.13666290,0.86698880,0.33109770,0.15192540,0.84999820,0.31979110,0.20579880,0.85140440,0.33798900,0.17020400,0.87323350,0.35114880,0.14824170,0.85597520,0.34177900,0.16121960,0.84712720,0.33025850,0.12057260,0.85151140,0.29633730,0.16416470,0.86956070,0.29383000,0.16744030,0.86129030,0.30630660,0.17446300,0.85486420,0.31590840,0.18067950,0.85187960,0.32376580,11,7
0.23836340,0.84112040,0.31683900,0.23836340,0.84112040,0.31683900,0.23836340,0.84112040,0.31683900,0.21711120,0.84675980,0.30629860,0.19964390,0.85247980,0.29112480,0.17176990,0.85170510,0.27717220,0.13980010,0.85315250,0.28228440,0.16485060,0.89859960,0.29875870,0.13064480,0.88628360,0.29762560,0.14316260,0.86684610,0.29466900,0.16686630,0.89856760,0.32009150,0.12977480,0.88101170,0.31680250,0.14384430,0.85951190,0.31064940,0.16845350,0.88855570,0.33726870,0.13685740,0.86914830,0.33240470,0.15129400,0.85147090,0.32106650,0.20635580,0.85195090,0.33906750,0.17098310,0.87412660,0.35224690,0.14833500,0.85763990,0.34312350,0.16086970,0.84826560,0.33152880,0.12099440,0.85254760,0.29655080,0.16437790,0.87014560,0.29487800,0.16747450,0.86177840,0.30733710,0.17400580,0.85524270,0.31698720,0.18044430,0.85242610,0.32497490,11,7
0.23887310,0.84145860,0.31869650,0.23887310,0.84145860,0.31869650,0.23887310,0.84145860,0.31869650,0.21768210,0.84735080,0.30817110,0.20031340,0.85332760,0.29298320,0.17246550,0.85255770,0.27897830,0.14044910,0.85405590,0.28377510,0.16593260,0.89972950,0.30083400,0.13146110,0.88818760,0.29960310,0.14321600,0.86828670,0.29659800,0.16793710,0.89958470,0.32216740,0.13046110,0.88287640,0.31882170,0.14378850,0.86092380,0.31261540,0.16941820,0.88948290,0.33930130,0.13714310,0.87118040,0.33461490,0.15077020,0.85290770,0.32321890,0.20696130,0.85250310,0.34095750,0.17179960,0.87496450,0.35421740,0.14852840,0.85922060,0.34535370,0.16059760,0.84936520,0.33366440,0.12139250,0.85348170,0.29770580,0.16454530,0.87074390,0.29680480,0.16747980,0.86227800,0.30924140,0.17358860,0.85565540,0.31892130,0.18025150,0.85296260,0.32701530,11,7
0.23943630,0.84186950,0.32042620,0.23943630,0.84186950,0.32042620,0.23943630,0.84186950,0.32042620,0.21830750,0.84801170,0.30991890,0.20103390,0.85424200,0.29472430,0.17320850,0.85347760,0.28067450,0.14114820,0.85502280,0.28515230,0.16706060,0.90091260,0.30280390,0.13234780,0.89012970,0.30147540,0.14334930,0.86981150,0.29841050,0.16905280,0.90064870,0.32413730,0.13121580,0.88478730,0.32073400,0.14380320,0.86242020,0.31446300,0.17042930,0.89045300,0.34122430,0.13754180,0.87323310,0.33669560,0.15036700,0.85442730,0.32523650,0.20761930,0.85311160,0.34272410,0.17266540,0.87584290,0.35607310,0.14881910,0.86084280,0.34745130,0.16041080,0.85053740,0.33566710,0.12184240,0.85447350,0.29873660,0.16475700,0.87145150,0.29861330,0.16751960,0.86288140,0.31102580,0.17324270,0.85618460,0.32072950,0.18012570,0.85358000,0.32892220,11,7
0.24004250,0.84233840,0.32205690,0.24004250,0.84233840,0.32205690,0.24004250,0.84233840,0.32205690,0.21897710,0.84872850,0.31157030,0.20180850,0.85521690,0.29636460,0.17401650,0.85478850,0.28223480,0.14194840,0.85661800,0.28654710,0.16822730,0.90213790,0.30469380,0.13324360,0.89237980,0.30271330,0.14083760,0.87051330,0.29998600,0.17020600,0.90174970,0.32602660,0.13187500,0.88719280,0.32233420,0.14274040,0.86388700,0.31626510,0.17147910,0.89145710,0.34306340,0.13754220,0.87630380,0.33890530,0.14863040,0.85639290,0.32750050,0.20831990,0.85376480,0.34439530,0.17357180,0.87675340,0.35784060,0.14934960,0.86234550,0.34925680,0.16052730,0.85158450,0.33747990,0.12225650,0.85616330,0.29956890,0.16223310,0.86873580,0.30029310,0.16642380,0.86252630,0.31283900,0.17148350,0.85607730,0.32256740,0.18031800,0.85403700,0.33071660,11,7
0.24135330,0.84345050,0.32322640,0.24135330,0.84345050,0.32322640,0.24135330,0.84345050,0.32322640,0.22032640,0.85009160,0.31281840,0.20323290,0.85688530,0.29766170,0.17546790,0.85676180,0.28347290,0.14338630,0.85871450,0.28762750,0.16989580,0.90388100,0.30658710,0.13471870,0.89502810,0.30390350,0.13910620,0.87228750,0.30128270,0.17187190,0.90322480,0.32791360,0.13315060,0.88984970,0.32384210,0.14240600,0.86585710,0.31778020,0.17308340,0.89272090,0.34482540,0.13832140,0.87950100,0.34089230,0.14776820,0.85880630,0.32940550,0.20969900,0.85479650,0.34570230,0.17508820,0.87782850,0.35942480,0.15053370,0.86401650,0.35080560,0.16130610,0.85293900,0.33894470,0.12334170,0.85820350,0.30009750,0.16003160,0.86749820,0.30174090,0.16594110,0.86287240,0.31436170,0.17043470,0.85665460,0.32408610,0.18114290,0.85491460,0.33216050,11,7
0.24263100,0.84454560,0.32436370,0.24263100,0.84454560,0.32436370,0.24263100,0.84454560,0.32436370,0.22164580,0.85143460,0.31403320,0.20462920,0.85852690,0.29892680,0.17689150,0.85868270,0.28468500,0.14479540,0.86075320,0.28866680,0.17154520,0.90559950,0.30842270,0.13621360,0.89763010,0.30508010,0.13777430,0.87452050,0.30247920,0.17351590,0.90468530,0.32974020,0.13445560,0.89245990,0.32530910,0.14218190,0.86793720,0.31922660,0.17466210,0.89398000,0.34652980,0.13924110,0.88258210,0.34277960,0.14713310,0.86128770,0.33121560,0.21104520,0.85582490,0.34696920,0.17657500,0.87890830,0.36095650,0.15169530,0.86570260,0.35231970,0.16205060,0.85432670,0.34037020,0.12442690,0.86020510,0.30059870,0.15795680,0.86721970,0.30309950,0.16547920,0.86345550,0.31581460,0.16949350,0.85746480,0.32555010,0.18191830,0.85582820,0.33355490,11,7
0.24388060,0.84562520,0.32547400,0.24388060,0.84562520,0.32547400,0.24388060,0.84562520,0.32547400,0.22293960,0.85275910,0.31522020,0.20598430,0.86013380,0.30018030,0.17826720,0.86077330,0.28591200,0.14616590,0.86315410,0.28967260,0.17317750,0.90729360,0.31021160,0.13762320,0.90050030,0.30664000,0.13529730,0.87750050,0.30366510,0.17514030,0.90613010,0.33151760,0.13558200,0.89569770,0.32692240,0.13993160,0.87041740,0.32059480,0.17621830,0.89523150,0.34818700,0.14049070,0.88490980,0.34423400,0.14719050,0.86319640,0.33269720,0.21236340,0.85684850,0.34820270,0.17803600,0.87998870,0.36244520,0.15231550,0.86807700,0.35441070,0.16138470,0.85603590,0.34207390,0.12550490,0.86267790,0.30109370,0.15392180,0.86681890,0.30389770,0.16229200,0.86271500,0.31669880,0.16920630,0.85794510,0.32682970,0.18101570,0.85616830,0.33445610,11,7
0.24638160,0.84761690,0.32480070,0.24638160,0.84761690,0.32480070,0.24638160,0.84761690,0.32480070,0.22546960,0.85497550,0.31464700,0.20853610,0.86253110,0.29967240,0.18077090,0.86358000,0.28552230,0.14870150,0.86645880,0.28920640,0.17631060,0.91007030,0.30981750,0.14053410,0.90455300,0.30626600,0.13469100,0.88218690,0.30328770,0.17837330,0.90891610,0.33111460,0.13835410,0.90034160,0.32667070,0.13943340,0.87468710,0.32044700,0.17941470,0.89803080,0.34779500,0.14331660,0.88902230,0.34400110,0.14859470,0.86679160,0.33271400,0.21511660,0.85923530,0.34767870,0.18113320,0.88278940,0.36206700,0.15461400,0.87216320,0.35486950,0.16231720,0.85940090,0.34233080,0.12782220,0.86630700,0.30023260,0.15138860,0.86868850,0.30323130,0.16048090,0.86405960,0.31613960,0.17009860,0.85994750,0.32659550,0.18157370,0.85810200,0.33390900,11,7
0.24885770,0.84960410,0.32426450,0.24885770,0.84960410,0.32426450,0.24885770,0.84960410,0.32426450,0.22798250,0.85720060,0.31421070,0.21108020,0.86495480,0.29930250,0.18327790,0.86640740,0.28526150,0.15124520,0.86976410,0.28885920,0.17944280,0.91286010,0.30959730,0.14349790,0.90860050,0.30601600,0.13450370,0.88730330,0.30305220,0.18159720,0.91169120,0.33088450,0.14122190,0.90493280,0.32653000,0.13925420,0.87930090,0.32043190,0.18259480,0.90080170,0.34756480,0.14616320,0.89318280,0.34391590,0.14998160,0.87054210,0.33285800,0.21784310,0.86159440,0.34729110,0.18420690,0.88554750,0.36183560,0.15701730,0.87620050,0.35540580,0.16338620,0.86285260,0.34272890,0.13015640,0.86992570,0.29947930,0.14901840,0.87148350,0.30277300,0.15874020,0.86613040,0.31581370,0.17086100,0.86214530,0.32651450,0.18218050,0.86022800,0.33360120,11,7
