RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.37305670,0.88630800,0.31243160,0.37305670,0.88630800,0.31243160,0.37305670,0.88630800,0.31243160,0.35823830,0.90542010,0.31554620,0.34097670,0.92180540,0.31682180,0.32146380,0.94310100,0.32856820,0.31772800,0.97018070,0.34597610,0.34765200,0.97717020,0.30087500,0.33654730,1.00143800,0.32558850,0.32798390,0.98473940,0.33941120,0.36797990,0.97781590,0.30762140,0.35020800,1.00137600,0.33632480,0.34065190,0.98170250,0.35114680,0.38200850,0.97236730,0.32071050,0.36332990,0.99134130,0.34697290,0.35063470,0.97346190,0.35995820,0.38652390,0.92053690,0.32925160,0.39325640,0.96328600,0.33587490,0.37679120,0.97748600,0.35575570,0.36330400,0.96502140,0.36224900,0.32822260,0.98521720,0.36085270,0.33048060,0.96474690,0.33198910,0.34023780,0.95809530,0.34702110,0.34905670,0.95060290,0.35530230,0.35810910,0.94643460,0.35382440,11,6
0.37341310,0.88432760,0.31554140,0.37341310,0.88432760,0.31554140,0.37341310,0.88432760,0.31554140,0.35850530,0.90336370,0.31869440,0.34112780,0.91963680,0.31982490,0.32130040,0.94069930,0.33146440,0.31707360,0.96760680,0.34902640,0.34783380,0.97521720,0.30460300,0.33667670,0.99958370,0.32919570,0.32782330,0.98305470,0.34303990,0.36809380,0.97586110,0.31155060,0.35005340,0.99939260,0.34010950,0.34035750,0.97968400,0.35479330,0.38201330,0.97033130,0.32472180,0.36303340,0.98932350,0.35075410,0.35025220,0.97146980,0.36369030,0.38661010,0.91843610,0.33281420,0.39314380,0.96114070,0.33990690,0.37674130,0.97553800,0.35969750,0.36304950,0.96330500,0.36620340,0.32717240,0.98262580,0.36419190,0.33015110,0.96296730,0.33582200,0.34000270,0.95609120,0.35058040,0.34866200,0.94857130,0.35923720,0.35764310,0.94476490,0.35780920,11,6
0.37372070,0.88250830,0.31836510,0.37372070,0.88250830,0.31836510,0.37372070,0.88250830,0.31836510,0.35873160,0.90147390,0.32155760,0.34123560,0.91763100,0.32251000,0.32107910,0.93846170,0.33400050,0.31624660,0.96521310,0.35164450,0.34798480,0.97342410,0.30802820,0.33679370,0.99787520,0.33252130,0.32762690,0.98160300,0.34646530,0.36817980,0.97405960,0.31516350,0.35008970,0.99745400,0.34380360,0.34002000,0.97780840,0.35831930,0.38199600,0.96844730,0.32840830,0.36274050,0.98731300,0.35433000,0.34982580,0.96949860,0.36718770,0.38666610,0.91649290,0.33606700,0.39301570,0.95914840,0.34360840,0.37672140,0.97380820,0.36329530,0.36281000,0.96187610,0.36989320,0.32583250,0.98027750,0.36709510,0.32970850,0.96138010,0.33955710,0.33935380,0.95422100,0.35411390,0.34814690,0.94657960,0.36287570,0.35708980,0.94336470,0.36164490,11,6
0.37464650,0.88051900,0.32125230,0.37464650,0.88051900,0.32125230,0.37464650,0.88051900,0.32125230,0.35941990,0.89930140,0.32440350,0.34166780,0.91518830,0.32513870,0.32106360,0.93569110,0.33642310,0.31549380,0.96238020,0.35394370,0.34784680,0.97112060,0.31085900,0.33654390,0.99577180,0.33509880,0.32729840,0.97979820,0.34933310,0.36801070,0.97199770,0.31805640,0.34981680,0.99536760,0.34665070,0.33965290,0.97583330,0.36125070,0.38185300,0.96654890,0.33134210,0.36231360,0.98538990,0.35706860,0.34949140,0.96764100,0.37010800,0.38712640,0.91465240,0.33900230,0.39293740,0.95737930,0.34657370,0.37674470,0.97233250,0.36612320,0.36276280,0.96064250,0.37299950,0.32452460,0.97769670,0.36948070,0.32927720,0.95940950,0.34289840,0.33887900,0.95220780,0.35728450,0.34788750,0.94464570,0.36619110,0.35683960,0.94204360,0.36509850,11,6
0.37548560,0.87860120,0.32401620,0.37548560,0.87860120,0.32401620,0.37548560,0.87860120,0.32401620,0.36004250,0.89721110,0.32713740,0.34206550,0.91285060,0.32768510,0.32104820,0.93299900,0.33884530,0.31467030,0.95957260,0.35626570,0.34772940,0.96891680,0.31364450,0.33633200,0.99377620,0.33762600,0.32697720,0.97812520,0.35214450,0.36785680,0.97000560,0.32091450,0.34965420,0.99328250,0.34957910,0.33912080,0.97416540,0.36446660,0.38171100,0.96469150,0.33424230,0.36201580,0.98355350,0.35983420,0.34907780,0.96605530,0.37309620,0.38752700,0.91284590,0.34185430,0.39284150,0.95562400,0.34950130,0.37684260,0.97090660,0.36895540,0.36275680,0.95944650,0.37600480,0.32302910,0.97515230,0.37191660,0.32882770,0.95757960,0.34618840,0.33778690,0.95045720,0.36120580,0.34720950,0.94299600,0.36970840,0.35657680,0.94083010,0.36834570,11,6
0.37644270,0.87686480,0.32610800,0.37644270,0.87686480,0.32610800,0.37644270,0.87686480,0.32610800,0.36071940,0.89523410,0.32925540,0.34248860,0.91058240,0.32962450,0.32093520,0.93021370,0.34068310,0.31357310,0.95645970,0.35821170,0.34762340,0.96692470,0.31643640,0.33586720,0.99170370,0.34032770,0.32632230,0.97618720,0.35486690,0.36764660,0.96819170,0.32396090,0.34913090,0.99104940,0.35276190,0.33819020,0.97213640,0.36761630,0.38140980,0.96290450,0.33739330,0.36129450,0.98148430,0.36286480,0.34818420,0.96405350,0.37604620,0.38781780,0.91105440,0.34448110,0.39247610,0.95380660,0.35268090,0.37645460,0.96915420,0.37206510,0.36224200,0.95780870,0.37904490,0.32110910,0.97212660,0.37418990,0.32815090,0.95556660,0.34916900,0.33642950,0.94840670,0.36473570,0.34616210,0.94097170,0.37290920,0.35592860,0.93924090,0.37137660,11,6
0.37733140,0.87516210,0.32817030,0.37733140,0.87516210,0.32817030,0.37733140,0.87516210,0.32817030,0.36134870,0.89330210,0.33134130,0.34288680,0.90837490,0.33152730,0.32082820,0.92750140,0.34247400,0.31252070,0.95340640,0.36008710,0.34752280,0.96497040,0.31918070,0.33544920,0.98968660,0.34297870,0.32570030,0.97432110,0.35754280,0.36744090,0.96639420,0.32695210,0.34864640,0.98886300,0.35587830,0.33730670,0.97015710,0.37069570,0.38111220,0.96112120,0.34048350,0.36060850,0.97945480,0.36582330,0.34731630,0.96210850,0.37893380,0.38807370,0.90927510,0.34705960,0.39211240,0.95198400,0.35579540,0.37610100,0.96742010,0.37511760,0.36175310,0.95621410,0.38204580,0.31924800,0.96912810,0.37636950,0.32747260,0.95362480,0.35210730,0.33510640,0.94642350,0.36817190,0.34511410,0.93900970,0.37605400,0.35527380,0.93770150,0.37438250,11,6
0.37816600,0.87348440,0.33020960,0.37816600,0.87348440,0.33020960,0.37816600,0.87348440,0.33020960,0.36194030,0.89140340,0.33340220,0.34325810,0.90620360,0.33336990,0.32069610,0.92482840,0.34415450,0.31140260,0.95038250,0.36178740,0.34742450,0.96304230,0.32188900,0.33506690,0.98792900,0.34536120,0.32501760,0.97307260,0.36024590,0.36723660,0.96460550,0.32990100,0.34863900,0.98763010,0.35851570,0.33660990,0.96962080,0.37364910,0.38081540,0.95933600,0.34352670,0.36031010,0.97822200,0.36845620,0.34644690,0.96155910,0.38185840,0.38830120,0.90750160,0.34960020,0.39174820,0.95015230,0.35885890,0.37592250,0.96599610,0.37800320,0.36131040,0.95536950,0.38528310,0.31726010,0.96615670,0.37835280,0.32656700,0.95219370,0.35548220,0.33355130,0.94591270,0.37189960,0.34353690,0.93846290,0.37966840,0.35413590,0.93687680,0.37821390,11,6
0.37830560,0.87070690,0.33179460,0.37830560,0.87070690,0.33179460,0.37830560,0.87070690,0.33179460,0.36191630,0.88835290,0.33561150,0.34306470,0.90293380,0.33590020,0.32015020,0.92081990,0.34718040,0.31010160,0.94554470,0.36556550,0.34682360,0.96025440,0.32679330,0.33444010,0.98468120,0.35073040,0.32417670,0.96992460,0.36556820,0.36659510,0.96167740,0.33493050,0.34847100,0.98443200,0.36406040,0.33589040,0.96670750,0.37908110,0.38017410,0.95600550,0.34839360,0.35989740,0.97473290,0.37362780,0.34558290,0.95837650,0.38693280,0.38808490,0.90404190,0.35250790,0.39113510,0.94633470,0.36340270,0.37567320,0.96205460,0.38294250,0.36086180,0.95180770,0.39036260,0.31526950,0.96086840,0.38277100,0.32541450,0.94901480,0.36084890,0.33193950,0.94312450,0.37742890,0.34193290,0.93538330,0.38476780,0.35294490,0.93358180,0.38339360,11,6
0.37846550,0.86803910,0.33340040,0.37846550,0.86803910,0.33340040,0.37846550,0.86803910,0.33340040,0.36191520,0.88540190,0.33777940,0.34289790,0.89975880,0.33831950,0.31962500,0.91691240,0.34999680,0.30879480,0.94081560,0.36901380,0.34625580,0.95744660,0.33147680,0.33386800,0.98149970,0.35578730,0.32337100,0.96692340,0.37063980,0.36598400,0.95873980,0.33973990,0.34838420,0.98129230,0.36934460,0.33525720,0.96395000,0.38434390,0.37955900,0.95270130,0.35304650,0.35953360,0.97135070,0.37853780,0.34476860,0.95538000,0.39181910,0.38788800,0.90069040,0.35533210,0.39054390,0.94258990,0.36774460,0.37549150,0.95826360,0.38763790,0.36049080,0.94845320,0.39526500,0.31323300,0.95569710,0.38680120,0.32425710,0.94596560,0.36605630,0.33036290,0.94053050,0.38290610,0.34033620,0.93251300,0.38978090,0.35179850,0.93050800,0.38849450,11,6
0.37864150,0.86545610,0.33502350,0.37864150,0.86545610,0.33502350,0.37864150,0.86545610,0.33502350,0.36193190,0.88252740,0.33991440,0.34277040,0.89667770,0.34073340,0.31922640,0.91324630,0.35270840,0.30797730,0.93643560,0.37235570,0.34571140,0.95461640,0.33598510,0.33352240,0.97867880,0.36038660,0.32261370,0.96481960,0.37562390,0.36539390,0.95578690,0.34437440,0.34795150,0.97811650,0.37424010,0.33452930,0.96103060,0.38927240,0.37896250,0.94941010,0.35752890,0.35971910,0.96885590,0.38302750,0.34427440,0.95372820,0.39652100,0.38770610,0.89742000,0.35808930,0.38996840,0.93889470,0.37192470,0.37584400,0.95507630,0.39209010,0.36054750,0.94631950,0.40038290,0.31201110,0.95080650,0.39065200,0.32274480,0.94369130,0.37180330,0.32915550,0.93770810,0.38797640,0.33863930,0.93109380,0.39490040,0.35045490,0.92882420,0.39442600,11,6
0.37759230,0.86266960,0.33757820,0.37759230,0.86266960,0.33757820,0.37759230,0.86266960,0.33757820,0.36083790,0.87954120,0.34298130,0.34162470,0.89360220,0.34408170,0.31792620,0.90972500,0.35635640,0.30640610,0.93225230,0.37660760,0.34450910,0.95169590,0.34141280,0.33267450,0.97577710,0.36596970,0.32135220,0.96262190,0.38152610,0.36416160,0.95261570,0.34990310,0.34706630,0.97479310,0.38008130,0.33327060,0.95803930,0.39514910,0.37769700,0.94582330,0.36288250,0.35937160,0.96597490,0.38850910,0.34329210,0.95170830,0.40219740,0.38652630,0.89385750,0.36173170,0.38867270,0.93484910,0.37695540,0.37552750,0.95144860,0.39744070,0.36002460,0.94371310,0.40634330,0.31012740,0.94607590,0.39538540,0.32065180,0.94139660,0.37836160,0.32725890,0.93486580,0.39399020,0.33641620,0.92939670,0.40092650,0.34861610,0.92679630,0.40113770,11,6
