RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32741190,0.83312760,0.35718150,0.32741190,0.83312760,0.35718150,0.32741190,0.83312760,0.35718150,0.31552090,0.85417510,0.35150870,0.30440180,0.87150540,0.33865840,0.28409760,0.89456840,0.33065420,0.26889080,0.92341130,0.33575650,0.32286010,0.92830780,0.34016910,0.31689400,0.96386720,0.34865030,0.29593910,0.97093000,0.35727440,0.33379810,0.92635080,0.35894890,0.31678350,0.96231740,0.37215730,0.29085700,0.96177470,0.37932840,0.33521050,0.91885810,0.37777460,0.32140990,0.95056970,0.39372220,0.29572060,0.95169340,0.39723000,0.32891720,0.86573070,0.38230590,0.33283430,0.90798490,0.39597690,0.32117920,0.93302040,0.40770320,0.30171220,0.93661650,0.40896310,0.26023630,0.94238330,0.34772940,0.27561810,0.96883230,0.36506860,0.27088990,0.94775320,0.38002110,0.27628390,0.93901900,0.39189030,0.28488380,0.92713620,0.39964770,11,1
0.32780850,0.83305700,0.35671660,0.32780850,0.83305700,0.35671660,0.32780850,0.83305700,0.35671660,0.31607230,0.85424300,0.35124060,0.30569570,0.87148490,0.33767060,0.28697590,0.89521380,0.32793680,0.27259980,0.92467910,0.33171990,0.32381390,0.92854430,0.34136580,0.31891970,0.96434880,0.34949490,0.29835920,0.97274270,0.35787190,0.33444820,0.92621120,0.36027670,0.31903410,0.96290700,0.37344440,0.29317760,0.96454470,0.38070120,0.33554060,0.91837420,0.37898310,0.32272710,0.95008390,0.39573790,0.29711220,0.95224740,0.39930180,0.32901580,0.86519470,0.38244950,0.33284450,0.90718110,0.39694540,0.32190710,0.93182400,0.41010710,0.30265950,0.93631400,0.41179580,0.26386050,0.94408420,0.34291180,0.27793300,0.97234060,0.36566290,0.27181610,0.95279850,0.38191720,0.27694240,0.94084520,0.39381450,0.28515640,0.92844770,0.40222450,11,1
0.32870940,0.83246030,0.35630420,0.32870940,0.83246030,0.35630420,0.32870940,0.83246030,0.35630420,0.31697870,0.85381360,0.35150850,0.30704310,0.87114920,0.33772940,0.28970590,0.89557430,0.32719040,0.27622560,0.92551400,0.33051950,0.32476980,0.92837130,0.34385520,0.32094920,0.96425340,0.35221390,0.30097440,0.97374110,0.36083700,0.33546290,0.92545790,0.36265210,0.32167660,0.96250620,0.37661330,0.29616810,0.96593030,0.38445470,0.33660740,0.91705880,0.38110970,0.32495750,0.94843530,0.39928120,0.29951480,0.95141740,0.40343870,0.33003550,0.86380540,0.38299110,0.33395730,0.90533140,0.39873480,0.32381500,0.92924900,0.41374160,0.30482530,0.93437850,0.41630350,0.26759740,0.94517090,0.34135240,0.28071670,0.97485720,0.36898990,0.27382880,0.95628490,0.38637530,0.27865410,0.94125470,0.39810080,0.28663920,0.92808460,0.40684310,11,1
0.32956370,0.83188190,0.35590590,0.32956370,0.83188190,0.35590590,0.32956370,0.83188190,0.35590590,0.31785350,0.85337980,0.35174870,0.30837210,0.87083040,0.33779590,0.29242010,0.89590440,0.32661270,0.27983620,0.92626540,0.32962010,0.32572870,0.92811850,0.34625130,0.32292120,0.96404490,0.35481930,0.30356290,0.97456540,0.36364770,0.33644420,0.92464770,0.36494050,0.32416420,0.96192550,0.37967570,0.29910130,0.96695220,0.38807090,0.33760360,0.91571500,0.38314490,0.32704960,0.94668330,0.40263820,0.30180300,0.95038810,0.40737050,0.33096670,0.86243750,0.38348930,0.33496310,0.90348430,0.40042600,0.32553280,0.92657420,0.41710070,0.30681620,0.93219010,0.42051200,0.27132370,0.94616280,0.34009990,0.28357610,0.97716770,0.37212400,0.27606870,0.95930100,0.39066390,0.28035640,0.94141170,0.40223170,0.28807460,0.92734400,0.41128610,11,1
0.33038230,0.83131810,0.35551710,0.33038230,0.83131810,0.35551710,0.33038230,0.83131810,0.35551710,0.31870290,0.85294120,0.35196610,0.30946850,0.87065690,0.33818270,0.29503350,0.89659010,0.32689860,0.28363560,0.92742400,0.32982300,0.32668480,0.92779370,0.34857370,0.32407010,0.96360280,0.35767690,0.30517380,0.97476200,0.36671940,0.33739410,0.92378320,0.36715810,0.32642410,0.96121160,0.38253120,0.30188950,0.96772400,0.39144990,0.33853970,0.91434030,0.38510410,0.32891230,0.94513290,0.40534110,0.30407720,0.95012470,0.41098100,0.33182690,0.86108370,0.38394930,0.33588060,0.90163200,0.40203410,0.32760900,0.92367030,0.42063560,0.30935610,0.92991540,0.42525240,0.27535650,0.94773790,0.33967160,0.28552000,0.97860900,0.37549560,0.27836780,0.96214310,0.39481870,0.28176580,0.94293120,0.40681030,0.28979790,0.92717390,0.41689710,11,1
0.33093230,0.83165140,0.35428290,0.33093230,0.83165140,0.35428290,0.33093230,0.83165140,0.35428290,0.31922540,0.85329240,0.35093780,0.31024470,0.87098850,0.33696300,0.29722900,0.89743140,0.32514780,0.28686900,0.92867920,0.32747940,0.32709400,0.92818920,0.34835540,0.32471900,0.96405350,0.35730560,0.30629870,0.97600110,0.36632300,0.33777250,0.92399870,0.36691780,0.32795000,0.96174870,0.38228040,0.30398680,0.96972490,0.39155650,0.33889730,0.91436770,0.38476500,0.33006520,0.94524130,0.40524000,0.30567230,0.95139620,0.41161300,0.33227230,0.86111590,0.38303200,0.33622490,0.90147640,0.40155390,0.32887470,0.92266290,0.42148460,0.31106920,0.92934470,0.42712390,0.27880070,0.94950750,0.33638320,0.28704100,0.98120250,0.37527720,0.28020660,0.96612270,0.39571480,0.28275790,0.94575440,0.40844480,0.29095400,0.92821840,0.41977850,11,1
0.33147970,0.83191870,0.35312780,0.33147970,0.83191870,0.35312780,0.33147970,0.83191870,0.35312780,0.31975640,0.85358330,0.35000030,0.31107150,0.87126990,0.33582780,0.29947670,0.89816080,0.32355290,0.29014570,0.92976490,0.32537040,0.32754240,0.92851410,0.34830660,0.32550870,0.96443610,0.35710820,0.30761220,0.97718720,0.36608000,0.33817380,0.92412160,0.36684920,0.32949410,0.96213690,0.38224600,0.30617230,0.97150640,0.39184840,0.33926010,0.91428610,0.38458690,0.33122170,0.94518070,0.40535520,0.30731180,0.95239690,0.41240880,0.33270380,0.86105020,0.38221950,0.33655600,0.90119830,0.40121800,0.33004120,0.92146280,0.42236120,0.31269330,0.92843710,0.42898640,0.28235070,0.95105330,0.33338500,0.28883280,0.98373810,0.37516360,0.28231380,0.96984460,0.39672440,0.28397060,0.94825740,0.41017480,0.29218790,0.92873350,0.42271840,11,1
0.33202480,0.83213440,0.35203580,0.33202480,0.83213440,0.35203580,0.33202480,0.83213440,0.35203580,0.32029320,0.85382600,0.34913480,0.31150180,0.87175610,0.33533880,0.30027040,0.89902240,0.32356440,0.29135810,0.93075160,0.32530270,0.32801900,0.92877850,0.34839030,0.32612270,0.96453200,0.35788180,0.30854630,0.97757890,0.36705880,0.33859060,0.92416690,0.36691410,0.32955420,0.96191750,0.38275070,0.30652980,0.97181870,0.39253560,0.33962460,0.91411480,0.38453300,0.33099810,0.94484260,0.40531260,0.30752270,0.95289670,0.41289830,0.33312330,0.86090650,0.38148780,0.33687490,0.90082090,0.40099230,0.33021410,0.92105360,0.42212030,0.31267960,0.92782830,0.42845510,0.28360770,0.95239150,0.33236210,0.29013230,0.98485870,0.37633350,0.28269690,0.97114790,0.39776130,0.28390420,0.95015190,0.41164390,0.29221550,0.92805800,0.42205070,11,1
0.33223750,0.83306010,0.35121830,0.33223750,0.83306010,0.35121830,0.33223750,0.83306010,0.35121830,0.32066480,0.85483600,0.34831030,0.31222020,0.87299170,0.33459300,0.30192150,0.90066770,0.32292230,0.29368870,0.93259870,0.32427490,0.32871370,0.92975740,0.34864320,0.32705330,0.96538410,0.35864230,0.30977410,0.97892870,0.36766110,0.33883840,0.92487920,0.36734740,0.32967260,0.96252110,0.38336720,0.30692170,0.97323760,0.39293040,0.33942660,0.91461340,0.38486330,0.33026730,0.94526660,0.40552480,0.30717710,0.95429180,0.41319920,0.33277830,0.86147420,0.38103130,0.33624540,0.90113650,0.40109450,0.32931660,0.92121650,0.42228210,0.31163130,0.92797020,0.42820690,0.28608080,0.95462530,0.33020250,0.29168370,0.98715140,0.37678330,0.28307860,0.97386390,0.39811520,0.28340960,0.95307940,0.41243950,0.29127580,0.92848070,0.42148080,11,1
0.33247550,0.83388580,0.35042450,0.33247550,0.83388580,0.35042450,0.33247550,0.83388580,0.35042450,0.32105130,0.85574320,0.34754080,0.31298090,0.87409760,0.33386280,0.30370870,0.90216530,0.32226690,0.29625310,0.93430020,0.32324120,0.32937820,0.93062110,0.34897960,0.32800570,0.96612850,0.35943630,0.31109790,0.98021100,0.36833440,0.33908030,0.92547040,0.36783410,0.32998220,0.96304880,0.38404040,0.30760420,0.97464090,0.39346100,0.33925300,0.91498630,0.38522930,0.32975260,0.94557730,0.40582890,0.30709410,0.95553340,0.41363770,0.33248500,0.86192630,0.38059390,0.33567260,0.90132280,0.40121940,0.32859580,0.92114280,0.42260200,0.31083560,0.92791810,0.42827240,0.28893020,0.95668710,0.32807820,0.29343450,0.98941170,0.37735900,0.28384610,0.97664550,0.39868590,0.28328690,0.95583030,0.41337780,0.29054950,0.92884150,0.42138260,11,1
