RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42770090,0.86521650,0.27331040,0.42770090,0.86521650,0.27331040,0.42770090,0.86521650,0.27331040,0.43464480,0.88909440,0.27709080,0.44616720,0.91070680,0.27923840,0.45288940,0.94215960,0.27897660,0.44259970,0.97317640,0.28602580,0.44514870,0.94385040,0.32922250,0.43631100,0.97897050,0.33903400,0.43247140,0.98545000,0.31620120,0.42506830,0.93680610,0.33520030,0.41276070,0.97727530,0.33896640,0.41164800,0.98260410,0.31226150,0.40596780,0.93107430,0.33013870,0.39315490,0.96738800,0.32781590,0.39923110,0.96879940,0.30227840,0.40217190,0.89223510,0.29225750,0.38790540,0.92487120,0.32002200,0.37781660,0.95336990,0.31691520,0.38527630,0.95913430,0.29917050,0.42613470,0.99031530,0.29135900,0.43374260,0.97329290,0.29773080,0.41987240,0.96640130,0.29549420,0.41092450,0.94914290,0.29462200,0.40033570,0.94583070,0.29091980,11,7
0.42312240,0.86557500,0.27334750,0.42312240,0.86557500,0.27334750,0.42312240,0.86557500,0.27334750,0.43016860,0.88942870,0.27709030,0.44185250,0.91094640,0.27931570,0.44893310,0.94232100,0.27912970,0.43880330,0.97345450,0.28589040,0.44007070,0.94448650,0.32902160,0.43146100,0.97958650,0.33910410,0.42780730,0.98717020,0.31658290,0.41982720,0.93763210,0.33466050,0.40774830,0.97804420,0.33959800,0.40657060,0.98525530,0.31334160,0.40078590,0.93200220,0.32927180,0.38797000,0.96838810,0.32954310,0.39342060,0.97236720,0.30413570,0.39743350,0.89291590,0.29160360,0.38287650,0.92585670,0.31885270,0.37265570,0.95435810,0.31624170,0.37970670,0.96129350,0.29875080,0.42245580,0.99082620,0.29081610,0.42894690,0.97601270,0.29748370,0.41451420,0.97051420,0.29515060,0.40505600,0.95377020,0.29411060,0.39500470,0.94905590,0.28936670,11,7
0.41867630,0.86592950,0.27342390,0.41867630,0.86592950,0.27342390,0.41867630,0.86592950,0.27342390,0.42580750,0.88976290,0.27713500,0.43763290,0.91119450,0.27944200,0.44503520,0.94249520,0.27934120,0.43504780,0.97373200,0.28583170,0.43510850,0.94511210,0.32886740,0.42668790,0.98016060,0.33928320,0.42321600,0.98882700,0.31712680,0.41472030,0.93842600,0.33417720,0.40279390,0.97872840,0.34025160,0.40154750,0.98776440,0.31456920,0.39574530,0.93288100,0.32847560,0.38290670,0.96916770,0.33106440,0.38781820,0.97548660,0.30602380,0.39283370,0.89355890,0.29101680,0.37799140,0.92677860,0.31776890,0.36760920,0.95526020,0.31562040,0.37424580,0.96328770,0.29843700,0.41881670,0.99131680,0.29037080,0.42426260,0.97870450,0.29745430,0.40925050,0.97460420,0.29510680,0.39939700,0.95811840,0.29394030,0.38974890,0.95217550,0.28804380,11,7
0.41433430,0.86628080,0.27353110,0.41433430,0.86628080,0.27353110,0.41433430,0.86628080,0.27353110,0.42153700,0.89009700,0.27721520,0.43338950,0.91150720,0.27957940,0.44088860,0.94278450,0.27938650,0.43087780,0.97409110,0.28549330,0.43023820,0.94572940,0.32874760,0.42198570,0.98081090,0.33918700,0.41878820,0.99003490,0.31721520,0.40972020,0.93919470,0.33373600,0.39811580,0.97971940,0.33888450,0.39716010,0.98910030,0.31331360,0.39081770,0.93372090,0.32773280,0.37820780,0.97002180,0.33112200,0.38296120,0.97754530,0.30638570,0.38834410,0.89417170,0.29048210,0.37322190,0.92765000,0.31675080,0.36239360,0.95604440,0.31641820,0.36792120,0.96603070,0.29988120,0.41471900,0.99184380,0.28961800,0.41984160,0.98056910,0.29721880,0.40457030,0.97695460,0.29309280,0.39446370,0.96108380,0.29302740,0.38336160,0.95712120,0.28746920,11,7
0.40911640,0.86720900,0.27267180,0.40911640,0.86720900,0.27267180,0.40911640,0.86720900,0.27267180,0.41627920,0.89108550,0.27602820,0.42805770,0.91256360,0.27813350,0.43547970,0.94385300,0.27748180,0.42532750,0.97522620,0.28298340,0.42449380,0.94756420,0.32671300,0.41628680,0.98270710,0.33698030,0.41310350,0.99234120,0.31518310,0.40393250,0.94110470,0.33162020,0.39243950,0.98175620,0.33595430,0.39142100,0.99151270,0.31052670,0.38508720,0.93552510,0.32553510,0.37246630,0.97174860,0.32963690,0.37677750,0.98036060,0.30517620,0.38296500,0.89536560,0.28892120,0.36759430,0.92926680,0.31449400,0.35624080,0.95743790,0.31554170,0.36056160,0.96895780,0.29965540,0.40917910,0.99308710,0.28665720,0.41404570,0.98343070,0.29492770,0.39843170,0.98044040,0.28956090,0.38818250,0.96488240,0.29061310,0.37572760,0.96220790,0.28564550,11,7
0.40404360,0.86808710,0.27191350,0.40404360,0.86808710,0.27191350,0.40404360,0.86808710,0.27191350,0.41116990,0.89201490,0.27496960,0.42288250,0.91355040,0.27684240,0.43024330,0.94484290,0.27577550,0.41996420,0.97626960,0.28070630,0.41889300,0.94927010,0.32485410,0.41073040,0.98444920,0.33503240,0.40756120,0.99456930,0.31345450,0.39828720,0.94288010,0.32966510,0.38689520,0.98361520,0.33344500,0.38578440,0.99393030,0.30824280,0.37950150,0.93720130,0.32348820,0.36685090,0.97330920,0.32843110,0.37071120,0.98308600,0.30433560,0.37773410,0.89648200,0.28747860,0.36211530,0.93076790,0.31237940,0.35031120,0.95867790,0.31468370,0.35349050,0.97153860,0.29957590,0.40383310,0.99423030,0.28394370,0.40839520,0.98629250,0.29292730,0.39239160,0.98408260,0.28654770,0.38199280,0.96871500,0.28858970,0.36823450,0.96694650,0.28429930,11,7
0.39908050,0.86892650,0.27123450,0.39908050,0.86892650,0.27123450,0.39908050,0.86892650,0.27123450,0.40617320,0.89289820,0.27401130,0.41781220,0.91449140,0.27566730,0.42505640,0.94578660,0.27403290,0.41467020,0.97727980,0.27826610,0.41340190,0.95087530,0.32313020,0.40541950,0.98604430,0.33348490,0.40222260,0.99687120,0.31225710,0.39275120,0.94455010,0.32783280,0.38127160,0.98526270,0.33159050,0.38014800,0.99606360,0.30659320,0.37402730,0.93877660,0.32155670,0.36113880,0.97458410,0.32787830,0.36457920,0.98558710,0.30425250,0.37261660,0.89753730,0.28612790,0.35675110,0.93217740,0.31037390,0.34426570,0.95955220,0.31465730,0.34640740,0.97361200,0.30046270,0.39860000,0.99537730,0.28100510,0.40282220,0.98955010,0.29136190,0.38647020,0.98746620,0.28429020,0.37576260,0.97270100,0.28720520,0.36062400,0.97119200,0.28421830,11,7
0.39570620,0.86881610,0.27203050,0.39570620,0.86881610,0.27203050,0.39570620,0.86881610,0.27203050,0.40283880,0.89278660,0.27471450,0.41447310,0.91438620,0.27631950,0.42170720,0.94566620,0.27437850,0.41131780,0.97721350,0.27817880,0.40976740,0.95107020,0.32351300,0.40205210,0.98617000,0.33429590,0.39887020,0.99784600,0.31352060,0.38905610,0.94483210,0.32806360,0.37761270,0.98552670,0.33211530,0.37646400,0.99709970,0.30746700,0.37037600,0.93906750,0.32165060,0.35738190,0.97452590,0.32953200,0.36041750,0.98689440,0.30653440,0.36918310,0.89759690,0.28648470,0.35318700,0.93244050,0.31035030,0.34025230,0.95923300,0.31655230,0.34141800,0.97443870,0.30346870,0.39536490,0.99546330,0.28057210,0.39923860,0.99163190,0.29226460,0.38245070,0.98999290,0.28455500,0.37141530,0.97565290,0.28824750,0.35498280,0.97425900,0.28650370,11,7
0.39227580,0.86875920,0.27275650,0.39227580,0.86875920,0.27275650,0.39227580,0.86875920,0.27275650,0.39944280,0.89272970,0.27534630,0.41106990,0.91433690,0.27690000,0.41829690,0.94559870,0.27466090,0.40790290,0.97719340,0.27803050,0.40605130,0.95132620,0.32381340,0.39858140,0.98635010,0.33500790,0.39543070,0.99885030,0.31471290,0.38528180,0.94517010,0.32820750,0.37386240,0.98584200,0.33254490,0.37267000,0.99822590,0.30829610,0.36664940,0.93940790,0.32165500,0.35355220,0.97445990,0.33104010,0.35617550,0.98816280,0.30875940,0.36568840,0.89770250,0.28676080,0.34955260,0.93274650,0.31023570,0.33624800,0.95888390,0.31820050,0.33645180,0.97509770,0.30633360,0.39206600,0.99558600,0.28007530,0.39559820,0.99375100,0.29315980,0.37831450,0.99268280,0.28487120,0.36695470,0.97865200,0.28939220,0.34926560,0.97716890,0.28891630,11,7
0.38880040,0.86874420,0.27342720,0.38880040,0.86874420,0.27342720,0.38880040,0.86874420,0.27342720,0.39599780,0.89271580,0.27592200,0.40752450,0.91438260,0.27739000,0.41455440,0.94564570,0.27460740,0.40400340,0.97724760,0.27736570,0.40227170,0.95162980,0.32404730,0.39532660,0.98653470,0.33593040,0.39215090,1.00023300,0.31642840,0.38144610,0.94555120,0.32828130,0.37022940,0.98627130,0.33269400,0.36907840,0.99913350,0.30869340,0.36286490,0.93978620,0.32158740,0.35013870,0.97474730,0.33178640,0.35260160,0.98914380,0.30992870,0.36214570,0.89784350,0.28697290,0.34586440,0.93308500,0.31004830,0.33233330,0.95886630,0.31875720,0.33247560,0.97525190,0.30712770,0.38820790,0.99571760,0.27898990,0.39190330,0.99681380,0.29454660,0.37452100,0.99446800,0.28503080,0.36294440,0.98126700,0.28961340,0.34526490,0.97766490,0.28973650,11,7
