RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36850780,0.84772070,0.34139800,0.36850780,0.84772070,0.34139800,0.36850780,0.84772070,0.34139800,0.37319890,0.87194280,0.34420140,0.38265800,0.89426670,0.34532940,0.38764120,0.92557420,0.34712870,0.37858760,0.95609340,0.35583540,0.37993290,0.92838260,0.39367180,0.36668740,0.96295960,0.39466020,0.36452860,0.95982230,0.37123230,0.36104900,0.91978890,0.40043190,0.34591820,0.95768460,0.39081260,0.34691680,0.95178350,0.36458140,0.34267400,0.91222040,0.39623420,0.32895030,0.94620590,0.38588750,0.33561270,0.94122480,0.36130480,0.34146040,0.87249760,0.36013330,0.32521190,0.90412290,0.38703090,0.31408220,0.93118260,0.38039520,0.32356140,0.93147550,0.36297270,0.36229600,0.97252920,0.36236530,0.37020920,0.94093100,0.36180160,0.35818750,0.93084650,0.35906970,0.34769220,0.92072840,0.36034110,0.33839300,0.91613850,0.36081680,11,0
0.36852550,0.84773600,0.34125660,0.36852550,0.84773600,0.34125660,0.36852550,0.84773600,0.34125660,0.37331370,0.87192320,0.34419340,0.38346790,0.89392300,0.34560780,0.38959170,0.92497630,0.34814300,0.38174410,0.95571950,0.35722410,0.37986660,0.92814770,0.39393250,0.36721350,0.96284160,0.39680160,0.36433990,0.96212650,0.37325170,0.36087550,0.91962710,0.40048170,0.34593800,0.95795290,0.39238450,0.34644900,0.95408480,0.36576350,0.34250280,0.91216870,0.39608230,0.32878510,0.94642690,0.38666900,0.33496740,0.94337140,0.36165000,0.34142860,0.87258380,0.35982570,0.32508760,0.90419470,0.38668410,0.31378300,0.93129890,0.38054420,0.32300750,0.93259320,0.36303090,0.36613860,0.97282880,0.36369940,0.36925180,0.94421270,0.36171660,0.35736700,0.93363550,0.35812240,0.34719990,0.92319670,0.35844230,0.33814640,0.91774010,0.35986130,11,0
0.36843610,0.84868810,0.34155810,0.36843610,0.84868810,0.34155810,0.36843610,0.84868810,0.34155810,0.37319580,0.87288010,0.34450180,0.38386400,0.89462640,0.34604790,0.39085430,0.92544540,0.34913900,0.38400730,0.95633080,0.35854130,0.37958320,0.92911880,0.39424640,0.36731330,0.96377310,0.39877710,0.36370030,0.96516590,0.37535970,0.36058480,0.92058220,0.40075320,0.34556820,0.95913600,0.39399580,0.34547830,0.95706710,0.36717020,0.34222900,0.91310650,0.39631270,0.32826090,0.94748240,0.38773350,0.33384490,0.94613270,0.36242530,0.34127410,0.87351470,0.36006040,0.32484270,0.90511540,0.38687570,0.31317530,0.93215940,0.38116470,0.32201880,0.93437050,0.36354680,0.36901240,0.97397180,0.36503270,0.36791310,0.94832440,0.36206660,0.35609520,0.93727160,0.35762110,0.34625400,0.92649200,0.35721000,0.33748580,0.92010370,0.35941400,11,0
0.36834400,0.84958150,0.34180990,0.36834400,0.84958150,0.34180990,0.36834400,0.84958150,0.34180990,0.37308110,0.87377630,0.34476730,0.38422900,0.89527020,0.34645200,0.39201980,0.92583630,0.35009160,0.38611950,0.95681480,0.35982360,0.37931080,0.93001490,0.39453190,0.36743330,0.96456630,0.40062430,0.36317400,0.96793400,0.37751830,0.36030190,0.92146570,0.40099140,0.34523560,0.96019980,0.39549250,0.34457160,0.95985160,0.36859760,0.34196180,0.91397880,0.39650510,0.32776730,0.94845270,0.38872870,0.33276830,0.94870840,0.36326440,0.34112090,0.87438930,0.36024750,0.32460380,0.90597740,0.38702490,0.31259540,0.93295500,0.38172110,0.32105230,0.93603660,0.36404430,0.37172520,0.97493710,0.36634870,0.36669760,0.95225500,0.36269110,0.35485100,0.94081630,0.35729460,0.34527810,0.92971750,0.35620820,0.33680030,0.92237960,0.35901110,11,0
0.36824990,0.85042810,0.34202240,0.36824990,0.85042810,0.34202240,0.36824990,0.85042810,0.34202240,0.37296910,0.87462410,0.34499860,0.38462150,0.89583560,0.34684060,0.39322880,0.92611200,0.35102270,0.38813630,0.95712770,0.36108650,0.37904700,0.93085160,0.39479460,0.36766750,0.96524460,0.40251630,0.36269480,0.97086870,0.37999940,0.36002520,0.92229250,0.40120280,0.34500990,0.96125390,0.39744650,0.34360180,0.96296140,0.37063230,0.34169990,0.91479910,0.39666750,0.32748090,0.94940300,0.38954000,0.33216790,0.95036980,0.36403310,0.34096900,0.87521930,0.36039680,0.32436970,0.90679290,0.38714050,0.31232380,0.93379280,0.38203850,0.32063330,0.93713500,0.36433920,0.37433730,0.97570030,0.36763200,0.36531620,0.95677270,0.36349110,0.35329320,0.94504360,0.35718620,0.34459640,0.93186960,0.35565360,0.33643460,0.92371590,0.35885360,11,0
0.36764140,0.85173730,0.34290440,0.36764140,0.85173730,0.34290440,0.36764140,0.85173730,0.34290440,0.37240920,0.87592530,0.34586770,0.38458980,0.89682310,0.34787160,0.39402760,0.92677580,0.35256210,0.38976820,0.95783480,0.36287640,0.37831940,0.93222630,0.39560080,0.36750890,0.96645270,0.40474880,0.36205180,0.97411610,0.38295760,0.35923210,0.92373230,0.40189980,0.34441860,0.96288410,0.39960710,0.34244400,0.96647070,0.37301510,0.34091580,0.91628200,0.39725800,0.32680450,0.95103480,0.39066060,0.33124020,0.95275800,0.36514850,0.34031080,0.87663830,0.36105490,0.32362580,0.90830710,0.38763220,0.31161800,0.93534610,0.38264920,0.31981850,0.93897240,0.36495500,0.37659250,0.97687340,0.36936670,0.36384260,0.96162930,0.36509810,0.35153340,0.94973190,0.35775200,0.34353920,0.93478920,0.35551540,0.33567020,0.92579540,0.35904410,11,0
0.36707220,0.85297870,0.34370670,0.36707220,0.85297870,0.34370670,0.36707220,0.85297870,0.34370670,0.37188600,0.87715830,0.34666380,0.38454820,0.89775100,0.34883480,0.39473470,0.92737380,0.35402720,0.39125070,0.95844200,0.36460140,0.37763430,0.93351850,0.39634880,0.36735810,0.96753120,0.40681470,0.36153090,0.97702060,0.38585380,0.35848500,0.92508510,0.40254030,0.34386630,0.96436540,0.40158290,0.34139890,0.96967730,0.37532280,0.34017830,0.91767670,0.39779450,0.32616400,0.95256350,0.39171810,0.33034330,0.95507320,0.36622810,0.33969480,0.87798010,0.36164770,0.32292800,0.90973350,0.38807200,0.31093750,0.93680410,0.38322070,0.31901260,0.94075070,0.36553730,0.37867480,0.97789220,0.37106130,0.36257480,0.96614390,0.36691450,0.34991020,0.95417750,0.35849790,0.34250170,0.93769710,0.35540320,0.33492110,0.92784850,0.35918910,11,0
0.36653460,0.85416510,0.34444530,0.36653460,0.85416510,0.34444530,0.36653460,0.85416510,0.34444530,0.37139250,0.87833610,0.34740130,0.38419780,0.89883130,0.34965380,0.39461190,0.92833140,0.35508750,0.39125180,0.95937680,0.36576860,0.37698360,0.93474440,0.39704970,0.36697910,0.96879420,0.40765710,0.36112860,0.97883340,0.38696040,0.35777540,0.92636790,0.40313520,0.34343860,0.96576330,0.40300770,0.34038570,0.97295890,0.37726280,0.33947890,0.91900040,0.39828750,0.32540240,0.95412310,0.39396780,0.32908870,0.95798110,0.36857030,0.33911300,0.87925930,0.36218810,0.32226760,0.91108910,0.38847020,0.31024680,0.93825120,0.38424620,0.31799370,0.94272230,0.36654090,0.37888320,0.97897420,0.37218310,0.36184080,0.96862410,0.36763810,0.34801250,0.95919910,0.35860090,0.34100020,0.94150160,0.35618140,0.33386720,0.93019600,0.35940170,11,0
0.36654260,0.85481360,0.34456520,0.36654260,0.85481360,0.34456520,0.36654260,0.85481360,0.34456520,0.37137420,0.87899370,0.34748870,0.38431020,0.89939820,0.34981690,0.39493190,0.92877820,0.35549350,0.39169610,0.95980790,0.36625850,0.37662490,0.93553500,0.39702290,0.36685730,0.96953240,0.40801200,0.36090860,0.98035380,0.38774180,0.35737990,0.92716870,0.40300520,0.34320670,0.96661690,0.40372760,0.33962120,0.97555650,0.37860540,0.33911750,0.91978280,0.39805780,0.32492350,0.95501020,0.39523430,0.32814310,0.96013380,0.36999760,0.33899860,0.87994620,0.36206220,0.32197290,0.91184030,0.38814950,0.30985000,0.93903330,0.38444860,0.31727640,0.94402710,0.36674560,0.37953700,0.97955910,0.37260180,0.36124120,0.97105560,0.36795490,0.34643030,0.96362840,0.35842810,0.33983690,0.94464740,0.35620040,0.33315380,0.93194700,0.35888250,11,0
0.36652720,0.85546930,0.34469260,0.36652720,0.85546930,0.34469260,0.36652720,0.85546930,0.34469260,0.37133740,0.87965690,0.34758960,0.38443220,0.89994930,0.35000790,0.39523390,0.92928310,0.35558300,0.39178900,0.96037090,0.36611250,0.37626720,0.93631550,0.39702250,0.36662000,0.97057980,0.40726410,0.36065540,0.98169960,0.38716090,0.35698560,0.92796100,0.40290230,0.34292790,0.96743950,0.40407870,0.33913060,0.97728530,0.37932910,0.33875580,0.92056110,0.39785660,0.32443970,0.95584850,0.39734940,0.32683670,0.96296130,0.37250650,0.33886990,0.88063960,0.36195510,0.32167540,0.91259290,0.38785850,0.30893160,0.93967730,0.38581980,0.31532270,0.94632910,0.36825870,0.37965090,0.98021550,0.37219910,0.36053550,0.97324070,0.36699840,0.34534900,0.96670530,0.35823030,0.33809390,0.94905130,0.35679890,0.33122910,0.93577850,0.35848530,11,0
