RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.03805214,0.89111910,0.28293900,0.03805214,0.89111910,0.28293900,0.03805214,0.89111910,0.28293900,0.01477886,0.89666080,0.29070460,-0.00893455,0.89958820,0.29649920,-0.03687163,0.90472380,0.31158840,-0.05276338,0.92033960,0.33651250,-0.03592566,0.95259370,0.30196620,-0.06060265,0.96095440,0.32896510,-0.05389646,0.93813470,0.33247950,-0.01826607,0.96152450,0.31181300,-0.04460162,0.96250150,0.34511320,-0.03754014,0.93617830,0.34499800,-0.00208953,0.95973870,0.32440010,-0.02540658,0.95621010,0.35493070,-0.02290161,0.93024260,0.35169130,0.03168072,0.91844090,0.31382030,0.01390614,0.95277700,0.33715730,-0.00662424,0.95006040,0.35939990,-0.00786226,0.93073480,0.35403880,-0.05203733,0.93284510,0.35740180,-0.03906355,0.92970370,0.31835620,-0.02438638,0.92830190,0.32560080,-0.01029298,0.92785630,0.33126920,0.00202463,0.92726800,0.33501050,11,7
0.04038268,0.89035590,0.28412190,0.04038268,0.89035590,0.28412190,0.04038268,0.89035590,0.28412190,0.01719518,0.89619200,0.29192840,-0.00648714,0.89937960,0.29771290,-0.03435360,0.90487300,0.31280660,-0.05007915,0.92089130,0.33758020,-0.03300481,0.95268100,0.30266220,-0.05740454,0.96164090,0.32972080,-0.05091228,0.93880120,0.33349800,-0.01522351,0.96160760,0.31229130,-0.04129334,0.96326740,0.34577300,-0.03451671,0.93686970,0.34594830,0.00100432,0.95986940,0.32481890,-0.02210830,0.95751390,0.35561690,-0.02010806,0.93145290,0.35280520,0.03439031,0.91815850,0.31464790,0.01701119,0.95295980,0.33759040,-0.00314297,0.95179960,0.36030770,-0.00522793,0.93238500,0.35556670,-0.04921301,0.93364550,0.35831330,-0.03626582,0.93004160,0.31938020,-0.02160055,0.92868700,0.32651830,-0.00773044,0.92848500,0.33231810,0.00417764,0.92809590,0.33646210,11,7
0.04362169,0.88966300,0.28486040,0.04362169,0.88966300,0.28486040,0.04362169,0.88966300,0.28486040,0.02055989,0.89605600,0.29260270,-0.00306626,0.89973110,0.29832750,-0.03081708,0.90600940,0.31332790,-0.04627469,0.92296250,0.33764390,-0.02883112,0.95352450,0.30177740,-0.05288447,0.96370830,0.32871290,-0.04672121,0.94090140,0.33317650,-0.01087696,0.96252140,0.31101220,-0.03664429,0.96563200,0.34462450,-0.03030066,0.93914440,0.34559880,0.00540176,0.96097460,0.32349880,-0.01746735,0.96043960,0.35456290,-0.01610013,0.93425480,0.35267290,0.03817730,0.91851660,0.31450090,0.02139333,0.95427020,0.33639830,0.00168420,0.95509850,0.35951700,-0.00129131,0.93558690,0.35574960,-0.04519077,0.93633620,0.35797240,-0.03231840,0.93147920,0.31923560,-0.01768038,0.93021550,0.32630340,-0.00399217,0.93026570,0.33219810,0.00758907,0.93012960,0.33669170,11,7
0.04659584,0.88900490,0.28555490,0.04659584,0.88900490,0.28555490,0.04659584,0.88900490,0.28555490,0.02365495,0.89589840,0.29322670,0.00008396,0.90000970,0.29888170,-0.02755651,0.90698920,0.31377570,-0.04277096,0.92476370,0.33765450,-0.02499489,0.95420220,0.30098120,-0.04871516,0.96548580,0.32777340,-0.04285289,0.94272870,0.33285420,-0.00688407,0.96324520,0.30985810,-0.03235344,0.96767310,0.34354970,-0.02641714,0.94112820,0.34525690,0.00944336,0.96186420,0.32230050,-0.01315990,0.96298940,0.35354280,-0.01238304,0.93673330,0.35249850,0.04165944,0.91876980,0.31437180,0.02542432,0.95534380,0.33530690,0.00620759,0.95798790,0.35870210,0.00241775,0.93846420,0.35583670,-0.04149257,0.93867810,0.35760530,-0.02868180,0.93271430,0.31908980,-0.01408004,0.93152780,0.32610120,-0.00054497,0.93181370,0.33206840,0.01077517,0.93196390,0.33686980,11,7
0.04951017,0.88833510,0.28625420,0.04951017,0.88833510,0.28625420,0.04951017,0.88833510,0.28625420,0.02669274,0.89570810,0.29384790,0.00315440,0.90021840,0.29933220,-0.02442719,0.90777620,0.31405210,-0.03936727,0.92627680,0.33754960,-0.02123203,0.95477380,0.30022980,-0.04451668,0.96711440,0.32693810,-0.03900869,0.94439860,0.33257020,-0.00296959,0.96384450,0.30876110,-0.02815767,0.96963300,0.34245790,-0.02273062,0.94305210,0.34506370,0.01340735,0.96261560,0.32115430,-0.00889990,0.96605100,0.35244070,-0.00901455,0.93976340,0.35261700,0.04507600,0.91894140,0.31425990,0.02938099,0.95626930,0.33425540,0.01091716,0.96211630,0.35767570,0.00578380,0.94271980,0.35659110,-0.03781548,0.94065620,0.35714810,-0.02513312,0.93378960,0.31895100,-0.01067472,0.93258320,0.32618610,0.00249292,0.93350240,0.33236580,0.01331910,0.93420980,0.33808050,11,7
0.05342795,0.88771140,0.28627850,0.05342795,0.88771140,0.28627850,0.05342795,0.88771140,0.28627850,0.03077699,0.89573120,0.29371330,0.00730194,0.90078090,0.29899500,-0.02016317,0.90918980,0.31346910,-0.03473213,0.92873500,0.33634570,-0.01620030,0.95573700,0.29803880,-0.03896157,0.96952890,0.32448690,-0.03387524,0.94693420,0.33094220,0.00225505,0.96485520,0.30609100,-0.02256430,0.97248790,0.33969390,-0.01772388,0.94593880,0.34350290,0.01869464,0.96386520,0.31842230,-0.00318686,0.96998700,0.34959890,-0.00424629,0.94377460,0.35129200,0.04964855,0.91946790,0.31307350,0.03465798,0.95779660,0.33166690,0.01715427,0.96692330,0.35477390,0.01074935,0.94789590,0.35560230,-0.03283779,0.94379440,0.35539570,-0.02035537,0.93553010,0.31761090,-0.00602503,0.93436980,0.32504740,0.00684603,0.93594620,0.33135690,0.01735056,0.93735890,0.33779110,11,7
0.05721863,0.88707600,0.28636300,0.05721863,0.88707600,0.28636300,0.05721863,0.88707600,0.28636300,0.03473689,0.89570670,0.29362550,0.01132970,0.90126010,0.29869850,-0.01601263,0.91046880,0.31291600,-0.03021744,0.93098050,0.33516690,-0.01132513,0.95652670,0.29596690,-0.03356089,0.97168710,0.32211120,-0.02887566,0.94924300,0.32934840,0.00731429,0.96566480,0.30355930,-0.01711749,0.97504600,0.33700330,-0.01283444,0.94859000,0.34195590,0.02381777,0.96489400,0.31582080,0.00242922,0.97352650,0.34674440,0.00048939,0.94749650,0.34986800,0.05408094,0.91987030,0.31196420,0.03977647,0.95909020,0.32918900,0.02333505,0.97112810,0.35173630,0.01582360,0.95266860,0.35430050,-0.02799203,0.94666140,0.35367190,-0.01570991,0.93709590,0.31632240,-0.00149907,0.93600360,0.32394470,0.01113983,0.93822150,0.33031610,0.02147267,0.94039330,0.33729310,11,7
0.06090975,0.88643120,0.28649500,0.06090975,0.88643120,0.28649500,0.06090975,0.88643120,0.28649500,0.03860020,0.89564290,0.29357220,0.01526234,0.90166790,0.29842170,-0.01194629,0.91155360,0.31243970,-0.02575622,0.93291310,0.33413450,-0.00657281,0.95716940,0.29398470,-0.02829886,0.97375990,0.31968530,-0.02408904,0.95152910,0.32781760,0.01224313,0.96630390,0.30113300,-0.01190200,0.97802790,0.33404160,-0.00845259,0.95181530,0.34065860,0.02881158,0.96573610,0.31331770,0.00788821,0.97834830,0.34317410,0.00455378,0.95290110,0.34886630,0.05840360,0.92016860,0.31091300,0.04477049,0.96018690,0.32679340,0.02978530,0.97595420,0.34801720,0.02082837,0.95870430,0.35311290,-0.02318148,0.94914040,0.35211580,-0.01128304,0.93854460,0.31524880,0.00250544,0.93773120,0.32354520,0.01468955,0.94116520,0.33039290,0.02502640,0.94396510,0.33771880,11,7
0.06281675,0.88332490,0.29142460,0.06281675,0.88332490,0.29142460,0.06281675,0.88332490,0.29142460,0.04063410,0.89283200,0.29851000,0.01733700,0.89908680,0.30326370,-0.00978820,0.90918730,0.31729020,-0.02332104,0.93081400,0.33889480,-0.00397250,0.95477160,0.29838480,-0.02526965,0.97205470,0.32398800,-0.02140403,0.94989950,0.33248940,0.01496763,0.96382420,0.30530580,-0.00891370,0.97691080,0.33789170,-0.00611700,0.95088950,0.34549800,0.03160146,0.96326130,0.31740140,0.01121047,0.97867880,0.34629370,0.00674686,0.95386460,0.35373760,0.06076189,0.91739620,0.31541730,0.04758791,0.95773990,0.33085580,0.03403930,0.97611670,0.35091440,0.02399701,0.96013740,0.35781120,-0.02048983,0.94717650,0.35671420,-0.00889316,0.93646660,0.32009570,0.00451347,0.93587420,0.32897990,0.01635999,0.94042840,0.33616520,0.02683377,0.94379820,0.34378160,11,7
0.06492883,0.88031480,0.29613350,0.06492883,0.88031480,0.29613350,0.06492883,0.88031480,0.29613350,0.04288451,0.89014660,0.30320770,0.01963615,0.89665540,0.30785780,-0.00739264,0.90702490,0.32187410,-0.02062666,0.92897430,0.34333800,-0.00110981,0.95251770,0.30242080,-0.02195247,0.97054370,0.32788520,-0.01843381,0.94849070,0.33679290,0.01796040,0.96148370,0.30909270,-0.00560959,0.97595020,0.34131990,-0.00344726,0.95017800,0.34991680,0.03466133,0.96093600,0.32109620,0.01491093,0.97893980,0.34891770,0.00941573,0.95488540,0.35798790,0.06335598,0.91475890,0.31962530,0.05067438,0.95545720,0.33453640,0.03862131,0.97611460,0.35328760,0.02769188,0.96155430,0.36179040,-0.01752423,0.94550440,0.36095640,-0.00623448,0.93459330,0.32460260,0.00682331,0.93426610,0.33402200,0.01844913,0.93991760,0.34137170,0.02917212,0.94392010,0.34919320,11,7
