RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35872740,0.83773890,0.27596320,0.35872740,0.83773890,0.27596320,0.35872740,0.83773890,0.27596320,0.34306080,0.85135660,0.29016790,0.32280700,0.86039540,0.30077720,0.30515140,0.86902460,0.32624010,0.29592370,0.88735820,0.35262840,0.30879640,0.91904870,0.29853520,0.30102690,0.95081770,0.31692420,0.30187510,0.94632060,0.34052770,0.32952850,0.92578470,0.29487690,0.32262690,0.95976410,0.31939590,0.32225360,0.95311670,0.34582430,0.34971240,0.92405820,0.29847380,0.34577680,0.95623390,0.31939020,0.34158570,0.95031820,0.34465920,0.37071020,0.87429340,0.29211590,0.36950310,0.91772940,0.30441930,0.36893050,0.94326470,0.32088840,0.36327620,0.94042000,0.33995900,0.29886640,0.90288150,0.37116610,0.30650660,0.92871430,0.35314250,0.32290340,0.93340960,0.36074140,0.33794040,0.92985450,0.35689360,0.35396620,0.92301300,0.34902350,11,4
0.35868980,0.84188140,0.27549370,0.35868980,0.84188140,0.27549370,0.35868980,0.84188140,0.27549370,0.34299390,0.85557850,0.28958940,0.32261220,0.86461960,0.29994890,0.30475410,0.87315470,0.32530200,0.29502640,0.89131170,0.35163270,0.30879240,0.92335000,0.29756200,0.30068870,0.95567030,0.31481080,0.30102840,0.95290550,0.33869190,0.32954570,0.93004330,0.29394540,0.32251400,0.96509670,0.31686340,0.32167380,0.96066800,0.34374220,0.34971500,0.92830500,0.29761700,0.34592830,0.96085510,0.31797410,0.34161300,0.95569490,0.34338730,0.37066740,0.87848650,0.29153540,0.36947720,0.92197460,0.30365500,0.36898690,0.94779440,0.31967710,0.36339250,0.94570700,0.33886290,0.29745180,0.90674340,0.37032120,0.30537520,0.93653830,0.35296730,0.32195820,0.94246900,0.36047610,0.33773050,0.93577090,0.35641400,0.35392690,0.92901470,0.34904210,11,4
0.35862990,0.84591420,0.27505450,0.35862990,0.84591420,0.27505450,0.35862990,0.84591420,0.27505450,0.34291210,0.85968820,0.28905050,0.32249860,0.86878710,0.29929630,0.30466510,0.87725980,0.32468750,0.29467940,0.89525240,0.35103460,0.30877290,0.92753380,0.29665120,0.30025710,0.96004240,0.31333850,0.30032760,0.95802410,0.33729660,0.32954440,0.93418670,0.29306490,0.32236240,0.96964720,0.31529970,0.32127890,0.96625580,0.34232030,0.34970130,0.93243860,0.29679960,0.34587770,0.96532740,0.31659760,0.34145190,0.96091770,0.34213280,0.37060850,0.88256980,0.29097960,0.36943880,0.92610860,0.30291820,0.36944350,0.95237110,0.31821170,0.36402930,0.95139180,0.33753730,0.29667020,0.91055600,0.36987900,0.30458570,0.94237740,0.35238360,0.32139490,0.94889490,0.35992410,0.33740380,0.94168440,0.35611230,0.35429740,0.93574880,0.34904510,11,4
0.35782390,0.84929940,0.27506520,0.35782390,0.84929940,0.27506520,0.35782390,0.84929940,0.27506520,0.34211050,0.86317290,0.28896760,0.32166230,0.87239090,0.29903590,0.30376340,0.88075480,0.32441730,0.29347630,0.89848410,0.35082680,0.30842850,0.93126320,0.29641730,0.29963290,0.96398650,0.31253020,0.29924760,0.96282200,0.33654190,0.32927440,0.93776440,0.29298820,0.32208160,0.97364230,0.31453960,0.32059440,0.97130630,0.34165270,0.34939050,0.93585990,0.29686400,0.34567490,0.96900640,0.31624850,0.34100510,0.96524030,0.34184330,0.36996350,0.88584300,0.29112520,0.36903570,0.92937370,0.30311440,0.36959700,0.95593040,0.31788060,0.36429260,0.95591050,0.33726130,0.29502290,0.91353460,0.36991520,0.30317880,0.94797300,0.35249870,0.32032020,0.95483280,0.36008800,0.33660450,0.94667400,0.35659660,0.35421580,0.94134620,0.34983850,11,4
0.35703770,0.85283330,0.27505410,0.35703770,0.85283330,0.27505410,0.35703770,0.85283330,0.27505410,0.34133310,0.86680700,0.28886570,0.32084470,0.87613520,0.29874930,0.30287120,0.88438400,0.32411560,0.29226530,0.90184990,0.35057440,0.30808830,0.93512930,0.29615400,0.29902650,0.96810290,0.31159470,0.29816540,0.96792980,0.33562170,0.32900180,0.94148470,0.29286620,0.32182030,0.97782620,0.31363010,0.31994700,0.97664490,0.34079410,0.34907810,0.93943400,0.29687120,0.34549120,0.97284520,0.31582060,0.34060450,0.96973470,0.34146290,0.36933200,0.88927660,0.29122390,0.36863560,0.93280310,0.30324390,0.36972880,0.95961520,0.31751010,0.36456930,0.96050430,0.33690960,0.29335900,0.91665210,0.36988700,0.30172760,0.95401190,0.35247890,0.31927960,0.96116920,0.36006500,0.33586760,0.95186290,0.35695130,0.35422550,0.94704450,0.35046260,11,4
0.35630880,0.85624420,0.27503130,0.35630880,0.85624420,0.27503130,0.35630880,0.85624420,0.27503130,0.34061530,0.87031260,0.28875920,0.32008810,0.87974010,0.29846640,0.30189500,0.88811560,0.32363380,0.29093110,0.90558400,0.34994460,0.30777090,0.93884480,0.29589030,0.29825270,0.97194950,0.31076560,0.29690700,0.97274070,0.33475790,0.32874370,0.94506660,0.29272640,0.32166670,0.98131080,0.31369510,0.31946190,0.98135830,0.34085990,0.34878290,0.94288420,0.29684620,0.34531380,0.97648670,0.31547670,0.34025170,0.97455430,0.34120060,0.36874460,0.89259970,0.29129030,0.36826000,0.93612410,0.30332820,0.36979200,0.96317610,0.31709240,0.36482320,0.96501610,0.33647480,0.29153410,0.92028360,0.36935690,0.30013590,0.95987180,0.35249290,0.31838500,0.96762310,0.36139020,0.33511090,0.95809600,0.35806570,0.35431790,0.95278860,0.35103400,11,4
0.35701020,0.85955890,0.27533430,0.35701020,0.85955890,0.27533430,0.35701020,0.85955890,0.27533430,0.34128640,0.87369490,0.28895770,0.32068860,0.88319130,0.29844580,0.30223340,0.89160950,0.32340730,0.29083810,0.90900190,0.34958480,0.30876490,0.94239760,0.29592650,0.29876050,0.97563580,0.31017180,0.29685310,0.97742170,0.33407240,0.32979600,0.94850770,0.29293740,0.32273600,0.98477980,0.31386360,0.32015190,0.98605880,0.34096480,0.34978960,0.94620910,0.29721230,0.34638290,0.97999660,0.31551680,0.34110950,0.97912900,0.34125620,0.36951720,0.89582280,0.29174280,0.36917730,0.93933250,0.30383840,0.37109650,0.96658960,0.31714180,0.36629560,0.96931810,0.33646170,0.29089420,0.92355880,0.36911370,0.29965880,0.96566300,0.35263110,0.31863270,0.97406550,0.36253240,0.33557560,0.96404190,0.35924210,0.35566150,0.95832550,0.35188640,11,4
0.35761020,0.86285110,0.27559790,0.35761020,0.86285110,0.27559790,0.35761020,0.86285110,0.27559790,0.34186230,0.87705490,0.28912250,0.32119750,0.88661690,0.29839660,0.30250600,0.89505490,0.32317500,0.29069080,0.91235060,0.34923010,0.30965120,0.94591980,0.29593020,0.29919340,0.97930330,0.30949390,0.29672380,0.98211540,0.33324380,0.33073510,0.95192280,0.29310010,0.32369590,0.98830960,0.31383330,0.32076570,0.99083330,0.34081170,0.35068490,0.94951490,0.29751720,0.34735710,0.98349870,0.31546940,0.34190460,0.98364560,0.34118580,0.37018760,0.89903160,0.29213600,0.36998780,0.94252980,0.30427610,0.37230040,0.96997740,0.31711720,0.36770050,0.97356980,0.33634450,0.29020740,0.92675640,0.36886470,0.29906590,0.97153030,0.35255790,0.31882570,0.98059920,0.36323510,0.33601780,0.96992440,0.36012800,0.35700030,0.96384140,0.35255280,11,4
0.35811950,0.86597000,0.27582490,0.35811950,0.86597000,0.27582490,0.35811950,0.86597000,0.27582490,0.34235260,0.88023870,0.28925890,0.32167480,0.88989290,0.29840760,0.30272290,0.89865270,0.32287450,0.29080220,0.91625670,0.34867390,0.31042950,0.94925230,0.29591490,0.29953780,0.98250680,0.30945390,0.29669600,0.98572230,0.33311090,0.33155990,0.95515600,0.29322650,0.32460870,0.99137430,0.31428190,0.32148860,0.99429570,0.34119880,0.35146890,0.95264860,0.29777080,0.34833750,0.98677660,0.31548320,0.34275170,0.98752920,0.34116030,0.37076320,0.90207640,0.29247420,0.37069370,0.94556530,0.30464890,0.37306350,0.97327720,0.31689830,0.36863490,0.97786000,0.33595450,0.29019060,0.93078430,0.36821490,0.29874030,0.97584200,0.35282810,0.31927630,0.98512700,0.36405380,0.33656540,0.97478030,0.36067770,0.35799100,0.96944070,0.35291530,11,4
0.35916640,0.86927860,0.27807490,0.35916640,0.86927860,0.27807490,0.35916640,0.86927860,0.27807490,0.34342060,0.88362460,0.29145100,0.32274840,0.89336020,0.30052580,0.30364770,0.90241660,0.32476800,0.29166760,0.92029950,0.35034720,0.31172270,0.95275960,0.29792170,0.30041370,0.98597090,0.31122250,0.29724250,0.98980930,0.33474430,0.33287910,0.95858550,0.29526830,0.32604990,0.99477590,0.31641150,0.32283290,0.99836680,0.34323580,0.35276960,0.95601690,0.29985930,0.34986550,0.99034210,0.31722590,0.34426850,0.99182010,0.34286900,0.37189970,0.90536930,0.29468970,0.37195510,0.94887890,0.30679030,0.37444870,0.97686310,0.31837820,0.37028370,0.98244170,0.33722720,0.29093520,0.93494940,0.36979250,0.29901360,0.98083730,0.35491690,0.32044190,0.99049260,0.36655090,0.33790050,0.98017370,0.36300720,0.35980030,0.97540870,0.35490430,11,4
