RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33359370,0.82485370,0.35365530,0.33359370,0.82485370,0.35365530,0.33359370,0.82485370,0.35365530,0.33366380,0.84730800,0.34286280,0.33144560,0.86920390,0.33243800,0.32767760,0.90034640,0.32687960,0.33323820,0.93131300,0.33720410,0.37661680,0.90544440,0.32070110,0.36820880,0.94120020,0.32635490,0.34809860,0.92857650,0.32818410,0.38425810,0.90274200,0.34103900,0.36635260,0.94047880,0.34599850,0.34427740,0.92496350,0.34682780,0.38086130,0.89968750,0.36089910,0.35733190,0.92951230,0.36501280,0.33559770,0.91628810,0.35946830,0.34936460,0.85772630,0.37310880,0.37253770,0.89533670,0.38013490,0.35188540,0.91718510,0.37863400,0.33521290,0.90975140,0.37070450,0.34069940,0.94369260,0.35652050,0.35264310,0.90736100,0.32493990,0.34800770,0.90142610,0.34118770,0.34128350,0.89408080,0.35274380,0.33688320,0.89029160,0.36168040,7,6
0.33282460,0.82505680,0.35399510,0.33282460,0.82505680,0.35399510,0.33282460,0.82505680,0.35399510,0.33270320,0.84747430,0.34312670,0.33029640,0.86930580,0.33260910,0.32616270,0.90037580,0.32690690,0.33118580,0.93143340,0.33723370,0.37508600,0.90613990,0.32126360,0.36623920,0.94182450,0.32669290,0.34624180,0.92899710,0.32832990,0.38252760,0.90361280,0.34169790,0.36402290,0.94110120,0.34633090,0.34218900,0.92523840,0.34693950,0.37894350,0.90057580,0.36152760,0.35506840,0.93016860,0.36531080,0.33358520,0.91664430,0.35951750,0.34790240,0.85821320,0.37351640,0.37045890,0.89617070,0.38068060,0.34964570,0.91784760,0.37893530,0.33314730,0.91021900,0.37082890,0.33822480,0.94405570,0.35655140,0.35104530,0.90781950,0.32521360,0.34635140,0.90174630,0.34141400,0.33965230,0.89450280,0.35291010,0.33522080,0.89075740,0.36189260,7,6
0.33206920,0.82527860,0.35431080,0.33206920,0.82527860,0.35431080,0.33206920,0.82527860,0.35431080,0.33175260,0.84765780,0.34336770,0.32917220,0.86937020,0.33264670,0.32464770,0.90033050,0.32665220,0.32913460,0.93143710,0.33707810,0.37354300,0.90685140,0.32178940,0.36418340,0.94243370,0.32702710,0.34433100,0.92935870,0.32845700,0.38078810,0.90449480,0.34231450,0.36183770,0.94180200,0.34659570,0.34020220,0.92566380,0.34702580,0.37702340,0.90146950,0.36211260,0.35290690,0.93090900,0.36554500,0.33151900,0.91728530,0.35963350,0.34645310,0.85870750,0.37389090,0.36838610,0.89700450,0.38118330,0.34754440,0.91863510,0.37921730,0.33106110,0.91102100,0.37106690,0.33572190,0.94422840,0.35644390,0.34943770,0.90823640,0.32544910,0.34473490,0.90220890,0.34163510,0.33762230,0.89511570,0.35315480,0.33308290,0.89152590,0.36219210,7,6
0.33085730,0.82497050,0.35479350,0.33085730,0.82497050,0.35479350,0.33085730,0.82497050,0.35479350,0.33064830,0.84736970,0.34388890,0.32818990,0.86905590,0.33308640,0.32368070,0.89999450,0.32696930,0.32799880,0.93103460,0.33766130,0.37262250,0.90667190,0.32297560,0.36318960,0.94223930,0.32818280,0.34331990,0.92916020,0.32930100,0.37959940,0.90428850,0.34359030,0.36065640,0.94162150,0.34767420,0.33902470,0.92547310,0.34780090,0.37557820,0.90121970,0.36333120,0.35157510,0.93077920,0.36651950,0.33013940,0.91733870,0.36036640,0.34492560,0.85838590,0.37462440,0.36669680,0.89670480,0.38227760,0.34608850,0.91854350,0.38015920,0.32955880,0.91117350,0.37187910,0.33426170,0.94380370,0.35714890,0.34846880,0.90804650,0.32630510,0.34364660,0.90202980,0.34243560,0.33604150,0.89510820,0.35390990,0.33134310,0.89167170,0.36296790,7,6
0.32969500,0.82472040,0.35524510,0.32969500,0.82472040,0.35524510,0.32969500,0.82472040,0.35524510,0.32956240,0.84713540,0.34437180,0.32719660,0.86879340,0.33349240,0.32266680,0.89970540,0.32725720,0.32677900,0.93068550,0.33820130,0.37163310,0.90658690,0.32408590,0.36208790,0.94213030,0.32925280,0.34222080,0.92902490,0.33007200,0.37835200,0.90419190,0.34478490,0.35936900,0.94152610,0.34866750,0.33776690,0.92533830,0.34850450,0.37408690,0.90108200,0.36446800,0.35015920,0.93072740,0.36741590,0.32870150,0.91743320,0.36102630,0.34341340,0.85814510,0.37530410,0.36497620,0.89651350,0.38329230,0.34456730,0.91852370,0.38102390,0.32801050,0.91136430,0.37261420,0.33271270,0.94344340,0.35779900,0.34743510,0.90792480,0.32709390,0.34250630,0.90191100,0.34317210,0.33444400,0.89515470,0.35459140,0.32960380,0.89186140,0.36366920,7,6
0.32851220,0.82451310,0.35569210,0.32851220,0.82451310,0.35569210,0.32851220,0.82451310,0.35569210,0.32842970,0.84694080,0.34484440,0.32613810,0.86855550,0.33386360,0.32150680,0.89942450,0.32749100,0.32533100,0.93033800,0.33872400,0.37051620,0.90659140,0.32518540,0.36074810,0.94207190,0.33036680,0.34092480,0.92888300,0.33082580,0.37697150,0.90419880,0.34596830,0.35768350,0.94139450,0.34967230,0.33615790,0.92511190,0.34917630,0.37246010,0.90104690,0.36558980,0.34834690,0.93056700,0.36827140,0.32706810,0.91715280,0.36154330,0.34182560,0.85796980,0.37596970,0.36312110,0.89641740,0.38428690,0.34270390,0.91839930,0.38182620,0.32628570,0.91122780,0.37315910,0.33092780,0.94297030,0.35850140,0.34627020,0.90781780,0.32783220,0.34103780,0.90170910,0.34386320,0.33303910,0.89492490,0.35514170,0.32805260,0.89176320,0.36416350,7,6
0.32734890,0.82417050,0.35534240,0.32734890,0.82417050,0.35534240,0.32734890,0.82417050,0.35534240,0.32729580,0.84660140,0.34450130,0.32505040,0.86818110,0.33344220,0.32042850,0.89903340,0.32698290,0.32434430,0.92986560,0.33840620,0.36948240,0.90615320,0.32475760,0.35981280,0.94164220,0.33006450,0.33995440,0.92850520,0.33049090,0.37598190,0.90373860,0.34552420,0.35671010,0.94093440,0.34931050,0.33514830,0.92469900,0.34883560,0.37151010,0.90059220,0.36515560,0.34747190,0.93016560,0.36792140,0.32616780,0.91678540,0.36120590,0.34079410,0.85758810,0.37559720,0.36220490,0.89598040,0.38387390,0.34190300,0.91808090,0.38152390,0.32543210,0.91101400,0.37287100,0.32999480,0.94236680,0.35825150,0.34524130,0.90743590,0.32742300,0.33993410,0.90128420,0.34348990,0.33209510,0.89455690,0.35476540,0.32708260,0.89156620,0.36381740,7,6
0.32622320,0.82387230,0.35504480,0.32622320,0.82387230,0.35504480,0.32622320,0.82387230,0.35504480,0.32618540,0.84630510,0.34420750,0.32397280,0.86784630,0.33306710,0.31933370,0.89867630,0.32651400,0.32329240,0.92943450,0.33812030,0.36842430,0.90580540,0.32442030,0.35880940,0.94129340,0.32983240,0.33892960,0.92818710,0.33020880,0.37494680,0.90337890,0.34517830,0.35565290,0.94055780,0.34901800,0.33407520,0.92434360,0.34854340,0.37049580,0.90023510,0.36481480,0.34650810,0.92984440,0.36763510,0.32519380,0.91648380,0.36091290,0.33973720,0.85726910,0.37528820,0.36120820,0.89563230,0.38354400,0.34100870,0.91783550,0.38128140,0.32449690,0.91086270,0.37262990,0.32895740,0.94182500,0.35803080,0.34418400,0.90711900,0.32707820,0.33880310,0.90092230,0.34317470,0.33109480,0.89425710,0.35444220,0.32605050,0.89143150,0.36352370,7,6
0.32517540,0.82361570,0.35479340,0.32517540,0.82361570,0.35479340,0.32517540,0.82361570,0.35479340,0.32514380,0.84604940,0.34395790,0.32295430,0.86755230,0.33273930,0.31820240,0.89835240,0.32612700,0.32202940,0.92918360,0.33758320,0.36740350,0.90552950,0.32415440,0.35750600,0.94092980,0.32963130,0.33773000,0.92766640,0.32997000,0.37393530,0.90309790,0.34490890,0.35448580,0.94019290,0.34877430,0.33297850,0.92388570,0.34828800,0.36949250,0.89995480,0.36454740,0.34537130,0.92945280,0.36739590,0.32423360,0.91586760,0.36056720,0.33871690,0.85700380,0.37503270,0.36021190,0.89535520,0.38328090,0.33990980,0.91746450,0.38101660,0.32355120,0.91026310,0.37226190,0.32761860,0.94177400,0.35738930,0.34315220,0.90664660,0.32680070,0.33779950,0.90048680,0.34290430,0.33041880,0.89372250,0.35408200,0.32554200,0.89084600,0.36321090,7,6
0.32497580,0.82282420,0.35487480,0.32497580,0.82282420,0.35487480,0.32497580,0.82282420,0.35487480,0.32500460,0.84534540,0.34422250,0.32288630,0.86690970,0.33310850,0.31813530,0.89775340,0.32670150,0.32201860,0.92853280,0.33827690,0.36746130,0.90478590,0.32472360,0.35747520,0.94009880,0.33058970,0.33773990,0.92677310,0.33085410,0.37406920,0.90215440,0.34542960,0.35464790,0.93922070,0.34969230,0.33313490,0.92292300,0.34914330,0.36969450,0.89887200,0.36506060,0.34560160,0.92835640,0.36826660,0.32453800,0.91472150,0.36130920,0.33876060,0.85598210,0.37532720,0.36047160,0.89416350,0.38379550,0.34018260,0.91631020,0.38179500,0.32389180,0.90906410,0.37295150,0.32766520,0.94111020,0.35807510,0.34321500,0.90580300,0.32745510,0.33792040,0.89956880,0.34353840,0.33085250,0.89267750,0.35460800,0.32613970,0.88973060,0.36378230,7,6
