RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33094030,0.84793160,0.26457780,0.33094030,0.84793160,0.26457780,0.33094030,0.84793160,0.26457780,0.30843990,0.85379570,0.27352360,0.28564350,0.85609670,0.28177320,0.26041450,0.86328330,0.29985060,0.24701090,0.88700660,0.31866560,0.24947190,0.90071890,0.26744720,0.23433450,0.90987790,0.30012910,0.24927570,0.89169560,0.30377390,0.26579650,0.91530580,0.26768510,0.25142770,0.91858800,0.30708100,0.26748860,0.89690910,0.30618760,0.28330260,0.92206110,0.27563440,0.27108330,0.92084090,0.31181830,0.28188060,0.89730200,0.30910990,0.32303320,0.88584010,0.27900650,0.30174540,0.92451410,0.28622100,0.28856800,0.92032170,0.31295860,0.29426650,0.90138750,0.31069480,0.25104380,0.90815450,0.32955350,0.26111840,0.88255540,0.28772760,0.27583320,0.88921360,0.28448780,0.28849970,0.89410900,0.28637870,0.30090350,0.89741380,0.29061820,7,1
0.33106860,0.84784780,0.26442910,0.33106860,0.84784780,0.26442910,0.33106860,0.84784780,0.26442910,0.30861650,0.85396990,0.27332310,0.28582890,0.85654890,0.28151460,0.26063340,0.86400940,0.29952790,0.24739480,0.88777550,0.31840540,0.25031890,0.90172860,0.26728760,0.23512840,0.91097770,0.29991940,0.24979400,0.89257510,0.30357800,0.26684030,0.91608920,0.26766780,0.25230320,0.91946940,0.30699360,0.26804560,0.89755940,0.30607100,0.28440650,0.92256030,0.27572010,0.27202380,0.92137710,0.31184960,0.28247010,0.89770040,0.30897050,0.32362530,0.88578080,0.27903910,0.30284060,0.92470220,0.28638910,0.28949310,0.92060080,0.31305640,0.29496640,0.90163250,0.31053560,0.25155510,0.90880710,0.32946920,0.26159580,0.88333220,0.28756030,0.27635200,0.88986940,0.28435450,0.28910470,0.89456680,0.28623550,0.30158350,0.89781170,0.29042280,7,1
0.33115230,0.84768730,0.26431020,0.33115230,0.84768730,0.26431020,0.33115230,0.84768730,0.26431020,0.30874520,0.85405490,0.27314520,0.28597300,0.85691180,0.28128720,0.26081020,0.86466210,0.29922360,0.24764750,0.88844070,0.31813840,0.25110150,0.90260330,0.26712830,0.23585110,0.91194150,0.29970680,0.25024320,0.89332740,0.30338090,0.26780720,0.91674440,0.26765340,0.25317530,0.92019580,0.30693780,0.26851990,0.89800680,0.30598370,0.28542280,0.92294230,0.27581210,0.27288280,0.92178600,0.31188830,0.28293350,0.89794140,0.30898800,0.32414400,0.88563600,0.27909350,0.30383870,0.92478610,0.28656780,0.29036420,0.92062440,0.31316180,0.29563440,0.90162590,0.31044330,0.25181690,0.90936090,0.32940800,0.26201240,0.88397780,0.28740130,0.27676040,0.89028870,0.28425210,0.28963820,0.89470420,0.28628810,0.30225960,0.89788440,0.29031830,7,1
0.33130300,0.84787670,0.26388510,0.33130300,0.84787670,0.26388510,0.33130300,0.84787670,0.26388510,0.30895330,0.85451840,0.27266330,0.28619980,0.85768720,0.28074220,0.26107730,0.86572070,0.29861040,0.24805010,0.88946620,0.31766010,0.25214020,0.90405850,0.26683280,0.23681760,0.91337630,0.29938330,0.25086830,0.89449140,0.30299710,0.26907010,0.91791940,0.26759370,0.25429390,0.92130220,0.30683000,0.26917570,0.89880610,0.30574530,0.28673820,0.92374600,0.27591110,0.27398350,0.92249110,0.31190850,0.28357140,0.89847460,0.30886220,0.32482940,0.88578220,0.27901910,0.30512120,0.92517980,0.28678480,0.29145770,0.92090320,0.31326390,0.29646600,0.90187680,0.31026090,0.25228850,0.91020540,0.32923440,0.26259410,0.88507700,0.28702380,0.27735740,0.89114960,0.28396980,0.29035830,0.89524260,0.28618600,0.30311810,0.89829530,0.29011560,7,1
0.33141250,0.84795870,0.26350900,0.33141250,0.84795870,0.26350900,0.33141250,0.84795870,0.26350900,0.30912030,0.85487300,0.27222300,0.28640710,0.85838290,0.28027400,0.26137000,0.86674000,0.29811360,0.24850040,0.89046980,0.31728960,0.25314460,0.90537560,0.26655330,0.23774100,0.91471470,0.29905950,0.25142590,0.89555510,0.30263090,0.27028980,0.91895410,0.26754910,0.25539670,0.92226160,0.30674760,0.26977900,0.89945040,0.30551390,0.28799920,0.92441400,0.27602570,0.27504060,0.92304180,0.31194600,0.28415330,0.89886250,0.30873430,0.32545770,0.88581350,0.27897900,0.30633790,0.92544540,0.28701930,0.29251540,0.92099860,0.31338760,0.29723330,0.90195420,0.31004690,0.25279880,0.91103590,0.32914710,0.26309980,0.88606420,0.28666480,0.27788340,0.89185710,0.28368740,0.29101000,0.89565490,0.28607570,0.30388500,0.89856610,0.28986810,7,1
0.33108480,0.84802620,0.26289600,0.33108480,0.84802620,0.26289600,0.33108480,0.84802620,0.26289600,0.30890660,0.85523940,0.27165820,0.28628350,0.85911550,0.27979430,0.26143510,0.86781800,0.29773240,0.24885010,0.89153840,0.31710790,0.25382990,0.90677010,0.26645390,0.23851600,0.91613610,0.29899470,0.25182020,0.89668820,0.30244400,0.27120890,0.92003540,0.26760760,0.25638540,0.92327210,0.30683840,0.27022760,0.90014300,0.30536740,0.28900100,0.92509660,0.27615830,0.27600300,0.92361530,0.31206010,0.28459130,0.89927660,0.30861630,0.32577470,0.88581770,0.27875060,0.30734160,0.92569320,0.28718080,0.29346850,0.92110210,0.31349770,0.29785270,0.90204640,0.30978740,0.25329450,0.91191600,0.32923390,0.26335060,0.88711420,0.28642320,0.27814230,0.89262100,0.28344680,0.29140250,0.89610310,0.28593920,0.30440950,0.89885580,0.28954540,7,1
0.33076420,0.84802140,0.26233550,0.33076420,0.84802140,0.26233550,0.33076420,0.84802140,0.26233550,0.30869740,0.85552820,0.27113240,0.28616490,0.85976300,0.27934090,0.26149800,0.86880330,0.29736230,0.24918120,0.89251350,0.31692160,0.25452670,0.90805100,0.26635290,0.23928170,0.91744850,0.29891680,0.25220330,0.89772520,0.30225450,0.27212960,0.92100210,0.26766870,0.25734600,0.92417660,0.30691960,0.27065280,0.90075080,0.30522180,0.28999040,0.92567000,0.27629960,0.27692710,0.92409210,0.31217340,0.28499960,0.89961020,0.30850390,0.32607690,0.88573860,0.27855940,0.30831820,0.92583980,0.28735820,0.29437040,0.92112120,0.31361300,0.29842840,0.90206680,0.30954260,0.25375950,0.91270400,0.32930820,0.26360080,0.88806920,0.28618800,0.27839670,0.89330360,0.28321480,0.29177900,0.89647220,0.28581230,0.30491070,0.89907310,0.28924660,7,1
0.33044930,0.84796010,0.26181670,0.33044930,0.84796010,0.26181670,0.33044930,0.84796010,0.26181670,0.30849280,0.85575590,0.27063830,0.28607580,0.86037390,0.27895550,0.26164430,0.86977690,0.29711130,0.24970270,0.89351950,0.31686320,0.25523550,0.90923830,0.26625390,0.24000280,0.91871160,0.29880170,0.25254310,0.89873340,0.30207750,0.27305310,0.92187420,0.26773470,0.25824060,0.92496530,0.30698140,0.27110100,0.90130560,0.30509790,0.29097040,0.92615270,0.27644980,0.27780610,0.92447390,0.31228210,0.28544070,0.89989520,0.30833310,0.32636650,0.88559190,0.27839810,0.30927240,0.92590240,0.28754950,0.29521430,0.92109030,0.31372840,0.29898780,0.90205400,0.30931410,0.25449510,0.91352690,0.32946400,0.26383020,0.88899220,0.28598440,0.27873950,0.89394100,0.28302640,0.29220330,0.89686470,0.28562190,0.30543140,0.89928800,0.28897350,7,1
0.33016600,0.84802480,0.26159180,0.33016600,0.84802480,0.26159180,0.33016600,0.84802480,0.26159180,0.30835830,0.85602280,0.27059950,0.28610450,0.86093190,0.27918400,0.26200510,0.87058000,0.29765240,0.25049090,0.89427400,0.31771390,0.25583100,0.91028420,0.26706110,0.24080200,0.91973050,0.29971120,0.25304160,0.89953790,0.30280530,0.27382870,0.92265440,0.26860540,0.25923850,0.92555250,0.30795000,0.27170830,0.90171130,0.30575270,0.29184130,0.92658460,0.27728820,0.27881820,0.92470740,0.31316230,0.28606190,0.90007260,0.30884380,0.32667830,0.88551790,0.27861750,0.31018570,0.92595420,0.28830240,0.29620340,0.92096460,0.31448870,0.29972200,0.90197650,0.30967440,0.25551210,0.91408790,0.33052960,0.26413940,0.88977620,0.28659340,0.27911730,0.89449470,0.28355440,0.29266770,0.89720830,0.28606490,0.30600510,0.89949420,0.28924720,7,1
0.32988370,0.84804050,0.26137080,0.32988370,0.84804050,0.26137080,0.32988370,0.84804050,0.26137080,0.30822120,0.85624280,0.27054360,0.28613040,0.86144170,0.27937510,0.26235390,0.87133330,0.29813090,0.25124950,0.89497660,0.31848120,0.25644960,0.91127070,0.26779060,0.24159810,0.92070060,0.30052660,0.25352720,0.90029870,0.30345540,0.27462450,0.92336960,0.26940760,0.26021950,0.92608790,0.30883310,0.27229110,0.90207160,0.30633950,0.29271980,0.92695060,0.27806930,0.27980260,0.92488830,0.31397150,0.28665130,0.90020500,0.30929970,0.32698080,0.88538770,0.27882160,0.31109090,0.92594120,0.28901080,0.29715600,0.92078410,0.31518990,0.30041930,0.90185350,0.30998520,0.25648620,0.91459550,0.33150890,0.26444760,0.89051260,0.28713800,0.27949030,0.89500000,0.28402580,0.29312240,0.89750050,0.28646280,0.30656530,0.89965250,0.28948410,7,1
