RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01966075,0.89658870,0.29883430,0.01966075,0.89658870,0.29883430,0.01966075,0.89658870,0.29883430,0.01495468,0.91930340,0.28974710,0.01186388,0.93912910,0.27594790,-0.00066660,0.96586010,0.26397350,-0.01336484,0.99293220,0.27819690,0.03773026,0.99136840,0.28778200,0.00924586,1.01523700,0.28802080,0.00058846,0.99351530,0.28351160,0.03845678,0.98784760,0.30937830,0.00288485,1.01027100,0.31041990,-0.00517820,0.98819220,0.29714500,0.02995007,0.98040220,0.32633390,-0.00499328,0.99539370,0.32255340,-0.01069831,0.97771850,0.30430410,0.01436558,0.92888690,0.32406440,0.01788817,0.97022210,0.34079430,-0.00864596,0.97975070,0.33024590,-0.01215315,0.96845590,0.31423860,-0.02047794,1.00328300,0.29879540,0.01717595,0.97915910,0.28333410,0.01271629,0.97271890,0.29081260,0.00698515,0.96331970,0.29718470,0.00167256,0.95569340,0.30380420,7,3
0.02158356,0.89655430,0.29931380,0.02158356,0.89655430,0.29931380,0.02158356,0.89655430,0.29931380,0.01680178,0.91927230,0.29027460,0.01362175,0.93911180,0.27651570,0.00100711,0.96584130,0.26462630,-0.01167350,0.99275700,0.27915870,0.03943321,0.99138310,0.28832640,0.01091821,1.01521300,0.28873080,0.00227428,0.99349280,0.28418810,0.04024391,0.98783430,0.30991520,0.00463759,1.01019300,0.31115840,-0.00348901,0.98817040,0.29782860,0.03181226,0.98034970,0.32689090,-0.00315906,0.99532080,0.32329260,-0.00895793,0.97768710,0.30503270,0.01631762,0.92880790,0.32460690,0.01982169,0.97012690,0.34138060,-0.00676674,0.97957790,0.33089930,-0.01021115,0.96824260,0.31490700,-0.01865829,1.00287600,0.29991620,0.01887998,0.97915920,0.28391290,0.01437188,0.97271750,0.29135330,0.00870765,0.96331760,0.29781060,0.00368602,0.95554010,0.30449440,7,3
0.02346188,0.89720560,0.29953580,0.02346188,0.89720560,0.29953580,0.02346188,0.89720560,0.29953580,0.01854696,0.91986420,0.29041940,0.01520632,0.93962230,0.27658150,0.00243536,0.96625950,0.26465200,-0.01018125,0.99311600,0.27934880,0.04097284,0.99202200,0.28791520,0.01240872,1.01579000,0.28846130,0.00377753,0.99403490,0.28406500,0.04196914,0.98858700,0.30951460,0.00632022,1.01086500,0.31097190,-0.00191034,0.98879980,0.29777650,0.03369606,0.98116840,0.32659700,-0.00132769,0.99607410,0.32324600,-0.00729210,0.97835930,0.30511850,0.01831829,0.92957570,0.32470500,0.02185105,0.97098970,0.34123670,-0.00484541,0.98029520,0.33090080,-0.00831074,0.96881980,0.31501330,-0.01696200,1.00316200,0.30020910,0.02041247,0.97973700,0.28370890,0.01590166,0.97333960,0.29118490,0.01033087,0.96398320,0.29780590,0.00560406,0.95611250,0.30463000,7,3
0.02528917,0.89778580,0.29976280,0.02528917,0.89778580,0.29976280,0.02528917,0.89778580,0.29976280,0.02025019,0.92039070,0.29058110,0.01676444,0.94007360,0.27667200,0.00384949,0.96662460,0.26470550,-0.00870835,0.99342300,0.27955790,0.04247937,0.99259050,0.28758120,0.01386768,1.01629800,0.28826620,0.00525262,0.99451100,0.28399620,0.04364657,0.98925610,0.30918780,0.00795965,1.01145900,0.31084680,-0.00036561,0.98935700,0.29777320,0.03552046,0.98189530,0.32636550,0.00045173,0.99674640,0.32325020,-0.00566898,0.97896310,0.30524230,0.02025560,0.93025750,0.32482310,0.02381093,0.97175470,0.34113990,-0.00298394,0.98093780,0.33095040,-0.00647256,0.96933730,0.31515920,-0.01530441,1.00340300,0.30050860,0.02191590,0.98024840,0.28356050,0.01740133,0.97389160,0.29107280,0.01191227,0.96458080,0.29784170,0.00745553,0.95662560,0.30479910,7,3
0.02704512,0.89830440,0.29998900,0.02704512,0.89830440,0.29998900,0.02704512,0.89830440,0.29998900,0.02189094,0.92086080,0.29075190,0.01822939,0.94049810,0.27682360,0.00519186,0.96700810,0.26489930,-0.00727844,0.99381520,0.27980960,0.04393332,0.99309800,0.28730860,0.01537693,1.01686400,0.28822400,0.00668853,0.99510420,0.28396540,0.04525762,0.98985330,0.30891980,0.00961552,1.01211100,0.31079420,0.00116253,0.98995830,0.29788920,0.03726745,0.98254330,0.32618280,0.00215708,0.99732420,0.32320600,-0.00405808,0.97935640,0.30541490,0.02211067,0.93086530,0.32495320,0.02568370,0.97243570,0.34107850,-0.00120205,0.98151690,0.33103810,-0.00469821,0.96981510,0.31532340,-0.01374663,1.00387600,0.30076180,0.02331834,0.98080730,0.28339460,0.01886390,0.97445260,0.29110920,0.01352177,0.96495480,0.29804880,0.00925611,0.95711840,0.30498030,7,3
0.02833763,0.89887610,0.30082930,0.02833763,0.89887610,0.30082930,0.02833763,0.89887610,0.30082930,0.02315227,0.92136870,0.29145490,0.01940593,0.94092230,0.27743180,0.00634719,0.96738650,0.26542900,-0.00598813,0.99428390,0.28028900,0.04522607,0.99356330,0.28737720,0.01678688,1.01746600,0.28838220,0.00797633,0.99574040,0.28419960,0.04665708,0.99047430,0.30900440,0.01111746,1.01288900,0.31094890,0.00250138,0.99067090,0.29826670,0.03874908,0.98329530,0.32635990,0.00364800,0.99810480,0.32341590,-0.00268557,0.97992680,0.30588190,0.02355119,0.93162050,0.32558130,0.02723370,0.97330420,0.34138660,0.00030405,0.98233660,0.33142020,-0.00321136,0.97049460,0.31581520,-0.01233798,1.00450400,0.30120010,0.02453547,0.98136390,0.28357730,0.02010669,0.97505380,0.29149210,0.01486028,0.96543120,0.29861970,0.01074532,0.95773460,0.30555350,7,3
0.02964839,0.89940500,0.30161610,0.02964839,0.89940500,0.30161610,0.02964839,0.89940500,0.30161610,0.02442789,0.92183770,0.29211880,0.02059927,0.94131300,0.27800910,0.00751445,0.96773150,0.26593450,-0.00469796,0.99470590,0.28075660,0.04651564,0.99399270,0.28745630,0.01818048,1.01801500,0.28855020,0.00926152,0.99631960,0.28443990,0.04805094,0.99104580,0.30909620,0.01260279,1.01359900,0.31111280,0.00383765,0.99132210,0.29863680,0.04022450,0.98398560,0.32653720,0.00513014,0.99881950,0.32363610,-0.00131686,0.98045410,0.30634040,0.02499854,0.93231460,0.32617440,0.02877802,0.97409980,0.34168580,0.00180462,0.98308780,0.33179770,-0.00173183,0.97111710,0.31629600,-0.01093495,1.00506600,0.30163260,0.02575795,0.98187350,0.28376650,0.02135493,0.97560610,0.29186290,0.01619674,0.96587590,0.29916630,0.01222578,0.95830110,0.30610560,7,3
0.03090977,0.89988330,0.30233380,0.03090977,0.89988330,0.30233380,0.03090977,0.89988330,0.30233380,0.02565335,0.92226150,0.29272820,0.02167078,0.94170830,0.27862200,0.00852188,0.96812840,0.26662070,-0.00355980,0.99527420,0.28123550,0.04774328,0.99437980,0.28753940,0.01938076,1.01836800,0.28867060,0.01047450,0.99664840,0.28466190,0.04937635,0.99156010,0.30918910,0.01386758,1.01402500,0.31112260,0.00506949,0.99163240,0.29887910,0.04162728,0.98460570,0.32670690,0.00648932,0.99931630,0.32370790,0.00007958,0.98067030,0.30670100,0.02638286,0.93293880,0.32671840,0.03024681,0.97481350,0.34196560,0.00323448,0.98367420,0.33206900,-0.00033031,0.97153870,0.31670260,-0.00969313,1.00587200,0.30202250,0.02698726,0.98222200,0.28396820,0.02261527,0.97591440,0.29218410,0.01764212,0.96605970,0.29971490,0.01357331,0.95862100,0.30656680,7,3
0.03252932,0.90044330,0.30302650,0.03252932,0.90044330,0.30302650,0.03252932,0.90044330,0.30302650,0.02724606,0.92278530,0.29335180,0.02312952,0.94222690,0.27927680,0.00993209,0.96866890,0.26737730,-0.00202531,0.99594180,0.28185680,0.04935138,0.99487070,0.28778490,0.02097366,1.01883700,0.28898490,0.01207136,0.99710670,0.28502950,0.05106888,0.99213740,0.30943920,0.01551333,1.01453200,0.31132610,0.00667838,0.99205590,0.29926380,0.04338585,0.98525760,0.32701550,0.00821266,0.99986900,0.32394510,0.00183357,0.98099300,0.30718200,0.02811570,0.93359900,0.32729550,0.03206107,0.97553280,0.34235850,0.00501671,0.98430010,0.33246620,0.00143047,0.97203490,0.31720810,-0.00806182,1.00671900,0.30258010,0.02859314,0.98269250,0.28429620,0.02424507,0.97633950,0.29262000,0.01943932,0.96636070,0.30035200,0.01528790,0.95903690,0.30711180,7,3
0.03412755,0.90097270,0.30369350,0.03412755,0.90097270,0.30369350,0.03412755,0.90097270,0.30369350,0.02881439,0.92327900,0.29395310,0.02464137,0.94267210,0.27982780,0.01138321,0.96906840,0.26789440,-0.00051844,0.99641340,0.28228350,0.05092435,0.99533380,0.28801930,0.02248243,1.01922200,0.28925500,0.01362884,0.99745630,0.28538570,0.05272647,0.99268380,0.30967700,0.01710848,1.01498200,0.31152250,0.00824737,0.99242930,0.29962410,0.04511046,0.98587510,0.32731010,0.00990663,1.00040400,0.32420100,0.00343772,0.98137070,0.30765200,0.02982231,0.93422400,0.32785090,0.03384284,0.97621430,0.34273540,0.00676689,0.98479900,0.33276950,0.00310955,0.97238020,0.31765310,-0.00642072,1.00719900,0.30304120,0.03018911,0.98308740,0.28463280,0.02582033,0.97670580,0.29301360,0.02095370,0.96662350,0.30083820,0.01683774,0.95924370,0.30755970,7,3
