RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34293810,0.97654590,0.37967690,0.34293810,0.97654590,0.37967690,0.34293810,0.97654590,0.37967690,0.32746200,0.99452200,0.36941620,0.32399790,1.01057100,0.35021700,0.31522260,1.03543100,0.33028810,0.30582570,1.06468200,0.31492530,0.31021890,1.07099700,0.36709140,0.30716310,1.10925000,0.36339750,0.30446610,1.13370800,0.36120950,0.31124850,1.06797800,0.38957790,0.30414750,1.11085400,0.39346540,0.29964440,1.13835500,0.39622350,0.30640010,1.05666100,0.40676340,0.30087370,1.09492200,0.41552940,0.29677450,1.12093300,0.42154770,0.31959710,1.00240100,0.40466690,0.29997680,1.04106300,0.42120450,0.29775260,1.06690200,0.43859770,0.29581620,1.08295500,0.45143490,0.30386480,1.08133900,0.29634940,0.30572340,1.15642300,0.36182540,0.30106640,1.16330000,0.40081980,0.29466630,1.14513500,0.42644610,0.29646200,1.10140200,0.46398330,4,5
0.34325010,0.97558930,0.37953530,0.34325010,0.97558930,0.37953530,0.34325010,0.97558930,0.37953530,0.32776800,0.99353010,0.36922200,0.32406630,1.00958100,0.35006920,0.31507270,1.03447600,0.33028060,0.30570120,1.06371000,0.31487180,0.31039790,1.06997300,0.36679280,0.30727790,1.10823800,0.36327990,0.30456660,1.13270500,0.36121400,0.31137750,1.06697400,0.38928420,0.30431850,1.10985300,0.39322190,0.29984190,1.13735500,0.39601220,0.30650660,1.05566300,0.40646690,0.30097360,1.09393800,0.41516350,0.29686980,1.11996000,0.42113380,0.31980290,1.00142400,0.40444680,0.30007500,1.04006500,0.42090490,0.29788000,1.06587400,0.43834600,0.29597850,1.08190400,0.45121790,0.30370730,1.08035000,0.29628380,0.30580550,1.15541800,0.36194470,0.30128510,1.16229200,0.40064640,0.29475340,1.14416900,0.42598960,0.29666640,1.10032300,0.46380390,4,5
0.34355390,0.97450990,0.37963100,0.34355390,0.97450990,0.37963100,0.34355390,0.97450990,0.37963100,0.32808050,0.99240450,0.36922480,0.32419310,1.00844600,0.35010070,0.31502920,1.03335800,0.33041210,0.30570280,1.06256400,0.31492330,0.31055400,1.06880600,0.36662450,0.30735950,1.10707800,0.36326100,0.30462490,1.13155100,0.36129500,0.31143580,1.06583500,0.38912380,0.30438190,1.10871400,0.39307980,0.29990760,1.13621500,0.39588210,0.30651010,1.05453400,0.40629710,0.30093340,1.09282300,0.41490430,0.29679970,1.11885400,0.42081220,0.31993470,1.00032200,0.40440300,0.30004580,1.03893900,0.42072360,0.29782450,1.06472700,0.43819260,0.29591780,1.08073900,0.45108530,0.30371800,1.07917400,0.29630820,0.30583110,1.15426200,0.36212830,0.30134540,1.16114600,0.40054770,0.29465420,1.14307200,0.42561610,0.29660620,1.09913900,0.46369960,4,5
0.34386100,0.97343120,0.37970500,0.34386100,0.97343120,0.37970500,0.34386100,0.97343120,0.37970500,0.32839650,0.99128210,0.36921100,0.32432090,1.00731600,0.35011930,0.31498510,1.03224700,0.33053640,0.30570370,1.06142800,0.31497220,0.31071920,1.06764300,0.36645340,0.30745040,1.10592300,0.36324870,0.30469260,1.13040200,0.36138900,0.31150620,1.06469800,0.38895940,0.30446030,1.10757400,0.39294650,0.29999020,1.13507400,0.39576870,0.30652740,1.05340300,0.40612210,0.30091470,1.09170500,0.41465080,0.29675630,1.11774400,0.42050390,0.32007580,0.99921800,0.40434410,0.30003150,1.03780900,0.42053540,0.29779020,1.06357400,0.43803590,0.29588220,1.07956800,0.45095140,0.30372960,1.07800800,0.29632910,0.30586650,1.15311000,0.36232990,0.30142450,1.15999800,0.40047200,0.29458740,1.14196800,0.42526290,0.29657530,1.09794700,0.46359610,4,5
0.34417070,0.97235210,0.37976190,0.34417070,0.97235210,0.37976190,0.34417070,0.97235210,0.37976190,0.32871520,0.99016140,0.36918410,0.32449270,1.00618400,0.35011570,0.31509930,1.03119200,0.33065790,0.30585060,1.06041800,0.31515850,0.31089160,1.06648300,0.36627990,0.30753810,1.10476600,0.36321400,0.30464250,1.12923500,0.36141910,0.31158610,1.06355900,0.38879180,0.30437370,1.10640700,0.39279300,0.29979590,1.13388800,0.39562460,0.30655570,1.05227000,0.40594270,0.30083400,1.09055300,0.41448310,0.29658610,1.11657800,0.42033710,0.32022430,0.99811150,0.40427320,0.30002920,1.03667500,0.42034160,0.29764920,1.06248700,0.43775440,0.29561300,1.07851900,0.45060330,0.30386430,1.07706600,0.29657750,0.30566610,1.15194700,0.36242510,0.30111590,1.15881400,0.40035450,0.29425940,1.14079100,0.42507460,0.29617400,1.09694200,0.46319030,4,5
0.34378360,0.97041710,0.37988780,0.34378360,0.97041710,0.37988780,0.34378360,0.97041710,0.37988780,0.32844710,0.98828270,0.36923220,0.32414600,1.00431100,0.35018600,0.31482880,1.02944900,0.33085970,0.30579700,1.05877200,0.31541540,0.31100010,1.06468400,0.36614620,0.30781980,1.10299300,0.36321210,0.30495230,1.12746900,0.36147860,0.31161030,1.06179500,0.38866500,0.30454090,1.10466600,0.39266760,0.30005400,1.13216200,0.39550020,0.30647220,1.05055800,0.40581870,0.30092370,1.08886800,0.41435270,0.29677020,1.11491100,0.42019250,0.31988510,0.99633200,0.40428140,0.29982580,1.03501900,0.42022280,0.29751890,1.06090600,0.43753440,0.29548900,1.07699800,0.45030850,0.30388850,1.07548500,0.29688550,0.30598300,1.15017800,0.36254100,0.30143950,1.15708200,0.40024070,0.29445440,1.13913300,0.42489140,0.29606930,1.09546900,0.46282430,4,5
0.34345580,0.96855300,0.37999610,0.34345580,0.96855300,0.37999610,0.34345580,0.96855300,0.37999610,0.32822880,0.98646730,0.36926530,0.32384450,1.00250200,0.35024350,0.31459110,1.02776300,0.33104750,0.30576180,1.05717400,0.31565490,0.31111580,1.06293700,0.36600930,0.30808710,1.10126800,0.36321030,0.30523890,1.12575100,0.36154130,0.31164270,1.06007900,0.38853420,0.30469940,1.10297000,0.39254510,0.30029270,1.13047900,0.39538320,0.30640290,1.04889100,0.40568850,0.30100860,1.08722300,0.41421990,0.29693320,1.11328100,0.42004680,0.31959050,0.99460600,0.40427510,0.29964530,1.03340200,0.42009490,0.29740320,1.05935600,0.43731380,0.29537620,1.07550300,0.45001860,0.30392670,1.07394900,0.29717290,0.30626890,1.14845700,0.36266340,0.30173250,1.15539300,0.40013800,0.29461680,1.13751100,0.42470900,0.29597130,1.09401700,0.46246930,4,5
0.34317440,0.96674440,0.38009080,0.34317440,0.96674440,0.38009080,0.34317440,0.96674440,0.38009080,0.32804970,0.98470120,0.36928670,0.32369410,1.00073400,0.35025620,0.31461560,1.02610200,0.33111900,0.30609760,1.05558700,0.31569200,0.31123740,1.06123100,0.36587000,0.30838100,1.09956700,0.36296440,0.30557990,1.12404900,0.36120710,0.31168190,1.05840200,0.38840040,0.30480410,1.10130200,0.39243550,0.30043890,1.12881600,0.39528910,0.30634520,1.04725800,0.40555340,0.30112480,1.08566400,0.41385970,0.29718740,1.11177600,0.41953950,0.31933120,0.99292170,0.40425750,0.29948310,1.03181500,0.41995980,0.29723850,1.05787400,0.43701910,0.29518750,1.07410100,0.44961740,0.30444970,1.07239600,0.29722300,0.30664040,1.14675700,0.36225900,0.30186630,1.15372800,0.40005780,0.29491990,1.13604000,0.42403910,0.29579910,1.09267900,0.46197220,4,5
0.34254770,0.96537280,0.37994800,0.34254770,0.96537280,0.37994800,0.34254770,0.96537280,0.37994800,0.32748230,0.98341450,0.36920260,0.32307580,0.99953120,0.35025510,0.31408610,1.02508900,0.33132890,0.30580380,1.05471100,0.31603660,0.31092460,1.06001000,0.36603270,0.30820970,1.09836400,0.36323000,0.30543730,1.12285300,0.36152150,0.31136070,1.05710800,0.38855390,0.30454900,1.09999400,0.39283280,0.30022630,1.12749800,0.39584270,0.30598770,1.04592600,0.40567140,0.30095110,1.08436000,0.41396110,0.29715230,1.11049400,0.41963480,0.31879270,0.99155140,0.40420000,0.29907490,1.03046000,0.42002840,0.29688110,1.05654000,0.43706100,0.29484610,1.07278700,0.44963740,0.30426510,1.07163600,0.29766460,0.30652000,1.14555800,0.36261760,0.30165060,1.15238600,0.40073530,0.29493400,1.13477000,0.42409860,0.29551060,1.09136900,0.46198310,4,5
0.34198200,0.96400250,0.37981580,0.34198200,0.96400250,0.37981580,0.34198200,0.96400250,0.37981580,0.32697490,0.98212120,0.36911850,0.32251270,0.99831520,0.35025010,0.31360330,1.02405000,0.33152760,0.30554600,1.05379900,0.31636080,0.31065290,1.05877600,0.36616480,0.30806800,1.09714700,0.36346610,0.30531750,1.12164100,0.36180700,0.31107410,1.05580800,0.38867770,0.30432090,1.09868000,0.39318310,0.30003600,1.12617300,0.39633840,0.30566240,1.04459300,0.40576150,0.30079770,1.08305400,0.41402780,0.29712530,1.10920900,0.41968860,0.31830110,0.99018400,0.40413700,0.29869850,1.02910700,0.42007220,0.29654980,1.05521200,0.43707290,0.29452660,1.07148000,0.44962410,0.30411080,1.07083100,0.29808010,0.30641520,1.14434400,0.36294850,0.30145260,1.15103900,0.40134700,0.29494700,1.13349600,0.42411140,0.29523860,1.09006900,0.46195680,4,5
