RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.44319200,0.88500580,0.27309670,0.44319200,0.88500580,0.27309670,0.44319200,0.88500580,0.27309670,0.41860070,0.88531180,0.26515260,0.39866220,0.89084890,0.25066230,0.36987530,0.90512750,0.24293870,0.33930770,0.92072690,0.24145610,0.34808070,0.91816900,0.27507290,0.31366550,0.92941150,0.28831960,0.29151810,0.93608950,0.29699110,0.35327150,0.91361930,0.29671020,0.31279600,0.92409930,0.30919460,0.28689830,0.93081670,0.31746390,0.36077810,0.90031000,0.31131890,0.32566390,0.91326890,0.32436820,0.30074650,0.92008980,0.33225550,0.41104260,0.87834070,0.30066060,0.37038110,0.88362350,0.32238500,0.34471090,0.89632210,0.33483060,0.32612040,0.90117160,0.34238930,0.32122760,0.93426330,0.23067520,0.27351590,0.94517020,0.30754460,0.26610210,0.94136560,0.32754510,0.27897130,0.92918360,0.33982560,0.30614750,0.90850090,0.34913610,4,1
0.44340110,0.88550570,0.27296210,0.44340110,0.88550570,0.27296210,0.44340110,0.88550570,0.27296210,0.41880970,0.88579970,0.26501780,0.39895010,0.89148040,0.25047490,0.37024700,0.90593400,0.24276510,0.33958330,0.92137430,0.24164590,0.34824120,0.91852330,0.27503410,0.31379430,0.92980490,0.28816500,0.29164070,0.93654270,0.29677370,0.35343780,0.91391580,0.29665770,0.31292580,0.92440360,0.30901660,0.28700370,0.93112570,0.31720570,0.36096320,0.90057340,0.31122650,0.32586380,0.91361710,0.32423110,0.30092590,0.92044290,0.33204910,0.41126030,0.87871010,0.30050420,0.37059020,0.88386770,0.32224260,0.34491660,0.89670490,0.33453810,0.32629030,0.90162270,0.34196350,0.32120320,0.93486350,0.23132270,0.27363210,0.94566770,0.30727820,0.26618400,0.94167980,0.32723270,0.27913450,0.92954270,0.33956520,0.30631700,0.90905630,0.34859340,4,1
0.44345830,0.88609570,0.27309730,0.44345830,0.88609570,0.27309730,0.44345830,0.88609570,0.27309730,0.41882850,0.88605520,0.26526750,0.39894160,0.89142590,0.25064430,0.37019480,0.90569540,0.24275660,0.33935110,0.92078210,0.24176650,0.34807070,0.91846130,0.27497600,0.31359140,0.92988320,0.28789880,0.29143350,0.93674790,0.29639560,0.35340200,0.91432010,0.29666110,0.31285720,0.92486890,0.30885980,0.28691470,0.93163610,0.31694600,0.36109270,0.90132300,0.31145410,0.32599590,0.91453900,0.32429050,0.30103730,0.92140140,0.33200980,0.41149730,0.87961480,0.30092300,0.37089290,0.88490830,0.32275130,0.34520900,0.89798860,0.33476590,0.32656100,0.90301730,0.34206130,0.32057700,0.93388090,0.23165200,0.27341630,0.94605110,0.30672760,0.26606250,0.94230510,0.32678220,0.27921480,0.93055000,0.33937490,0.30657780,0.91056820,0.34852730,4,1
0.44352050,0.88667090,0.27322590,0.44352050,0.88667090,0.27322590,0.44352050,0.88667090,0.27322590,0.41885880,0.88633140,0.26550460,0.39895350,0.89143120,0.25080960,0.37017120,0.90553880,0.24276180,0.33916790,0.92030300,0.24190560,0.34792870,0.91843720,0.27495030,0.31341710,0.92998860,0.28767000,0.29125370,0.93697200,0.29605510,0.35337860,0.91471180,0.29668130,0.31280400,0.92532020,0.30872800,0.28684260,0.93213090,0.31671680,0.36121770,0.90202680,0.31166600,0.32612440,0.91540190,0.32434640,0.30114630,0.92229620,0.33197360,0.41172060,0.88046900,0.30129870,0.37117410,0.88587740,0.32320640,0.34548520,0.89916870,0.33497610,0.32681810,0.90428930,0.34215800,0.32003700,0.93304780,0.23200950,0.27322730,0.94643790,0.30622180,0.26596140,0.94290360,0.32637660,0.27929520,0.93148670,0.33920050,0.30682670,0.91193870,0.34848110,4,1
0.44358700,0.88723460,0.27334930,0.44358700,0.88723460,0.27334930,0.44358700,0.88723460,0.27334930,0.41889850,0.88662360,0.26573130,0.39874880,0.89113210,0.25117660,0.36965840,0.90456800,0.24308710,0.33840880,0.91880230,0.24221100,0.34780950,0.91844310,0.27494910,0.31309120,0.92960690,0.28745050,0.29075260,0.93622350,0.29566660,0.35336550,0.91509410,0.29671450,0.31262170,0.92532900,0.30851070,0.28651970,0.93181720,0.31630740,0.36133970,0.90269490,0.31186620,0.32606870,0.91581190,0.32432140,0.30095020,0.92238670,0.33176730,0.41193370,0.88128330,0.30164120,0.37143910,0.88679030,0.32362020,0.34550710,0.89996990,0.33497490,0.32669940,0.90493690,0.34189280,0.31882940,0.93090860,0.23239080,0.27247360,0.94540660,0.30563970,0.26536900,0.94229380,0.32570310,0.27892170,0.93130710,0.33879130,0.30657230,0.91245330,0.34793900,4,1
0.44432220,0.88704170,0.27290350,0.44432220,0.88704170,0.27290350,0.44432220,0.88704170,0.27290350,0.41960730,0.88629100,0.26538380,0.39927040,0.89038250,0.25096720,0.36997040,0.90335040,0.24287010,0.33855520,0.91721790,0.24203450,0.34849730,0.91810700,0.27444930,0.31364600,0.92905520,0.28677000,0.29118540,0.93542650,0.29484630,0.35413760,0.91504840,0.29623570,0.31328960,0.92510090,0.30782640,0.28709170,0.93138980,0.31546300,0.36218800,0.90285900,0.31151680,0.32681960,0.91587760,0.32379760,0.30160750,0.92225500,0.33109750,0.41278170,0.88140240,0.30138460,0.37235740,0.88712430,0.32343800,0.34627220,0.90029500,0.33444690,0.32736410,0.90518770,0.34114070,0.31861460,0.92883490,0.23235100,0.27272560,0.94441840,0.30465910,0.26574590,0.94166450,0.32463770,0.27946130,0.93100990,0.33795760,0.30715180,0.91265760,0.34695550,4,1
0.44500350,0.88690470,0.27250220,0.44500350,0.88690470,0.27250220,0.44500350,0.88690470,0.27250220,0.42026480,0.88602130,0.26507620,0.39976360,0.88973660,0.25079090,0.37027700,0.90227430,0.24269360,0.33870690,0.91578900,0.24192290,0.34912930,0.91781990,0.27400270,0.31415780,0.92857300,0.28615350,0.29158830,0.93471770,0.29410040,0.35484870,0.91503160,0.29580480,0.31390680,0.92491730,0.30720610,0.28762190,0.93101740,0.31469530,0.36297240,0.90303980,0.31120300,0.32751820,0.91597210,0.32332650,0.30222250,0.92216490,0.33049530,0.41356960,0.88155150,0.30115580,0.37321000,0.88746630,0.32327670,0.34698900,0.90063170,0.33396490,0.32799090,0.90545430,0.34045120,0.31842830,0.92694790,0.23240390,0.27296480,0.94353200,0.30376420,0.26609730,0.94109770,0.32366580,0.27997030,0.93076470,0.33720690,0.30770250,0.91288200,0.34605170,4,1
0.44564290,0.88681170,0.27213580,0.44564290,0.88681170,0.27213580,0.44564290,0.88681170,0.27213580,0.42088210,0.88580100,0.26479990,0.40018950,0.88910020,0.25068960,0.37042780,0.90092770,0.24253060,0.33854570,0.91369930,0.24195120,0.34971800,0.91757100,0.27359820,0.31470700,0.92798700,0.28592790,0.29208820,0.93381740,0.29397090,0.35551220,0.91503780,0.29541160,0.31451390,0.92450570,0.30696390,0.28818110,0.93028910,0.31453590,0.36370680,0.90323400,0.31091720,0.32813330,0.91596520,0.32290340,0.30276320,0.92195310,0.32998220,0.41431060,0.88172450,0.30094880,0.37401120,0.88781530,0.32313170,0.34765620,0.90101530,0.33344070,0.32854710,0.90575900,0.33965350,0.31784070,0.92415980,0.23255800,0.27329080,0.94223160,0.30365460,0.26653980,0.94009780,0.32352680,0.28041180,0.93037830,0.33658490,0.30813280,0.91307870,0.34492870,4,1
0.44655300,0.88663600,0.27165900,0.44655300,0.88663600,0.27165900,0.44655300,0.88663600,0.27165900,0.42177390,0.88535990,0.26442710,0.40088870,0.88808250,0.25047820,0.37083320,0.89906160,0.24221150,0.33863430,0.91101750,0.24176050,0.35047190,0.91691460,0.27287770,0.31538800,0.92698790,0.28528430,0.29270470,0.93250360,0.29336770,0.35635130,0.91481610,0.29471440,0.31527050,0.92383720,0.30633100,0.28887470,0.92928400,0.31393320,0.36465950,0.90334460,0.31040780,0.32893710,0.91585750,0.32217910,0.30347960,0.92161370,0.32913540,0.41534330,0.88191930,0.30066730,0.37508560,0.88820890,0.32287050,0.34855940,0.90141730,0.33271940,0.32933260,0.90605680,0.33864080,0.31749740,0.92066440,0.23245870,0.27372070,0.94054550,0.30300350,0.26708790,0.93882220,0.32286340,0.28100820,0.92984220,0.33557700,0.30877910,0.91323500,0.34355820,4,1
0.44744540,0.88649760,0.27119900,0.44744540,0.88649760,0.27119900,0.44744540,0.88649760,0.27119900,0.42264950,0.88496360,0.26407570,0.40158220,0.88712720,0.25030390,0.37125310,0.89727420,0.24197330,0.33877070,0.90844260,0.24169140,0.35121230,0.91629790,0.27219840,0.31605830,0.92604020,0.28467100,0.29331580,0.93124980,0.29279060,0.35717480,0.91462420,0.29404940,0.31601820,0.92321220,0.30572580,0.28956460,0.92832890,0.31335620,0.36559450,0.90348080,0.30991870,0.32972900,0.91577070,0.32148800,0.30418830,0.92128990,0.32833050,0.41635680,0.88214450,0.30039370,0.37614060,0.88862640,0.32261680,0.34944640,0.90182330,0.33201690,0.33010780,0.90634670,0.33765730,0.31722920,0.91729500,0.23252900,0.27415860,0.93892630,0.30238160,0.26763720,0.93759700,0.32222650,0.28160090,0.92931570,0.33462010,0.30942300,0.91337280,0.34223180,4,1
