RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.05282371,0.90448050,0.28399550,0.05282371,0.90448050,0.28399550,0.05282371,0.90448050,0.28399550,0.02714865,0.90709560,0.28536820,0.00431742,0.90271110,0.27548460,-0.02818309,0.89920730,0.27062100,-0.06218129,0.90351150,0.26827260,-0.03398247,0.95298030,0.26779950,-0.06949697,0.96485670,0.25863700,-0.09371622,0.96971290,0.25826260,-0.02019034,0.96839130,0.27718540,-0.05656514,0.99247900,0.27640370,-0.08053711,1.00688300,0.27784220,-0.00691734,0.97407750,0.29262550,-0.03135400,1.00517400,0.29528790,-0.05041061,1.02352300,0.30074480,0.03513028,0.93870360,0.30279710,0.00690778,0.97482870,0.30998690,0.00117255,1.00550400,0.31108210,-0.00574699,1.02398900,0.31713960,-0.08658524,0.90035180,0.26371010,-0.11555200,0.97609450,0.25764130,-0.10224550,1.01995900,0.27961730,-0.06914893,1.03891800,0.30584690,-0.01442631,1.04409000,0.32147400,4,3
0.05500567,0.90437300,0.28445400,0.05500567,0.90437300,0.28445400,0.05500567,0.90437300,0.28445400,0.02933327,0.90700920,0.28583600,0.00652117,0.90264760,0.27589830,-0.02596293,0.89928030,0.27083280,-0.05992802,0.90382060,0.26845030,-0.03175976,0.95297700,0.26835210,-0.06732406,0.96476550,0.25926970,-0.09156632,0.96951340,0.25901660,-0.01795177,0.96836060,0.27775950,-0.05435561,0.99241060,0.27719680,-0.07836358,1.00673200,0.27884440,-0.00467051,0.97401040,0.29320590,-0.02906176,1.00514600,0.29583200,-0.04809942,1.02352000,0.30126670,0.03734707,0.93858250,0.30331310,0.00915878,0.97472170,0.31056560,0.00350894,1.00540900,0.31176500,-0.00345116,1.02382500,0.31798600,-0.08435602,0.90087960,0.26387030,-0.11344110,0.97577330,0.25854650,-0.10009600,1.01974300,0.28079470,-0.06683126,1.03892600,0.30636210,-0.01217234,1.04386900,0.32249460,4,3
0.05697782,0.90425750,0.28489100,0.05697782,0.90425750,0.28489100,0.05697782,0.90425750,0.28489100,0.03130821,0.90691500,0.28628390,0.00846492,0.90260080,0.27639730,-0.02401780,0.89959100,0.27110310,-0.05792405,0.90422840,0.26814030,-0.02974809,0.95296220,0.26888060,-0.06527933,0.96480080,0.25973430,-0.08950448,0.96962710,0.25935520,-0.01592352,0.96832030,0.27830520,-0.05227400,0.99244700,0.27759720,-0.07624698,1.00684000,0.27912430,-0.00263279,0.97393670,0.29375570,-0.02702662,1.00506700,0.29641180,-0.04604876,1.02346100,0.30183620,0.03935554,0.93845700,0.30380220,0.01120204,0.97461160,0.31111230,0.00555593,1.00529900,0.31233100,-0.00142428,1.02369700,0.31858070,-0.08231385,0.90148800,0.26324320,-0.11135460,0.97596260,0.25876410,-0.09793635,1.01994300,0.28093520,-0.06474648,1.03892300,0.30688500,-0.01014950,1.04373600,0.32310430,4,3
0.05909990,0.90414890,0.28574630,0.05909990,0.90414890,0.28574630,0.05909990,0.90414890,0.28574630,0.03343290,0.90675820,0.28727230,0.01052813,0.90236180,0.27756580,-0.02196565,0.89955060,0.27223040,-0.05583925,0.90419230,0.26892100,-0.02781850,0.95260100,0.27001570,-0.06340781,0.96431520,0.26093520,-0.08763589,0.96912630,0.26054970,-0.01397401,0.96802870,0.27929640,-0.05035495,0.99210740,0.27852390,-0.07433440,1.00649500,0.27999940,-0.00060864,0.97373960,0.29464750,-0.02507950,1.00481200,0.29728200,-0.04411719,1.02319100,0.30270120,0.04151120,0.93839210,0.30460950,0.01332207,0.97451840,0.31192290,0.00760056,1.00519700,0.31302500,0.00057303,1.02358400,0.31925180,-0.08021621,0.90156330,0.26390050,-0.10948950,0.97544780,0.25994030,-0.09601691,1.01961900,0.28173540,-0.06281087,1.03866300,0.30773360,-0.00820107,1.04360900,0.32374310,4,3
0.06116694,0.90402110,0.28657760,0.06116694,0.90402110,0.28657760,0.06116694,0.90402110,0.28657760,0.03550369,0.90659190,0.28822690,0.01254673,0.90212480,0.27867730,-0.01995379,0.89950200,0.27328720,-0.05379243,0.90417610,0.26967920,-0.02591610,0.95226320,0.27111490,-0.06155919,0.96386300,0.26209860,-0.08579083,0.96865610,0.26171350,-0.01205058,0.96774990,0.28026510,-0.04845800,0.99178710,0.27944490,-0.07244359,1.00616800,0.28088360,0.00138421,0.97354210,0.29552490,-0.02314843,1.00456700,0.29814100,-0.04219905,1.02293300,0.30356160,0.04361663,0.93830530,0.30540200,0.01540291,0.97441040,0.31272470,0.00962216,1.00508100,0.31372870,0.00255111,1.02345400,0.31994770,-0.07816134,0.90167190,0.26455700,-0.10764970,0.97495880,0.26109670,-0.09412022,1.01931000,0.28256060,-0.06089121,1.03840800,0.30858940,-0.00626919,1.04346200,0.32442430,4,3
0.06300193,0.90389670,0.28731710,0.06300193,0.90389670,0.28731710,0.06300193,0.90389670,0.28731710,0.03734274,0.90643740,0.28907280,0.01439013,0.90188480,0.27955310,-0.01806481,0.89958290,0.27375720,-0.05181088,0.90454270,0.26969250,-0.02421655,0.95196870,0.27208940,-0.05984312,0.96357200,0.26301260,-0.08405630,0.96844610,0.26250360,-0.01033194,0.96750380,0.28112780,-0.04678963,0.99146920,0.28045450,-0.07078683,1.00582300,0.28197170,0.00316276,0.97336350,0.29630880,-0.02143119,1.00432500,0.29908900,-0.04051079,1.02261300,0.30467050,0.04548801,0.93821690,0.30610990,0.01725689,0.97430630,0.31344290,0.01143805,1.00497200,0.31437440,0.00440974,1.02338400,0.32052700,-0.07613605,0.90228690,0.26425660,-0.10589120,0.97481880,0.26176860,-0.09245735,1.01897000,0.28368350,-0.05922703,1.03800500,0.30985950,-0.00438786,1.04341400,0.32494930,4,3
0.06414851,0.90294590,0.28891890,0.06414851,0.90294590,0.28891890,0.06414851,0.90294590,0.28891890,0.03849674,0.90553530,0.29071160,0.01555504,0.90092540,0.28119320,-0.01684304,0.89898480,0.27496320,-0.05047163,0.90428230,0.27038350,-0.02303535,0.95103130,0.27353600,-0.05860022,0.96268400,0.26428220,-0.08278245,0.96768720,0.26358850,-0.00910956,0.96661080,0.28243360,-0.04554806,0.99060400,0.28171620,-0.06952157,1.00500100,0.28319530,0.00442604,0.97255950,0.29754330,-0.02014469,1.00354300,0.30028820,-0.03921255,1.02183300,0.30589990,0.04672318,0.93742390,0.30750390,0.01855842,0.97360460,0.31464000,0.01278640,1.00428500,0.31536680,0.00582498,1.02276900,0.32137830,-0.07474617,0.90230700,0.26462170,-0.10457800,0.97417070,0.26267500,-0.09115525,1.01821800,0.28483720,-0.05792028,1.03722100,0.31113420,-0.00291676,1.04285300,0.32566120,4,3
0.06534381,0.90206520,0.29042660,0.06534381,0.90206520,0.29042660,0.06534381,0.90206520,0.29042660,0.03969946,0.90470020,0.29225830,0.01673983,0.90005420,0.28280090,-0.01562218,0.89842300,0.27630060,-0.04915528,0.90403320,0.27140400,-0.02180999,0.95016620,0.27492290,-0.05725973,0.96202810,0.26549490,-0.08137731,0.96729490,0.26454720,-0.00784427,0.96578430,0.28368930,-0.04425630,0.98981620,0.28292170,-0.06820256,1.00426300,0.28435800,0.00573213,0.97181250,0.29873080,-0.01876344,1.00287600,0.30123500,-0.03778866,1.02125000,0.30671580,0.04800458,0.93668570,0.30882620,0.01990319,0.97294920,0.31578950,0.01421472,1.00364800,0.31636920,0.00735128,1.02220300,0.32227470,-0.07345919,0.90249900,0.26563170,-0.10309530,0.97400010,0.26341340,-0.08980045,1.01754600,0.28593510,-0.05647205,1.03669600,0.31186430,-0.00128557,1.04235700,0.32644060,4,3
0.06656514,0.90112690,0.29196980,0.06656514,0.90112690,0.29196980,0.06656514,0.90112690,0.29196980,0.04092566,0.90377830,0.29384550,0.01795256,0.89907770,0.28444800,-0.01436826,0.89771220,0.27768670,-0.04781020,0.90358730,0.27248680,-0.02061383,0.94915810,0.27639140,-0.05596715,0.96117850,0.26680340,-0.08002463,0.96666640,0.26561350,-0.00662453,0.96482310,0.28503560,-0.04303706,0.98885320,0.28423490,-0.06697282,1.00332000,0.28564000,0.00698789,0.97093440,0.30001090,-0.01746746,1.00204600,0.30229740,-0.03647098,1.02047700,0.30766230,0.04927593,0.93585650,0.31021030,0.02119855,0.97216580,0.31703010,0.01555952,1.00287600,0.31748490,0.00876759,1.02148400,0.32330410,-0.07213429,0.90245990,0.26670580,-0.10167320,0.97355500,0.26427170,-0.08855037,1.01664300,0.28716290,-0.05514746,1.03595600,0.31273800,0.00020678,1.04169000,0.32737420,4,3
0.06766723,0.90031720,0.29331080,0.06766723,0.90031720,0.29331080,0.06766723,0.90031720,0.29331080,0.04203222,0.90298350,0.29522600,0.01904808,0.89823630,0.28587900,-0.01322892,0.89711960,0.27886750,-0.04658075,0.90324050,0.27338030,-0.01953317,0.94829110,0.27767570,-0.05479510,0.96045820,0.26793730,-0.07879315,0.96614790,0.26651810,-0.00552279,0.96399510,0.28621430,-0.04193579,0.98802360,0.28538740,-0.06586222,1.00250900,0.28676630,0.00812163,0.97017680,0.30113150,-0.01629608,1.00133200,0.30322220,-0.03528049,1.01981200,0.30848340,0.05042296,0.93513970,0.31141610,0.02236744,0.97148840,0.31811520,0.01677574,1.00220800,0.31846750,0.01004770,1.02086100,0.32421690,-0.07091649,0.90249620,0.26758630,-0.10037490,0.97320350,0.26498120,-0.08742112,1.01586700,0.28824070,-0.05395187,1.03531800,0.31349530,0.00155518,1.04111200,0.32820920,4,3
