RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.39816300,0.81484130,0.28624330,0.39816300,0.81484130,0.28624330,0.39816300,0.81484130,0.28624330,0.38847800,0.83720830,0.27764980,0.39136740,0.86220330,0.27539750,0.38655530,0.89489850,0.27567920,0.37629430,0.92752530,0.27886160,0.34211100,0.89812990,0.29467190,0.32426060,0.93142920,0.30233980,0.31248100,0.95261490,0.30710440,0.32840110,0.88106500,0.30072510,0.29702260,0.90987550,0.31017500,0.27674110,0.92816930,0.31635530,0.31981820,0.86217270,0.29668530,0.28572100,0.87811710,0.30911040,0.26213680,0.88921410,0.31619940,0.35581680,0.82124660,0.28435930,0.31460260,0.84212460,0.28868640,0.28515450,0.84249940,0.29906770,0.26566780,0.84097900,0.30571740,0.37963270,0.95220760,0.28130930,0.30121850,0.97041890,0.31571190,0.25904010,0.94329430,0.32651900,0.24165710,0.89964780,0.32546670,0.24552320,0.84109250,0.31532630,4,4
0.39840360,0.81617990,0.28648310,0.39840360,0.81617990,0.28648310,0.39840360,0.81617990,0.28648310,0.38870630,0.83853170,0.27786390,0.39173470,0.86352120,0.27573640,0.38708380,0.89623810,0.27616770,0.37684110,0.92886410,0.27941590,0.34230330,0.89944580,0.29481460,0.32442160,0.93274490,0.30241040,0.31262210,0.95392980,0.30712870,0.32860280,0.88237980,0.30088600,0.29722330,0.91120370,0.31029160,0.27694110,0.92950630,0.31644370,0.32003100,0.86347810,0.29686670,0.28591580,0.87941570,0.30925110,0.26232440,0.89049950,0.31633680,0.35605380,0.82255890,0.28458900,0.31482740,0.84341800,0.28888990,0.28525870,0.84395320,0.29891510,0.26564500,0.84257760,0.30521370,0.38019300,0.95353390,0.28196950,0.30134050,0.97174110,0.31569580,0.25925320,0.94462880,0.32663380,0.24184090,0.90092190,0.32560830,0.24529490,0.84287260,0.31437540,4,4
0.39796500,0.81771620,0.28691760,0.39796500,0.81771620,0.28691760,0.39796500,0.81771620,0.28691760,0.38828280,0.84008510,0.27832570,0.39147310,0.86506830,0.27636750,0.38701660,0.89780880,0.27700970,0.37683070,0.93043930,0.28038850,0.34193390,0.90101780,0.29535710,0.32407020,0.93432520,0.30295860,0.31228230,0.95551570,0.30768090,0.32822170,0.88395620,0.30141450,0.29688630,0.91281530,0.31085940,0.27663230,0.93114050,0.31703670,0.31963350,0.86506570,0.29737770,0.28552990,0.88101600,0.30977760,0.26195100,0.89210340,0.31689890,0.35561980,0.82413100,0.28504420,0.31441140,0.84501840,0.28938100,0.28475560,0.84570460,0.29913640,0.26504110,0.84446680,0.30514200,0.38022490,0.95508750,0.28308950,0.30100970,0.97333130,0.31625110,0.25898400,0.94626120,0.32729790,0.24148430,0.90252150,0.32621250,0.24452660,0.84492950,0.31392220,4,4
0.39758340,0.81921930,0.28734630,0.39758340,0.81921930,0.28734630,0.39758340,0.81921930,0.28734630,0.38791580,0.84160090,0.27877120,0.39126030,0.86657550,0.27696680,0.38698860,0.89933650,0.27779840,0.37685180,0.93197080,0.28128580,0.34161490,0.90255620,0.29585220,0.32376660,0.93587460,0.30344160,0.31198850,0.95707220,0.30815700,0.32789140,0.88550060,0.30190100,0.29659860,0.91439630,0.31137470,0.27637160,0.93274520,0.31757030,0.31928860,0.86661910,0.29785330,0.28519590,0.88258490,0.31026320,0.26162900,0.89367740,0.31741620,0.35524250,0.82566630,0.28548550,0.31405030,0.84658090,0.28984420,0.28432390,0.84740330,0.29937150,0.26452400,0.84629290,0.30511520,0.38028230,0.95659940,0.28411720,0.30072320,0.97489520,0.31672130,0.25876220,0.94786630,0.32789750,0.24117910,0.90409290,0.32676940,0.24386750,0.84691350,0.31354600,4,4
0.39724590,0.82069920,0.28777130,0.39724590,0.82069920,0.28777130,0.39724590,0.82069920,0.28777130,0.38759290,0.84309040,0.27920480,0.39114310,0.86805030,0.27760170,0.38714080,0.90084100,0.27858540,0.37718430,0.93352180,0.28215690,0.34133510,0.90407130,0.29631110,0.32367240,0.93746940,0.30398450,0.31201230,0.95872000,0.30875360,0.32760060,0.88702300,0.30235540,0.29631840,0.91594070,0.31179760,0.27609810,0.93430370,0.31797290,0.31898450,0.86814880,0.29830210,0.28488940,0.88417630,0.31062560,0.26132530,0.89530800,0.31772660,0.35490920,0.82717570,0.28591680,0.31373170,0.84811690,0.29028660,0.28398750,0.84927070,0.29972330,0.26413450,0.84840870,0.30532470,0.38074930,0.95811620,0.28511670,0.30085070,0.97658780,0.31736050,0.25850790,0.94941920,0.32834100,0.24087430,0.90575890,0.32703780,0.24341360,0.84930010,0.31357120,4,4
0.39717840,0.82240950,0.28843430,0.39717840,0.82240950,0.28843430,0.39717840,0.82240950,0.28843430,0.38754700,0.84486120,0.28000290,0.39129410,0.86981220,0.27874560,0.38754760,0.90262100,0.28007270,0.37775360,0.93532030,0.28391310,0.34131820,0.90576420,0.29746160,0.32382300,0.93918990,0.30539380,0.31226960,0.96046110,0.31032800,0.32756760,0.88868740,0.30338750,0.29629130,0.91757110,0.31295220,0.27607450,0.93591180,0.31920490,0.31894170,0.86984520,0.29920810,0.28483620,0.88585710,0.31152340,0.26127050,0.89698310,0.31862810,0.35484760,0.82892680,0.28658970,0.31368110,0.84986820,0.29106190,0.28391510,0.85126810,0.30039620,0.26401020,0.85060280,0.30583800,0.38143880,0.95986250,0.28714620,0.30119780,0.97831910,0.31907020,0.25849690,0.95095920,0.32969270,0.24081310,0.90741030,0.32795180,0.24322290,0.85169830,0.31389000,4,4
0.39711910,0.82403980,0.28905830,0.39711910,0.82403980,0.28905830,0.39711910,0.82403980,0.28905830,0.38750790,0.84654360,0.28074340,0.39144250,0.87147970,0.27980450,0.38794060,0.90430130,0.28144560,0.37829660,0.93701630,0.28552470,0.34130530,0.90737930,0.29850340,0.32396780,0.94083320,0.30665980,0.31251470,0.96212490,0.31173720,0.32753960,0.89027890,0.30432570,0.29627010,0.91913560,0.31399370,0.27605740,0.93745850,0.32031150,0.31890470,0.87146540,0.30003680,0.28479030,0.88746880,0.31233820,0.26122360,0.89859240,0.31944360,0.35479370,0.83059410,0.28721940,0.31363730,0.85153690,0.29177730,0.28385340,0.85317360,0.30101510,0.26390150,0.85269980,0.30630280,0.38209190,0.96150790,0.28900490,0.30152730,0.97997730,0.32059650,0.25849320,0.95244510,0.33090830,0.24076120,0.90900060,0.32877750,0.24305240,0.85399730,0.31416300,4,4
0.39706550,0.82565150,0.28966740,0.39706550,0.82565150,0.28966740,0.39706550,0.82565150,0.28966740,0.38747400,0.84820160,0.28145620,0.39164990,0.87310960,0.28088110,0.38846050,0.90594320,0.28288050,0.37911120,0.93870330,0.28727180,0.34129600,0.90897790,0.29948180,0.32391900,0.94238320,0.30775270,0.31243600,0.96364800,0.31287520,0.32751570,0.89185760,0.30521040,0.29625230,0.92072270,0.31487300,0.27604290,0.93905070,0.32118650,0.31887240,0.87307070,0.30082310,0.28478400,0.88913830,0.31311290,0.26124330,0.90030400,0.32023820,0.35474550,0.83224070,0.28783070,0.31359870,0.85318610,0.29246220,0.28390940,0.85459270,0.30203680,0.26403020,0.85395780,0.30757490,0.38312290,0.96311350,0.29106610,0.30140870,0.98147080,0.32174440,0.25847910,0.95401190,0.33181970,0.24080250,0.91073450,0.32959470,0.24327320,0.85507540,0.31570210,4,4
0.39748550,0.82765890,0.28988310,0.39748550,0.82765890,0.28988310,0.39748550,0.82765890,0.28988310,0.38792670,0.85027470,0.28181560,0.39234060,0.87514760,0.28164510,0.38946050,0.90798210,0.28405820,0.38039310,0.94077090,0.28881160,0.34178780,0.91097240,0.30020250,0.32439210,0.94432400,0.30864870,0.31289320,0.96555920,0.31385760,0.32798330,0.89382710,0.30579640,0.29673390,0.92269220,0.31550410,0.27653280,0.94101990,0.32184500,0.31932650,0.87507960,0.30126950,0.28526260,0.89119480,0.31356510,0.26174710,0.90239360,0.32072140,0.35517440,0.83430360,0.28804020,0.31404300,0.85525830,0.29276550,0.28443820,0.85645750,0.30262540,0.26462100,0.85568230,0.30836460,0.38461010,0.96508910,0.29295780,0.30183660,0.98334080,0.32277290,0.25897150,0.95593920,0.33254110,0.24132600,0.91283190,0.33011220,0.24394120,0.85663870,0.31670610,4,4
0.39786860,0.82962020,0.29012260,0.39786860,0.82962020,0.29012260,0.39786860,0.82962020,0.29012260,0.38834100,0.85229560,0.28218660,0.39298470,0.87712630,0.28240250,0.39040510,0.90995440,0.28520920,0.38160560,0.94276510,0.29030290,0.34223850,0.91292050,0.30090180,0.32483070,0.94622520,0.30950710,0.31332040,0.96743490,0.31479410,0.32841100,0.89575370,0.30637120,0.29717550,0.92462160,0.31611480,0.27698270,0.94295110,0.32247750,0.31974160,0.87704340,0.30171610,0.28570120,0.89320770,0.31401210,0.26220960,0.90444000,0.32119470,0.35556610,0.83631710,0.28827210,0.31444930,0.85728120,0.29308120,0.28492590,0.85829540,0.30320270,0.26516650,0.85739700,0.30912030,0.38601610,0.96699000,0.29478100,0.30223930,0.98518060,0.32375030,0.25942470,0.95783170,0.33323260,0.24180750,0.91488780,0.33061610,0.24455680,0.85821300,0.31764830,4,4
0.39822800,0.83158390,0.29038810,0.39822800,0.83158390,0.29038810,0.39822800,0.83158390,0.29038810,0.38873080,0.85431500,0.28257600,0.39364060,0.87908720,0.28321420,0.39141670,0.91190400,0.28642710,0.38310800,0.94477180,0.29195810,0.34266310,0.91487090,0.30159790,0.32522280,0.94815930,0.31020020,0.31367540,0.96937420,0.31538480,0.32881330,0.89768480,0.30694930,0.29753050,0.92650620,0.31667910,0.27730690,0.94480530,0.32303150,0.32013180,0.87901070,0.30217300,0.28609320,0.89513530,0.31452590,0.26261030,0.90633690,0.32178440,0.35593390,0.83833130,0.28852850,0.31483110,0.85930520,0.29341470,0.28555540,0.86031600,0.30423200,0.26595060,0.85940700,0.31064200,0.38787360,0.96885140,0.29683800,0.30251480,0.98716580,0.32414910,0.25969380,0.95965150,0.33374400,0.24221700,0.91673670,0.33127760,0.24555500,0.86020320,0.31967150,4,4
