RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.28167910,1.03538600,0.39053250,0.28167910,1.03538600,0.39053250,0.28167910,1.03538600,0.39053250,0.28533940,1.05298600,0.37293550,0.29520250,1.06856600,0.35666840,0.30218100,1.09507500,0.33983380,0.27631140,1.11417300,0.33067240,0.28485450,1.12786100,0.35805580,0.28880270,1.16501900,0.35460870,0.29003890,1.18811400,0.34802910,0.26535990,1.12596400,0.36830630,0.26189910,1.16825100,0.36637070,0.25918120,1.19526100,0.36390260,0.24756840,1.11599400,0.37104000,0.23505440,1.15248200,0.37186610,0.22634100,1.17728700,0.37215970,0.25160130,1.06265000,0.38087860,0.23127020,1.10179700,0.37117290,0.21484460,1.12679700,0.36578270,0.20259170,1.14235400,0.36236000,0.25222910,1.11159900,0.33328970,0.29027280,1.21005300,0.34497560,0.25713240,1.21968800,0.36715630,0.21983630,1.20033600,0.37504300,0.19124330,1.16081000,0.36076090,3,5
0.28190960,1.03494400,0.39022160,0.28190960,1.03494400,0.39022160,0.28190960,1.03494400,0.39022160,0.28560860,1.05256400,0.37265260,0.29553590,1.06816500,0.35644420,0.30259630,1.09475600,0.33977480,0.27676550,1.11388700,0.33057250,0.28512800,1.12745400,0.35784850,0.28906780,1.16461900,0.35447170,0.29031360,1.18772900,0.34794460,0.26560690,1.12553800,0.36804480,0.26209540,1.16782200,0.36615740,0.25934710,1.19483100,0.36371400,0.24781280,1.11555600,0.37072060,0.23521060,1.15201300,0.37158180,0.22643780,1.17679600,0.37189890,0.25184480,1.06220400,0.38051520,0.23152110,1.10135100,0.37079520,0.21508430,1.12635600,0.36546160,0.20282410,1.14191600,0.36207830,0.25265870,1.11136100,0.33300530,0.29054450,1.20967200,0.34491980,0.25725640,1.21925300,0.36698430,0.21987270,1.19982500,0.37480710,0.19146470,1.16037000,0.36052930,3,5
0.28212720,1.03449300,0.38992470,0.28212720,1.03449300,0.38992470,0.28212720,1.03449300,0.38992470,0.28586230,1.05213200,0.37238120,0.29574000,1.06775400,0.35616370,0.30272450,1.09433300,0.33944240,0.27684250,1.11340900,0.33026980,0.28538890,1.12703500,0.35764580,0.28930610,1.16420800,0.35433090,0.29054920,1.18732900,0.34784380,0.26584370,1.12510100,0.36779250,0.26232400,1.16738300,0.36585570,0.25956810,1.19438600,0.36335020,0.24804700,1.11511100,0.37041540,0.23539920,1.15155300,0.37122500,0.22659630,1.17632600,0.37150650,0.25207560,1.06175100,0.38017010,0.23176060,1.10090000,0.37043690,0.21531410,1.12592100,0.36521110,0.20304710,1.14149200,0.36190760,0.25274940,1.11082300,0.33277470,0.29076210,1.20927100,0.34481020,0.25745700,1.21881100,0.36657740,0.21999580,1.19934800,0.37438600,0.19168070,1.15994900,0.36045190,3,5
0.28244440,1.03415400,0.39000490,0.28244440,1.03415400,0.39000490,0.28244440,1.03415400,0.39000490,0.28623910,1.05181400,0.37249560,0.29609750,1.06745500,0.35628470,0.30304900,1.09402700,0.33953760,0.27714370,1.11307900,0.33038240,0.28584450,1.12673700,0.35785730,0.28977280,1.16391500,0.35462140,0.29103610,1.18705000,0.34818450,0.26626880,1.12479900,0.36794450,0.26277600,1.16708200,0.36597750,0.26003580,1.19408100,0.36342320,0.24845980,1.11481300,0.37050240,0.23579700,1.15125100,0.37127190,0.22698460,1.17602100,0.37152560,0.25243440,1.06143900,0.38019860,0.23216660,1.10061000,0.37045770,0.21573390,1.12566300,0.36533990,0.20347490,1.14125700,0.36211440,0.25305870,1.11046000,0.33293030,0.29125180,1.20899200,0.34515230,0.25792270,1.21851100,0.36661860,0.22036700,1.19904100,0.37438430,0.19211770,1.15972700,0.36075150,3,5
0.28274470,1.03379900,0.39006290,0.28274470,1.03379900,0.39006290,0.28274470,1.03379900,0.39006290,0.28659520,1.05147800,0.37258550,0.29643280,1.06713800,0.35637920,0.30335050,1.09370100,0.33960630,0.27742100,1.11273100,0.33047080,0.28627490,1.12641900,0.35803740,0.29021160,1.16360400,0.35487820,0.29149270,1.18675100,0.34849080,0.26667100,1.12447800,0.36806900,0.26320180,1.16676100,0.36606610,0.26047470,1.19375700,0.36345840,0.24885040,1.11449800,0.37056630,0.23616910,1.15093000,0.37129370,0.22734500,1.17569600,0.37151800,0.25277410,1.06111000,0.38020830,0.23255090,1.10030200,0.37046020,0.21612910,1.12538600,0.36545940,0.20387610,1.14100200,0.36231870,0.25334390,1.11008100,0.33306150,0.29170940,1.20869200,0.34545700,0.25835850,1.21819100,0.36661770,0.22070840,1.19871400,0.37435420,0.19252680,1.15948300,0.36105540,3,5
0.28303120,1.03343200,0.39010340,0.28303120,1.03343200,0.39010340,0.28303120,1.03343200,0.39010340,0.28693430,1.05112900,0.37265600,0.29663040,1.06680900,0.35638440,0.30333830,1.09324300,0.33932380,0.27728460,1.11214200,0.33026980,0.28668470,1.12608700,0.35819240,0.29065110,1.16327300,0.35509310,0.29197690,1.18644600,0.34880870,0.26705440,1.12414400,0.36817160,0.26361770,1.16643200,0.36623000,0.26089890,1.19342400,0.36357690,0.24922300,1.11416800,0.37061200,0.23652180,1.15059600,0.37123220,0.22768510,1.17535800,0.37138300,0.25309820,1.06076700,0.38020330,0.23291750,1.09998000,0.37044800,0.21647980,1.12505100,0.36543620,0.20421830,1.14065400,0.36226310,0.25325580,1.10937600,0.33316880,0.29222770,1.20840100,0.34587390,0.25876970,1.21786600,0.36666130,0.22102770,1.19837700,0.37415620,0.19285170,1.15912300,0.36097060,3,5
0.28365550,1.03304400,0.39011080,0.28365550,1.03304400,0.39011080,0.28365550,1.03304400,0.39011080,0.28754520,1.05075300,0.37267270,0.29704640,1.06645100,0.35630380,0.30348160,1.09275300,0.33893740,0.27727060,1.11150500,0.33003350,0.28727460,1.12572000,0.35825850,0.29123690,1.16290900,0.35518940,0.29257160,1.18610400,0.34899020,0.26765050,1.12376700,0.36824800,0.26421260,1.16605700,0.36635440,0.26147690,1.19304300,0.36365280,0.24982230,1.11378700,0.37069250,0.23708100,1.15020200,0.37123290,0.22821720,1.17495400,0.37132950,0.25371200,1.06038000,0.38024640,0.23351900,1.09959600,0.37052880,0.21703590,1.12464400,0.36555180,0.20474720,1.14022600,0.36238310,0.25330290,1.10862100,0.33329990,0.29283200,1.20807000,0.34613800,0.25932980,1.21749300,0.36666040,0.22153390,1.19797200,0.37405270,0.19334950,1.15867700,0.36109460,3,5
0.28421680,1.03267200,0.39011110,0.28421680,1.03267200,0.39011110,0.28421680,1.03267200,0.39011110,0.28809690,1.05039200,0.37268220,0.29740880,1.06610600,0.35622030,0.30357570,1.09227800,0.33856110,0.27721320,1.11088500,0.32980360,0.28781100,1.12536800,0.35831400,0.29177060,1.16256000,0.35527500,0.29311540,1.18577600,0.34915810,0.26819140,1.12340600,0.36831070,0.26475350,1.16569900,0.36646010,0.26200240,1.19267700,0.36370930,0.25036540,1.11342300,0.37075660,0.23758570,1.14982500,0.37121730,0.22869580,1.17456800,0.37125950,0.25426580,1.06001100,0.38027610,0.23406390,1.09923000,0.37059110,0.21753840,1.12425700,0.36564920,0.20522450,1.13982000,0.36248600,0.25330980,1.10789200,0.33342360,0.29338560,1.20775200,0.34638390,0.25983790,1.21713600,0.36664130,0.22198720,1.19758400,0.37393280,0.19379770,1.15825300,0.36120300,3,5
0.28475280,1.03229000,0.39010360,0.28475280,1.03229000,0.39010360,0.28475280,1.03229000,0.39010360,0.28862670,1.05002100,0.37268450,0.29787170,1.06574800,0.35619690,0.30387070,1.09164000,0.33807370,0.27742100,1.11009000,0.32924610,0.28833050,1.12500600,0.35836240,0.29228620,1.16219700,0.35530340,0.29361760,1.18539900,0.34912960,0.26871380,1.12303600,0.36836330,0.26531580,1.16533200,0.36651500,0.26256770,1.19229900,0.36364730,0.25088930,1.11305000,0.37080790,0.23807900,1.14944100,0.37129830,0.22916810,1.17417700,0.37136080,0.25479680,1.05963200,0.38029370,0.23458890,1.09885600,0.37063830,0.21796860,1.12380700,0.36563090,0.20559800,1.13930900,0.36239020,0.25355470,1.10712500,0.33312580,0.29386910,1.20736200,0.34625670,0.26039350,1.21677700,0.36640300,0.22244130,1.19718500,0.37405220,0.19409940,1.15769100,0.36102160,3,5
0.28507440,1.03169500,0.39007380,0.28507440,1.03169500,0.39007380,0.28507440,1.03169500,0.39007380,0.28898300,1.04950200,0.37274040,0.29819380,1.06529500,0.35629690,0.30407210,1.09098100,0.33784420,0.27756700,1.10935000,0.32901350,0.28879810,1.12455300,0.35876970,0.29280660,1.16175000,0.35585010,0.29416500,1.18496300,0.34972420,0.26917260,1.12256400,0.36874960,0.26587440,1.16487500,0.36707460,0.26316970,1.19184600,0.36420280,0.25133310,1.11259100,0.37113670,0.23854420,1.14898700,0.37178790,0.22964810,1.17372700,0.37195960,0.25516170,1.05912400,0.38037420,0.23501330,1.09842000,0.37089080,0.21834360,1.12334400,0.36591530,0.20594460,1.13882100,0.36265840,0.25373310,1.10642800,0.33311780,0.29443390,1.20692600,0.34685360,0.26101870,1.21633300,0.36688870,0.22293370,1.19672800,0.37475330,0.19440610,1.15717600,0.36127820,3,5
