RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.30465020,0.78986590,0.27159590,0.30465020,0.78986590,0.27159590,0.30465020,0.78986590,0.27159590,0.29202910,0.81047300,0.26460400,0.28038800,0.82967470,0.25458320,0.26413830,0.85683290,0.24882090,0.24615040,0.86900010,0.27424350,0.28347570,0.88553290,0.27559070,0.27505970,0.92209820,0.27616610,0.26874980,0.94529750,0.27660960,0.28315480,0.87862480,0.29658790,0.27535920,0.91903380,0.30708780,0.27018240,0.94488560,0.31400720,0.27651830,0.86540250,0.31088990,0.27158480,0.89943610,0.32838380,0.26780520,0.92257390,0.34028450,0.28368420,0.81269210,0.29953500,0.26803260,0.84876090,0.32176420,0.26248490,0.86955730,0.34322570,0.25358870,0.88239350,0.35587290,0.24325970,0.85909630,0.29631150,0.26611500,0.96708700,0.27960560,0.26892800,0.96825590,0.32199030,0.26690440,0.94411500,0.35110380,0.24070950,0.89747720,0.36473730,3,7
0.30483540,0.78999720,0.27158580,0.30483540,0.78999720,0.27158580,0.30483540,0.78999720,0.27158580,0.29217940,0.81061600,0.26469180,0.28050310,0.82983390,0.25474330,0.26411730,0.85692280,0.24904130,0.24624360,0.86906280,0.27455730,0.28374650,0.88567460,0.27577940,0.27540910,0.92225580,0.27647350,0.26903530,0.94543670,0.27696410,0.28356440,0.87875460,0.29677440,0.27590730,0.91919060,0.30727200,0.27082720,0.94506100,0.31419350,0.27701730,0.86552810,0.31111360,0.27232870,0.89962610,0.32854930,0.26874060,0.92280790,0.34042350,0.28407380,0.81282000,0.29968000,0.26859580,0.84888540,0.32203590,0.26305840,0.86974320,0.34344040,0.25427800,0.88260810,0.35613910,0.24352750,0.85918260,0.29665800,0.26635040,0.96721730,0.27998060,0.26965210,0.96844510,0.32214860,0.26801640,0.94437800,0.35119840,0.24155870,0.89774100,0.36514950,3,7
0.30510290,0.79011580,0.27133990,0.30510290,0.79011580,0.27133990,0.30510290,0.79011580,0.27133990,0.29256220,0.81081830,0.26448650,0.28105130,0.83014210,0.25455040,0.26469560,0.85724450,0.24882580,0.24659320,0.86925980,0.27423950,0.28427370,0.88582830,0.27600390,0.27609890,0.92244140,0.27691270,0.26971830,0.94561840,0.27749640,0.28391170,0.87877130,0.29695090,0.27634350,0.91918660,0.30759200,0.27132430,0.94504400,0.31460570,0.27721610,0.86547130,0.31115290,0.27260180,0.89953120,0.32868260,0.26908450,0.92268830,0.34062610,0.28419880,0.81281770,0.29942620,0.26866160,0.84878330,0.32190160,0.26289080,0.86957070,0.34331290,0.25406130,0.88239930,0.35601440,0.24369370,0.85928060,0.29627230,0.26699900,0.96737900,0.28062370,0.27016380,0.96839470,0.32266010,0.26842450,0.94421970,0.35148210,0.24135080,0.89753490,0.36503280,3,7
0.30535260,0.79022610,0.27111890,0.30535260,0.79022610,0.27111890,0.30535260,0.79022610,0.27111890,0.29292170,0.81100890,0.26430860,0.28157420,0.83043420,0.25438240,0.26525810,0.85755450,0.24862970,0.24695610,0.86947370,0.27394540,0.28479910,0.88597610,0.27621620,0.27679470,0.92262140,0.27732380,0.27041590,0.94579660,0.27799140,0.28428150,0.87879710,0.29711850,0.27682190,0.91919680,0.30789470,0.27187550,0.94504450,0.31499530,0.27745350,0.86543540,0.31119900,0.27293760,0.89946370,0.32881550,0.26950110,0.92260040,0.34082170,0.28434280,0.81282960,0.29920590,0.26877770,0.84871210,0.32179440,0.26281050,0.86943380,0.34321560,0.25394020,0.88222910,0.35592220,0.24388730,0.85941350,0.29591840,0.26767230,0.96753990,0.28121620,0.27073730,0.96836580,0.32313750,0.26891150,0.94409810,0.35174850,0.24121600,0.89736100,0.36492730,3,7
0.30559880,0.79033450,0.27091030,0.30559880,0.79033450,0.27091030,0.30559880,0.79033450,0.27091030,0.29327880,0.81119890,0.26414780,0.28211200,0.83072850,0.25422140,0.26596860,0.85795000,0.24845970,0.24751450,0.86983860,0.27367920,0.28535410,0.88612690,0.27642940,0.27751260,0.92279980,0.27776500,0.27116750,0.94598070,0.27854680,0.28469580,0.87883350,0.29728800,0.27729000,0.91920250,0.30821530,0.27234740,0.94502740,0.31540130,0.27774310,0.86541780,0.31125580,0.27345140,0.89936880,0.32907640,0.27017700,0.92245520,0.34122410,0.28451370,0.81285550,0.29900700,0.26895020,0.84866670,0.32170970,0.26309190,0.86932190,0.34322480,0.25443340,0.88211540,0.35607850,0.24421920,0.85969290,0.29558000,0.26844530,0.96770760,0.28189780,0.27118690,0.96831540,0.32363530,0.26971440,0.94388920,0.35228120,0.24185570,0.89730390,0.36519370,3,7
0.30587450,0.79035320,0.27080710,0.30587450,0.79035320,0.27080710,0.30587450,0.79035320,0.27080710,0.29357790,0.81124190,0.26407750,0.28248680,0.83080700,0.25413600,0.26641390,0.85806420,0.24834600,0.24793690,0.86999030,0.27353100,0.28576080,0.88616570,0.27645310,0.27801040,0.92285390,0.27789800,0.27165500,0.94603030,0.27872750,0.28510640,0.87884850,0.29730350,0.27774100,0.91921850,0.30825420,0.27279840,0.94504170,0.31544600,0.27814500,0.86542550,0.31125990,0.27409320,0.89936650,0.32915530,0.27098870,0.92244750,0.34135780,0.28483770,0.81286880,0.29894430,0.26933660,0.84867360,0.32169960,0.26364670,0.86933680,0.34325220,0.25521590,0.88215520,0.35623190,0.24457710,0.85984950,0.29542420,0.26892740,0.96774980,0.28212210,0.27161980,0.96832940,0.32367830,0.27066030,0.94386610,0.35244950,0.24277710,0.89739820,0.36544620,3,7
0.30613530,0.79037460,0.27070960,0.30613530,0.79037460,0.27070960,0.30613530,0.79037460,0.27070960,0.29386650,0.81129070,0.26401420,0.28285690,0.83089410,0.25405770,0.26685700,0.85818780,0.24823720,0.24835870,0.87015530,0.27338680,0.28617570,0.88621170,0.27648590,0.27852850,0.92291700,0.27803890,0.27216840,0.94609040,0.27891490,0.28552500,0.87887020,0.29732800,0.27821610,0.91924330,0.30830520,0.27328540,0.94506650,0.31550560,0.27855280,0.86544130,0.31127320,0.27474440,0.89937280,0.32924010,0.27181010,0.92244880,0.34149390,0.28515420,0.81288910,0.29888930,0.26972580,0.84869060,0.32169910,0.26419490,0.86935880,0.34328830,0.25597880,0.88219800,0.35638460,0.24493380,0.86002170,0.29527330,0.26943950,0.96780310,0.28235140,0.27209620,0.96835400,0.32373670,0.27161590,0.94385240,0.35261760,0.24366470,0.89749000,0.36568470,3,7
0.30637450,0.79039670,0.27062020,0.30637450,0.79039670,0.27062020,0.30637450,0.79039670,0.27062020,0.29413490,0.81134050,0.26395820,0.28325710,0.83098950,0.25394690,0.26720010,0.85821720,0.24797630,0.24857670,0.87021610,0.27301850,0.28657560,0.88625940,0.27652260,0.27880880,0.92294410,0.27796530,0.27240200,0.94610690,0.27878130,0.28592840,0.87889480,0.29735660,0.27851680,0.91928520,0.30820040,0.27354530,0.94512180,0.31532410,0.27894450,0.86546110,0.31129140,0.27508950,0.89940620,0.32922250,0.27212660,0.92249090,0.34145300,0.28545100,0.81291260,0.29884150,0.27009800,0.84871270,0.32170440,0.26474420,0.86933600,0.34338100,0.25677200,0.88216130,0.35664060,0.24510190,0.86014660,0.29492670,0.26965900,0.96782510,0.28217130,0.27235650,0.96842750,0.32350360,0.27188770,0.94390760,0.35255070,0.24462700,0.89748420,0.36611050,3,7
0.30632750,0.79058430,0.27066920,0.30632750,0.79058430,0.27066920,0.30632750,0.79058430,0.27066920,0.29422620,0.81162720,0.26406720,0.28358270,0.83139160,0.25403120,0.26761720,0.85864960,0.24795450,0.24890690,0.87072180,0.27289650,0.28714380,0.88655360,0.27686240,0.27945760,0.92325650,0.27827630,0.27311970,0.94643860,0.27907830,0.28643930,0.87912830,0.29767290,0.27912380,0.91954930,0.30846830,0.27423490,0.94540820,0.31556800,0.27936260,0.86569640,0.31156250,0.27563200,0.89963660,0.32952930,0.27275590,0.92271920,0.34178450,0.28553630,0.81314630,0.29895140,0.27040340,0.84897290,0.32191910,0.26528920,0.86953600,0.34371050,0.25759880,0.88235680,0.35713990,0.24530770,0.86068650,0.29480030,0.27046470,0.96816790,0.28246780,0.27314720,0.96872010,0.32374390,0.27257910,0.94412610,0.35290240,0.24567370,0.89774580,0.36678050,3,7
0.30629990,0.79075790,0.27070800,0.30629990,0.79075790,0.27070800,0.30629990,0.79075790,0.27070800,0.29432910,0.81189360,0.26416460,0.28380800,0.83175190,0.25418500,0.26790360,0.85905460,0.24814900,0.24922390,0.87113370,0.27311050,0.28769990,0.88682380,0.27717840,0.28004500,0.92352690,0.27874750,0.27381800,0.94673430,0.27967770,0.28694390,0.87934170,0.29796680,0.27972030,0.91971930,0.30898390,0.27484740,0.94554620,0.31621020,0.27978120,0.86591240,0.31181480,0.27604680,0.89974900,0.32997510,0.27316950,0.92276110,0.34236180,0.28563810,0.81336290,0.29905070,0.27071710,0.84921340,0.32211960,0.26567970,0.86969830,0.34400240,0.25807530,0.88248850,0.35750960,0.24560480,0.86107550,0.29500060,0.27131730,0.96846030,0.28320320,0.27363840,0.96882870,0.32445270,0.27295760,0.94410830,0.35359320,0.24611700,0.89786930,0.36712220,3,7
