RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35768450,0.81092950,0.27689570,0.35768450,0.81092950,0.27689570,0.35768450,0.81092950,0.27689570,0.35555130,0.83596710,0.27571030,0.35816150,0.86022950,0.27268400,0.35525410,0.89226640,0.27272970,0.32593550,0.90446930,0.28319030,0.34820030,0.90027840,0.31618090,0.34817620,0.93321040,0.33417140,0.34583650,0.95571840,0.34230410,0.33251760,0.88800930,0.32578470,0.32407550,0.92230260,0.34937720,0.31847530,0.94419100,0.36462600,0.31660780,0.87505010,0.32425040,0.30185200,0.90085520,0.34884750,0.29155610,0.91850790,0.36538980,0.32515960,0.83053090,0.29419070,0.30153600,0.86100070,0.31771920,0.28281600,0.87798760,0.33459730,0.26909630,0.88835500,0.34499660,0.30622850,0.89181520,0.28989480,0.34361820,0.97516160,0.35268390,0.31464770,0.96186390,0.38149300,0.28416550,0.93374770,0.38256590,0.25590130,0.90134770,0.35635690,3,0
0.35786460,0.81068300,0.27684360,0.35786460,0.81068300,0.27684360,0.35786460,0.81068300,0.27684360,0.35573460,0.83572210,0.27568720,0.35840710,0.85998070,0.27268400,0.35561190,0.89202730,0.27282500,0.32635240,0.90430300,0.28336560,0.34851840,0.89999870,0.31623720,0.34855090,0.93297640,0.33414360,0.34622590,0.95551260,0.34220210,0.33286040,0.88772500,0.32587540,0.32440140,0.92203900,0.34943170,0.31877890,0.94395170,0.36463730,0.31694270,0.87477130,0.32437560,0.30221520,0.90062380,0.34894000,0.29193830,0.91830830,0.36546010,0.32539530,0.83027720,0.29425080,0.30184830,0.86073180,0.31787550,0.28313680,0.87769960,0.33478220,0.26942200,0.88805470,0.34520040,0.30661150,0.89169910,0.29006470,0.34402190,0.97499780,0.35250590,0.31493160,0.96166350,0.38145900,0.28456730,0.93358090,0.38261540,0.25622910,0.90104000,0.35657150,3,0
0.35802390,0.81045980,0.27678640,0.35802390,0.81045980,0.27678640,0.35802390,0.81045980,0.27678640,0.35589830,0.83550050,0.27565690,0.35864180,0.85975400,0.27267720,0.35588550,0.89180430,0.27272000,0.32665240,0.90414880,0.28325350,0.34880480,0.89974440,0.31628030,0.34886640,0.93275310,0.33412970,0.34656690,0.95529410,0.34218190,0.33316800,0.88746700,0.32594810,0.32480110,0.92182600,0.34947180,0.31924820,0.94375810,0.36467500,0.31724280,0.87451920,0.32447810,0.30255020,0.90033360,0.34910340,0.29229670,0.91799240,0.36566560,0.32560500,0.83004850,0.29429370,0.30212760,0.86048970,0.31800470,0.28346330,0.87749660,0.33492430,0.26977660,0.88788060,0.34535050,0.30690350,0.89159020,0.29001380,0.34440830,0.97477270,0.35250770,0.31547820,0.96147620,0.38150750,0.28495190,0.93324020,0.38285410,0.25661570,0.90089730,0.35672290,3,0
0.35825040,0.81037020,0.27712140,0.35825040,0.81037020,0.27712140,0.35825040,0.81037020,0.27712140,0.35615790,0.83541300,0.27597640,0.35900220,0.85965420,0.27299100,0.35632050,0.89171070,0.27289530,0.32710170,0.90416730,0.28333620,0.34915020,0.89969130,0.31656020,0.34923160,0.93275630,0.33430500,0.34695960,0.95531740,0.34230850,0.33349740,0.88744060,0.32623600,0.32519290,0.92188470,0.34965710,0.31968800,0.94386420,0.36480900,0.31755500,0.87451300,0.32477420,0.30286090,0.90034660,0.34937840,0.29260650,0.91801850,0.36592600,0.32585790,0.83001260,0.29461720,0.30242120,0.86049940,0.31830980,0.28377760,0.87758420,0.33517370,0.27010270,0.88802270,0.34556110,0.30731430,0.89168320,0.29012180,0.34483730,0.97481010,0.35261530,0.31596510,0.96161880,0.38161360,0.28525920,0.93327840,0.38310280,0.25695770,0.90109690,0.35688570,3,0
0.35845810,0.81028190,0.27741550,0.35845810,0.81028190,0.27741550,0.35845810,0.81028190,0.27741550,0.35639670,0.83532670,0.27625820,0.35933800,0.85955600,0.27326970,0.35673070,0.89161800,0.27304910,0.32752750,0.90418170,0.28340480,0.34947170,0.89963380,0.31681050,0.34957270,0.93275240,0.33445500,0.34732620,0.95533320,0.34241010,0.33380420,0.88740750,0.32649330,0.32555690,0.92193090,0.34981750,0.32009430,0.94395670,0.36491770,0.31784560,0.87449910,0.32503890,0.30314860,0.90035190,0.34962110,0.29289240,0.91803680,0.36615360,0.32609110,0.82997330,0.29490350,0.30269390,0.86050120,0.31858240,0.28406980,0.87765680,0.33539580,0.27040630,0.88814470,0.34574820,0.30770230,0.89176930,0.29021190,0.34523730,0.97484080,0.35269560,0.31641270,0.96174760,0.38169290,0.28554200,0.93330900,0.38331820,0.25727620,0.90127140,0.35702940,3,0
0.35864470,0.81019870,0.27767020,0.35864470,0.81019870,0.27767020,0.35864470,0.81019870,0.27767020,0.35661170,0.83524540,0.27650310,0.35956560,0.85947160,0.27350270,0.35690160,0.89152720,0.27309710,0.32768120,0.90409950,0.28339370,0.34976340,0.89957640,0.31703040,0.34987270,0.93275140,0.33456840,0.34764990,0.95534940,0.34248150,0.33408280,0.88737180,0.32671930,0.32591060,0.92195100,0.34998730,0.32050000,0.94400940,0.36505850,0.31810940,0.87448100,0.32527140,0.30350600,0.90038810,0.34985230,0.29331350,0.91811050,0.36638410,0.32630160,0.82993390,0.29515300,0.30294120,0.86049780,0.31882170,0.28440180,0.87772000,0.33566050,0.27079050,0.88825490,0.34603420,0.30788120,0.89169220,0.29028250,0.34559890,0.97486360,0.35276180,0.31688210,0.96180390,0.38184380,0.28602110,0.93341280,0.38354650,0.25772190,0.90142960,0.35733070,3,0
0.35941220,0.81040940,0.27716040,0.35941220,0.81040940,0.27716040,0.35941220,0.81040940,0.27716040,0.35734560,0.83545610,0.27605220,0.36025950,0.85969400,0.27310820,0.35747320,0.89173800,0.27261700,0.32820650,0.90422630,0.28288440,0.35040720,0.89968220,0.31673050,0.35044110,0.93286480,0.33425430,0.34818440,0.95545300,0.34218560,0.33474220,0.88743360,0.32638910,0.32655130,0.92198510,0.34969160,0.32113140,0.94402300,0.36478960,0.31878630,0.87452480,0.32490940,0.30419890,0.90038100,0.34955330,0.29401710,0.91806910,0.36612830,0.32704110,0.83005990,0.29468680,0.30363750,0.86053650,0.31842540,0.28513090,0.87773100,0.33532850,0.27154020,0.88824890,0.34574620,0.30845490,0.89176220,0.28980950,0.34611950,0.97494230,0.35251030,0.31752520,0.96176980,0.38162770,0.28673570,0.93333640,0.38332660,0.25849380,0.90140680,0.35708800,3,0
0.36011480,0.81059310,0.27670070,0.36011480,0.81059310,0.27670070,0.36011480,0.81059310,0.27670070,0.35801990,0.83563970,0.27564620,0.36077410,0.85990050,0.27273640,0.35772190,0.89191880,0.27216230,0.32838160,0.90419470,0.28247540,0.35100680,0.89977040,0.31646190,0.35093970,0.93295940,0.33397350,0.34862940,0.95553790,0.34191700,0.33535520,0.88748340,0.32609340,0.32719070,0.92199720,0.34946100,0.32178900,0.94400950,0.36460260,0.31941390,0.87455970,0.32458520,0.30489560,0.90038500,0.34930220,0.29476070,0.91805270,0.36592770,0.32772060,0.83016930,0.29426750,0.30428130,0.86056820,0.31807040,0.28576590,0.87773900,0.33498800,0.27217310,0.88823440,0.34542550,0.30875260,0.89158800,0.28949060,0.34653020,0.97500480,0.35227720,0.31821040,0.96171380,0.38149140,0.28752180,0.93329850,0.38316290,0.25912620,0.90136230,0.35680150,3,0
0.36024450,0.81113390,0.27637080,0.36024450,0.81113390,0.27637080,0.36024450,0.81113390,0.27637080,0.35817370,0.83618390,0.27534940,0.36082140,0.86045910,0.27246170,0.35756670,0.89245530,0.27177390,0.32816140,0.90458380,0.28207660,0.35115150,0.90026130,0.31624700,0.35102160,0.93347200,0.33371720,0.34869020,0.95605210,0.34165000,0.33547340,0.88797430,0.32583530,0.32736870,0.92248620,0.34922650,0.32200600,0.94449680,0.36438470,0.31952310,0.87506710,0.32428240,0.30508650,0.90090920,0.34902970,0.29500750,0.91858950,0.36567580,0.32783930,0.83071340,0.29391370,0.30438860,0.86109860,0.31772270,0.28587170,0.87829650,0.33461120,0.27228110,0.88880490,0.34503850,0.30862030,0.89187960,0.28916090,0.34657950,0.97550930,0.35202610,0.31846440,0.96217920,0.38130410,0.28781290,0.93384330,0.38292250,0.25924190,0.90193800,0.35641730,3,0
0.36037600,0.81162740,0.27606480,0.36037600,0.81162740,0.27606480,0.36037600,0.81162740,0.27606480,0.35832820,0.83668050,0.27507470,0.36087500,0.86096900,0.27220760,0.35742780,0.89294250,0.27141140,0.32796220,0.90493090,0.28170580,0.35130150,0.90070780,0.31605010,0.35111380,0.93394050,0.33347780,0.34876310,0.95652280,0.34139870,0.33559880,0.88842120,0.32559860,0.32755290,0.92293300,0.34901010,0.32222820,0.94494300,0.36418260,0.31963970,0.87552980,0.32400470,0.30528180,0.90138850,0.34878050,0.29525670,0.91908110,0.36544600,0.32796210,0.83121070,0.29358720,0.30450280,0.86158350,0.31740370,0.28598560,0.87880810,0.33426470,0.27239770,0.88932950,0.34468240,0.30850570,0.89213500,0.28885750,0.34664260,0.97597130,0.35178880,0.31872290,0.96260590,0.38112990,0.28810420,0.93434410,0.38270210,0.25936640,0.90246800,0.35606390,3,0
