RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32954620,0.79296040,0.30457810,0.32954620,0.79296040,0.30457810,0.32954620,0.79296040,0.30457810,0.33666470,0.81631140,0.29850450,0.34798050,0.83721570,0.29221140,0.35546860,0.86673750,0.28185730,0.33013950,0.88836990,0.27896070,0.34260210,0.88841340,0.32287470,0.34784270,0.92493160,0.32974000,0.35054360,0.94875570,0.33156730,0.32177780,0.88412700,0.32893160,0.31909490,0.92496510,0.34028750,0.31710760,0.95126930,0.34715290,0.30323390,0.87630280,0.32465080,0.29131400,0.91050410,0.33794920,0.28307120,0.93404980,0.34625130,0.30275590,0.82486220,0.30697870,0.28629010,0.86590550,0.31616540,0.26842400,0.88963960,0.32259640,0.25533860,0.90449740,0.32604290,0.30642720,0.88433020,0.28281390,0.35161490,0.97078990,0.33357860,0.31498630,0.97525640,0.35277380,0.27663910,0.95612010,0.35356000,0.24320670,0.92215280,0.32965890,3,4
0.32934930,0.79392090,0.30516230,0.32934930,0.79392090,0.30516230,0.32934930,0.79392090,0.30516230,0.33653020,0.81724790,0.29907010,0.34791380,0.83811840,0.29278720,0.35552000,0.86762700,0.28248140,0.33025110,0.88931020,0.27944320,0.34246440,0.88939430,0.32330920,0.34766640,0.92593530,0.33008220,0.35035420,0.94976600,0.33184190,0.32160640,0.88515220,0.32928060,0.31888370,0.92602330,0.34050760,0.31687430,0.95234260,0.34730800,0.30307050,0.87734610,0.32493260,0.29110910,0.91157390,0.33812510,0.28284020,0.93512530,0.34638490,0.30259610,0.82586760,0.30737110,0.28614990,0.86695530,0.31639300,0.26829420,0.89072020,0.32273790,0.25521010,0.90558380,0.32616480,0.30650340,0.88534260,0.28315080,0.35141070,0.97180810,0.33377290,0.31473460,0.97633390,0.35290410,0.27638190,0.95718070,0.35371570,0.24307030,0.92322610,0.32981850,3,4
0.32917220,0.79489210,0.30573860,0.32917220,0.79489210,0.30573860,0.32917220,0.79489210,0.30573860,0.33641200,0.81819560,0.29962620,0.34787780,0.83902620,0.29336040,0.35559970,0.86848350,0.28299410,0.33039520,0.89021460,0.27976830,0.34234870,0.89038560,0.32373460,0.34751350,0.92695240,0.33039550,0.35019170,0.95078750,0.33210950,0.32145990,0.88618610,0.32962810,0.31872080,0.92707690,0.34077940,0.31670230,0.95340940,0.34752570,0.30293110,0.87839720,0.32521970,0.29098250,0.91264920,0.33836080,0.28272120,0.93618800,0.34666400,0.30245590,0.82688160,0.30776710,0.28603140,0.86801210,0.31663200,0.26816330,0.89177730,0.32294140,0.25506080,0.90661470,0.32641070,0.30661940,0.88632320,0.28337530,0.35123970,0.97283270,0.33401040,0.31455650,0.97740910,0.35308320,0.27626840,0.95821700,0.35407850,0.24288750,0.92421050,0.33017500,3,4
0.32892050,0.79589730,0.30622580,0.32892050,0.79589730,0.30622580,0.32892050,0.79589730,0.30622580,0.33617980,0.81918330,0.30006970,0.34768640,0.83998610,0.29378650,0.35546240,0.86939880,0.28333450,0.33028810,0.89114480,0.27997580,0.34209460,0.89143070,0.32401080,0.34719970,0.92803010,0.33053710,0.34984760,0.95187290,0.33219120,0.32119320,0.88725270,0.32987470,0.31841740,0.92816440,0.34093990,0.31637610,0.95451030,0.34762660,0.30267020,0.87945900,0.32545000,0.29072480,0.91372980,0.33854500,0.28246270,0.93725350,0.34689010,0.30221110,0.82790060,0.30812400,0.28578340,0.86905830,0.31685560,0.26789120,0.89280670,0.32315990,0.25476200,0.90760530,0.32669360,0.30649800,0.88730080,0.28353910,0.35086840,0.97392270,0.33405190,0.31421010,0.97851770,0.35314330,0.27600670,0.95925470,0.35438410,0.24254510,0.92514310,0.33058580,3,4
0.32868890,0.79690400,0.30671290,0.32868890,0.79690400,0.30671290,0.32868890,0.79690400,0.30671290,0.33596850,0.82017230,0.30051390,0.34751330,0.84094820,0.29421220,0.35534050,0.87031760,0.28367670,0.33019500,0.89207690,0.28019160,0.34186730,0.89247490,0.32429150,0.34691700,0.92910550,0.33068510,0.34953680,0.95295540,0.33228040,0.32095350,0.88831910,0.33012700,0.31814390,0.92925160,0.34110660,0.31608150,0.95561080,0.34773430,0.30243580,0.88052190,0.32568710,0.29049520,0.91481360,0.33873180,0.28223350,0.93832420,0.34711420,0.30198850,0.82892200,0.30848480,0.28556080,0.87010690,0.31708690,0.26764600,0.89383930,0.32338760,0.25449160,0.90859990,0.32698600,0.30639150,0.88827900,0.28371440,0.35053240,0.97500960,0.33410150,0.31389670,0.97962530,0.35321230,0.27577540,0.96029910,0.35468300,0.24223330,0.92607990,0.33100560,3,4
0.32847290,0.79791400,0.30720110,0.32847290,0.79791400,0.30720110,0.32847290,0.79791400,0.30720110,0.33577340,0.82116440,0.30095990,0.34736260,0.84191120,0.29464310,0.35525620,0.87124570,0.28406040,0.33014860,0.89302990,0.28045860,0.34166080,0.89352090,0.32457630,0.34669940,0.93016790,0.33088340,0.34932210,0.95401810,0.33246940,0.32073490,0.88938780,0.33038450,0.31794050,0.93035510,0.34123690,0.31588940,0.95673160,0.34779890,0.30222170,0.88158780,0.32593020,0.29032470,0.91590090,0.33895810,0.28209100,0.93940950,0.34737380,0.30178310,0.82994740,0.30884960,0.28535760,0.87115960,0.31732480,0.26750970,0.89494260,0.32362430,0.25438700,0.90971700,0.32728130,0.30633110,0.88927090,0.28392760,0.35032170,0.97607080,0.33430700,0.31371410,0.98075110,0.35325900,0.27565480,0.96135810,0.35503710,0.24215620,0.92718950,0.33141510,3,4
0.32853840,0.79880610,0.30772470,0.32853840,0.79880610,0.30772470,0.32853840,0.79880610,0.30772470,0.33579430,0.82204890,0.30140380,0.34736600,0.84278770,0.29502910,0.35523590,0.87209480,0.28435310,0.33010670,0.89383770,0.28065340,0.34153680,0.89449830,0.32476930,0.34648680,0.93118070,0.33094010,0.34905750,0.95503930,0.33248330,0.32061820,0.89034450,0.33058900,0.31775670,0.93135090,0.34127490,0.31566330,0.95774680,0.34774540,0.30212090,0.88249290,0.32615930,0.29020410,0.91681490,0.33914570,0.28195410,0.94031240,0.34757640,0.30178570,0.83079270,0.30925820,0.28527840,0.87200190,0.31758780,0.26744710,0.89579740,0.32388700,0.25432490,0.91055700,0.32760480,0.30629030,0.89006340,0.28411320,0.35001100,0.97709520,0.33430780,0.31344780,0.98177220,0.35316290,0.27549870,0.96222970,0.35531270,0.24208490,0.92799670,0.33184910,3,4
0.32859140,0.79970830,0.30824520,0.32859140,0.79970830,0.30824520,0.32859140,0.79970830,0.30824520,0.33580890,0.82294230,0.30184830,0.34736740,0.84367160,0.29541890,0.35521960,0.87295090,0.28465370,0.33007320,0.89465720,0.28085760,0.34142110,0.89547930,0.32497280,0.34629040,0.93219440,0.33101150,0.34881420,0.95606060,0.33251350,0.32050830,0.89130900,0.33080120,0.31758680,0.93235280,0.34132650,0.31545560,0.95876710,0.34770840,0.30202560,0.88341080,0.32639340,0.29009430,0.91774390,0.33933730,0.28183220,0.94123390,0.34777690,0.30178340,0.83165390,0.30966520,0.28520330,0.87286230,0.31785290,0.26739090,0.89667210,0.32415170,0.25427120,0.91141870,0.32792910,0.30625690,0.89087190,0.28430640,0.34972610,0.97811930,0.33432530,0.31320420,0.98279830,0.35308550,0.27536170,0.96312330,0.35557900,0.24202500,0.92882720,0.33228220,3,4
0.32863470,0.80062000,0.30876410,0.32863470,0.80062000,0.30876410,0.32863470,0.80062000,0.30876410,0.33581870,0.82384420,0.30229410,0.34736670,0.84456290,0.29581220,0.35521230,0.87382560,0.28499730,0.33005500,0.89550480,0.28111940,0.34131210,0.89646440,0.32518460,0.34613850,0.93319950,0.33113550,0.34863960,0.95706940,0.33261790,0.32040370,0.89228090,0.33101980,0.31737630,0.93333200,0.34148660,0.31517790,0.95974560,0.34784870,0.30193460,0.88434020,0.32663170,0.28993960,0.91864470,0.33959240,0.28163250,0.94210650,0.34806600,0.30177730,0.83252880,0.31007160,0.28513130,0.87373810,0.31812010,0.26728790,0.89758110,0.32420170,0.25414290,0.91233070,0.32787860,0.30624700,0.89166010,0.28455980,0.34953310,0.97912740,0.33444710,0.31286360,0.98376420,0.35325520,0.27511500,0.96394070,0.35598300,0.24185690,0.92972460,0.33217730,3,4
0.32883210,0.80143230,0.30948410,0.32883210,0.80143230,0.30948410,0.32883210,0.80143230,0.30948410,0.33601130,0.82462450,0.30289520,0.34757400,0.84530600,0.29632110,0.35544850,0.87452000,0.28539620,0.33030560,0.89619160,0.28138430,0.34146310,0.89736740,0.32540310,0.34628510,0.93412950,0.33118850,0.34878910,0.95800330,0.33260070,0.32055270,0.89320700,0.33124770,0.31746630,0.93429170,0.34156410,0.31523110,0.96072140,0.34784630,0.30208940,0.88523590,0.32689050,0.29006900,0.91955480,0.33978940,0.28174350,0.94301860,0.34824000,0.30196180,0.83333740,0.31060580,0.28529530,0.87458240,0.31842510,0.26744830,0.89848620,0.32425240,0.25429490,0.91325830,0.32780650,0.30650010,0.89232500,0.28481760,0.34968750,0.98006370,0.33439860,0.31288160,0.98474230,0.35322670,0.27520440,0.96482490,0.35621580,0.24198900,0.93065820,0.33202350,3,4
