RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42678390,0.81205630,0.26853120,0.42678390,0.81205630,0.26853120,0.42678390,0.81205630,0.26853120,0.40682600,0.82456830,0.25837420,0.39191460,0.83753990,0.24294360,0.36457930,0.84558620,0.22669340,0.33157320,0.85386770,0.22880310,0.36514620,0.89030230,0.25970950,0.32727780,0.89567920,0.25855580,0.31544520,0.87561640,0.25089260,0.36598500,0.88587580,0.28179740,0.33265460,0.91253580,0.28915100,0.30961130,0.92758610,0.29303300,0.36440090,0.87223320,0.29766090,0.34055100,0.90064850,0.31076440,0.32197200,0.91839850,0.31841660,0.39506070,0.82623790,0.29308860,0.36292710,0.85431830,0.31041590,0.35052810,0.87795270,0.32617460,0.33690310,0.89061390,0.33477680,0.31162160,0.85472450,0.24357710,0.31494020,0.85394950,0.24452610,0.29028430,0.94296040,0.29812540,0.30427900,0.93460530,0.32383530,0.32386370,0.90643610,0.34316740,9,7
0.42648480,0.81174770,0.26894210,0.42648480,0.81174770,0.26894210,0.42648480,0.81174770,0.26894210,0.40680320,0.82463940,0.25872090,0.39224100,0.83790030,0.24320290,0.36514770,0.84646110,0.22681080,0.33230380,0.85537360,0.22887920,0.36645670,0.89120400,0.25984340,0.32865860,0.89709160,0.25889610,0.31664840,0.87717370,0.25113190,0.36716320,0.88680620,0.28194170,0.33436190,0.91408260,0.28941280,0.31158270,0.92951730,0.29334380,0.36527340,0.87323060,0.29782920,0.34196450,0.90214170,0.31082110,0.32363980,0.92021070,0.31833850,0.39500690,0.82661650,0.29340860,0.36341350,0.85537490,0.31061670,0.35126990,0.87938020,0.32600930,0.33782230,0.89239080,0.33436580,0.31247030,0.85658440,0.24378690,0.31589200,0.85555610,0.24462430,0.29252840,0.94521230,0.29848500,0.30611640,0.93665870,0.32357870,0.32505070,0.90855850,0.34250590,9,7
0.42620640,0.81144600,0.26935400,0.42620640,0.81144600,0.26935400,0.42620640,0.81144600,0.26935400,0.40680560,0.82470580,0.25906700,0.39252510,0.83821670,0.24350290,0.36560500,0.84719290,0.22704790,0.33292370,0.85672530,0.22891870,0.36778520,0.89205950,0.25997890,0.33005780,0.89842460,0.25935850,0.31773270,0.87875000,0.25146840,0.36835850,0.88769100,0.28208680,0.33610640,0.91552910,0.28987050,0.31356750,0.93127530,0.29394930,0.36616670,0.87418620,0.29799580,0.34343400,0.90361920,0.31083570,0.32539770,0.92203870,0.31819850,0.39497890,0.82698310,0.29372580,0.36392640,0.85639550,0.31081300,0.35205750,0.88092490,0.32558080,0.33883740,0.89441020,0.33353830,0.31320100,0.85830010,0.24393900,0.31638900,0.85722990,0.24473620,0.29477900,0.94723780,0.29924250,0.30807950,0.93876200,0.32324580,0.32642020,0.91104790,0.34126940,9,7
0.42621710,0.81151000,0.26934900,0.42621710,0.81151000,0.26934900,0.42621710,0.81151000,0.26934900,0.40702690,0.82506290,0.25904880,0.39296220,0.83881010,0.24349520,0.36618160,0.84811920,0.22699770,0.33361020,0.85805030,0.22870530,0.36891210,0.89293160,0.26006810,0.33122300,0.89954140,0.25975440,0.31872480,0.88007310,0.25162870,0.36936080,0.88848390,0.28216310,0.33747930,0.91662980,0.29035620,0.31508130,0.93252350,0.29463350,0.36694050,0.87495800,0.29802100,0.34459020,0.90468900,0.31084590,0.32672220,0.92330010,0.31813670,0.39512870,0.82738610,0.29368020,0.36442330,0.85715740,0.31077290,0.35268440,0.88203630,0.32505220,0.33961350,0.89585120,0.33268390,0.31397930,0.85978160,0.24382810,0.31695510,0.85868760,0.24457370,0.29645500,0.94860550,0.30013410,0.30950170,0.94015920,0.32306520,0.32744910,0.91281680,0.34009780,9,7
0.42621750,0.81154790,0.26938010,0.42621750,0.81154790,0.26938010,0.42621750,0.81154790,0.26938010,0.40724690,0.82539340,0.25906260,0.39340850,0.83937380,0.24351370,0.36677720,0.84902010,0.22696830,0.33432550,0.85936030,0.22851790,0.37006820,0.89377810,0.26016590,0.33242390,0.90064570,0.26014420,0.31975220,0.88138680,0.25179110,0.37038930,0.88926160,0.28224920,0.33889070,0.91772130,0.29082970,0.31664090,0.93377160,0.29529220,0.36773530,0.87572510,0.29806060,0.34578090,0.90575950,0.31086210,0.32808960,0.92456880,0.31807500,0.39527810,0.82778160,0.29366520,0.36493480,0.85792450,0.31075330,0.35335360,0.88315060,0.32454350,0.34044780,0.89729170,0.33185220,0.31478900,0.86125680,0.24374300,0.31756100,0.86014400,0.24443030,0.29818320,0.94997990,0.30098720,0.31097460,0.94157080,0.32287880,0.32855140,0.91457870,0.33895190,9,7
0.42620980,0.81156510,0.26943950,0.42620980,0.81156510,0.26943950,0.42620980,0.81156510,0.26943950,0.40746650,0.82570190,0.25910170,0.39397850,0.83995060,0.24348860,0.36764290,0.85008990,0.22676540,0.33533920,0.86088040,0.22833550,0.37124810,0.89459900,0.26027150,0.33369970,0.90197060,0.26009790,0.32115920,0.88268480,0.25160990,0.37143950,0.89002220,0.28234380,0.34040420,0.91902810,0.29078260,0.31845130,0.93550250,0.29516910,0.36854830,0.87648410,0.29811220,0.34712310,0.90696600,0.31075170,0.32967760,0.92607100,0.31778390,0.39542850,0.82816990,0.29367460,0.36546020,0.85869240,0.31075050,0.35408120,0.88408110,0.32441020,0.34134430,0.89841570,0.33163770,0.31603960,0.86285990,0.24384940,0.31939460,0.86141230,0.24422010,0.30037170,0.95213400,0.30085680,0.31277560,0.94333600,0.32239980,0.32967410,0.91588460,0.33866720,9,7
0.42662580,0.81143110,0.26899840,0.42662580,0.81143110,0.26899840,0.42662580,0.81143110,0.26899840,0.40783300,0.82568680,0.25891670,0.39435310,0.84011450,0.24346200,0.36800800,0.85050760,0.22691050,0.33574750,0.86135790,0.22890290,0.37179010,0.89465760,0.26088370,0.33424950,0.90206900,0.26106580,0.32194910,0.88267350,0.25247700,0.37214970,0.88991900,0.28291980,0.34133150,0.91903970,0.29175000,0.31952610,0.93563460,0.29640980,0.36935430,0.87627270,0.29861210,0.34823920,0.90687500,0.31148080,0.33089390,0.92603000,0.31862370,0.39608200,0.82792980,0.29360360,0.36632630,0.85839640,0.31114490,0.35500640,0.88376670,0.32488760,0.34235380,0.89812220,0.33222070,0.31682630,0.86311870,0.24490170,0.32070260,0.86141340,0.24494750,0.30168550,0.95242000,0.30239230,0.31405010,0.94332870,0.32332550,0.33078920,0.91561330,0.33936860,9,7
0.42700090,0.81129500,0.26861910,0.42700090,0.81129500,0.26861910,0.42700090,0.81129500,0.26861910,0.40818980,0.82568640,0.25876700,0.39475050,0.84029900,0.24345110,0.36842360,0.85096390,0.22704440,0.33622190,0.86191240,0.22941390,0.37241720,0.89477380,0.26145080,0.33489400,0.90225600,0.26197900,0.32280360,0.88277970,0.25327570,0.37291600,0.88988660,0.28345170,0.34234290,0.91914980,0.29265460,0.32069780,0.93587960,0.29757180,0.37018180,0.87614590,0.29907220,0.34940140,0.90689520,0.31213360,0.33217230,0.92612300,0.31936190,0.39669420,0.82774030,0.29355100,0.36717690,0.85819730,0.31150690,0.35593470,0.88358390,0.32528320,0.34337820,0.89798860,0.33268490,0.31766650,0.86348470,0.24585460,0.32200640,0.86155240,0.24559420,0.30310680,0.95282630,0.30383290,0.31540060,0.94347510,0.32412390,0.33193780,0.91552830,0.33991270,9,7
0.42734440,0.81115730,0.26828830,0.42734440,0.81115730,0.26828830,0.42734440,0.81115730,0.26828830,0.40853950,0.82569760,0.25864520,0.39520420,0.84051160,0.24343230,0.36895470,0.85148570,0.22710560,0.33682600,0.86257100,0.22980790,0.37311190,0.89493410,0.26198320,0.33564250,0.90266850,0.26267340,0.32392210,0.88300560,0.25388380,0.37372700,0.88990810,0.28394990,0.34337770,0.91934970,0.29332320,0.32186030,0.93621020,0.29835390,0.37102680,0.87608380,0.29950230,0.35041360,0.90689130,0.31269110,0.33333040,0.92620330,0.32004010,0.39727430,0.82758950,0.29351370,0.36801590,0.85807260,0.31184490,0.35681460,0.88324710,0.32603760,0.34437040,0.89755810,0.33380170,0.31874970,0.86390630,0.24679410,0.32404390,0.86177140,0.24618100,0.30442930,0.95327870,0.30473010,0.31673560,0.94368240,0.32495510,0.33311090,0.91502790,0.34146990,9,7
0.42763630,0.81142840,0.26851000,0.42763630,0.81142840,0.26851000,0.42763630,0.81142840,0.26851000,0.40881550,0.82604530,0.25901470,0.39556000,0.84097820,0.24384840,0.36937240,0.85214670,0.22755410,0.33729430,0.86330890,0.23052770,0.37359300,0.89536630,0.26274530,0.33615880,0.90325450,0.26358690,0.32482810,0.88337960,0.25476320,0.37432020,0.89027820,0.28469420,0.34413060,0.91985710,0.29415030,0.32270400,0.93681410,0.29924350,0.37167200,0.87641830,0.30022390,0.35116550,0.90729090,0.31342660,0.33417920,0.92667290,0.32081570,0.39775510,0.82787100,0.29395220,0.36868360,0.85838120,0.31253400,0.35747420,0.88340790,0.32697950,0.34511320,0.89765160,0.33499620,0.31967570,0.86442920,0.24800340,0.32587250,0.86215820,0.24709490,0.30539780,0.95398470,0.30568500,0.31771000,0.94425020,0.32580260,0.33400020,0.91507540,0.34297620,9,7
0.42791040,0.81166390,0.26871850,0.42791040,0.81166390,0.26871850,0.42791040,0.81166390,0.26871850,0.40909230,0.82637320,0.25936180,0.39593360,0.84143420,0.24423790,0.36982230,0.85281570,0.22796870,0.33780480,0.86408100,0.23119520,0.37413710,0.89580830,0.26346520,0.33674330,0.90386820,0.26446430,0.32576510,0.88381540,0.25559770,0.37496130,0.89065800,0.28539610,0.34495470,0.92039440,0.29494020,0.32363210,0.93746270,0.30009780,0.37234530,0.87676530,0.30090190,0.35197420,0.90772400,0.31411250,0.33509550,0.92718850,0.32153120,0.39822190,0.82814290,0.29436180,0.36935720,0.85870540,0.31317880,0.35816120,0.88361830,0.32782980,0.34589440,0.89782080,0.33606120,0.32062990,0.86500450,0.24911840,0.32766290,0.86264370,0.24795580,0.30646570,0.95474720,0.30660830,0.31875700,0.94487120,0.32657520,0.33494140,0.91522100,0.34430970,9,7
0.42817070,0.81187120,0.26891650,0.42817070,0.81187120,0.26891650,0.42817070,0.81187120,0.26891650,0.40936990,0.82668550,0.25969140,0.39644000,0.84191820,0.24454230,0.37051030,0.85352870,0.22814470,0.33855180,0.86495650,0.23138380,0.37473100,0.89625690,0.26415160,0.33740100,0.90462240,0.26501860,0.32626590,0.88459490,0.25629180,0.37564030,0.89104400,0.28606440,0.34579700,0.92095400,0.29557820,0.32452950,0.93810150,0.30069990,0.37304090,0.87712070,0.30154550,0.35277200,0.90814970,0.31474830,0.33599790,0.92769430,0.32219390,0.39867820,0.82840690,0.29474880,0.37003590,0.85904060,0.31378850,0.35858660,0.88376920,0.32855550,0.34633180,0.89787520,0.33696890,0.32145040,0.86585920,0.24937820,0.32828470,0.86337040,0.24882960,0.30746510,0.95549080,0.30719990,0.31987110,0.94553810,0.32735030,0.33541230,0.91519170,0.34543500,9,7
0.42876380,0.81186600,0.26933400,0.42876380,0.81186600,0.26933400,0.42876380,0.81186600,0.26933400,0.40993560,0.82674210,0.26026560,0.39715390,0.84208020,0.24509690,0.37132470,0.85384400,0.22865020,0.33943340,0.86542380,0.23201000,0.37559430,0.89644440,0.26497830,0.33832500,0.90507140,0.26588740,0.32706940,0.88501350,0.25738780,0.37668110,0.89124560,0.28688640,0.34702690,0.92134060,0.29640830,0.32583040,0.93857380,0.30153690,0.37416950,0.87734440,0.30240190,0.35404660,0.90848200,0.31557270,0.33739600,0.92812240,0.32304300,0.39956530,0.82853100,0.29541600,0.37120800,0.85928540,0.31468640,0.35958770,0.88389340,0.32952110,0.34738480,0.89794110,0.33810570,0.32251880,0.86634020,0.25017950,0.32925890,0.86373110,0.25014160,0.30889010,0.95607970,0.30804840,0.32148260,0.94612660,0.32830390,0.33654170,0.91521190,0.34676110,9,7
0.42931580,0.81186000,0.26972340,0.42931580,0.81186000,0.26972340,0.42931580,0.81186000,0.26972340,0.41047510,0.82680990,0.26080370,0.39785000,0.84225830,0.24561580,0.37213010,0.85418850,0.22911780,0.34031090,0.86593090,0.23259490,0.37646500,0.89665720,0.26576380,0.33925880,0.90554740,0.26672110,0.32791710,0.88545510,0.25841950,0.37771210,0.89146510,0.28766490,0.34825800,0.92175360,0.29719400,0.32714100,0.93908230,0.30232890,0.37527150,0.87758230,0.30320820,0.35530640,0.90883580,0.31634440,0.33878350,0.92857720,0.32383230,0.40040460,0.82865980,0.29603800,0.37233690,0.85954200,0.31552660,0.36057430,0.88404240,0.33042700,0.34843430,0.89804540,0.33917250,0.32359980,0.86685100,0.25095150,0.33031220,0.86412980,0.25136720,0.31033270,0.95671060,0.30885230,0.32308570,0.94674280,0.32918510,0.33768360,0.91528280,0.34800760,9,7
0.42982730,0.81185350,0.27008510,0.42982730,0.81185350,0.27008510,0.42982730,0.81185350,0.27008510,0.41098530,0.82688420,0.26130490,0.39837090,0.84240090,0.24617790,0.37267940,0.85459200,0.22982690,0.34098400,0.86664850,0.23335910,0.37732370,0.89688300,0.26650260,0.34022490,0.90619060,0.26764240,0.32845330,0.88626750,0.25953380,0.37871530,0.89169160,0.28839520,0.34947170,0.92213770,0.29806960,0.32847190,0.93957510,0.30331580,0.37633230,0.87782430,0.30396120,0.35661410,0.90920560,0.31716520,0.34021210,0.92902840,0.32470410,0.40119290,0.82878880,0.29661470,0.37341210,0.85980070,0.31630740,0.36173850,0.88428490,0.33130430,0.34978220,0.89833030,0.34023280,0.32420490,0.86777070,0.25164230,0.33073770,0.86490020,0.25257230,0.31173990,0.95725640,0.30989170,0.32466730,0.94730070,0.33013980,0.33924610,0.91560550,0.34925090,9,7
0.42999350,0.81197460,0.27045350,0.42999350,0.81197460,0.27045350,0.42999350,0.81197460,0.27045350,0.41125980,0.82709680,0.26159900,0.39885380,0.84269770,0.24638640,0.37339980,0.85516030,0.22986950,0.34179050,0.86752240,0.23310430,0.37790760,0.89725220,0.26667780,0.34090680,0.90696950,0.26755740,0.32886220,0.88719690,0.25948110,0.37918250,0.89204760,0.28857440,0.35004630,0.92265650,0.29805750,0.32910660,0.94020550,0.30317020,0.37666860,0.87818700,0.30412570,0.35704610,0.90969380,0.31717260,0.34068340,0.92960010,0.32457530,0.40132810,0.82903690,0.29686780,0.37361150,0.86017360,0.31645370,0.36183680,0.88463090,0.33141550,0.34994970,0.89870900,0.34038480,0.32478590,0.86880830,0.25116710,0.33117000,0.86579600,0.25263160,0.31238720,0.95794830,0.30961080,0.32523620,0.94798250,0.32991720,0.33951430,0.91601320,0.34946410,9,7
0.43016980,0.81208350,0.27080630,0.43016980,0.81208350,0.27080630,0.43016980,0.81208350,0.27080630,0.41154160,0.82730210,0.26189460,0.39912940,0.84293280,0.24671790,0.37365540,0.85544760,0.23027130,0.34209360,0.86798110,0.23330460,0.37852100,0.89762020,0.26688980,0.34157070,0.90754880,0.26748220,0.32908930,0.88802330,0.25946860,0.37969570,0.89240050,0.28878840,0.35069250,0.92318440,0.29811090,0.32987410,0.94090130,0.30313920,0.37706020,0.87854620,0.30432520,0.35755520,0.91017900,0.31724270,0.34125720,0.93017780,0.32453800,0.40150000,0.82927720,0.29713040,0.37387190,0.86054330,0.31663520,0.36216820,0.88508370,0.33151620,0.35037320,0.89925890,0.34045410,0.32455390,0.86966060,0.25081480,0.33099690,0.86655840,0.25269640,0.31328760,0.95879070,0.30951760,0.32594600,0.94868960,0.32982440,0.34006060,0.91665020,0.34950730,9,7
0.43047750,0.81250660,0.27035680,0.43047750,0.81250660,0.27035680,0.43047750,0.81250660,0.27035680,0.41199090,0.82785310,0.26136990,0.39966140,0.84357970,0.24622470,0.37426200,0.85621990,0.22975880,0.34273480,0.86890470,0.23250990,0.37926550,0.89830480,0.26642450,0.34236560,0.90843470,0.26661390,0.32956000,0.88915600,0.25851450,0.38024620,0.89298250,0.28830790,0.35133080,0.92389760,0.29746820,0.33060530,0.94175240,0.30239130,0.37742500,0.87907220,0.30376190,0.35797380,0.91077360,0.31659200,0.34170620,0.93083240,0.32378990,0.40168650,0.82971970,0.29653560,0.37405650,0.86103020,0.31596630,0.36233520,0.88558230,0.33081420,0.35058220,0.89980770,0.33972770,0.32469730,0.87084440,0.24947910,0.33118870,0.86766790,0.25174320,0.31411810,0.95975550,0.30870680,0.32650360,0.94944680,0.32902880,0.34034080,0.91723990,0.34878310,9,7
0.43078200,0.81289700,0.26995900,0.43078200,0.81289700,0.26995900,0.43078200,0.81289700,0.26995900,0.41243280,0.82837210,0.26091100,0.40018840,0.84419600,0.24579830,0.37486360,0.85696660,0.22931800,0.34337970,0.86981210,0.23180620,0.38002030,0.89896300,0.26603900,0.34317860,0.90930250,0.26585550,0.33006520,0.89026430,0.25768030,0.38082530,0.89354470,0.28790600,0.35201480,0.92460030,0.29691970,0.33139060,0.94259730,0.30175000,0.37783040,0.87958410,0.30328180,0.35845060,0.91136230,0.31602980,0.34222500,0.93148710,0.32313760,0.40189780,0.83014290,0.29601340,0.37429000,0.86150830,0.31538700,0.36255460,0.88607250,0.33020350,0.35085020,0.90034790,0.33910090,0.32488380,0.87201860,0.24824110,0.33144370,0.86875680,0.25091470,0.31501350,0.96071900,0.30801260,0.32714110,0.95020870,0.32833750,0.34068730,0.91782110,0.34816600,9,7
