RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34907980,0.82641860,0.29354470,0.34907980,0.82641860,0.29354470,0.34907980,0.82641860,0.29354470,0.33241440,0.84585640,0.29511740,0.31343260,0.86122610,0.28944470,0.28670540,0.87949060,0.29474540,0.27601230,0.90531990,0.31426310,0.32190190,0.92216380,0.28386570,0.30218930,0.94649090,0.30586260,0.28780930,0.93760410,0.32362460,0.34132600,0.92264040,0.29529600,0.33405320,0.96438240,0.30426570,0.32739770,0.99013770,0.31232480,0.35313310,0.91602180,0.31132930,0.35892330,0.95482810,0.31424220,0.35709570,0.98075970,0.32080040,0.35795110,0.86102310,0.31666130,0.36177190,0.90534990,0.32857140,0.37771890,0.93159710,0.33274680,0.38275180,0.94951220,0.34132940,0.27864670,0.92070910,0.33358420,0.28102900,0.91874910,0.33405340,0.32359180,1.01435600,0.31822740,0.35694660,1.00511000,0.32427880,0.38617610,0.96992280,0.34923200,9,1
0.34918530,0.82642290,0.29325240,0.34918530,0.82642290,0.29325240,0.34918530,0.82642290,0.29325240,0.33251610,0.84585890,0.29480630,0.31353310,0.86121150,0.28909150,0.28679880,0.87948670,0.29431890,0.27613850,0.90534150,0.31382070,0.32199090,0.92215480,0.28348790,0.30234580,0.94657220,0.30544490,0.28794370,0.93772820,0.32321040,0.34141340,0.92264470,0.29492020,0.33414330,0.96438330,0.30390800,0.32750150,0.99014250,0.31196620,0.35321970,0.91604200,0.31096070,0.35893690,0.95486000,0.31386330,0.35709220,0.98079880,0.32038800,0.35804730,0.86104880,0.31634050,0.36185820,0.90538660,0.32821300,0.37781330,0.93162910,0.33238670,0.38279500,0.94954400,0.34099980,0.27889650,0.92070220,0.33314730,0.28115000,0.91886280,0.33361170,0.32374460,1.01437500,0.31783740,0.35693830,1.00515500,0.32382720,0.38617470,0.96995220,0.34892750,9,1
0.34929050,0.82643490,0.29296090,0.34929050,0.82643490,0.29296090,0.34929050,0.82643490,0.29296090,0.33261750,0.84586910,0.29449510,0.31363390,0.86121130,0.28875420,0.28689890,0.87949980,0.29393130,0.27620760,0.90538260,0.31337890,0.32208260,0.92215460,0.28311590,0.30251910,0.94661400,0.30509920,0.28808910,0.93779270,0.32285330,0.34150160,0.92265650,0.29455370,0.33413710,0.96437980,0.30353580,0.32748120,0.99015050,0.31154510,0.35330420,0.91606800,0.31060270,0.35894600,0.95489610,0.31351800,0.35707240,0.98083590,0.32003020,0.35813960,0.86107970,0.31602550,0.36193940,0.90542700,0.32786570,0.37784560,0.93170870,0.33197950,0.38274770,0.94965560,0.34057150,0.27898200,0.92075590,0.33269320,0.28125720,0.91891210,0.33320190,0.32376270,1.01441100,0.31732790,0.35689660,1.00519400,0.32345530,0.38605960,0.97008990,0.34846060,9,1
0.34945770,0.82658660,0.29319370,0.34945770,0.82658660,0.29319370,0.34945770,0.82658660,0.29319370,0.33280390,0.84603580,0.29474650,0.31383220,0.86139520,0.28901230,0.28711990,0.87971900,0.29418150,0.27644610,0.90561640,0.31361940,0.32233510,0.92233700,0.28341170,0.30289080,0.94683260,0.30546040,0.28843960,0.93802830,0.32320570,0.34176050,0.92281470,0.29483960,0.33436270,0.96452040,0.30387610,0.32772890,0.99029870,0.31187920,0.35356530,0.91620700,0.31087910,0.35917990,0.95503460,0.31385080,0.35731290,0.98096950,0.32038470,0.35835150,0.86121130,0.31627130,0.36219940,0.90554900,0.32813220,0.37809280,0.93184320,0.33221500,0.38294360,0.94980200,0.34081110,0.27927750,0.92097110,0.33294010,0.28156200,0.91912840,0.33348830,0.32407900,1.01458100,0.31761340,0.35714670,1.00532500,0.32382630,0.38621750,0.97024550,0.34869250,9,1
0.34962020,0.82673230,0.29338170,0.34962020,0.82673230,0.29338170,0.34962020,0.82673230,0.29338170,0.33298350,0.84619500,0.29494900,0.31402350,0.86156900,0.28921530,0.28733040,0.87992530,0.29436900,0.27667050,0.90583660,0.31379590,0.32257610,0.92251030,0.28365300,0.30323960,0.94704150,0.30575690,0.28876580,0.93825420,0.32349230,0.34200570,0.92296620,0.29507480,0.33457400,0.96465450,0.30416330,0.32795920,0.99043970,0.31216020,0.35381010,0.91634080,0.31110730,0.35939510,0.95516850,0.31413420,0.35753210,0.98109870,0.32068840,0.35855110,0.86133870,0.31647240,0.36244070,0.90566750,0.32835260,0.37832040,0.93197360,0.33241240,0.38311710,0.94994280,0.34101730,0.27955880,0.92117140,0.33312400,0.28184540,0.91933570,0.33371180,0.32437370,1.01474200,0.31784790,0.35737360,1.00545200,0.32414510,0.38634990,0.97039380,0.34889610,9,1
0.34977910,0.82687370,0.29353470,0.34977910,0.82687370,0.29353470,0.34977910,0.82687370,0.29353470,0.33315790,0.84634880,0.29511320,0.31420890,0.86174080,0.28939150,0.28752520,0.88010220,0.29457490,0.27692600,0.90599860,0.31405490,0.32280850,0.92267700,0.28385170,0.30338980,0.94717880,0.30591600,0.28895290,0.93832830,0.32365010,0.34224040,0.92311280,0.29527020,0.33486400,0.96481150,0.30435610,0.32821250,0.99056570,0.31242190,0.35404240,0.91647130,0.31129790,0.35976570,0.95527170,0.31441550,0.35797140,0.98118560,0.32105220,0.35874110,0.86146310,0.31663870,0.36266760,0.90578380,0.32853710,0.37861190,0.93204280,0.33264840,0.38334760,0.94998040,0.34135230,0.27994070,0.92127540,0.33340960,0.28211310,0.91938190,0.33387210,0.32456720,1.01483900,0.31819580,0.35786070,1.00552700,0.32459770,0.38650590,0.97039940,0.34934350,9,1
0.34969620,0.82740510,0.29386080,0.34969620,0.82740510,0.29386080,0.34969620,0.82740510,0.29386080,0.33308960,0.84689760,0.29537630,0.31415810,0.86229070,0.28959970,0.28747900,0.88067490,0.29472620,0.27691780,0.90661570,0.31416750,0.32281220,0.92320590,0.28391530,0.30330320,0.94774880,0.30585390,0.28888020,0.93889470,0.32359750,0.34223460,0.92365440,0.29534950,0.33490030,0.96538810,0.30430790,0.32820910,0.99113760,0.31235580,0.35401740,0.91704330,0.31140390,0.35986340,0.95582690,0.31450200,0.35812650,0.98174480,0.32113860,0.35866660,0.86204490,0.31688610,0.36261900,0.90639200,0.32867720,0.37861850,0.93261920,0.33277670,0.38328680,0.95055260,0.34152560,0.28003460,0.92189300,0.33350570,0.28210100,0.91995160,0.33386610,0.32450860,1.01540200,0.31813180,0.35805750,1.00608400,0.32469550,0.38636710,0.97096480,0.34956440,9,1
0.34963130,0.82790050,0.29414820,0.34963130,0.82790050,0.29414820,0.34963130,0.82790050,0.29414820,0.33303830,0.84740910,0.29560520,0.31412370,0.86280300,0.28977570,0.28744850,0.88120840,0.29484550,0.27692140,0.90719000,0.31425100,0.32282930,0.92369920,0.28396290,0.30323760,0.94828030,0.30578470,0.28882600,0.93942210,0.32353550,0.34224210,0.92415860,0.29541300,0.33494440,0.96592310,0.30425710,0.32821490,0.99166730,0.31229010,0.35400580,0.91757490,0.31149260,0.35996360,0.95634240,0.31457930,0.35827930,0.98226300,0.32121890,0.35860820,0.86258540,0.31710300,0.36258420,0.90695600,0.32879740,0.37863350,0.93315380,0.33289000,0.38323380,0.95108260,0.34168430,0.28013670,0.92246430,0.33357530,0.28210290,0.92048040,0.33384330,0.32446430,1.01592400,0.31806810,0.35824870,1.00660100,0.32478920,0.38623680,0.97148760,0.34977040,9,1
0.34958050,0.82836750,0.29440500,0.34958050,0.82836750,0.29440500,0.34958050,0.82836750,0.29440500,0.33300030,0.84789100,0.29580690,0.31410050,0.86330110,0.28997220,0.28742850,0.88169760,0.29509100,0.27691470,0.90768510,0.31449570,0.32285700,0.92416420,0.28399760,0.30320750,0.94880960,0.30569450,0.28880840,0.93992640,0.32344290,0.34226000,0.92463330,0.29546390,0.33510530,0.96643350,0.30425580,0.32836880,0.99215780,0.31234660,0.35400470,0.91807430,0.31156750,0.35996990,0.95683230,0.31475870,0.35829200,0.98273830,0.32145670,0.35856230,0.86309330,0.31729580,0.36256020,0.90748510,0.32890180,0.37866140,0.93364860,0.33300980,0.38330510,0.95156650,0.34180360,0.28014450,0.92297830,0.33380270,0.28212480,0.92099360,0.33379270,0.32457820,1.01638700,0.31821070,0.35826960,1.00706700,0.32508410,0.38640890,0.97196750,0.34986180,9,1
0.34942920,0.82855250,0.29413680,0.34942920,0.82855250,0.29413680,0.34942920,0.82855250,0.29413680,0.33286230,0.84809230,0.29546800,0.31399910,0.86353160,0.28959250,0.28731840,0.88191870,0.29470010,0.27676440,0.90788270,0.31411440,0.32283900,0.92437200,0.28359890,0.30307380,0.94904610,0.30515760,0.28862920,0.94011260,0.32284380,0.34219690,0.92482550,0.29514180,0.33515720,0.96664550,0.30393300,0.32839350,0.99233850,0.31209980,0.35387140,0.91825960,0.31129340,0.35984610,0.95700060,0.31466720,0.35816120,0.98288170,0.32145910,0.35835360,0.86327570,0.31705400,0.36234800,0.90766670,0.32866420,0.37849080,0.93378700,0.33288290,0.38314150,0.95167800,0.34172760,0.27996080,0.92315670,0.33344210,0.28194790,0.92117060,0.33317810,0.32455290,1.01653400,0.31807160,0.35814250,1.00719600,0.32518200,0.38630710,0.97205940,0.34981120,9,1
0.34929300,0.82875290,0.29388520,0.34929300,0.82875290,0.29388520,0.34929300,0.82875290,0.29388520,0.33273970,0.84830870,0.29514680,0.31391240,0.86377560,0.28922860,0.28722330,0.88215520,0.29431950,0.27663160,0.90809920,0.31374000,0.32283410,0.92459400,0.28321490,0.30295890,0.94929760,0.30463850,0.28847060,0.94031790,0.32226530,0.34214820,0.92503300,0.29483160,0.33521630,0.96687170,0.30361900,0.32842530,0.99253560,0.31185480,0.35375470,0.91846130,0.31102980,0.35974040,0.95718530,0.31457460,0.35805000,0.98304300,0.32145390,0.35816260,0.86347510,0.31682520,0.36215480,0.90786610,0.32843630,0.37833640,0.93394490,0.33276070,0.38298550,0.95181070,0.34165700,0.27980220,0.92335370,0.33308740,0.28179170,0.92136680,0.33258470,0.32453660,1.01669900,0.31792510,0.35803520,1.00734400,0.32526610,0.38620080,0.97217310,0.34976890,9,1
0.34917330,0.82895030,0.29365770,0.34917330,0.82895030,0.29365770,0.34917330,0.82895030,0.29365770,0.33263310,0.84852130,0.29485450,0.31383700,0.86403110,0.28894970,0.28716460,0.88241980,0.29409490,0.27643000,0.90835650,0.31344670,0.32283700,0.92481130,0.28286220,0.30285870,0.94945130,0.30426300,0.28833600,0.94038550,0.32181720,0.34211050,0.92523710,0.29454650,0.33517270,0.96706060,0.30340120,0.32834580,0.99269760,0.31169080,0.35365420,0.91866060,0.31078760,0.35962120,0.95736860,0.31453340,0.35798560,0.98321570,0.32146540,0.35799300,0.86367250,0.31661710,0.36198370,0.90806390,0.32822710,0.37816200,0.93413290,0.33262310,0.38287100,0.95199350,0.34149820,0.27934140,0.92369590,0.33276770,0.28162260,0.92143710,0.33211930,0.32439680,1.01682900,0.31784710,0.35805560,1.00751100,0.32531460,0.38621120,0.97235760,0.34955530,9,1
0.34937280,0.82911460,0.29373010,0.34937280,0.82911460,0.29373010,0.34937280,0.82911460,0.29373010,0.33285820,0.84871530,0.29478510,0.31414230,0.86428950,0.28879540,0.28747310,0.88270750,0.29385150,0.27652040,0.90862960,0.31310030,0.32331350,0.92502960,0.28274500,0.30313350,0.94961380,0.30402050,0.28846830,0.94046470,0.32141230,0.34247920,0.92541370,0.29460670,0.33553000,0.96722310,0.30351900,0.32864310,0.99283220,0.31184520,0.35386060,0.91880730,0.31095000,0.35982560,0.95748930,0.31495830,0.35822510,0.98332030,0.32195790,0.35804430,0.86380820,0.31678890,0.36200940,0.90818590,0.32845960,0.37818590,0.93422340,0.33304490,0.38290810,0.95206460,0.34195190,0.27910620,0.92402060,0.33242650,0.28164820,0.92151490,0.33164120,0.32462160,1.01693100,0.31808390,0.35836910,1.00760400,0.32587290,0.38633080,0.97241710,0.35000380,9,1
0.34955320,0.82928320,0.29378910,0.34955320,0.82928320,0.29378910,0.34955320,0.82928320,0.29378910,0.33306400,0.84891190,0.29471260,0.31442260,0.86454600,0.28864690,0.28775670,0.88298990,0.29362530,0.27660360,0.90889810,0.31277760,0.32375280,0.92524770,0.28262580,0.30338440,0.94978150,0.30377950,0.28859160,0.94055270,0.32102050,0.34281770,0.92559370,0.29465000,0.33586140,0.96739050,0.30361550,0.32891600,0.99297150,0.31197940,0.35404850,0.91896070,0.31108640,0.36000880,0.95761670,0.31534400,0.35844100,0.98343150,0.32241080,0.35808810,0.86395190,0.31693610,0.36203010,0.90831770,0.32865990,0.37820480,0.93432470,0.33342180,0.38293610,0.95214680,0.34236230,0.27889430,0.92433500,0.33210450,0.28167740,0.92160110,0.33118270,0.32482260,1.01703700,0.31829850,0.35864980,1.00770400,0.32639430,0.38643410,0.97248660,0.35041360,9,1
0.34971330,0.82944630,0.29383710,0.34971330,0.82944630,0.29383710,0.34971330,0.82944630,0.29383710,0.33324810,0.84910040,0.29464170,0.31467740,0.86476920,0.28844990,0.28802840,0.88329630,0.29320500,0.27669980,0.90925360,0.31218700,0.32414850,0.92545480,0.28251140,0.30373930,0.95003910,0.30356680,0.28879930,0.94076260,0.32065470,0.34312150,0.92576690,0.29468100,0.33614840,0.96753690,0.30375770,0.32920410,0.99311230,0.31213960,0.35421610,0.91911070,0.31120020,0.36010960,0.95777180,0.31550490,0.35841180,0.98357270,0.32259200,0.35812520,0.86409370,0.31706100,0.36204670,0.90844920,0.32883040,0.37818340,0.93445560,0.33372160,0.38275830,0.95227940,0.34273990,0.27876200,0.92473850,0.33150110,0.28172540,0.92182050,0.33072440,0.32513140,1.01717400,0.31848770,0.35850470,1.00783800,0.32662010,0.38609610,0.97261790,0.35086230,9,1
