RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.47865870,0.89332940,0.24215830,0.47865870,0.89332940,0.24215830,0.47865870,0.89332940,0.24215830,0.45727830,0.89447460,0.25628620,0.43405420,0.89166850,0.26531320,0.41192040,0.88441150,0.28841000,0.39829120,0.89165470,0.31881090,0.39759950,0.93926300,0.27847590,0.37989180,0.94295080,0.31219670,0.38679950,0.92531420,0.32776870,0.41464900,0.95354930,0.28213500,0.38696160,0.97653290,0.30623700,0.36950330,0.99052100,0.32273300,0.43386470,0.95735080,0.28965770,0.41579340,0.99002200,0.30206590,0.40247580,1.00906400,0.31543970,0.47383900,0.92310590,0.27216960,0.45431920,0.95604810,0.29776450,0.45006790,0.98560760,0.30606030,0.44675180,1.00186900,0.31808230,0.39597320,0.90091210,0.34174560,0.39768150,0.90795630,0.33728300,0.35388900,1.00488800,0.33635660,0.38893280,1.02428300,0.32922460,0.44120910,1.02008500,0.32940470,9,2
0.47750100,0.89358040,0.24242600,0.47750100,0.89358040,0.24242600,0.47750100,0.89358040,0.24242600,0.45608000,0.89467250,0.25649660,0.43285400,0.89179770,0.26549690,0.41062810,0.88461430,0.28852820,0.39680520,0.89194130,0.31882140,0.39615510,0.93926580,0.27841410,0.37836470,0.94298970,0.31208740,0.38529800,0.92542190,0.32772550,0.41313440,0.95363440,0.28207780,0.38535200,0.97654110,0.30614380,0.36783720,0.99047030,0.32262970,0.43231450,0.95753800,0.28963870,0.41400600,0.99008830,0.30201710,0.40055300,1.00911100,0.31528210,0.47247850,0.92341670,0.27234440,0.45275380,0.95634430,0.29780070,0.44840460,0.98591070,0.30602060,0.44506700,1.00228000,0.31788910,0.39431830,0.90126730,0.34171050,0.39620580,0.90813320,0.33733610,0.35216500,1.00477400,0.33625360,0.38690130,1.02438700,0.32889520,0.43948570,1.02056500,0.32908090,9,2
0.47636030,0.89380960,0.24269010,0.47636030,0.89380960,0.24269010,0.47636030,0.89380960,0.24269010,0.45489730,0.89485420,0.25670020,0.43166830,0.89191950,0.26567350,0.40934560,0.88481690,0.28863600,0.39542280,0.89230010,0.31884520,0.39474320,0.93927150,0.27834570,0.37679660,0.94310220,0.31192400,0.38370010,0.92562780,0.32767960,0.41165740,0.95371400,0.28201960,0.38370380,0.97657250,0.30593260,0.36607200,0.99051620,0.32228090,0.43080190,0.95770970,0.28962250,0.41222540,0.99014900,0.30189220,0.39860200,1.00913900,0.31502990,0.47114270,0.92370010,0.27252100,0.45122340,0.95661440,0.29784250,0.44673780,0.98618410,0.30597700,0.44332080,1.00260300,0.31775330,0.39283170,0.90172610,0.34168180,0.39458920,0.90841950,0.33745420,0.35029420,1.00487700,0.33572210,0.38481070,1.02446500,0.32844490,0.43763820,1.02089400,0.32888470,9,2
0.47506650,0.89390570,0.24270350,0.47506650,0.89390570,0.24270350,0.47506650,0.89390570,0.24270350,0.45360960,0.89487680,0.25672820,0.43040250,0.89188020,0.26573740,0.40804930,0.88479150,0.28867470,0.39412990,0.89231310,0.31887580,0.39336830,0.93911930,0.27848890,0.37538710,0.94292960,0.31205100,0.38229160,0.92546770,0.32781990,0.41025200,0.95359340,0.28217850,0.38224850,0.97634010,0.30613960,0.36458060,0.99024870,0.32247900,0.42939200,0.95761870,0.28977720,0.41064390,0.98992370,0.30214000,0.39692690,1.00884600,0.31527790,0.46979930,0.92373100,0.27259090,0.44982080,0.95655490,0.29798310,0.44527340,0.98609980,0.30617320,0.44184270,1.00252400,0.31793770,0.39151940,0.90174100,0.34170940,0.39317180,0.90828110,0.33764260,0.34876810,1.00462100,0.33586650,0.38306710,1.02418400,0.32860900,0.43612560,1.02078400,0.32910420,9,2
0.47373680,0.89400260,0.24274150,0.47373680,0.89400260,0.24274150,0.47373680,0.89400260,0.24274150,0.45227940,0.89490420,0.25677010,0.42908940,0.89184870,0.26580360,0.40669550,0.88477750,0.28870650,0.39275960,0.89233770,0.31889050,0.39194340,0.93897950,0.27860770,0.37391490,0.94276910,0.31214670,0.38081630,0.92532010,0.32793140,0.40879570,0.95348480,0.28231840,0.38073630,0.97612290,0.30631720,0.36302860,0.98999560,0.32264380,0.42792760,0.95754020,0.28992130,0.40900690,0.98971380,0.30236350,0.39519310,1.00857200,0.31549210,0.46840740,0.92376880,0.27267680,0.44835970,0.95650830,0.29812320,0.44374910,0.98603010,0.30636100,0.44030080,1.00246400,0.31810820,0.39011580,0.90176910,0.34171870,0.39168510,0.90815640,0.33780630,0.34717840,1.00437600,0.33597790,0.38126100,1.02392300,0.32873150,0.43454590,1.02069300,0.32930300,9,2
0.47246400,0.89409420,0.24279140,0.47246400,0.89409420,0.24279140,0.47246400,0.89409420,0.24279140,0.45100250,0.89493290,0.25681760,0.42784120,0.89183410,0.26590970,0.40544330,0.88480350,0.28882120,0.39153840,0.89243280,0.31900200,0.39057340,0.93885540,0.27870560,0.37246670,0.94259010,0.31220870,0.37938840,0.92515110,0.32799540,0.40739550,0.95338980,0.28243920,0.37928570,0.97586910,0.30652770,0.36154230,0.98967410,0.32287320,0.42651790,0.95747350,0.29005090,0.40749510,0.98955090,0.30258560,0.39362490,1.00834100,0.31575120,0.46706910,0.92380820,0.27276670,0.44695070,0.95647190,0.29825490,0.44205670,0.98595570,0.30646500,0.43838990,1.00232100,0.31824180,0.38885400,0.90185760,0.34182830,0.39027710,0.90801570,0.33789760,0.34565590,1.00404700,0.33617220,0.37965620,1.02369800,0.32894680,0.43238820,1.02043100,0.32950020,9,2
0.47095730,0.89406160,0.24295260,0.47095730,0.89406160,0.24295260,0.47095730,0.89406160,0.24295260,0.44934150,0.89490740,0.25673930,0.42609370,0.89185140,0.26562280,0.40340470,0.88491510,0.28827520,0.38922480,0.89261130,0.31831070,0.38877890,0.93890810,0.27809460,0.37024470,0.94260510,0.31136720,0.37693140,0.92511300,0.32719650,0.40559390,0.95338760,0.28206610,0.37727060,0.97579260,0.30597330,0.35937500,0.98957930,0.32216740,0.42463950,0.95739770,0.28990620,0.40551580,0.98943730,0.30238380,0.39152600,1.00819800,0.31546480,0.46529910,0.92368850,0.27296550,0.44497610,0.95631720,0.29833600,0.43985800,0.98576920,0.30652390,0.43593200,1.00206600,0.31831160,0.38628830,0.90199640,0.34112230,0.38764960,0.90793630,0.33721260,0.34337270,1.00399000,0.33528610,0.37744270,1.02359700,0.32848850,0.42965680,1.02007000,0.32959190,9,2
0.46949280,0.89403810,0.24311340,0.46949280,0.89403810,0.24311340,0.46949280,0.89403810,0.24311340,0.44773680,0.89488880,0.25667750,0.42440400,0.89186480,0.26534670,0.40147330,0.88495730,0.28776310,0.38702680,0.89264630,0.31767330,0.38704940,0.93895540,0.27753710,0.36799240,0.94263130,0.31051550,0.37444220,0.92513410,0.32643710,0.40385300,0.95338640,0.28172710,0.37535740,0.97571300,0.30550240,0.35735000,0.98939610,0.32166050,0.42282470,0.95733170,0.28977660,0.40366160,0.98936410,0.30221210,0.38959040,1.00808300,0.31526550,0.46358620,0.92358620,0.27315610,0.44307030,0.95618180,0.29841360,0.43784450,0.98561280,0.30660860,0.43376400,1.00187300,0.31839460,0.38388400,0.90199070,0.34047410,0.38503090,0.90795100,0.33657910,0.34125860,1.00372400,0.33476070,0.37542920,1.02349600,0.32818730,0.42733980,1.01984000,0.32964980,9,2
0.46771960,0.89393940,0.24336500,0.46771960,0.89393940,0.24336500,0.46771960,0.89393940,0.24336500,0.44580360,0.89483360,0.25666630,0.42236890,0.89187680,0.26508010,0.39914970,0.88504560,0.28722130,0.38439180,0.89277110,0.31696960,0.38501300,0.93905710,0.27688340,0.36539720,0.94276540,0.30952880,0.37156070,0.92526670,0.32556180,0.40181190,0.95342340,0.28130770,0.37312810,0.97573180,0.30487280,0.35499430,0.98935450,0.32094050,0.42069740,0.95728890,0.28959490,0.40150480,0.98934560,0.30192210,0.38734780,1.00805300,0.31489880,0.46154630,0.92344360,0.27339740,0.44083290,0.95605360,0.29847430,0.43552800,0.98547830,0.30664120,0.43129890,1.00172000,0.31839950,0.38101180,0.90209900,0.33974320,0.38197630,0.90807130,0.33586130,0.33880640,1.00363700,0.33397070,0.37310210,1.02350900,0.32767560,0.42473440,1.01967100,0.32960040,9,2
0.46599880,0.89385270,0.24360940,0.46599880,0.89385270,0.24360940,0.46599880,0.89385270,0.24360940,0.44393530,0.89478600,0.25666200,0.42040870,0.89189030,0.26483670,0.39692100,0.88513400,0.28671630,0.38187100,0.89289740,0.31630790,0.38304930,0.93915060,0.27627360,0.36290580,0.94289220,0.30859220,0.36879780,0.92539630,0.32473000,0.39983920,0.95345810,0.28091760,0.37097800,0.97574380,0.30428710,0.35272480,0.98930450,0.32027160,0.41864030,0.95725100,0.28942720,0.39941310,0.98932520,0.30165470,0.38517160,1.00801900,0.31455860,0.45957090,0.92331610,0.27362840,0.43866960,0.95593840,0.29853280,0.43328570,0.98535690,0.30667040,0.42891510,1.00158400,0.31839790,0.37826650,0.90221230,0.33905240,0.37904850,0.90819330,0.33518100,0.33644470,1.00354100,0.33323770,0.37084570,1.02351600,0.32719460,0.42221630,1.01951800,0.32954450,9,2
0.46431970,0.89377540,0.24384800,0.46431970,0.89377540,0.24384800,0.46431970,0.89377540,0.24384800,0.44211890,0.89474450,0.25666280,0.41850360,0.89190210,0.26459720,0.39474580,0.88521840,0.28620570,0.37946120,0.89306340,0.31565520,0.38114390,0.93923780,0.27569810,0.36061750,0.94286810,0.30778760,0.36624130,0.92538370,0.32403320,0.39792100,0.95349110,0.28055040,0.36892270,0.97593640,0.30359490,0.35056600,0.98960210,0.31937010,0.41663910,0.95721720,0.28926990,0.39754540,0.98943970,0.30131490,0.38329940,1.00813800,0.31420800,0.45764680,0.92320050,0.27385090,0.43656510,0.95583330,0.29858910,0.43118940,0.98525250,0.30672970,0.42674400,1.00146200,0.31845330,0.37562380,0.90235140,0.33837260,0.37626520,0.90819620,0.33472680,0.33422020,1.00393500,0.33214560,0.36895850,1.02365300,0.32680510,0.41994750,1.01932800,0.32965020,9,2
0.46333560,0.89420180,0.24417950,0.46333560,0.89420180,0.24417950,0.46333560,0.89420180,0.24417950,0.44125840,0.89497350,0.25721930,0.41775550,0.89193350,0.26541020,0.39425440,0.88508270,0.28724590,0.37926920,0.89286660,0.31686490,0.38011870,0.93894360,0.27692970,0.35983680,0.94225930,0.30920830,0.36571520,0.92486260,0.32545800,0.39682730,0.95332720,0.28163150,0.36793760,0.97562810,0.30495090,0.34966400,0.98920580,0.32089780,0.41560170,0.95719480,0.29016650,0.39654540,0.98936300,0.30241430,0.38236280,1.00791100,0.31559110,0.45672700,0.92353340,0.27428810,0.43563150,0.95596180,0.29928200,0.43011380,0.98532700,0.30752180,0.42566270,1.00147800,0.31932340,0.37557260,0.90210060,0.33962770,0.37591530,0.90781030,0.33620130,0.33336840,1.00346300,0.33382100,0.36810400,1.02329200,0.32844260,0.41880800,1.01920600,0.33070350,9,2
0.46232450,0.89459400,0.24449950,0.46232450,0.89459400,0.24449950,0.46232450,0.89459400,0.24449950,0.44035650,0.89518610,0.25773170,0.41695610,0.89196710,0.26614450,0.39367890,0.88496840,0.28817230,0.37895620,0.89270320,0.31793560,0.37906740,0.93867800,0.27803050,0.35899100,0.94170310,0.31046560,0.36508750,0.92439000,0.32672420,0.39570960,0.95317890,0.28260570,0.36691330,0.97535020,0.30616310,0.34871130,0.98884800,0.32225890,0.41452850,0.95717470,0.29098220,0.39551080,0.98929760,0.30340750,0.38138910,1.00770600,0.31684290,0.45576160,0.92383840,0.27470280,0.43464540,0.95607850,0.29992170,0.42899580,0.98539300,0.30825230,0.42453490,1.00149000,0.32012380,0.37537730,0.90188850,0.34073670,0.37543760,0.90746430,0.33752410,0.33245830,1.00303700,0.33531010,0.36720770,1.02296700,0.32992220,0.41762430,1.01908700,0.33167170,9,2
0.46129170,0.89495960,0.24481060,0.46129170,0.89495960,0.24481060,0.46129170,0.89495960,0.24481060,0.43942140,0.89538570,0.25821000,0.41618960,0.89205400,0.26703620,0.39316230,0.88519520,0.28936850,0.37873290,0.89310700,0.31922860,0.37799410,0.93843440,0.27902940,0.35803600,0.94134710,0.31154780,0.36422560,0.92415090,0.32789500,0.39457170,0.95304260,0.28349670,0.36564250,0.97503350,0.30706060,0.34736720,0.98839650,0.32318570,0.41342600,0.95715610,0.29173530,0.39423780,0.98915170,0.30422670,0.38003890,1.00741000,0.31778550,0.45475990,0.92412140,0.27510040,0.43361730,0.95618590,0.30052030,0.42776950,0.98544480,0.30890910,0.42324130,1.00149000,0.32082520,0.37505810,0.90218890,0.34205600,0.37465130,0.90733800,0.33879800,0.33102450,1.00241700,0.33630740,0.36580670,1.02252300,0.33098000,0.41623800,1.01899300,0.33246050,9,2
