RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.39566200,0.84170480,0.27902490,0.39566200,0.84170480,0.27902490,0.39566200,0.84170480,0.27902490,0.38939010,0.86571440,0.27252560,0.38727210,0.88874970,0.26285070,0.37413830,0.91604420,0.25025930,0.35171950,0.94170890,0.25133400,0.38527940,0.93955570,0.29682590,0.36023690,0.96845440,0.29541360,0.34273330,0.96618130,0.27839280,0.37520490,0.92927160,0.31417280,0.35694110,0.96583300,0.32850630,0.34286810,0.98885510,0.33517800,0.36148950,0.91515260,0.32144080,0.35272160,0.94554020,0.34484300,0.34302750,0.96744120,0.35689160,0.36700120,0.86367990,0.30152380,0.34716050,0.89860990,0.32405290,0.33573960,0.92124810,0.34187780,0.32729260,0.93490970,0.35460390,0.33264600,0.95746790,0.25355430,0.33194330,0.95479420,0.26214010,0.33055030,1.00964100,0.34239340,0.33465150,0.98824310,0.36700050,0.31958590,0.95138830,0.36724640,9,0
0.39581660,0.84174750,0.27883730,0.39581660,0.84174750,0.27883730,0.39581660,0.84174750,0.27883730,0.38956100,0.86577210,0.27237790,0.38743840,0.88882680,0.26275050,0.37424800,0.91609360,0.25015800,0.35182410,0.94175670,0.25116270,0.38544850,0.93956700,0.29681840,0.36037470,0.96843820,0.29539810,0.34288210,0.96622230,0.27835850,0.37534980,0.92925250,0.31413320,0.35708670,0.96580400,0.32849260,0.34303580,0.98882880,0.33520160,0.36162080,0.91512420,0.32135730,0.35285160,0.94545430,0.34483360,0.34315220,0.96733050,0.35692290,0.36713730,0.86368880,0.30134570,0.34728260,0.89858160,0.32392000,0.33578180,0.92119800,0.34172130,0.32728050,0.93484360,0.35442830,0.33280620,0.95760860,0.25319020,0.33204510,0.95494050,0.26206370,0.33073260,1.00961400,0.34244430,0.33477470,0.98811110,0.36707410,0.31951210,0.95130960,0.36704940,9,0
0.39595600,0.84179250,0.27865790,0.39595600,0.84179250,0.27865790,0.39595600,0.84179250,0.27865790,0.38971360,0.86583000,0.27223410,0.38758390,0.88890200,0.26264960,0.37433680,0.91613980,0.25005390,0.35190660,0.94180000,0.25098900,0.38559350,0.93958270,0.29680040,0.36048920,0.96842710,0.29537370,0.34300670,0.96626270,0.27831710,0.37547330,0.92924030,0.31408600,0.35720940,0.96578250,0.32846800,0.34318060,0.98880990,0.33521400,0.36173280,0.91510280,0.32127020,0.35296170,0.94537940,0.34481460,0.34325660,0.96723240,0.35694130,0.36725790,0.86370140,0.30117370,0.34738760,0.89855950,0.32378800,0.33581100,0.92115580,0.34156550,0.32725820,0.93478690,0.35425360,0.33294320,0.95773980,0.25282880,0.33212530,0.95507960,0.26198380,0.33089210,1.00959400,0.34248380,0.33487760,0.98799290,0.36713230,0.31943170,0.95124130,0.36685400,9,0
0.39608330,0.84183930,0.27848490,0.39608330,0.84183930,0.27848490,0.39608330,0.84183930,0.27848490,0.38985170,0.86588820,0.27209340,0.38774450,0.88897620,0.26254220,0.37453400,0.91624720,0.24998040,0.35203600,0.94184320,0.25104320,0.38571930,0.93960200,0.29677420,0.36061800,0.96844100,0.29519490,0.34314140,0.96629800,0.27812940,0.37557980,0.92923360,0.31403280,0.35732460,0.96575790,0.32847120,0.34331790,0.98878320,0.33527040,0.36182960,0.91508700,0.32118030,0.35314830,0.94533660,0.34479270,0.34352000,0.96718500,0.35698850,0.36736610,0.86371700,0.30100680,0.34747900,0.89854210,0.32365690,0.33603380,0.92110970,0.34155570,0.32756590,0.93472130,0.35432140,0.33304010,0.95773650,0.25294820,0.33218750,0.95518030,0.26180010,0.33103490,1.00956100,0.34256810,0.33522550,0.98793940,0.36726110,0.31983970,0.95115090,0.36701560,9,0
0.39596120,0.84186630,0.27838300,0.39596120,0.84186630,0.27838300,0.39596120,0.84186630,0.27838300,0.38973950,0.86591240,0.27197170,0.38765440,0.88899640,0.26240620,0.37447810,0.91627010,0.24981400,0.35191400,0.94180560,0.25092490,0.38556620,0.93963630,0.29661530,0.36046380,0.96846190,0.29482320,0.34300350,0.96630540,0.27774280,0.37539910,0.92927490,0.31386180,0.35713680,0.96580740,0.32827050,0.34314440,0.98884180,0.33506820,0.36163760,0.91513100,0.32099300,0.35302060,0.94539780,0.34460690,0.34345270,0.96726310,0.35682010,0.36720750,0.86375280,0.30084970,0.34728330,0.89858690,0.32345340,0.33594110,0.92116000,0.34141070,0.32753910,0.93477650,0.35421460,0.33288810,0.95766230,0.25283580,0.33199160,0.95522000,0.26143050,0.33086000,1.00962500,0.34234570,0.33522750,0.98802890,0.36712490,0.31989220,0.95120600,0.36695690,9,0
0.39585200,0.84189640,0.27827870,0.39585200,0.84189640,0.27827870,0.39585200,0.84189640,0.27827870,0.38963860,0.86594010,0.27184990,0.38757260,0.88902090,0.26227250,0.37442520,0.91629550,0.24965240,0.35179860,0.94177380,0.25080570,0.38542380,0.93967200,0.29646250,0.36031850,0.96848190,0.29446970,0.34287340,0.96631340,0.27737540,0.37523120,0.92931570,0.31369710,0.35696140,0.96585480,0.32807960,0.34298380,0.98889760,0.33487920,0.36145980,0.91517340,0.32081220,0.35290420,0.94545390,0.34443080,0.34339370,0.96733370,0.35666300,0.36706310,0.86378880,0.30069450,0.34710270,0.89862930,0.32325630,0.33585720,0.92120530,0.34127070,0.32751700,0.93482490,0.35411170,0.33274680,0.95759960,0.25271510,0.33180510,0.95526160,0.26107840,0.33069890,1.00968700,0.34214020,0.33523460,0.98810900,0.36700110,0.31994490,0.95125250,0.36690100,9,0
0.39575280,0.84192930,0.27817260,0.39575280,0.84192930,0.27817260,0.39575280,0.84192930,0.27817260,0.38954660,0.86597070,0.27172820,0.38750770,0.88904880,0.26213870,0.37434940,0.91628030,0.24943670,0.35167980,0.94172380,0.25050810,0.38529000,0.93970890,0.29631460,0.36018730,0.96852140,0.29432570,0.34274740,0.96639920,0.27722020,0.37507350,0.92935650,0.31353740,0.35671980,0.96586970,0.32787880,0.34269820,0.98889320,0.33465300,0.36129300,0.91521500,0.32063650,0.35265250,0.94550000,0.34421830,0.34308780,0.96737730,0.35641250,0.36692970,0.86382530,0.30054090,0.34693390,0.89867030,0.32306440,0.33561830,0.92117850,0.34111970,0.32723350,0.93474890,0.35398370,0.33262900,0.95756540,0.25229280,0.33166610,0.95539740,0.26089830,0.33036760,1.00966500,0.34188600,0.33487580,0.98815160,0.36671090,0.31961530,0.95112680,0.36680940,9,0
0.39562640,0.84207990,0.27832020,0.39562640,0.84207990,0.27832020,0.39562640,0.84207990,0.27832020,0.38945570,0.86612980,0.27187360,0.38745870,0.88920660,0.26227220,0.37430540,0.91642040,0.24952730,0.35164860,0.94187590,0.25058870,0.38538800,0.93989000,0.29642610,0.36034010,0.96875450,0.29450310,0.34284670,0.96670530,0.27744330,0.37518240,0.92956720,0.31367310,0.35687230,0.96609880,0.32802340,0.34288110,0.98913610,0.33481340,0.36138710,0.91545670,0.32080510,0.35280960,0.94577090,0.34437250,0.34328180,0.96766960,0.35655710,0.36688680,0.86404480,0.30072830,0.34700000,0.89894150,0.32326830,0.33572820,0.92141630,0.34139240,0.32737420,0.93496310,0.35430140,0.33263690,0.95777110,0.25231150,0.33167470,0.95577070,0.26113810,0.33057500,1.00992000,0.34205410,0.33510020,0.98846290,0.36684130,0.31979160,0.95131460,0.36718170,9,0
0.39550920,0.84222220,0.27844520,0.39550920,0.84222220,0.27844520,0.39550920,0.84222220,0.27844520,0.38937050,0.86627970,0.27199630,0.38741200,0.88935540,0.26238420,0.37426160,0.91655100,0.24959740,0.35161220,0.94201330,0.25064910,0.38547070,0.94005900,0.29651870,0.36047180,0.96896950,0.29464970,0.34293030,0.96698860,0.27763140,0.37527400,0.92976260,0.31378670,0.35700050,0.96630960,0.32814440,0.34303650,0.98935880,0.33495030,0.36146520,0.91567980,0.32094730,0.35294480,0.94601980,0.34450220,0.34345110,0.96793770,0.35667890,0.36684330,0.86424860,0.30088730,0.34705310,0.89919110,0.32344120,0.33582130,0.92163190,0.34163220,0.32749560,0.93515450,0.35458470,0.33263550,0.95795700,0.25230930,0.33167230,0.95611990,0.26134130,0.33075180,1.01015300,0.34219800,0.33529810,0.98874800,0.36695140,0.31994600,0.95147920,0.36751820,9,0
0.39539930,0.84235810,0.27855210,0.39539930,0.84235810,0.27855210,0.39539930,0.84235810,0.27855210,0.38929010,0.86642250,0.27210110,0.38729550,0.88949670,0.26249280,0.37411230,0.91670140,0.24975940,0.35150590,0.94220030,0.25085050,0.38554150,0.94021870,0.29659630,0.36065230,0.96923290,0.29487660,0.34309820,0.96725650,0.27787070,0.37535220,0.92994610,0.31388290,0.35714200,0.96655390,0.32816590,0.34319780,0.98963560,0.33490190,0.36153090,0.91588850,0.32106860,0.35293070,0.94623520,0.34458580,0.34337090,0.96814990,0.35671640,0.36679940,0.86444000,0.30102400,0.34709590,0.89942390,0.32358960,0.33593570,0.92184930,0.34184350,0.32765800,0.93536130,0.35483780,0.33259360,0.95822470,0.25246770,0.33185010,0.95635870,0.26159320,0.33091830,1.01046100,0.34206830,0.33514040,0.98896110,0.36692520,0.32015910,0.95167480,0.36781490,9,0
