RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32189980,0.80583980,0.27140050,0.32189980,0.80583980,0.27140050,0.32189980,0.80583980,0.27140050,0.30751420,0.82608410,0.26497720,0.29709370,0.84338270,0.25011500,0.27363660,0.86292960,0.23812670,0.25146330,0.88710680,0.24741340,0.30394680,0.90380820,0.26249320,0.27484780,0.92860570,0.26088460,0.25502750,0.91492250,0.26548630,0.31115120,0.90100160,0.28366850,0.30063710,0.94135490,0.29536520,0.29130830,0.96636530,0.30311330,0.30986480,0.89111670,0.30213240,0.30853440,0.92831450,0.31487990,0.30338330,0.95321370,0.32338230,0.31216390,0.83573650,0.30007000,0.30555050,0.87730820,0.31876130,0.31259830,0.90110610,0.33732590,0.31360700,0.91642640,0.35089860,0.24181990,0.89815490,0.26746380,0.24374450,0.89619420,0.27115960,0.28686740,0.98998880,0.31073140,0.30094170,0.97669590,0.33028820,0.31686010,0.93416700,0.36376150,9,4
0.32138870,0.80680930,0.27286770,0.32138870,0.80680930,0.27286770,0.32138870,0.80680930,0.27286770,0.30708350,0.82704420,0.26623890,0.29673240,0.84428890,0.25126580,0.27333920,0.86381470,0.23911940,0.25117530,0.88807200,0.24821780,0.30369590,0.90475920,0.26326330,0.27455680,0.92950140,0.26153390,0.25465760,0.91590590,0.26605440,0.31077210,0.90206620,0.28449650,0.30015240,0.94244220,0.29601800,0.29077120,0.96747150,0.30364050,0.30935830,0.89229630,0.30301220,0.30802230,0.92953280,0.31564540,0.30291000,0.95447240,0.32405270,0.31155140,0.83690000,0.30129880,0.30491880,0.87859820,0.31969930,0.31195940,0.90248060,0.33815780,0.31294520,0.91787800,0.35164460,0.24149420,0.89923000,0.26818890,0.24324700,0.89724500,0.27169450,0.28640480,0.99113710,0.31117090,0.30053880,0.97798370,0.33088340,0.31615160,0.93569170,0.36441790,9,4
0.32190920,0.80810610,0.27330170,0.32190920,0.80810610,0.27330170,0.32190920,0.80810610,0.27330170,0.30758040,0.82828980,0.26656810,0.29719550,0.84547310,0.25154810,0.27375530,0.86490680,0.23934480,0.25153390,0.88911900,0.24842290,0.30404540,0.90598730,0.26332010,0.27476220,0.93055980,0.26160510,0.25487070,0.91693870,0.26608210,0.31107320,0.90338050,0.28458010,0.30021460,0.94370380,0.29606330,0.29069990,0.96869230,0.30365410,0.30963210,0.89367060,0.30312520,0.30815890,0.93090690,0.31574390,0.30299120,0.95584030,0.32413540,0.31194000,0.83827320,0.30160550,0.30517770,0.88002030,0.31984750,0.31216060,0.90396960,0.33824100,0.31309680,0.91941280,0.35167900,0.24187060,0.90025710,0.26841380,0.24345360,0.89827140,0.27168790,0.28632760,0.99236080,0.31117160,0.30059340,0.97935130,0.33095810,0.31621830,0.93727960,0.36439910,9,4
0.32234930,0.80941460,0.27378990,0.32234930,0.80941460,0.27378990,0.32234930,0.80941460,0.27378990,0.30800040,0.82954910,0.26695270,0.29759030,0.84666710,0.25187550,0.27410880,0.86600760,0.23960370,0.25184300,0.89017830,0.24868360,0.30434080,0.90722800,0.26341180,0.27492350,0.93164010,0.26170140,0.25504730,0.91798880,0.26615410,0.31132900,0.90471110,0.28469570,0.30024610,0.94498720,0.29613030,0.29060680,0.96993920,0.30368440,0.30986590,0.89506700,0.30327340,0.30826010,0.93230720,0.31586450,0.30303590,0.95723660,0.32423280,0.31227060,0.83966850,0.30196200,0.30540000,0.88147070,0.32003650,0.31233240,0.90549210,0.33835510,0.31322500,0.92098480,0.35173880,0.24223270,0.90128290,0.26871860,0.24363650,0.89931310,0.27174430,0.28623400,0.99361380,0.31118250,0.30060690,0.98074910,0.33103930,0.31626850,0.93890790,0.36439860,9,4
0.32272920,0.81076440,0.27433710,0.32272920,0.81076440,0.27433710,0.32272920,0.81076440,0.27433710,0.30836270,0.83085020,0.26739470,0.29781380,0.84793120,0.25237210,0.27429550,0.86729630,0.24021010,0.25192140,0.89165810,0.24847680,0.30459540,0.90850880,0.26353630,0.27519420,0.93294100,0.26183450,0.25519030,0.91945760,0.26622700,0.31155060,0.90608760,0.28484210,0.30057850,0.94645150,0.29607190,0.29094590,0.97144500,0.30349590,0.31006970,0.89651570,0.30345570,0.30863750,0.93382200,0.31587090,0.30351670,0.95881240,0.32412060,0.31255780,0.84111600,0.30237050,0.30559490,0.88298010,0.32026550,0.31256600,0.90703760,0.33852190,0.31349650,0.92255960,0.35186890,0.24161150,0.90343900,0.26776380,0.24348490,0.90095350,0.27177880,0.28664600,0.99516890,0.31087930,0.30119720,0.98236760,0.33081640,0.31655420,0.94051230,0.36448330,9,4
0.32232890,0.81174120,0.27421470,0.32232890,0.81174120,0.27421470,0.32232890,0.81174120,0.27421470,0.30802120,0.83184070,0.26719070,0.29748950,0.84899130,0.25223560,0.27405520,0.86847320,0.24009800,0.25157020,0.89294590,0.24771060,0.30426000,0.90950820,0.26351000,0.27490300,0.93398880,0.26174190,0.25474560,0.92064050,0.26583510,0.31101270,0.90703090,0.28487440,0.30006750,0.94740370,0.29609880,0.29039130,0.97238920,0.30349300,0.30935820,0.89740740,0.30344670,0.30799900,0.93469090,0.31593820,0.30291640,0.95968350,0.32420440,0.31187860,0.84201170,0.30223300,0.30472870,0.88382390,0.32017580,0.31160880,0.90779120,0.33858470,0.31247930,0.92325380,0.35200460,0.24060310,0.90512550,0.26637740,0.24272530,0.90226570,0.27113810,0.28611780,0.99611180,0.31089620,0.30065270,0.98323370,0.33093740,0.31546100,0.94115050,0.36471630,9,4
0.32195480,0.81275170,0.27417920,0.32195480,0.81275170,0.27417920,0.32195480,0.81275170,0.27417920,0.30770100,0.83286050,0.26707300,0.29718300,0.85006590,0.25217120,0.27382310,0.86964650,0.24004920,0.25125340,0.89422130,0.24705800,0.30394590,0.91053400,0.26351340,0.27462510,0.93505350,0.26168640,0.25433220,0.92183260,0.26551490,0.31051690,0.90801660,0.28492970,0.29958760,0.94839840,0.29613730,0.28986610,0.97337670,0.30349640,0.30870710,0.89835600,0.30346830,0.30740910,0.93562230,0.31601720,0.30235820,0.96061900,0.32429100,0.31125580,0.84296360,0.30216700,0.30393950,0.88473800,0.32013040,0.31073990,0.90863190,0.33866400,0.31155860,0.92404660,0.35214210,0.23972870,0.90675430,0.26514610,0.24202570,0.90358510,0.27059620,0.28561920,0.99710040,0.31091110,0.30014240,0.98416600,0.33105050,0.31447100,0.94189890,0.36493200,9,4
0.32160690,0.81376500,0.27420600,0.32160690,0.81376500,0.27420600,0.32160690,0.81376500,0.27420600,0.30740250,0.83387990,0.26701890,0.29686010,0.85113760,0.25219490,0.27355110,0.87082090,0.24014130,0.25094880,0.89546960,0.24677580,0.30365380,0.91155730,0.26353800,0.27449810,0.93630060,0.26213400,0.25400520,0.92327600,0.26554780,0.31006160,0.90901200,0.28500040,0.29918380,0.94936000,0.29637830,0.28945590,0.97431060,0.30382260,0.30811270,0.89932530,0.30351120,0.30698230,0.93655900,0.31617280,0.30210140,0.96156900,0.32450810,0.31068620,0.84393540,0.30215290,0.30322150,0.88568300,0.32011760,0.31003720,0.90964390,0.33855870,0.31082950,0.92513130,0.35195490,0.23899590,0.90827800,0.26438670,0.24134010,0.90514740,0.27015100,0.28522530,0.99800100,0.31135240,0.30008230,0.98511270,0.33134040,0.31372590,0.94304500,0.36466250,9,4
0.32096410,0.81469850,0.27451840,0.32096410,0.81469850,0.27451840,0.32096410,0.81469850,0.27451840,0.30685910,0.83478990,0.26707370,0.29637570,0.85202190,0.25217840,0.27318690,0.87175330,0.23997250,0.25054970,0.89652760,0.24599120,0.30319950,0.91245340,0.26321040,0.27421660,0.93740580,0.26193820,0.25351650,0.92460970,0.26494120,0.30934750,0.90999810,0.28475910,0.29848890,0.95038530,0.29601530,0.28873400,0.97535780,0.30335020,0.30717060,0.90039300,0.30328710,0.30615940,0.93766610,0.31584270,0.30141190,0.96273610,0.32407370,0.30972670,0.84499640,0.30220060,0.30207200,0.88682590,0.31989270,0.30883560,0.91093830,0.33815460,0.30955450,0.92656170,0.35139630,0.23812350,0.90970940,0.26298840,0.24048300,0.90664360,0.26913490,0.28450440,0.99906290,0.31083360,0.29955690,0.98631380,0.33083500,0.31239010,0.94459570,0.36394620,9,4
0.32036200,0.81565980,0.27485230,0.32036200,0.81565980,0.27485230,0.32036200,0.81565980,0.27485230,0.30635150,0.83572690,0.26716770,0.29600230,0.85291180,0.25212480,0.27295910,0.87264180,0.23964390,0.25028850,0.89748880,0.24522160,0.30277820,0.91337530,0.26293750,0.27362110,0.93812530,0.26168910,0.25289770,0.92530380,0.26440950,0.30868610,0.91100760,0.28456300,0.29779110,0.95145570,0.29556270,0.28800280,0.97647040,0.30270630,0.30629910,0.90148180,0.30310600,0.30531250,0.93881030,0.31549750,0.30060590,0.96393600,0.32358110,0.30883610,0.84607980,0.30228090,0.30100960,0.88798740,0.31971110,0.30757260,0.91239350,0.33765340,0.30816330,0.92823420,0.35064050,0.23749850,0.91091860,0.26174810,0.23977310,0.90734420,0.26833860,0.28367360,1.00019900,0.31005680,0.29882800,0.98755090,0.33023280,0.31093790,0.94645780,0.36292750,9,4
