RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.31376790,1.02882900,0.39782640,0.31376790,1.02882900,0.39782640,0.31376790,1.02882900,0.39782640,0.29919190,1.04580000,0.38567210,0.28400330,1.06059700,0.37264780,0.25919200,1.07916800,0.36267620,0.23524350,1.10072300,0.37301460,0.28469850,1.12093200,0.37498540,0.27305400,1.15706800,0.37403870,0.26538820,1.18016300,0.37374870,0.28543620,1.12036700,0.39733930,0.24328110,1.12761700,0.39309220,0.24442390,1.10091000,0.38627600,0.28016150,1.11129500,0.41532670,0.24171510,1.11169100,0.40851030,0.24484440,1.08797700,0.39685310,0.29142240,1.05755300,0.41925220,0.27322000,1.09778400,0.43106870,0.24450120,1.09692700,0.42007990,0.24655860,1.08027600,0.40858310,0.22261070,1.11078500,0.39164190,0.26210550,1.20224400,0.37581610,0.26802120,1.09289900,0.38397760,0.26737650,1.07907100,0.39385730,0.26477390,1.06975400,0.40218750,0,5
0.31368800,1.02899600,0.39777430,0.31368800,1.02899600,0.39777430,0.31368800,1.02899600,0.39777430,0.29910820,1.04595400,0.38560760,0.28392700,1.06073800,0.37256020,0.25909960,1.07927200,0.36256000,0.23514570,1.10079300,0.37295730,0.28460530,1.12107500,0.37485720,0.27294880,1.15720700,0.37391120,0.26527550,1.18030000,0.37362190,0.28534680,1.12053000,0.39721140,0.24318080,1.12764400,0.39284590,0.24444520,1.10090500,0.38617840,0.28007610,1.11147300,0.41520760,0.24163300,1.11184700,0.40837090,0.24495590,1.08811500,0.39680490,0.29134310,1.05773600,0.41917850,0.27313860,1.09797500,0.43096280,0.24448380,1.09692900,0.41982420,0.24681340,1.08017500,0.40853200,0.22250760,1.11085100,0.39158320,0.26198670,1.20238000,0.37568810,0.26807950,1.09297600,0.38397660,0.26753620,1.07930200,0.39389580,0.26516150,1.06972700,0.40239980,0,5
0.31336020,1.02979100,0.39775730,0.31336020,1.02979100,0.39775730,0.31336020,1.02979100,0.39775730,0.29878530,1.04671100,0.38553190,0.28362560,1.06145600,0.37241420,0.25879030,1.07992600,0.36231600,0.23480220,1.10141500,0.37269910,0.28424530,1.12179800,0.37459010,0.27255780,1.15791800,0.37358210,0.26486440,1.18100400,0.37325300,0.28495670,1.12130500,0.39694650,0.24278320,1.12825600,0.39239590,0.24419120,1.10148000,0.38591090,0.27966770,1.11228500,0.41495620,0.24123820,1.11260400,0.40804110,0.24477620,1.08884200,0.39660210,0.29096640,1.05856400,0.41906530,0.27271820,1.09881900,0.43073270,0.24414420,1.09755200,0.41941090,0.24676100,1.08068800,0.40834680,0.22212350,1.11148800,0.39128940,0.26155390,1.20308400,0.37528530,0.26786850,1.09364300,0.38384750,0.26741090,1.08012700,0.39382160,0.26524850,1.07031800,0.40250820,0,5
0.31306020,1.03054400,0.39770100,0.31306020,1.03054400,0.39770100,0.31306020,1.03054400,0.39770100,0.29848850,1.04742900,0.38542370,0.28335060,1.06213700,0.37223970,0.25850880,1.08054700,0.36204870,0.23448910,1.10200500,0.37242280,0.28391230,1.12248300,0.37430960,0.27219580,1.15859300,0.37325390,0.26448350,1.18167200,0.37289410,0.28459810,1.12203700,0.39666780,0.24241780,1.12883200,0.39194810,0.24396370,1.10202300,0.38563550,0.27929410,1.11305000,0.41469000,0.24087680,1.11331800,0.40770500,0.24461870,1.08953000,0.39638560,0.29062290,1.05934600,0.41892340,0.27233490,1.09961300,0.43048630,0.24383940,1.09813000,0.41899420,0.24673050,1.08116700,0.40815240,0.22177340,1.11209000,0.39098160,0.26115310,1.20375100,0.37490030,0.26768170,1.09427600,0.38370010,0.26730390,1.08091000,0.39372360,0.26534790,1.07087700,0.40259160,0,5
0.31278210,1.03126200,0.39761390,0.31278210,1.03126200,0.39761390,0.31278210,1.03126200,0.39761390,0.29821240,1.04811500,0.38528990,0.28319120,1.06279000,0.37193650,0.25834810,1.08106100,0.36150070,0.23425410,1.10237500,0.37199710,0.28360080,1.12313900,0.37401860,0.27198210,1.15927600,0.37280960,0.26433170,1.18237300,0.37235130,0.28426440,1.12273500,0.39637830,0.24205590,1.12922300,0.39147930,0.24383680,1.10239000,0.38533040,0.27894770,1.11378000,0.41441210,0.24057780,1.11358800,0.40716930,0.24462140,1.08974800,0.39606540,0.29030560,1.06009100,0.41875900,0.27198100,1.10036800,0.43022690,0.24358630,1.09858400,0.41852990,0.24666390,1.08151500,0.40790770,0.22172090,1.11222600,0.39080440,0.26101070,1.20446200,0.37426090,0.26762230,1.09482000,0.38352680,0.26739400,1.08130200,0.39360180,0.26538440,1.07127300,0.40261170,0,5
0.31157060,1.03165000,0.39724410,0.31157060,1.03165000,0.39724410,0.31157060,1.03165000,0.39724410,0.29705540,1.04851800,0.38487670,0.28219590,1.06320900,0.37136140,0.25740460,1.08140700,0.36067860,0.23325480,1.10260900,0.37127510,0.28255650,1.12355700,0.37356110,0.27108940,1.15973900,0.37225760,0.26353480,1.18286600,0.37173820,0.28315310,1.12315300,0.39592260,0.24094120,1.12942500,0.39077920,0.24291450,1.10257900,0.38474680,0.27777340,1.11420300,0.41394070,0.23946780,1.11365400,0.40638280,0.24378820,1.08978200,0.39545260,0.28906180,1.06050300,0.41832190,0.27074560,1.10079900,0.42973480,0.24247120,1.09879100,0.41778550,0.24572710,1.08163600,0.40735660,0.22087450,1.11222600,0.39030280,0.26024830,1.20496500,0.37359320,0.26675390,1.09514300,0.38310410,0.26663430,1.08147400,0.39320920,0.26453990,1.07142400,0.40233750,0,5
0.31045310,1.03204200,0.39687710,0.31045310,1.03204200,0.39687710,0.31045310,1.03204200,0.39687710,0.29598680,1.04892200,0.38446950,0.28127900,1.06362700,0.37080360,0.25653610,1.08175300,0.35988930,0.23233300,1.10284700,0.37057880,0.28158780,1.12397400,0.37310990,0.27026070,1.16019700,0.37172280,0.26279460,1.18335200,0.37114920,0.28212380,1.12357100,0.39547300,0.23990960,1.12963300,0.39010150,0.24206850,1.10277500,0.38418630,0.27668740,1.11462800,0.41347710,0.23844620,1.11373900,0.40563080,0.24303340,1.08983900,0.39487070,0.28791430,1.06091700,0.41789230,0.26960470,1.10123100,0.42925320,0.24144700,1.09900100,0.41707000,0.24487850,1.08176500,0.40683400,0.22009950,1.11224600,0.38981010,0.25953460,1.20545900,0.37295420,0.26595850,1.09547100,0.38269570,0.26594810,1.08166800,0.39283450,0.26377900,1.07158600,0.40208200,0,5
0.30940960,1.03243800,0.39651220,0.30940960,1.03243800,0.39651220,0.30940960,1.03243800,0.39651220,0.29498790,1.04932900,0.38406710,0.28050770,1.06404400,0.37017150,0.25584190,1.08205700,0.35890160,0.23154800,1.10300400,0.36967500,0.28067880,1.12439100,0.37266380,0.26939020,1.16061700,0.37106440,0.26188730,1.18375600,0.37034180,0.28115930,1.12399000,0.39502820,0.23893150,1.12970300,0.38938750,0.24138510,1.10283300,0.38364170,0.27567100,1.11505300,0.41301980,0.23748770,1.11384000,0.40493860,0.24220660,1.08993100,0.39425460,0.28684270,1.06133400,0.41746850,0.26853840,1.10166400,0.42877980,0.24046720,1.09926100,0.41643080,0.24404360,1.08199700,0.40629110,0.21946370,1.11213000,0.38913020,0.25846250,1.20585000,0.37199280,0.26535310,1.09575200,0.38233850,0.26515550,1.08182900,0.39233140,0.26305520,1.07193300,0.40174440,0,5
0.30857210,1.03213100,0.39523850,0.30857210,1.03213100,0.39523850,0.30857210,1.03213100,0.39523850,0.29422430,1.04910500,0.38282100,0.27997960,1.06390400,0.36877210,0.25542720,1.08192000,0.35726060,0.23115520,1.10280200,0.36820690,0.28025540,1.12424800,0.37152640,0.26914300,1.16052300,0.36981400,0.26169330,1.18367700,0.36900680,0.28074010,1.12381300,0.39389000,0.23850890,1.12936300,0.38811450,0.24112450,1.10248400,0.38248690,0.27521600,1.11487700,0.41187070,0.23706500,1.11350800,0.40366220,0.24180390,1.08958900,0.39301090,0.28614320,1.06110000,0.41624140,0.26802640,1.10149800,0.42761400,0.24000180,1.09904400,0.41516980,0.24363340,1.08174900,0.40510170,0.21930210,1.11168700,0.38791430,0.25820150,1.20576700,0.37055530,0.26513410,1.09552700,0.38128780,0.26475220,1.08147500,0.39113020,0.26270090,1.07172700,0.40069820,0,5
0.30780500,1.03188800,0.39409430,0.30780500,1.03188800,0.39409430,0.30780500,1.03188800,0.39409430,0.29352310,1.04893400,0.38169970,0.27950040,1.06380400,0.36750360,0.25505130,1.08181000,0.35575830,0.23079210,1.10262200,0.36686450,0.27985330,1.12414600,0.37049720,0.26890060,1.16046400,0.36867380,0.26149470,1.18362900,0.36778340,0.28034030,1.12368200,0.39286030,0.23810490,1.12905900,0.38695230,0.24088680,1.10217100,0.38144520,0.27478370,1.11474700,0.41083130,0.23666670,1.11321000,0.40249570,0.24144410,1.08928000,0.39188580,0.28549610,1.06092200,0.41513590,0.26754340,1.10137800,0.42656000,0.23956930,1.09885200,0.41401710,0.24326840,1.08152400,0.40403200,0.21915890,1.11127200,0.38680610,0.25793050,1.20571500,0.36923100,0.26493820,1.09534300,0.38034860,0.26439710,1.08116900,0.39005430,0.26239460,1.07154800,0.39977850,0,5
