RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32791160,0.81659070,0.13620250,0.32791160,0.81659070,0.13620250,0.32791160,0.81659070,0.13620250,0.31255440,0.83664330,0.13939920,0.29553370,0.85442320,0.14306890,0.27897110,0.88033600,0.15375150,0.28881320,0.90993340,0.16687170,0.29622760,0.90845760,0.11604810,0.29351890,0.94608250,0.11165000,0.29107390,0.97029420,0.11189610,0.31833040,0.91035960,0.11894800,0.30536540,0.93473120,0.15189590,0.29975580,0.91109870,0.16497400,0.33538020,0.90684830,0.13037850,0.32038890,0.91837800,0.16454100,0.30965630,0.89450250,0.16931600,0.34357540,0.85462850,0.14575140,0.35010030,0.89986510,0.14497580,0.33237280,0.90575010,0.16941680,0.32326250,0.88778190,0.17220920,0.30569880,0.92519040,0.17635460,0.29160300,0.99251790,0.10899450,0.30188480,0.89139590,0.14969120,0.31230990,0.87934540,0.15036300,0.32446420,0.87223370,0.15671010,0,6
0.32790380,0.81644650,0.13586760,0.32790380,0.81644650,0.13586760,0.32790380,0.81644650,0.13586760,0.31253270,0.83648550,0.13908350,0.29549710,0.85424970,0.14276030,0.27889500,0.88008040,0.15357930,0.28864720,0.90962590,0.16688230,0.29625460,0.90836870,0.11591110,0.29353560,0.94600860,0.11164920,0.29106570,0.97021630,0.11200960,0.31834860,0.91026680,0.11887960,0.30535280,0.93464800,0.15180830,0.29962780,0.91102990,0.16486250,0.33536690,0.90672370,0.13034730,0.32032220,0.91830970,0.16446720,0.30958480,0.89442870,0.16920360,0.34353120,0.85445800,0.14557990,0.35004730,0.89969830,0.14496430,0.33228540,0.90559900,0.16937650,0.32309290,0.88766130,0.17209440,0.30542380,0.92491870,0.17650020,0.29159280,0.99245040,0.10918800,0.30174170,0.89132450,0.14958100,0.31227620,0.87926520,0.15026110,0.32425060,0.87213490,0.15657000,0,6
0.32803080,0.81636460,0.13589300,0.32803080,0.81636460,0.13589300,0.32803080,0.81636460,0.13589300,0.31271150,0.83642660,0.13921120,0.29572230,0.85421550,0.14298180,0.27919090,0.87999520,0.15402850,0.28902380,0.90943250,0.16751090,0.29658220,0.90844740,0.11636430,0.29393060,0.94611310,0.11229290,0.29150010,0.97032220,0.11279870,0.31868380,0.91027950,0.11931720,0.30584910,0.93466620,0.15230500,0.29999970,0.91106340,0.16533170,0.33570570,0.90664650,0.13075140,0.32077050,0.91827850,0.16490380,0.30997670,0.89441740,0.16961230,0.34376020,0.85429640,0.14575120,0.35038460,0.89952310,0.14532240,0.33269840,0.90545140,0.16978280,0.32338480,0.88756770,0.17244410,0.30579450,0.92468020,0.17721010,0.29207170,0.99256750,0.11007590,0.30198770,0.89136710,0.15002150,0.31258730,0.87926380,0.15065050,0.32439020,0.87207450,0.15687600,0,6
0.32815360,0.81628880,0.13589580,0.32815360,0.81628880,0.13589580,0.32815360,0.81628880,0.13589580,0.31288040,0.83637000,0.13930890,0.29593240,0.85417960,0.14316580,0.27946260,0.87990500,0.15442900,0.28939130,0.90922870,0.16808760,0.29688870,0.90851880,0.11677130,0.29429290,0.94620780,0.11288330,0.29189510,0.97041690,0.11352530,0.31899660,0.91029100,0.11971370,0.30630770,0.93468460,0.15275280,0.30033840,0.91109870,0.16575570,0.33601970,0.90657410,0.13111900,0.32118200,0.91824620,0.16530030,0.31033200,0.89440490,0.16997950,0.34397290,0.85414560,0.14589710,0.35069490,0.89935930,0.14564870,0.33307630,0.90530950,0.17015260,0.32364440,0.88748000,0.17276000,0.30616650,0.92442100,0.17786570,0.29250550,0.99267220,0.11089450,0.30221040,0.89140980,0.15042150,0.31286730,0.87925990,0.15100060,0.32450080,0.87201580,0.15715420,0,6
0.32827350,0.81621790,0.13588130,0.32827350,0.81621790,0.13588130,0.32827350,0.81621790,0.13588130,0.31304200,0.83631550,0.13938340,0.29608150,0.85410930,0.14325840,0.27958100,0.87980650,0.15454090,0.28949690,0.90908560,0.16830410,0.29717900,0.90858460,0.11714230,0.29459920,0.94628520,0.11335770,0.29221720,0.97049420,0.11405720,0.31929210,0.91030150,0.12007820,0.30650620,0.93425210,0.15340270,0.30063420,0.91056470,0.16626460,0.33631480,0.90650590,0.13145820,0.32149510,0.91797670,0.16571530,0.31057890,0.89414960,0.17031280,0.34417350,0.85400350,0.14602300,0.35098450,0.89920450,0.14595010,0.33344590,0.90529610,0.17047660,0.32397720,0.88748890,0.17310320,0.30618290,0.92430320,0.17819480,0.29282830,0.99275900,0.11150700,0.30255570,0.89097880,0.15080490,0.31304410,0.87905760,0.15128250,0.32477520,0.87201480,0.15750410,0,6
0.32872070,0.81638010,0.13617140,0.32872070,0.81638010,0.13617140,0.32872070,0.81638010,0.13617140,0.31354720,0.83649980,0.13979610,0.29659590,0.85428740,0.14373930,0.28012280,0.87997440,0.15508500,0.29010940,0.90922440,0.16885890,0.29770950,0.90884700,0.11779200,0.29512810,0.94655280,0.11406000,0.29276480,0.97076280,0.11478780,0.31984110,0.91051460,0.12061550,0.30713620,0.93412630,0.15421180,0.30140170,0.91037510,0.16701800,0.33691570,0.90666150,0.13189800,0.32227780,0.91801010,0.16627380,0.31131600,0.89420730,0.17088830,0.34474770,0.85411290,0.14630990,0.35164680,0.89930060,0.14629730,0.33430110,0.90556550,0.17091710,0.32479920,0.88778950,0.17363370,0.30676700,0.92447130,0.17875230,0.29336660,0.99303190,0.11227360,0.30328620,0.89085250,0.15147400,0.31362140,0.87912980,0.15182650,0.32545580,0.87227880,0.15806440,0,6
0.32913790,0.81652590,0.13642360,0.32913790,0.81652590,0.13642360,0.32913790,0.81652590,0.13642360,0.31401840,0.83666520,0.14016360,0.29707450,0.85444560,0.14417020,0.28062390,0.88011780,0.15558180,0.29068350,0.90933220,0.16937820,0.29821040,0.90908940,0.11839300,0.29562480,0.94680060,0.11471950,0.29327700,0.97101120,0.11547900,0.32035790,0.91071050,0.12111630,0.30772630,0.93399860,0.15496510,0.30211540,0.91018750,0.16771470,0.33747810,0.90680150,0.13231020,0.32300540,0.91803400,0.16679380,0.31199780,0.89425460,0.17142040,0.34528120,0.85420700,0.14656970,0.35226290,0.89938200,0.14662400,0.33509550,0.90580650,0.17132750,0.32555630,0.88806280,0.17412380,0.30731580,0.92460020,0.17928180,0.29386960,0.99328480,0.11300250,0.30396660,0.89072570,0.15209060,0.31415470,0.87919130,0.15233010,0.32607520,0.87251880,0.15858270,0,6
0.32953180,0.81665870,0.13664580,0.32953180,0.81665870,0.13664580,0.32953180,0.81665870,0.13664580,0.31446330,0.83681540,0.14049550,0.29752300,0.85458650,0.14455890,0.28108870,0.88027930,0.15594760,0.29105110,0.90954180,0.16971250,0.29868810,0.90931590,0.11895570,0.29615970,0.94702670,0.11523880,0.29382240,0.97123530,0.11608910,0.32084980,0.91089260,0.12158850,0.30834340,0.93399380,0.15561150,0.30281830,0.91010370,0.16825020,0.33801060,0.90692880,0.13270070,0.32368250,0.91811720,0.16725890,0.31271740,0.89432740,0.17193250,0.34578330,0.85428890,0.14680820,0.35284330,0.89945160,0.14693470,0.33581840,0.90598120,0.17170920,0.32629320,0.88824400,0.17459230,0.30760740,0.92488610,0.17962550,0.29437340,0.99352830,0.11378430,0.30462500,0.89073310,0.15250800,0.31482540,0.87931250,0.15279870,0.32677010,0.87269690,0.15905280,0,6
0.33021240,0.81649300,0.13634810,0.33021240,0.81649300,0.13634810,0.33021240,0.81649300,0.13634810,0.31513570,0.83661310,0.14035420,0.29814750,0.85431650,0.14451160,0.28164610,0.87994190,0.15595490,0.29143830,0.90921680,0.16981520,0.29923700,0.90922200,0.11927560,0.29666590,0.94693940,0.11565580,0.29427410,0.97113610,0.11667640,0.32140420,0.91080410,0.12185850,0.30890970,0.93356520,0.15611430,0.30350950,0.90954380,0.16855670,0.33859810,0.90679220,0.13290180,0.32433290,0.91777550,0.16755180,0.31345740,0.89393350,0.17216790,0.34645650,0.85407890,0.14668430,0.35347560,0.89924670,0.14705300,0.33653800,0.90574850,0.17189450,0.32706170,0.88798580,0.17478270,0.30787360,0.92463360,0.17981670,0.29473180,0.99345490,0.11461410,0.30534410,0.89031990,0.15263890,0.31557730,0.87903610,0.15294370,0.32755030,0.87249020,0.15919230,0,6
0.33085240,0.81634410,0.13607460,0.33085240,0.81634410,0.13607460,0.33085240,0.81634410,0.13607460,0.31577100,0.83643050,0.14022900,0.29873860,0.85407070,0.14447360,0.28217460,0.87963160,0.15597060,0.29181680,0.90891160,0.16992500,0.29976560,0.90914210,0.11958960,0.29715570,0.94686570,0.11606290,0.29471380,0.97104990,0.11724540,0.32193810,0.91072670,0.12212550,0.30945620,0.93315760,0.15660290,0.30417260,0.90901480,0.16885890,0.33916270,0.90666710,0.13310340,0.32495920,0.91745660,0.16783950,0.31416260,0.89356820,0.17240060,0.34709470,0.85388490,0.14657640,0.35408130,0.89905520,0.14717540,0.33722950,0.90553950,0.17207990,0.32779320,0.88775660,0.17497410,0.30813940,0.92439190,0.18001270,0.29508480,0.99339060,0.11541440,0.30603130,0.88993050,0.15277670,0.31628810,0.87878010,0.15309280,0.32828450,0.87230650,0.15933860,0,6
