RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.39131480,0.80101170,0.20268590,0.39131480,0.80101170,0.20268590,0.39131480,0.80101170,0.20268590,0.37876680,0.82299180,0.19992990,0.36592440,0.84362120,0.19456370,0.34265760,0.86639290,0.19444260,0.32376330,0.88349570,0.21670280,0.37777670,0.89817980,0.21767620,0.37201470,0.93316140,0.23129240,0.36815800,0.95542660,0.24032720,0.38147530,0.88955160,0.23798460,0.34180170,0.90360400,0.24671230,0.33513670,0.88262540,0.23008470,0.37708130,0.87542770,0.25264390,0.33913200,0.88446800,0.25433940,0.33630400,0.86557880,0.23581290,0.37814340,0.82285910,0.23634030,0.36989780,0.85823020,0.26409680,0.34053390,0.86691440,0.26116370,0.33581410,0.85592250,0.24471510,0.31528180,0.88694920,0.23959310,0.36874400,0.97546510,0.25036260,0.35533720,0.87274370,0.21910330,0.35553530,0.85446950,0.22567700,0.35043480,0.84583600,0.23175700,0,2
0.39068270,0.80128510,0.20262740,0.39068270,0.80128510,0.20262740,0.39068270,0.80128510,0.20262740,0.37804210,0.82320990,0.19985370,0.36514050,0.84378890,0.19443600,0.34182460,0.86650970,0.19423880,0.32291470,0.88344090,0.21661660,0.37670870,0.89839730,0.21758000,0.37085090,0.93338410,0.23114190,0.36693310,0.95565270,0.24014200,0.38042510,0.88979030,0.23789420,0.34068120,0.90369080,0.24654510,0.33397040,0.88268360,0.22997210,0.37607820,0.87565120,0.25255280,0.33810970,0.88461110,0.25424440,0.33517370,0.86570260,0.23575450,0.37738400,0.82308360,0.23626350,0.36895820,0.85842550,0.26400300,0.33957890,0.86712140,0.26126570,0.33477910,0.85622630,0.24477600,0.31455300,0.88667760,0.23958250,0.36746640,0.97570710,0.25014850,0.35414480,0.87277850,0.21896380,0.35435250,0.85455240,0.22556410,0.34936600,0.84622880,0.23171110,0,2
0.39011120,0.80151400,0.20259760,0.39011120,0.80151400,0.20259760,0.39011120,0.80151400,0.20259760,0.37739100,0.82339080,0.19980860,0.36442370,0.84392200,0.19436680,0.34100840,0.86654000,0.19412970,0.32201410,0.88336340,0.21651740,0.37575960,0.89857570,0.21752040,0.36955260,0.93344720,0.23122290,0.36541170,0.95563910,0.24031220,0.37948990,0.88998620,0.23783950,0.33972140,0.90385410,0.24642950,0.33300810,0.88277660,0.22994720,0.37518290,0.87583350,0.25249660,0.33719630,0.88471550,0.25419380,0.33427240,0.86579330,0.23571590,0.37670060,0.82326830,0.23621780,0.36811720,0.85858320,0.26394350,0.33872380,0.86727410,0.26134490,0.33391230,0.85643170,0.24482390,0.31367600,0.88649960,0.23950580,0.36574230,0.97565320,0.25040780,0.35317890,0.87283770,0.21896280,0.35348780,0.85469140,0.22554180,0.34852760,0.84652140,0.23172460,0,2
0.38982920,0.80130880,0.20225940,0.38982920,0.80130880,0.20225940,0.38982920,0.80130880,0.20225940,0.37709770,0.82318700,0.19953470,0.36411710,0.84372430,0.19414740,0.34068760,0.86632820,0.19399460,0.32176560,0.88308520,0.21649300,0.37551430,0.89835260,0.21733210,0.36916210,0.93312160,0.23122750,0.36492960,0.95524540,0.24044000,0.37931060,0.88974190,0.23762980,0.33960150,0.90369830,0.24634990,0.33274210,0.88260760,0.22994460,0.37505220,0.87557290,0.25228560,0.33708720,0.88451240,0.25415500,0.33402500,0.86561160,0.23567770,0.37652380,0.82302540,0.23594570,0.36802520,0.85830960,0.26373650,0.33863930,0.86710150,0.26140580,0.33370690,0.85635020,0.24486090,0.31356090,0.88612020,0.23954290,0.36518310,0.97520840,0.25063830,0.35282860,0.87258600,0.21888120,0.35319020,0.85449710,0.22542290,0.34825750,0.84648950,0.23165260,0,2
0.38949750,0.80111930,0.20197970,0.38949750,0.80111930,0.20197970,0.38949750,0.80111930,0.20197970,0.37675060,0.82299580,0.19931300,0.36377190,0.84354060,0.19395030,0.34035050,0.86615320,0.19383680,0.32143290,0.88297190,0.21629280,0.37518980,0.89814230,0.21719280,0.36870080,0.93288920,0.23108050,0.36438170,0.95499810,0.24028820,0.37904530,0.88951190,0.23747110,0.33935620,0.90348960,0.24624800,0.33245730,0.88235570,0.22991520,0.37483260,0.87532620,0.25212380,0.33688330,0.88430790,0.25410660,0.33360540,0.86540430,0.23566920,0.37627770,0.82279620,0.23572530,0.36784350,0.85804840,0.26357620,0.33845920,0.86688750,0.26140980,0.33336040,0.85620060,0.24487360,0.31320600,0.88607000,0.23932630,0.36451890,0.97496780,0.25047580,0.35251690,0.87230440,0.21882990,0.35267450,0.85421140,0.22532080,0.34778700,0.84632950,0.23153750,0,2
0.38922990,0.80100700,0.20141010,0.38922990,0.80100700,0.20141010,0.38922990,0.80100700,0.20141010,0.37650630,0.82290890,0.19884320,0.36356560,0.84349440,0.19354510,0.34019150,0.86615620,0.19351210,0.32130300,0.88301570,0.21596200,0.37508990,0.89800050,0.21696410,0.36852960,0.93270800,0.23091640,0.36416540,0.95479080,0.24016540,0.37898240,0.88930080,0.23720570,0.33933440,0.90334420,0.24606320,0.33236220,0.88222130,0.22974700,0.37478560,0.87507440,0.25182350,0.33686700,0.88415780,0.25392630,0.33335140,0.86529920,0.23548670,0.37612030,0.82259480,0.23525570,0.36780060,0.85777000,0.26323800,0.33843470,0.86671070,0.26124680,0.33316000,0.85613420,0.24469490,0.31306000,0.88613250,0.23898730,0.36422270,0.97474460,0.25038500,0.35238000,0.87213380,0.21861910,0.35230910,0.85402040,0.22502770,0.34745100,0.84625990,0.23121610,0,2
0.38892550,0.80090070,0.20089700,0.38892550,0.80090070,0.20089700,0.38892550,0.80090070,0.20089700,0.37622010,0.82282390,0.19842300,0.36331270,0.84344540,0.19318390,0.33998020,0.86615000,0.19322330,0.32111360,0.88304470,0.21566520,0.37492360,0.89786230,0.21677220,0.36828800,0.93253200,0.23078260,0.36387620,0.95458980,0.24006860,0.37884990,0.88909760,0.23697920,0.33923730,0.90319400,0.24591040,0.33219940,0.88208300,0.22960720,0.37466890,0.87483190,0.25156330,0.33677840,0.88400610,0.25377570,0.33303900,0.86519070,0.23533590,0.37591150,0.82240080,0.23483510,0.36768960,0.85750070,0.26294070,0.33834110,0.86653400,0.26111720,0.33289940,0.85606530,0.24455090,0.31285450,0.88617520,0.23868280,0.36385100,0.97452880,0.25031710,0.35217940,0.87196530,0.21843900,0.35189150,0.85383210,0.22477360,0.34706150,0.84619270,0.23093520,0,2
0.38859210,0.80079900,0.20042800,0.38859210,0.80079900,0.20042800,0.38859210,0.80079900,0.20042800,0.37590110,0.82274030,0.19804160,0.36298200,0.84338240,0.19291370,0.33974330,0.86618210,0.19311200,0.32102170,0.88305260,0.21569300,0.37470530,0.89772650,0.21660930,0.36810770,0.93241990,0.23057920,0.36372060,0.95449330,0.23983970,0.37866290,0.88890020,0.23678340,0.33904400,0.90298440,0.24570630,0.33206040,0.88183900,0.22942430,0.37449750,0.87459620,0.25133430,0.33660720,0.88375990,0.25359220,0.33285050,0.86497140,0.23512840,0.37566230,0.82221250,0.23445290,0.36752510,0.85723840,0.26267520,0.33816540,0.86623670,0.26085900,0.33266350,0.85582210,0.24427840,0.31287820,0.88609100,0.23876420,0.36369790,0.97444720,0.25005920,0.35206900,0.87174580,0.21828490,0.35171670,0.85364880,0.22455190,0.34678400,0.84597470,0.23060160,0,2
0.38839190,0.80067980,0.19979990,0.38839190,0.80067980,0.19979990,0.38839190,0.80067980,0.19979990,0.37571100,0.82264050,0.19754250,0.36278610,0.84331430,0.19255890,0.33962770,0.86619350,0.19292800,0.32097850,0.88295560,0.21564930,0.37453190,0.89750960,0.21657830,0.36791460,0.93217310,0.23061260,0.36351440,0.95422690,0.23991390,0.37847270,0.88855560,0.23669930,0.33882060,0.90258160,0.24556610,0.33193430,0.88145860,0.22921380,0.37429230,0.87416260,0.25115770,0.33639370,0.88329640,0.25339860,0.33266300,0.86459760,0.23483880,0.37544790,0.82188500,0.23394960,0.36730560,0.85673680,0.26238520,0.33793790,0.86570400,0.26054530,0.33241470,0.85540230,0.24390140,0.31288370,0.88582340,0.23875940,0.36345400,0.97415950,0.25017440,0.35199970,0.87143420,0.21811460,0.35156740,0.85334860,0.22425210,0.34652600,0.84563190,0.23016000,0,2
0.38816400,0.80056490,0.19921120,0.38816400,0.80056490,0.19921120,0.38816400,0.80056490,0.19921120,0.37549060,0.82254220,0.19707660,0.36255910,0.84324430,0.19222920,0.33947680,0.86619700,0.19276030,0.32089480,0.88285580,0.21561230,0.37432070,0.89729710,0.21655650,0.36767730,0.93193240,0.23064820,0.36325990,0.95396730,0.23998570,0.37824650,0.88822260,0.23662630,0.33856180,0.90219120,0.24543770,0.33176850,0.88108770,0.22902130,0.37405300,0.87374500,0.25099630,0.33614670,0.88285030,0.25322180,0.33243440,0.86423670,0.23457300,0.37520470,0.82157030,0.23347840,0.36705450,0.85625480,0.26211570,0.33767950,0.86519490,0.26025980,0.33212990,0.85500410,0.24355650,0.31284500,0.88556140,0.23875760,0.36315730,0.97388080,0.25028310,0.35188790,0.87112830,0.21796160,0.35137220,0.85305480,0.22397480,0.34622790,0.84530760,0.22974920,0,2
