RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34421790,0.83769040,0.23202560,0.34421790,0.83769040,0.23202560,0.34421790,0.83769040,0.23202560,0.32888510,0.85791300,0.23405680,0.31285490,0.87693890,0.23347250,0.28691730,0.89535710,0.24039470,0.27345080,0.90495220,0.26991760,0.32302270,0.93091500,0.25866290,0.31971630,0.96531640,0.27440850,0.31751810,0.98719640,0.28483340,0.33208190,0.92151790,0.27683390,0.29413790,0.93100270,0.29466460,0.28531660,0.90978860,0.27939540,0.33270490,0.90597680,0.29068190,0.29507170,0.90962450,0.30043820,0.28941060,0.89116110,0.28213290,0.33630480,0.85524830,0.26960910,0.33028110,0.88723650,0.30170260,0.30010040,0.89159440,0.30575150,0.29241730,0.88174640,0.28970040,0.27109800,0.90405690,0.29444290,0.31890510,1.00698800,0.29527120,0.30298070,0.90184990,0.26354420,0.30705830,0.88281370,0.26747430,0.30418300,0.87485520,0.27245240,0,0
0.34440230,0.83732440,0.23209990,0.34440230,0.83732440,0.23209990,0.34440230,0.83732440,0.23209990,0.32905500,0.85753640,0.23412690,0.31304230,0.87657420,0.23345470,0.28711420,0.89504180,0.24028020,0.27357520,0.90480900,0.26971340,0.32318100,0.93058220,0.25860030,0.31986670,0.96496810,0.27437810,0.31766460,0.98683770,0.28482370,0.33229240,0.92123030,0.27676840,0.29433610,0.93063610,0.29461450,0.28545280,0.90938510,0.27943290,0.33296340,0.90571760,0.29064620,0.29533480,0.90928970,0.30044790,0.28966860,0.89079380,0.28217710,0.33656200,0.85495040,0.26966670,0.33058390,0.88699730,0.30171020,0.30038850,0.89126520,0.30574490,0.29270920,0.88137710,0.28971660,0.27116390,0.90403750,0.29423720,0.31902370,1.00662400,0.29527600,0.30305750,0.90139770,0.26354010,0.30726150,0.88242160,0.26746670,0.30447550,0.87448940,0.27246750,0,0
0.34464660,0.83716820,0.23207360,0.34464660,0.83716820,0.23207360,0.34464660,0.83716820,0.23207360,0.32922290,0.85732570,0.23406370,0.31320970,0.87635360,0.23316360,0.28725660,0.89487670,0.23973910,0.27353030,0.90502620,0.26895540,0.32316060,0.93048630,0.25814500,0.31974800,0.96485080,0.27394830,0.31748580,0.98670630,0.28441060,0.33240620,0.92127900,0.27631920,0.29439710,0.93044880,0.29417610,0.28544530,0.90906980,0.27921600,0.33321580,0.90585010,0.29028260,0.29558380,0.90917030,0.30015990,0.28996900,0.89055890,0.28199070,0.33692470,0.85497790,0.26957830,0.33097430,0.88718410,0.30146690,0.30073650,0.89118680,0.30545590,0.29308800,0.88117180,0.28949180,0.27098400,0.90455510,0.29347320,0.31873230,1.00649600,0.29487040,0.30294990,0.90099870,0.26325530,0.30745150,0.88213740,0.26717730,0.30486870,0.87429310,0.27224900,0,0
0.34514700,0.83681290,0.23209720,0.34514700,0.83681290,0.23209720,0.34514700,0.83681290,0.23209720,0.32956680,0.85685680,0.23401250,0.31338020,0.87573440,0.23304950,0.28731760,0.89408700,0.23967000,0.27380200,0.90444100,0.26891280,0.32310770,0.93024220,0.25729340,0.31949060,0.96474890,0.27273760,0.31710230,0.98669850,0.28297240,0.33262400,0.92133250,0.27547620,0.29473000,0.93036580,0.29364440,0.28574930,0.90875880,0.27903340,0.33371630,0.90607800,0.28961100,0.29617800,0.90922020,0.29989480,0.29048430,0.89037390,0.28199440,0.33765980,0.85499810,0.26946910,0.33175750,0.88752720,0.30103720,0.30153690,0.89133760,0.30533320,0.29380970,0.88107400,0.28956610,0.27148410,0.90425120,0.29345690,0.31822240,1.00661800,0.29319750,0.30311640,0.90063040,0.26295190,0.30783810,0.88190940,0.26705470,0.30547220,0.87410030,0.27228120,0,0
0.34535620,0.83681240,0.23164620,0.34535620,0.83681240,0.23164620,0.34535620,0.83681240,0.23164620,0.32981760,0.85688280,0.23362120,0.31367420,0.87579950,0.23270070,0.28763810,0.89417390,0.23936490,0.27414840,0.90447260,0.26863910,0.32352240,0.93022440,0.25708420,0.31992290,0.96468680,0.27263120,0.31754580,0.98660700,0.28293140,0.33303370,0.92125170,0.27523850,0.29517280,0.93029680,0.29346970,0.28607910,0.90876630,0.27881570,0.33410560,0.90596090,0.28933560,0.29659430,0.90917740,0.29969440,0.29080450,0.89041140,0.28174060,0.33793220,0.85492210,0.26906730,0.33211780,0.88738640,0.30071830,0.30191370,0.89126360,0.30507070,0.29415630,0.88105950,0.28927990,0.27180780,0.90424590,0.29318080,0.31865360,1.00649500,0.29321980,0.30337990,0.90062060,0.26267160,0.30808330,0.88192650,0.26672570,0.30579720,0.87411170,0.27196990,0,0
0.34555630,0.83680060,0.23124510,0.34555630,0.83680060,0.23124510,0.34555630,0.83680060,0.23124510,0.33005240,0.85689270,0.23327280,0.31394760,0.87584360,0.23238380,0.28793310,0.89423680,0.23908030,0.27446240,0.90449530,0.26837740,0.32389800,0.93019810,0.25688590,0.32030760,0.96461990,0.27252440,0.31793650,0.98651330,0.28288290,0.33340980,0.92117380,0.27501450,0.29557800,0.93022170,0.29330460,0.28637980,0.90875660,0.27861980,0.33446830,0.90585340,0.28908040,0.29698210,0.90912840,0.29951140,0.29110690,0.89043160,0.28151310,0.33819370,0.85484860,0.26870810,0.33245940,0.88725980,0.30042810,0.30226960,0.89118910,0.30483210,0.29448570,0.88103410,0.28902260,0.27209700,0.90424500,0.29291650,0.31902670,1.00637300,0.29322760,0.30361650,0.90059300,0.26241630,0.30831150,0.88192550,0.26642530,0.30610690,0.87410990,0.27169010,0,0
0.34574910,0.83678010,0.23088340,0.34574910,0.83678010,0.23088340,0.34574910,0.83678010,0.23088340,0.33027470,0.85689010,0.23295830,0.31416420,0.87584160,0.23219070,0.28819560,0.89424170,0.23904440,0.27475990,0.90451940,0.26835090,0.32424310,0.93016530,0.25669640,0.32078300,0.96456940,0.27240310,0.31849550,0.98645100,0.28280510,0.33375950,0.92109850,0.27480130,0.29589040,0.93002450,0.29307400,0.28681140,0.90858450,0.27827870,0.33481020,0.90575380,0.28884120,0.29735510,0.90910170,0.29936070,0.29141070,0.89046280,0.28132530,0.33844640,0.85477720,0.26838260,0.33278640,0.88714460,0.30016060,0.30261780,0.89114470,0.30464500,0.29485220,0.88102270,0.28880550,0.27242750,0.90426000,0.29289300,0.31964740,1.00628800,0.29318680,0.30412350,0.90054670,0.26209280,0.30864820,0.88202520,0.26623640,0.30650370,0.87413460,0.27147880,0,0
0.34535040,0.83701920,0.23078720,0.34535040,0.83701920,0.23078720,0.34535040,0.83701920,0.23078720,0.32990940,0.85715790,0.23283200,0.31381670,0.87612570,0.23209330,0.28786740,0.89455150,0.23895080,0.27430060,0.90484310,0.26819190,0.32392070,0.93039380,0.25670180,0.32051810,0.96477120,0.27247940,0.31826550,0.98663520,0.28292620,0.33333060,0.92126700,0.27483220,0.29532950,0.93009690,0.29287640,0.28642500,0.90869960,0.27791430,0.33428090,0.90588940,0.28884330,0.29679810,0.90932790,0.29923390,0.29087630,0.89076130,0.28111640,0.33790620,0.85494990,0.26829040,0.33216290,0.88725980,0.30011190,0.30199170,0.89134650,0.30450000,0.29432620,0.88127260,0.28858130,0.27185200,0.90456470,0.29272250,0.31942850,1.00644100,0.29336490,0.30388990,0.90077290,0.26183810,0.30821600,0.88237780,0.26611480,0.30609960,0.87442080,0.27132280,0,0
0.34499690,0.83723040,0.23069460,0.34499690,0.83723040,0.23069460,0.34499690,0.83723040,0.23069460,0.32958540,0.85739450,0.23271280,0.31350790,0.87637610,0.23200010,0.28757570,0.89482430,0.23886220,0.27388830,0.90513590,0.26803990,0.32363430,0.93059610,0.25669700,0.32028320,0.96494830,0.27254020,0.31806170,0.98679570,0.28302820,0.33295040,0.92141690,0.27484950,0.29482960,0.93015240,0.29268580,0.28608750,0.90879290,0.27757470,0.33381250,0.90601090,0.28883500,0.29630660,0.90952990,0.29911490,0.29040390,0.89102900,0.28092420,0.33742830,0.85510380,0.26820030,0.33161180,0.88736400,0.30005900,0.30143900,0.89152730,0.30436370,0.29386680,0.88149520,0.28837400,0.27133240,0.90484670,0.29255950,0.31923230,1.00657400,0.29351900,0.30369070,0.90096940,0.26159900,0.30783230,0.88269320,0.26599890,0.30575240,0.87467720,0.27117920,0,0
0.34467880,0.83741990,0.23060480,0.34467880,0.83741990,0.23060480,0.34467880,0.83741990,0.23060480,0.32929390,0.85760660,0.23259900,0.31320630,0.87658240,0.23196630,0.28733930,0.89509210,0.23890850,0.27367860,0.90537950,0.26810740,0.32337620,0.93077770,0.25668440,0.32002160,0.96510830,0.27257370,0.31779640,0.98694130,0.28309080,0.33260830,0.92155210,0.27485620,0.29440400,0.93023820,0.29253740,0.28606930,0.90888840,0.27718420,0.33339160,0.90612110,0.28881890,0.29587240,0.90978340,0.29899950,0.29009270,0.89127640,0.28077550,0.33699910,0.85524280,0.26811190,0.33111710,0.88745910,0.30000290,0.30093190,0.89165330,0.30418860,0.29344370,0.88165840,0.28813620,0.27106890,0.90507050,0.29262100,0.31899580,1.00670100,0.29361330,0.30395480,0.90133570,0.26139290,0.30767990,0.88299720,0.26600580,0.30541000,0.87486720,0.27098670,0,0
