RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.46090950,0.84465480,0.27172760,0.46090950,0.84465480,0.27172760,0.46090950,0.84465480,0.27172760,0.44331120,0.86240030,0.27092870,0.42466720,0.87813530,0.26944520,0.39744850,0.89332950,0.27656490,0.37495640,0.91180380,0.29260610,0.42865590,0.93617150,0.28097940,0.39940210,0.94843640,0.30060290,0.37755470,0.94274570,0.30845130,0.43961000,0.93199730,0.29956520,0.39989160,0.93140960,0.31386130,0.40208040,0.90706810,0.30216580,0.44301950,0.92003520,0.31580180,0.40596630,0.91669220,0.32511240,0.40604270,0.89490360,0.31068210,0.45255660,0.86791680,0.30503580,0.44378060,0.90407280,0.33016220,0.41376630,0.90341280,0.33355160,0.41169100,0.88919400,0.31967580,0.35783680,0.92329980,0.30529800,0.35887180,0.93252810,0.31405180,0.42245630,0.90271980,0.28912520,0.42552080,0.88896980,0.29802100,0.42783120,0.88387050,0.30635400,13,2
0.45911580,0.84487260,0.27221930,0.45911580,0.84487260,0.27221930,0.45911580,0.84487260,0.27221930,0.44144730,0.86254990,0.27145760,0.42274350,0.87821590,0.26999590,0.39550050,0.89335870,0.27713190,0.37290590,0.91182700,0.29303550,0.42652170,0.93625870,0.28156780,0.39692090,0.94776040,0.30113300,0.37516410,0.94147610,0.30877770,0.43752220,0.93211830,0.30013380,0.39783300,0.93135320,0.31450260,0.40014750,0.90705060,0.30275050,0.44100470,0.92016180,0.31635900,0.40397640,0.91671170,0.32573000,0.40410950,0.89489970,0.31133560,0.45072670,0.86808600,0.30555230,0.44185120,0.90419570,0.33071040,0.41184450,0.90346880,0.33415370,0.40977500,0.88919930,0.32032930,0.35567990,0.92332420,0.30558150,0.35671860,0.93069650,0.31410480,0.42053730,0.90285840,0.28968040,0.42358860,0.88900860,0.29865580,0.42590470,0.88387240,0.30699600,13,2
0.45774670,0.84505590,0.27293770,0.45774670,0.84505590,0.27293770,0.45774670,0.84505590,0.27293770,0.44004540,0.86269580,0.27207370,0.42131990,0.87832410,0.27049290,0.39402110,0.89345640,0.27743570,0.37123120,0.91194510,0.29303370,0.42489250,0.93636250,0.28215220,0.39487670,0.94725920,0.30142940,0.37314040,0.94050070,0.30871950,0.43577680,0.93222820,0.30078790,0.39599620,0.93134330,0.31489440,0.39849840,0.90708240,0.30309490,0.43917590,0.92026390,0.31702500,0.40208950,0.91676180,0.32614350,0.40236820,0.89493540,0.31177300,0.44908330,0.86821940,0.30623530,0.43996040,0.90428590,0.33136680,0.40993270,0.90354230,0.33461720,0.40796150,0.88923920,0.32081310,0.35382240,0.92346310,0.30530550,0.35485720,0.92926700,0.31365360,0.41900550,0.90302340,0.29016700,0.42194770,0.88906870,0.29923750,0.42418820,0.88390170,0.30760250,13,2
0.45636990,0.84524770,0.27362190,0.45636990,0.84524770,0.27362190,0.45636990,0.84524770,0.27362190,0.43863230,0.86284610,0.27266420,0.41988020,0.87843170,0.27097960,0.39252890,0.89354650,0.27775170,0.36955720,0.91204920,0.29306390,0.42324270,0.93646840,0.28270970,0.39286740,0.94682340,0.30172040,0.37116320,0.93963750,0.30869060,0.43402310,0.93234460,0.30140810,0.39416140,0.93133030,0.31527520,0.39685360,0.90711120,0.30343170,0.43735170,0.92037500,0.31765600,0.40021540,0.91681120,0.32654450,0.40063900,0.89497070,0.31219910,0.44744860,0.86836310,0.30688470,0.43808680,0.90438710,0.33198930,0.40804160,0.90362070,0.33506850,0.40616380,0.88928680,0.32128330,0.35197890,0.92358250,0.30507680,0.35304500,0.92799370,0.31326950,0.41747090,0.90319260,0.29063650,0.42031420,0.88913730,0.29979840,0.42248340,0.88394980,0.30818740,13,2
0.45498630,0.84544590,0.27427970,0.45498630,0.84544590,0.27427970,0.45498630,0.84544590,0.27427970,0.43720950,0.86299980,0.27323500,0.41846470,0.87856610,0.27130750,0.39098900,0.89359910,0.27775010,0.36787670,0.91199690,0.29297680,0.42157620,0.93657530,0.28324650,0.39089130,0.94657530,0.30194750,0.36921010,0.93908540,0.30866460,0.43226200,0.93246540,0.30200210,0.39235030,0.93160750,0.31573500,0.39493340,0.90733860,0.30396960,0.43553000,0.92049260,0.31825980,0.39835100,0.91696600,0.32698350,0.39880970,0.89508400,0.31270240,0.44581970,0.86851440,0.30750840,0.43622560,0.90449620,0.33258580,0.40616710,0.90374360,0.33553670,0.40439330,0.88937720,0.32177160,0.35021560,0.92344650,0.30494820,0.35121290,0.92716700,0.31300810,0.41557430,0.90331910,0.29124390,0.41853490,0.88920100,0.30040510,0.42083110,0.88407160,0.30881140,13,2
0.45359600,0.84505980,0.27523630,0.45359600,0.84505980,0.27523630,0.45359600,0.84505980,0.27523630,0.43586640,0.86265530,0.27409490,0.41720580,0.87829100,0.27192850,0.38967780,0.89337020,0.27803110,0.36648420,0.91176450,0.29313800,0.42032300,0.93624600,0.28413370,0.38935410,0.94601120,0.30248750,0.36765530,0.93831280,0.30890520,0.43086130,0.93207630,0.30295950,0.39087140,0.93152550,0.31647920,0.39327600,0.90721790,0.30475570,0.43398290,0.92006490,0.31921760,0.39673070,0.91673460,0.32770260,0.39715390,0.89482960,0.31345560,0.44423610,0.86808470,0.30844130,0.43453740,0.90403950,0.33351720,0.40445810,0.90343760,0.33628490,0.40274330,0.88906600,0.32251770,0.34876830,0.92320790,0.30503410,0.34972180,0.92620000,0.31296560,0.41395000,0.90303680,0.29213640,0.41692580,0.88882720,0.30129180,0.41929440,0.88373080,0.30971490,13,2
0.45220180,0.84472740,0.27614950,0.45220180,0.84472740,0.27614950,0.45220180,0.84472740,0.27614950,0.43450990,0.86235480,0.27491720,0.41592540,0.87804840,0.27252680,0.38834870,0.89316520,0.27830790,0.36506860,0.91155470,0.29328700,0.41902130,0.93595400,0.28497840,0.38777830,0.94546570,0.30299780,0.36607570,0.93754620,0.30912710,0.42942300,0.93173360,0.30386880,0.38936430,0.93146000,0.31719190,0.39161160,0.90711930,0.30550570,0.43241260,0.91968860,0.32012680,0.39509550,0.91653150,0.32838960,0.39549320,0.89460370,0.31417720,0.44265260,0.86771010,0.30932990,0.43284200,0.90363730,0.33440170,0.40274530,0.90316890,0.33700030,0.40108960,0.88878980,0.32323370,0.34729250,0.92299150,0.30509950,0.34822260,0.92522770,0.31291370,0.41231750,0.90279810,0.29298610,0.41531040,0.88849600,0.30214000,0.41774880,0.88343250,0.31058120,13,2
0.45080500,0.84443750,0.27702810,0.45080500,0.84443750,0.27702810,0.45080500,0.84443750,0.27702810,0.43314360,0.86208910,0.27570970,0.41458370,0.87780300,0.27326160,0.38692150,0.89278990,0.27897180,0.36346090,0.91106090,0.29381370,0.41768210,0.93569160,0.28578910,0.38620300,0.94507900,0.30345930,0.36450000,0.93695950,0.30931980,0.42795570,0.93142770,0.30473960,0.38783260,0.93142060,0.31787010,0.38981910,0.90701560,0.30627150,0.43082480,0.91935280,0.32099710,0.39345600,0.91641030,0.32910420,0.39369190,0.89447150,0.31490510,0.44106960,0.86737880,0.31018290,0.43114160,0.90327810,0.33524860,0.40102930,0.90287890,0.33767280,0.39937590,0.88851300,0.32389220,0.34554020,0.92240900,0.30549260,0.34672120,0.92446730,0.31287970,0.41050260,0.90241260,0.29381550,0.41347390,0.88816820,0.30291110,0.41606540,0.88309210,0.31130690,13,2
0.45000760,0.84446250,0.27780480,0.45000760,0.84446250,0.27780480,0.45000760,0.84446250,0.27780480,0.43235070,0.86212020,0.27650580,0.41378860,0.87783790,0.27409940,0.38605790,0.89267270,0.27987460,0.36247780,0.91079490,0.29470950,0.41688350,0.93569760,0.28675850,0.38524770,0.94489720,0.30424650,0.36358690,0.93654790,0.30993770,0.42712660,0.93138130,0.30571370,0.38700450,0.93157260,0.31884610,0.38871600,0.90712590,0.30729120,0.42996830,0.91926230,0.32194330,0.39259150,0.91647620,0.33006890,0.39263460,0.89454340,0.31585870,0.44022280,0.86731610,0.31100570,0.43026020,0.90314940,0.33615200,0.40014540,0.90278690,0.33855030,0.39844790,0.88844620,0.32474880,0.34446380,0.92203080,0.30635310,0.34591880,0.92385730,0.31334380,0.40932460,0.90229730,0.29479660,0.41233570,0.88809110,0.30381090,0.41511870,0.88299990,0.31214970,13,2
0.44916300,0.84448930,0.27856220,0.44916300,0.84448930,0.27856220,0.44916300,0.84448930,0.27856220,0.43150760,0.86214950,0.27727600,0.41294250,0.87786810,0.27489890,0.38514290,0.89255480,0.28072070,0.36144220,0.91053340,0.29553830,0.41601930,0.93570060,0.28768380,0.38422440,0.94470360,0.30498480,0.36261030,0.93612250,0.31050590,0.42622930,0.93133780,0.30664630,0.38610640,0.93171580,0.31977220,0.38756050,0.90723160,0.30826160,0.42904290,0.91917880,0.32285070,0.39165760,0.91653800,0.33098530,0.39152480,0.89460930,0.31676930,0.43931900,0.86726020,0.31180240,0.42931070,0.90303060,0.33701990,0.39919310,0.90270230,0.33938830,0.39746000,0.88838310,0.32556880,0.34333470,0.92166080,0.30714080,0.34505870,0.92323110,0.31375730,0.40809990,0.90219250,0.29573600,0.41115250,0.88801780,0.30467720,0.41411990,0.88291570,0.31296430,13,2
