RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42491040,0.84305920,0.23323970,0.42491040,0.84305920,0.23323970,0.42491040,0.84305920,0.23323970,0.40775130,0.85362830,0.24804200,0.38961290,0.86187770,0.26219590,0.37280790,0.86803140,0.28869380,0.36345010,0.88064690,0.31798190,0.37942110,0.91917100,0.27372340,0.36881100,0.92457370,0.30907200,0.36428630,0.91230740,0.32908090,0.40084670,0.92290380,0.27686420,0.38737070,0.92181090,0.31685780,0.38898220,0.89516100,0.31224550,0.41916080,0.91653350,0.28337230,0.40592330,0.91028740,0.31882040,0.40281120,0.88519680,0.31220550,0.43601800,0.86916200,0.26349860,0.43608020,0.90521780,0.29024890,0.42338020,0.90358940,0.31761390,0.41722010,0.88643830,0.30943380,0.35710260,0.88782800,0.34021850,0.36196740,0.89895730,0.34643640,0.39350830,0.88715930,0.28945010,0.40736210,0.88133730,0.28898250,0.41926610,0.88336010,0.28815820,13,0
0.42505510,0.84269880,0.23336060,0.42505510,0.84269880,0.23336060,0.42505510,0.84269880,0.23336060,0.40785980,0.85331950,0.24808360,0.38977520,0.86161700,0.26227830,0.37304800,0.86791860,0.28879060,0.36388930,0.88069920,0.31807010,0.37949860,0.91895060,0.27350380,0.36877690,0.92393690,0.30887990,0.36426370,0.91148170,0.32877440,0.40091730,0.92267760,0.27669740,0.38744720,0.92091100,0.31666880,0.38914940,0.89437370,0.31147720,0.41920790,0.91631280,0.28327650,0.40586120,0.90964690,0.31860690,0.40282680,0.88461040,0.31175540,0.43609150,0.86887620,0.26358090,0.43609950,0.90500450,0.29023340,0.42315970,0.90302010,0.31746220,0.41717260,0.88590440,0.30908210,0.35798090,0.88809840,0.34035610,0.36194390,0.89807770,0.34608820,0.39369890,0.88690260,0.28850690,0.40748970,0.88109810,0.28849950,0.41942900,0.88304050,0.28779770,13,0
0.42521880,0.84234980,0.23347570,0.42521880,0.84234980,0.23347570,0.42521880,0.84234980,0.23347570,0.40798740,0.85302000,0.24812060,0.38994780,0.86136440,0.26234500,0.37329120,0.86777400,0.28887590,0.36426550,0.88067170,0.31814530,0.37959660,0.91873560,0.27328820,0.36871780,0.92308210,0.30870080,0.36427070,0.91026030,0.32837610,0.40100830,0.92245610,0.27653550,0.38746460,0.92031150,0.31646350,0.38924430,0.89383390,0.31099960,0.41927510,0.91609590,0.28318490,0.40578580,0.90905580,0.31838840,0.40294880,0.88410400,0.31115340,0.43618400,0.86859730,0.26366120,0.43613820,0.90479400,0.29022060,0.42303850,0.90264420,0.31736030,0.41719560,0.88558700,0.30876200,0.35841380,0.88814540,0.34042140,0.36201430,0.89663300,0.34552320,0.39385450,0.88668140,0.28794030,0.40779280,0.88106830,0.28786750,0.41968430,0.88302220,0.28746540,13,0
0.42511790,0.84231840,0.23312410,0.42511790,0.84231840,0.23312410,0.42511790,0.84231840,0.23312410,0.40777410,0.85306720,0.24757750,0.38971010,0.86148400,0.26172810,0.37302250,0.86810200,0.28818820,0.36400240,0.88125650,0.31734490,0.37907680,0.91891910,0.27203100,0.36793520,0.92281510,0.30741430,0.36353910,0.90974620,0.32693780,0.40045980,0.92271870,0.27537440,0.38673680,0.92037850,0.31523010,0.38868980,0.89393940,0.30964100,0.41870180,0.91645820,0.28218450,0.40499480,0.90921100,0.31726170,0.40244110,0.88429330,0.30980770,0.43584030,0.86884120,0.26315560,0.43554980,0.90525620,0.28941360,0.42221620,0.90304930,0.31643450,0.41659430,0.88598120,0.30771150,0.35815190,0.88892510,0.33955490,0.36133710,0.89600370,0.34399980,0.39344670,0.88699110,0.28654900,0.40753040,0.88158880,0.28653330,0.41937590,0.88358560,0.28643140,13,0
0.42505370,0.84226600,0.23280720,0.42505370,0.84226600,0.23280720,0.42505370,0.84226600,0.23280720,0.40760470,0.85308840,0.24707780,0.38952160,0.86157510,0.26116220,0.37280960,0.86839190,0.28755640,0.36380650,0.88178990,0.31660710,0.37862860,0.91906470,0.27085800,0.36724730,0.92249980,0.30621270,0.36291030,0.90918430,0.32558220,0.39998410,0.92293600,0.27429420,0.38609600,0.92037540,0.31407920,0.38821330,0.89398070,0.30834140,0.41819980,0.91676750,0.28125670,0.40428850,0.90929810,0.31620660,0.40200270,0.88441910,0.30853890,0.43554770,0.86904240,0.26269410,0.43502960,0.90565780,0.28866830,0.42146890,0.90337560,0.31556960,0.41606170,0.88630180,0.30672270,0.35798620,0.88965000,0.33875810,0.36076590,0.89532660,0.34255820,0.39310570,0.88725330,0.28521240,0.40731970,0.88204320,0.28527960,0.41912280,0.88407890,0.28546230,13,0
0.42501850,0.84219690,0.23251760,0.42501850,0.84219690,0.23251760,0.42501850,0.84219690,0.23251760,0.40746980,0.85308900,0.24661190,0.38930850,0.86164300,0.26055400,0.37249100,0.86853230,0.28686230,0.36333860,0.88203980,0.31581560,0.37823700,0.91918020,0.26975020,0.36652930,0.92220750,0.30503560,0.36223470,0.90873680,0.32430700,0.39956560,0.92311750,0.27327690,0.38542340,0.92068200,0.31298010,0.38766110,0.89423660,0.30752890,0.41775400,0.91703490,0.28038520,0.40369190,0.90976460,0.31531680,0.40148580,0.88486930,0.30767900,0.43529520,0.86920990,0.26226690,0.43456320,0.90601180,0.28797080,0.42085530,0.90387820,0.31480970,0.41558130,0.88677570,0.30593790,0.35733750,0.88996230,0.33789600,0.36010730,0.89493660,0.34133180,0.39273070,0.88729700,0.28450100,0.40696400,0.88267610,0.28443910,0.41887890,0.88465640,0.28470240,13,0
0.42482700,0.84229140,0.23265670,0.42482700,0.84229140,0.23265670,0.42482700,0.84229140,0.23265670,0.40729920,0.85323610,0.24673630,0.38918160,0.86184230,0.26070310,0.37247120,0.86875840,0.28707250,0.36342090,0.88230900,0.31603780,0.37808650,0.91941310,0.26965360,0.36633940,0.92193260,0.30496580,0.36221520,0.90824900,0.32412410,0.39942000,0.92337100,0.27312770,0.38532190,0.92090920,0.31284490,0.38760170,0.89444070,0.30752450,0.41762220,0.91732260,0.28022980,0.40364830,0.91010830,0.31520830,0.40144150,0.88523130,0.30751140,0.43514650,0.86942880,0.26227750,0.43444760,0.90633550,0.28783180,0.42077510,0.90425610,0.31469300,0.41555210,0.88716600,0.30576740,0.35744830,0.89024820,0.33811990,0.36021160,0.89444200,0.34115840,0.39266390,0.88740620,0.28452380,0.40691070,0.88330240,0.28424590,0.41893170,0.88522500,0.28452770,13,0
0.42466800,0.84236100,0.23277940,0.42466800,0.84236100,0.23277940,0.42466800,0.84236100,0.23277940,0.40715370,0.85335800,0.24683490,0.38907700,0.86201670,0.26082240,0.37246670,0.86896590,0.28724630,0.36351630,0.88256620,0.31621930,0.37794940,0.91961970,0.26951700,0.36616480,0.92162410,0.30484970,0.36220910,0.90772520,0.32388820,0.39928580,0.92359760,0.27294970,0.38522020,0.92107810,0.31267490,0.38754790,0.89459500,0.30744900,0.41749810,0.91758340,0.28005490,0.40359140,0.91038980,0.31506450,0.40139760,0.88553600,0.30728910,0.43501470,0.86962180,0.26227720,0.43433550,0.90663200,0.28768170,0.42067850,0.90458640,0.31455340,0.41551710,0.88751200,0.30556220,0.35758360,0.89053140,0.33830280,0.36032500,0.89390170,0.34092270,0.39261080,0.88749950,0.28446720,0.40687200,0.88388380,0.28400360,0.41899150,0.88575750,0.28432150,13,0
0.42453480,0.84241100,0.23288900,0.42453480,0.84241100,0.23288900,0.42453480,0.84241100,0.23288900,0.40702820,0.85346020,0.24691330,0.38899910,0.86217160,0.26092940,0.37248920,0.86919610,0.28739620,0.36361770,0.88288070,0.31635380,0.37782280,0.91980520,0.26934900,0.36599830,0.92200900,0.30465640,0.36205150,0.90822240,0.32377830,0.39916080,0.92380290,0.27274920,0.38507480,0.92124590,0.31246470,0.38748210,0.89473720,0.30740720,0.41738020,0.91782250,0.27986470,0.40351600,0.91056850,0.31487860,0.40136150,0.88573960,0.30701340,0.43489660,0.86979400,0.26226810,0.43422650,0.90690680,0.28752290,0.42054810,0.90487210,0.31438450,0.41550680,0.88782420,0.30527560,0.35766610,0.89088350,0.33841860,0.36013030,0.89464700,0.34100710,0.39257980,0.88764550,0.28443180,0.40686400,0.88441030,0.28371380,0.41911480,0.88628690,0.28404040,13,0
0.42416390,0.84249590,0.23303920,0.42416390,0.84249590,0.23303920,0.42416390,0.84249590,0.23303920,0.40668690,0.85359720,0.24705910,0.38872380,0.86236290,0.26112600,0.37233160,0.86943240,0.28765390,0.36357380,0.88315170,0.31662970,0.37760580,0.92002760,0.26940360,0.36576130,0.92223640,0.30470400,0.36182920,0.90845870,0.32383520,0.39895290,0.92399740,0.27277860,0.38485450,0.92131950,0.31248180,0.38729020,0.89479820,0.30750530,0.41716890,0.91800060,0.27988900,0.40333610,0.91062550,0.31489010,0.40117560,0.88584570,0.30687300,0.43459420,0.86991370,0.26236160,0.43400450,0.90707150,0.28755200,0.42030290,0.90500430,0.31439930,0.41534740,0.88801460,0.30513580,0.35763690,0.89115670,0.33869770,0.35987620,0.89503650,0.34118010,0.39240190,0.88776730,0.28451440,0.40670030,0.88487970,0.28356080,0.41908060,0.88673660,0.28390510,13,0
