RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.08570702,0.99862410,0.31478810,0.08570702,0.99862410,0.31478810,0.08570702,0.99862410,0.31478810,0.06404490,0.99228680,0.30402540,0.04383863,0.98408200,0.29299010,0.01700892,0.96720750,0.28876760,-0.01404180,0.95695450,0.29470400,-0.00464305,1.01675300,0.28301690,-0.03365851,0.99377980,0.27836560,-0.03734007,0.97089370,0.28419380,-0.00410952,1.02441600,0.30360430,-0.03126907,0.99209670,0.30391960,-0.01045180,0.97611770,0.31065710,0.00002433,1.02161200,0.32343840,-0.02083150,0.98947480,0.32518230,0.00238967,0.97790010,0.32205430,0.04970971,1.00356500,0.33479070,0.00685337,1.01448300,0.34252080,-0.00726459,0.98791150,0.33979350,0.00972311,0.98114220,0.33175530,-0.03517753,0.94514020,0.29487200,-0.03840457,0.95026640,0.29182240,0.01116763,0.98773670,0.30933630,0.02166672,0.99151360,0.31781380,0.02690558,0.99185250,0.32424750,13,3
0.08735913,0.99838190,0.31578420,0.08735913,0.99838190,0.31578420,0.08735913,0.99838190,0.31578420,0.06574629,0.99212040,0.30487910,0.04559755,0.98399580,0.29368050,0.01872120,0.96726320,0.28919750,-0.01241637,0.95718860,0.29498240,-0.00273404,1.01681400,0.28346260,-0.03225308,0.99449290,0.27880370,-0.03620572,0.97160200,0.28443150,-0.00230719,1.02445500,0.30406050,-0.02956437,0.99221710,0.30422580,-0.00869676,0.97632130,0.31100440,0.00169317,1.02162000,0.32391750,-0.01934952,0.98959960,0.32557110,0.00381494,0.97791710,0.32242320,0.05125152,1.00341200,0.33556470,0.00838036,1.01445100,0.34303540,-0.00579444,0.98791740,0.34023960,0.01117196,0.98112170,0.33217880,-0.03363195,0.94551760,0.29508050,-0.03758588,0.95090710,0.29182270,0.01285209,0.98807440,0.30971580,0.02315927,0.99144880,0.31822700,0.02840079,0.99175960,0.32467440,13,3
0.08888586,0.99800520,0.31584100,0.08888586,0.99800520,0.31584100,0.08888586,0.99800520,0.31584100,0.06731223,0.99185060,0.30479820,0.04721268,0.98383920,0.29343090,0.02028571,0.96726680,0.28866570,-0.01093467,0.95736650,0.29430330,-0.00096894,1.01684000,0.28309080,-0.03091750,0.99510990,0.27837900,-0.03510406,0.97220850,0.28379080,-0.00062909,1.02441300,0.30371560,-0.02799115,0.99226320,0.30368040,-0.00708760,0.97640990,0.31044750,0.00325377,1.02149900,0.32358460,-0.01797456,0.98959480,0.32508990,0.00513092,0.97781260,0.32188080,0.05268785,1.00309100,0.33544130,0.00981320,1.01424700,0.34271510,-0.00443165,0.98776320,0.33980320,0.01250477,0.98095490,0.33169000,-0.03223239,0.94584550,0.29432420,-0.03672902,0.95144930,0.29094860,0.01440275,0.98827440,0.30920540,0.02454036,0.99126990,0.31774670,0.02977600,0.99153350,0.32419910,13,3
0.09037872,0.99764920,0.31597330,0.09037872,0.99764920,0.31597330,0.09037872,0.99764920,0.31597330,0.06884573,0.99159800,0.30479480,0.04879893,0.98369750,0.29325810,0.02182633,0.96728370,0.28821030,-0.00947453,0.95755790,0.29370360,0.00076519,1.01687400,0.28279170,-0.02955935,0.99568550,0.27802100,-0.03395542,0.97277890,0.28324180,0.00101721,1.02438400,0.30344070,-0.02644646,0.99232230,0.30321300,-0.00551611,0.97650170,0.30997390,0.00478230,1.02139900,0.32332170,-0.01662357,0.98960690,0.32468480,0.00642608,0.97773080,0.32142100,0.05409113,1.00279400,0.33539160,0.01121387,1.01406800,0.34246570,-0.00310153,0.98763450,0.33944500,0.01380546,0.98081340,0.33128140,-0.03085268,0.94618700,0.29365140,-0.03578134,0.95196890,0.29020070,0.01592139,0.98846640,0.30877970,0.02589817,0.99111590,0.31734800,0.03111788,0.99133220,0.32380150,13,3
0.09184527,0.99730940,0.31616500,0.09184527,0.99730940,0.31616500,0.09184527,0.99730940,0.31616500,0.07035427,0.99135880,0.30485250,0.05033582,0.98354850,0.29320560,0.02330992,0.96728160,0.28797100,-0.00806698,0.95768860,0.29326030,0.00247607,1.01691500,0.28255020,-0.02837916,0.99656190,0.27755120,-0.03373606,0.97375600,0.28229290,0.00263955,1.02436700,0.30322130,-0.02492624,0.99239350,0.30290890,-0.00385989,0.97669400,0.30952820,0.00628660,1.02131400,0.32311400,-0.01525283,0.98960580,0.32431870,0.00778206,0.97770400,0.32104430,0.05546901,1.00251700,0.33539990,0.01259016,1.01390900,0.34227200,-0.00177019,0.98751990,0.33908170,0.01520682,0.98075370,0.33101830,-0.02953968,0.94649730,0.29323270,-0.03656546,0.95290660,0.28878270,0.01747749,0.98882940,0.30826630,0.02730780,0.99103660,0.31705640,0.03258094,0.99127980,0.32369330,13,3
0.09354530,0.99673620,0.31662470,0.09354530,0.99673620,0.31662470,0.09354530,0.99673620,0.31662470,0.07208270,0.99085310,0.30522330,0.05208409,0.98310460,0.29350130,0.02502471,0.96694050,0.28812330,-0.00639872,0.95742650,0.29327750,0.00431463,1.01658000,0.28278220,-0.02699419,0.99696090,0.27766850,-0.03314003,0.97427110,0.28199230,0.00442153,1.02396500,0.30347750,-0.02318954,0.99203120,0.30312070,-0.00195327,0.97648440,0.30955490,0.00799929,1.02084300,0.32337210,-0.01361503,0.98918150,0.32445300,0.00941762,0.97729380,0.32111230,0.05711411,1.00193500,0.33575770,0.01422963,1.01336800,0.34252670,-0.00013863,0.98700040,0.33919460,0.01689361,0.98031900,0.33117720,-0.02794396,0.94637550,0.29331070,-0.03678734,0.95342350,0.28806580,0.01925991,0.98882510,0.30819420,0.02896419,0.99060990,0.31717190,0.03429002,0.99088250,0.32395980,13,3
0.09521864,0.99619100,0.31710630,0.09521864,0.99619100,0.31710630,0.09521864,0.99619100,0.31710630,0.07378665,0.99037720,0.30561210,0.05381171,0.98269330,0.29380760,0.02671943,0.96663640,0.28827600,-0.00475265,0.95720990,0.29329220,0.00613877,1.01628100,0.28301300,-0.02562096,0.99742980,0.27779500,-0.03252307,0.97488680,0.28172770,0.00618514,1.02360400,0.30373100,-0.02147505,0.99171270,0.30332390,-0.00007815,0.97631650,0.30958570,0.00968830,1.02041500,0.32362840,-0.01200600,0.98880440,0.32458580,0.01102258,0.97692570,0.32118560,0.05872915,1.00139000,0.33612770,0.01583963,1.01287200,0.34278180,0.00145850,0.98652880,0.33931330,0.01854105,0.97992600,0.33133780,-0.02637046,0.94630180,0.29337940,-0.03694509,0.95407930,0.28741190,0.02101122,0.98885770,0.30813680,0.03059258,0.99022190,0.31729480,0.03596015,0.99052100,0.32422180,13,3
0.09686962,0.99566840,0.31760460,0.09686962,0.99566840,0.31760460,0.09686962,0.99566840,0.31760460,0.07547008,0.98992540,0.30601490,0.05552411,0.98230960,0.29411750,0.02836509,0.96644040,0.28837570,-0.00317589,0.95723470,0.29336930,0.00795051,1.01601300,0.28324330,-0.02403738,0.99743700,0.27844570,-0.03093292,0.97488010,0.28230950,0.00793324,1.02327400,0.30398260,-0.01984240,0.99148490,0.30349000,0.00168684,0.97621320,0.30960140,0.01135768,1.02002200,0.32388330,-0.01040499,0.98845360,0.32469000,0.01267558,0.97667630,0.32128930,0.06031939,1.00087500,0.33650700,0.01742551,1.01241100,0.34303700,0.00295980,0.98613080,0.33945020,0.02011722,0.97965180,0.33153410,-0.02485731,0.94645330,0.29334830,-0.03522998,0.95402430,0.28791160,0.02267465,0.98891680,0.30809290,0.03220703,0.99005630,0.31749290,0.03753257,0.99034740,0.32456090,13,3
0.09819344,0.99574390,0.31765030,0.09819344,0.99574390,0.31765030,0.09819344,0.99574390,0.31765030,0.07678584,0.98991320,0.30611940,0.05683126,0.98220720,0.29429480,0.02961483,0.96641000,0.28862670,-0.00195184,0.95740800,0.29382490,0.00924385,1.01582300,0.28321170,-0.02295889,0.99744740,0.27913330,-0.02983601,0.97491480,0.28316810,0.00924155,1.02323500,0.30389770,-0.01858467,0.99148630,0.30376780,0.00312938,0.97644200,0.30978890,0.01268214,1.02012800,0.32381880,-0.00908625,0.98857160,0.32489610,0.01404832,0.97689740,0.32150680,0.06165710,1.00108200,0.33654300,0.01876632,1.01265800,0.34302250,0.00425471,0.98637420,0.33965070,0.02145891,0.97996750,0.33177740,-0.02367682,0.94671490,0.29391740,-0.03400145,0.95406650,0.28889610,0.02398193,0.98933070,0.30800050,0.03350303,0.99035060,0.31757740,0.03881863,0.99071950,0.32475250,13,3
0.09953043,0.99578440,0.31774590,0.09953043,0.99578440,0.31774590,0.09953043,0.99578440,0.31774590,0.07811943,0.98988120,0.30625820,0.05816105,0.98210070,0.29448900,0.03088907,0.96638310,0.28886670,-0.00070570,0.95758400,0.29423860,0.01057357,1.01564800,0.28320140,-0.02184214,0.99751370,0.27978610,-0.02874260,0.97501300,0.28395700,0.01057715,1.02319300,0.30383930,-0.01730278,0.99149210,0.30403120,0.00458500,0.97666370,0.30995790,0.01402260,1.02021400,0.32377910,-0.00776078,0.98867720,0.32509090,0.01542258,0.97709770,0.32171050,0.06299935,1.00124700,0.33661310,0.02011112,1.01286800,0.34302900,0.00555190,0.98658710,0.33984320,0.02280170,0.98025290,0.33201110,-0.02247711,0.94698720,0.29443270,-0.03282563,0.95417370,0.28977650,0.02530289,0.98973010,0.30791240,0.03480879,0.99061560,0.31766640,0.04011211,0.99105820,0.32494660,13,3
