RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.41267750,0.81754770,0.23146110,0.41267750,0.81754770,0.23146110,0.41267750,0.81754770,0.23146110,0.38973410,0.82721150,0.23379630,0.36650910,0.83481950,0.23347120,0.33631620,0.83831970,0.24339880,0.30972730,0.84772620,0.26097870,0.34957340,0.89088800,0.24330480,0.31811640,0.89501630,0.26291870,0.30119320,0.88360980,0.27536020,0.36459310,0.89357620,0.25911730,0.33070450,0.88188540,0.28141460,0.33881430,0.85705830,0.27420830,0.37542080,0.88599420,0.27472550,0.34451280,0.87185930,0.29249370,0.34973770,0.84884540,0.28126700,0.40236390,0.84022000,0.26462610,0.38507340,0.87350420,0.28930030,0.35803580,0.86467920,0.29949210,0.36071970,0.84795560,0.28890270,0.29034900,0.85251110,0.27468680,0.28808400,0.87035910,0.28708120,0.35710230,0.85568290,0.25784360,0.36731960,0.84662590,0.26511570,0.37587340,0.84526730,0.27375500,13,4
0.41261370,0.82139550,0.23153050,0.41261370,0.82139550,0.23153050,0.41261370,0.82139550,0.23153050,0.38964860,0.83105740,0.23365150,0.36642440,0.83865420,0.23308960,0.33614540,0.84228040,0.24270430,0.30970010,0.85189940,0.26038580,0.34938560,0.89475520,0.24256460,0.31798150,0.89878510,0.26228360,0.30106580,0.88732090,0.27468210,0.36428710,0.89752630,0.25847430,0.33023180,0.88598110,0.28059260,0.33836050,0.86110480,0.27358000,0.37500380,0.89002380,0.27419720,0.34398630,0.87598340,0.29184920,0.34917450,0.85290530,0.28073770,0.40204440,0.84421780,0.26451180,0.38455550,0.87760790,0.28890120,0.35745910,0.86880360,0.29895400,0.36009020,0.85199550,0.28848570,0.29043090,0.85684700,0.27418950,0.28791440,0.87407750,0.28636410,0.35676050,0.85977100,0.25733800,0.36682480,0.85058800,0.26467500,0.37524170,0.84903360,0.27338680,13,4
0.41253290,0.82506260,0.23162300,0.41253290,0.82506260,0.23162300,0.41253290,0.82506260,0.23162300,0.38955120,0.83472790,0.23353890,0.36632410,0.84230660,0.23286550,0.33601250,0.84611170,0.24230690,0.30956850,0.85595080,0.25986880,0.34921180,0.89845480,0.24188120,0.31761870,0.90197510,0.26139460,0.30081500,0.89020170,0.27365490,0.36400040,0.90130140,0.25788270,0.32978790,0.88981340,0.27978710,0.33806930,0.86494420,0.27292970,0.37460790,0.89387270,0.27371420,0.34348400,0.87995030,0.29127210,0.34849270,0.85675780,0.28031770,0.40172660,0.84803060,0.26442590,0.38405880,0.88152570,0.28854090,0.35688280,0.87289070,0.29852530,0.35935270,0.85596280,0.28821190,0.29022580,0.86103710,0.27351850,0.28780610,0.87671810,0.28522110,0.35660420,0.86373810,0.25683160,0.36614110,0.85412240,0.26430210,0.37439660,0.85249760,0.27311270,13,4
0.41276300,0.82862200,0.23048340,0.41276300,0.82862200,0.23048340,0.41276300,0.82862200,0.23048340,0.38975920,0.83823390,0.23240200,0.36651060,0.84575340,0.23181070,0.33622020,0.84961960,0.24129520,0.30988380,0.85952310,0.25898210,0.34927590,0.90186020,0.24081530,0.31765030,0.90468350,0.26038930,0.30107590,0.89249570,0.27255640,0.36405070,0.90471670,0.25682760,0.32984840,0.89309270,0.27867640,0.33827900,0.86828610,0.27177390,0.37466710,0.89728900,0.27265370,0.34357990,0.88331890,0.29023880,0.34838370,0.86008950,0.27927060,0.40189090,0.85151980,0.26331350,0.38413820,0.88494190,0.28746740,0.35696610,0.87636000,0.29750800,0.35924150,0.85938120,0.28723370,0.29055710,0.86463030,0.27264670,0.28832080,0.87867900,0.28401170,0.35684090,0.86733760,0.25568970,0.36592860,0.85727160,0.26317250,0.37408070,0.85554090,0.27202310,13,4
0.41295670,0.83205780,0.22945830,0.41295670,0.83205780,0.22945830,0.41295670,0.83205780,0.22945830,0.38993390,0.84162580,0.23136850,0.36666690,0.84909370,0.23085140,0.33639740,0.85304310,0.24036810,0.31018480,0.86303670,0.25818780,0.34932750,0.90516900,0.23981580,0.31769230,0.90728050,0.25946410,0.30136000,0.89467490,0.27153230,0.36408420,0.90803570,0.25584300,0.32988100,0.89629750,0.27762900,0.33845410,0.87154920,0.27069310,0.37470150,0.90061090,0.27166980,0.34364160,0.88661340,0.28928130,0.34822010,0.86334000,0.27831020,0.40201650,0.85490130,0.26230360,0.38418330,0.88826560,0.28647830,0.35700900,0.87975490,0.29657330,0.35907210,0.86271800,0.28635050,0.29088190,0.86818320,0.27187120,0.28886740,0.88052480,0.28286930,0.35704530,0.87085750,0.25462960,0.36565600,0.86031680,0.26213110,0.37368880,0.85846970,0.27103320,13,4
0.41312190,0.83539750,0.22852310,0.41312190,0.83539750,0.22852310,0.41312190,0.83539750,0.22852310,0.39008230,0.84492850,0.23041620,0.36678940,0.85232900,0.23016580,0.33662210,0.85645660,0.23992850,0.31046440,0.86659900,0.25774470,0.34936930,0.90840270,0.23886880,0.31780280,0.90945400,0.25871190,0.30189650,0.89616750,0.27061760,0.36410460,0.91127990,0.25491380,0.32989480,0.89927320,0.27654280,0.33870110,0.87458930,0.26967000,0.37471650,0.90385940,0.27074630,0.34369880,0.88966170,0.28827180,0.34833500,0.86642170,0.27725410,0.40211160,0.85819900,0.26137420,0.38420150,0.89151740,0.28555530,0.35708490,0.88266180,0.29550800,0.35912190,0.86562650,0.28527720,0.29107250,0.87180430,0.27127920,0.28985770,0.88146840,0.28174520,0.35736950,0.87415340,0.25368730,0.36577180,0.86341940,0.26107200,0.37360200,0.86116730,0.26989030,13,4
0.41292850,0.83777000,0.22781320,0.41292850,0.83777000,0.22781320,0.41292850,0.83777000,0.22781320,0.38990470,0.84734520,0.22967440,0.36661610,0.85476360,0.22966540,0.33655390,0.85915630,0.23963440,0.31048760,0.86951330,0.25746110,0.34930570,0.91088580,0.23817770,0.31780580,0.91097290,0.25815370,0.30226740,0.89707190,0.26984180,0.36400940,0.91369500,0.25426360,0.32972450,0.90151960,0.27567810,0.33867690,0.87687860,0.26884020,0.37456860,0.90621580,0.27010370,0.34351760,0.89191860,0.28748850,0.34812480,0.86870780,0.27639740,0.40188950,0.86051930,0.26069080,0.38399310,0.89382000,0.28490640,0.35688880,0.88472350,0.29467360,0.35884790,0.86769740,0.28441250,0.29103090,0.87482820,0.27085930,0.29061570,0.88187650,0.28071180,0.35743590,0.87665300,0.25295960,0.36556640,0.86567630,0.26022600,0.37319310,0.86300030,0.26897000,13,4
0.41274510,0.84015450,0.22714680,0.41274510,0.84015450,0.22714680,0.41274510,0.84015450,0.22714680,0.38973590,0.84977180,0.22897160,0.36645340,0.85720590,0.22918710,0.33649280,0.86185280,0.23934500,0.31052240,0.87242100,0.25718780,0.34924260,0.91337600,0.23750250,0.31781850,0.91255370,0.25758100,0.30263790,0.89808360,0.26904640,0.36391320,0.91612450,0.25362920,0.32955520,0.90379210,0.27483570,0.33865020,0.87919180,0.26803940,0.37441950,0.90859330,0.26947980,0.34333470,0.89420710,0.28673030,0.34790700,0.87102030,0.27557500,0.40167230,0.86286120,0.26004250,0.38378380,0.89614970,0.28428070,0.35669150,0.88682760,0.29386650,0.35857710,0.86980860,0.28357980,0.29101040,0.87784580,0.27046090,0.29135860,0.88243250,0.27965950,0.35749610,0.87916950,0.25226040,0.36535120,0.86795040,0.25941360,0.37278970,0.86487950,0.26808720,13,4
0.41256960,0.84254920,0.22651540,0.41256960,0.84254920,0.22651540,0.41256960,0.84254920,0.22651540,0.38957420,0.85220690,0.22830020,0.36630170,0.85966920,0.22860330,0.33638160,0.86437220,0.23885440,0.31049040,0.87497940,0.25678880,0.34918020,0.91587290,0.23684050,0.31777730,0.91457050,0.25692670,0.30282770,0.89972030,0.26820830,0.36381640,0.91856620,0.25300780,0.32935480,0.90626390,0.27406330,0.33846160,0.88164890,0.26733660,0.37426950,0.91098810,0.26887120,0.34316170,0.89645530,0.28595680,0.34770600,0.87327870,0.27476890,0.40145900,0.86522070,0.25942260,0.38357390,0.89850160,0.28367370,0.35647280,0.88908570,0.29314230,0.35842920,0.87214050,0.28274740,0.29101250,0.88042550,0.27010340,0.29176030,0.88379760,0.27863880,0.35738400,0.88153960,0.25164990,0.36519180,0.87027000,0.25864090,0.37273550,0.86742080,0.26727580,13,4
0.41249420,0.84416630,0.22951550,0.41249420,0.84416630,0.22951550,0.41249420,0.84416630,0.22951550,0.38956530,0.85405430,0.23083380,0.36635970,0.86172810,0.23081070,0.33635970,0.86679740,0.24064510,0.31035030,0.87776740,0.25818600,0.34964480,0.91814580,0.23835750,0.31794050,0.91670970,0.25795520,0.30293580,0.90166250,0.26889760,0.36400570,0.92076790,0.25478140,0.32901740,0.90888520,0.27519970,0.33805140,0.88414800,0.26883270,0.37408950,0.91315840,0.27086720,0.34257670,0.89883350,0.28737630,0.34708480,0.87556540,0.27636470,0.40100010,0.86708860,0.26211580,0.38299650,0.90064730,0.28589170,0.35566620,0.89140680,0.29486140,0.35770390,0.87444720,0.28450590,0.29073380,0.88347470,0.27118380,0.29179960,0.88561400,0.27905830,0.35729390,0.88373350,0.25354550,0.36483910,0.87237420,0.26056870,0.37228180,0.86966980,0.26930800,13,4
0.41241570,0.84585730,0.23223310,0.41241570,0.84585730,0.23223310,0.41241570,0.84585730,0.23223310,0.38955760,0.85595490,0.23312120,0.36641840,0.86382060,0.23281080,0.33635890,0.86923870,0.24227030,0.31025820,0.88055310,0.25945310,0.35009310,0.92043010,0.23971430,0.31812550,0.91881250,0.25886500,0.30310550,0.90354950,0.26948260,0.36419460,0.92298950,0.25637110,0.32873460,0.91148820,0.27618490,0.33770100,0.88664230,0.27015410,0.37393360,0.91535480,0.27265620,0.34206120,0.90121260,0.28862350,0.34652920,0.87786200,0.27777140,0.40057380,0.86901160,0.26454370,0.38247000,0.90282480,0.28787880,0.35494020,0.89373480,0.29637980,0.35704340,0.87675870,0.28606430,0.29052070,0.88650660,0.27215400,0.29193910,0.88735870,0.27938120,0.35723120,0.88595820,0.25524610,0.36452250,0.87450050,0.26228420,0.37185210,0.87190160,0.27111690,13,4
