RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.30907140,1.07708600,0.44344990,0.30907140,1.07708600,0.44344990,0.30907140,1.07708600,0.44344990,0.31926640,1.09830900,0.43577160,0.33491440,1.11544400,0.42887980,0.34901090,1.14160000,0.41792520,0.34145060,1.17295500,0.41135830,0.33757880,1.16857500,0.45514290,0.33166070,1.19118600,0.42653530,0.33074810,1.16905600,0.41818210,0.31704040,1.16801700,0.46231790,0.31234290,1.19214800,0.42849690,0.31346490,1.16726300,0.41852080,0.29759000,1.16313900,0.45944880,0.29466970,1.18514600,0.42862900,0.30027570,1.16300200,0.41645780,0.28815650,1.11240000,0.44517230,0.27905890,1.15529700,0.45253020,0.27999490,1.18418300,0.44478250,0.27884770,1.20331200,0.43986610,0.32026050,1.18418300,0.41144380,0.33266340,1.14974300,0.42812750,0.31898530,1.14808800,0.43246560,0.30569850,1.14477600,0.43068230,0.27941350,1.22452000,0.43716500,6,5
0.30907220,1.07542600,0.44306450,0.30907220,1.07542600,0.44306450,0.30907220,1.07542600,0.44306450,0.31931290,1.09662400,0.43538020,0.33497980,1.11374900,0.42850570,0.34907220,1.13984200,0.41739690,0.34151270,1.17115100,0.41061290,0.33755660,1.16693400,0.45465480,0.33176900,1.18941800,0.42591970,0.33090390,1.16725900,0.41763620,0.31698300,1.16640400,0.46173040,0.31246210,1.19042000,0.42780470,0.31362810,1.16548500,0.41796150,0.29754510,1.16152500,0.45877880,0.29481910,1.18351700,0.42793090,0.30041290,1.16131400,0.41586250,0.28816260,1.11075100,0.44459070,0.27904520,1.15367100,0.45179010,0.28002930,1.18259400,0.44418600,0.27891300,1.20174700,0.43935700,0.32041320,1.18254900,0.41051870,0.33277710,1.14798300,0.42765990,0.31907880,1.14640500,0.43206280,0.30571140,1.14312300,0.43017800,0.27950130,1.22296700,0.43676070,6,5
0.30907370,1.07382100,0.44268650,0.30907370,1.07382100,0.44268650,0.30907370,1.07382100,0.44268650,0.31935800,1.09499600,0.43499540,0.33502950,1.11211900,0.42812730,0.34910120,1.13816300,0.41687690,0.34166640,1.16945500,0.40988290,0.33753570,1.16535000,0.45417270,0.33187520,1.18775800,0.42535360,0.33105810,1.16558900,0.41709350,0.31692890,1.16484500,0.46115270,0.31253770,1.18884100,0.42719580,0.31379600,1.16390500,0.41736490,0.29750340,1.15996500,0.45812230,0.29490710,1.18195700,0.42726320,0.30056230,1.15976800,0.41519720,0.28816970,1.10915800,0.44402220,0.27903380,1.15209900,0.45106710,0.28013660,1.18103300,0.44352160,0.27909810,1.20019800,0.43872450,0.32075550,1.18119100,0.40954950,0.33288780,1.14632100,0.42714120,0.31921940,1.14488600,0.43155880,0.30580270,1.14158300,0.42954150,0.27976190,1.22142200,0.43617070,6,5
0.30876370,1.07257500,0.44241210,0.30876370,1.07257500,0.44241210,0.30876370,1.07257500,0.44241210,0.31914100,1.09372400,0.43477510,0.33485650,1.11083300,0.42797440,0.34896840,1.13682400,0.41665150,0.34172730,1.16812400,0.40949170,0.33733840,1.16405200,0.45402750,0.33189350,1.18645100,0.42516010,0.33110250,1.16429000,0.41687610,0.31668570,1.16359300,0.46087410,0.31252410,1.18764600,0.42692810,0.31385100,1.16272800,0.41706190,0.29727030,1.15875200,0.45772080,0.29489710,1.18081400,0.42689370,0.30059440,1.15865400,0.41479390,0.28792400,1.10795500,0.44359110,0.27883070,1.15091900,0.45055070,0.28011440,1.17988200,0.44314360,0.27919470,1.19907300,0.43842830,0.32104070,1.18024100,0.40889910,0.33283870,1.14500600,0.42690980,0.31919040,1.14373400,0.43132160,0.30571890,1.14043400,0.42913600,0.27997420,1.22030500,0.43597510,6,5
0.30847990,1.07133800,0.44213430,0.30847990,1.07133800,0.44213430,0.30847990,1.07133800,0.44213430,0.31894410,1.09246200,0.43454580,0.33469980,1.10955800,0.42780640,0.34884760,1.13549600,0.41640780,0.34179060,1.16680000,0.40908390,0.33715470,1.16277000,0.45385820,0.33191410,1.18515500,0.42494190,0.33115020,1.16300000,0.41663890,0.31645930,1.16235500,0.46057720,0.31251460,1.18645500,0.42663870,0.31390940,1.16155200,0.41674410,0.29705460,1.15754800,0.45730740,0.29489370,1.17967200,0.42650930,0.30063160,1.15753900,0.41438120,0.28770000,1.10675800,0.44315790,0.27864490,1.14974500,0.45002920,0.28009730,1.17873400,0.44275760,0.27928830,1.19795000,0.43812250,0.32132560,1.17927400,0.40824050,0.33279890,1.14370300,0.42666100,0.31916930,1.14258600,0.43107030,0.30564580,1.13928700,0.42872220,0.28017530,1.21918800,0.43576770,6,5
0.30821700,1.07010900,0.44185380,0.30821700,1.07010900,0.44185380,0.30821700,1.07010900,0.44185380,0.31876330,1.09120800,0.43430980,0.33453290,1.10830700,0.42761060,0.34870220,1.13423900,0.41622470,0.34161530,1.16552400,0.40884480,0.33698210,1.16150100,0.45367010,0.33197070,1.18381300,0.42465710,0.33119540,1.16161500,0.41646870,0.31624640,1.16112800,0.46026610,0.31259370,1.18526800,0.42632310,0.31392690,1.16036500,0.41641730,0.29685310,1.15635200,0.45688500,0.29493120,1.17855300,0.42612600,0.30065410,1.15641600,0.41399560,0.28749370,1.10556600,0.44272350,0.27847340,1.14857500,0.44950390,0.27994330,1.17754100,0.44214620,0.27914470,1.19674100,0.43744230,0.32116160,1.17800900,0.40790860,0.33273040,1.14235200,0.42657360,0.31903090,1.14140300,0.43080400,0.30551840,1.13815200,0.42837210,0.28002500,1.21797200,0.43502310,6,5
0.30856370,1.06915100,0.44134810,0.30856370,1.06915100,0.44134810,0.30856370,1.06915100,0.44134810,0.31913770,1.09028000,0.43392880,0.33487610,1.10743500,0.42729790,0.34899070,1.13344100,0.41601200,0.34182570,1.16474800,0.40880940,0.33742060,1.16044400,0.45369340,0.33246710,1.18287000,0.42475870,0.33165310,1.16068700,0.41653700,0.31668030,1.16005700,0.46027430,0.31311820,1.18445100,0.42650350,0.31436160,1.15961500,0.41641900,0.29728390,1.15532100,0.45685430,0.29542150,1.17779200,0.42628820,0.30108260,1.15573600,0.41398280,0.28787840,1.10462600,0.44240310,0.27890050,1.14760500,0.44941840,0.28033850,1.17660200,0.44217680,0.27951850,1.19581900,0.43754790,0.32138360,1.17725900,0.40795950,0.33314270,1.14139000,0.42658550,0.31940340,1.14056900,0.43071620,0.30588780,1.13736900,0.42824810,0.28037190,1.21706100,0.43521360,6,5
0.30887320,1.06817500,0.44085940,0.30887320,1.06817500,0.44085940,0.30887320,1.06817500,0.44085940,0.31947660,1.08933000,0.43355460,0.33518670,1.10653500,0.42698730,0.34925080,1.13260400,0.41578620,0.34201720,1.16393100,0.40873380,0.33781490,1.15937600,0.45368270,0.33292660,1.18189900,0.42481260,0.33207860,1.15972600,0.41656590,0.31706790,1.15897800,0.46024190,0.31360410,1.18360100,0.42662750,0.31476660,1.15882700,0.41638180,0.29766980,1.15427900,0.45678030,0.29587560,1.17699600,0.42639260,0.30148160,1.15501500,0.41392920,0.28822440,1.10366600,0.44206990,0.27928530,1.14662000,0.44928880,0.28069870,1.17564600,0.44215980,0.27986220,1.19488000,0.43760290,0.32159540,1.17647800,0.40794870,0.33352140,1.14040200,0.42656680,0.31974510,1.13970800,0.43060340,0.30622490,1.13655600,0.42809510,0.28069340,1.21613200,0.43535070,6,5
0.30915330,1.06718600,0.44038430,0.30915330,1.06718600,0.44038430,0.30915330,1.06718600,0.44038430,0.31978750,1.08836100,0.43318580,0.33549890,1.10559500,0.42669700,0.34955780,1.13170500,0.41558390,0.34229960,1.16305200,0.40865080,0.33817420,1.15829800,0.45364560,0.33333200,1.18075900,0.42471850,0.33246310,1.15856700,0.41652330,0.31741890,1.15789300,0.46017810,0.31400730,1.18252000,0.42656120,0.31518880,1.15773300,0.41634960,0.29802020,1.15323000,0.45667240,0.29628670,1.17588700,0.42623660,0.30193250,1.15386800,0.41385940,0.28853990,1.10269200,0.44172700,0.27963680,1.14562400,0.44912510,0.28108080,1.17466000,0.44204530,0.28026430,1.19390200,0.43751840,0.32179870,1.17547700,0.40797670,0.33386030,1.13922300,0.42649350,0.32015700,1.13868700,0.43067290,0.30664930,1.13544400,0.42808040,0.28111360,1.21515600,0.43530190,6,5
0.30941430,1.06693800,0.44020380,0.30941430,1.06693800,0.44020380,0.30941430,1.06693800,0.44020380,0.32006900,1.08814000,0.43311690,0.33577190,1.10541200,0.42670860,0.34981010,1.13157200,0.41568730,0.34251370,1.16293800,0.40888400,0.33847810,1.15796800,0.45392770,0.33366810,1.18038200,0.42495940,0.33278610,1.15817700,0.41680250,0.31771590,1.15754500,0.46043690,0.31434270,1.18220100,0.42683810,0.31554690,1.15741100,0.41663770,0.29831790,1.15291100,0.45688920,0.29663110,1.17554300,0.42643200,0.30231710,1.15350100,0.41411250,0.28882160,1.10245000,0.44169410,0.27993750,1.14535100,0.44928700,0.28139700,1.17440500,0.44227860,0.28059050,1.19365700,0.43779680,0.32194590,1.17525700,0.40831660,0.33414810,1.13881100,0.42673440,0.32051240,1.13842600,0.43104220,0.30701490,1.13509900,0.42836750,0.28144740,1.21491700,0.43563230,6,5
0.30965810,1.06661100,0.44000520,0.30965810,1.06661100,0.44000520,0.30965810,1.06661100,0.44000520,0.32033540,1.08783800,0.43302470,0.33603050,1.10514500,0.42669350,0.35004910,1.13135000,0.41575590,0.34271740,1.16273400,0.40906880,0.33876450,1.15756100,0.45416470,0.33399330,1.17992400,0.42515080,0.33309900,1.15770500,0.41703650,0.31799400,1.15712300,0.46064650,0.31466830,1.18180700,0.42706280,0.31589370,1.15701300,0.41687450,0.29859730,1.15251800,0.45705470,0.29696470,1.17513100,0.42658060,0.30268800,1.15306900,0.41431410,0.28908680,1.10213100,0.44162630,0.28022140,1.14500400,0.44939680,0.28169740,1.17407300,0.44245800,0.28090170,1.19333600,0.43801980,0.32209400,1.17496300,0.40859180,0.33442390,1.13832000,0.42693680,0.32085080,1.13808700,0.43136020,0.30736180,1.13468600,0.42860100,0.28176640,1.21460000,0.43590600,6,5
0.30988820,1.06622400,0.43979240,0.30988820,1.06622400,0.43979240,0.30988820,1.06622400,0.43979240,0.32058950,1.08747100,0.43291400,0.33631700,1.10478600,0.42668380,0.35040920,1.13104500,0.41597240,0.34313560,1.16248000,0.40946870,0.33903650,1.15709400,0.45436610,0.33429770,1.17937200,0.42528070,0.33340070,1.15713600,0.41720940,0.31825670,1.15664400,0.46081730,0.31498550,1.18130000,0.42720790,0.31623010,1.15650500,0.41702410,0.29886200,1.15206600,0.45717970,0.29728700,1.17470000,0.42671810,0.30304230,1.15261000,0.41451990,0.28933870,1.10175000,0.44153110,0.28049160,1.14459700,0.44946560,0.28192160,1.17366200,0.44250150,0.28109510,1.19291900,0.43804250,0.32252190,1.17472700,0.40900310,0.33469020,1.13772500,0.42706190,0.32115680,1.13754200,0.43147090,0.30768160,1.13424700,0.42884570,0.28191940,1.21418300,0.43590970,6,5
0.30984620,1.06553100,0.43957200,0.30984620,1.06553100,0.43957200,0.30984620,1.06553100,0.43957200,0.32055510,1.08678100,0.43271210,0.33628970,1.10406900,0.42642800,0.35040010,1.13035800,0.41581450,0.34319820,1.16187600,0.40963880,0.33949230,1.15620000,0.45439730,0.33450750,1.17847300,0.42534970,0.33344230,1.15624200,0.41728450,0.31878020,1.15578700,0.46106510,0.31523850,1.18050300,0.42752710,0.31630280,1.15572600,0.41727980,0.29933090,1.15130500,0.45760460,0.29752040,1.17403000,0.42722440,0.30309190,1.15192100,0.41497530,0.28945160,1.10112200,0.44174730,0.28085180,1.14395200,0.45003930,0.28224560,1.17302700,0.44310710,0.28139670,1.19229100,0.43868640,0.32262650,1.17420100,0.40946020,0.33475350,1.13678000,0.42703400,0.32131340,1.13668600,0.43159710,0.30781090,1.13353300,0.42924290,0.28222320,1.21355800,0.43657890,6,5
