RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33000730,0.87350960,0.28165940,0.33000730,0.87350960,0.28165940,0.33000730,0.87350960,0.28165940,0.34016360,0.89243910,0.26933810,0.35838810,0.90524240,0.25985600,0.37486440,0.92408290,0.24045410,0.36214260,0.95183890,0.22815960,0.36443750,0.96339380,0.27424750,0.35357680,0.97419380,0.24063060,0.34982440,0.95283710,0.23113430,0.34502910,0.96547390,0.28387050,0.33582230,0.97180070,0.24357900,0.33491330,0.94516410,0.24046290,0.32514700,0.96161470,0.28426120,0.32021440,0.97214110,0.24810110,0.31897380,0.95329570,0.23040260,0.31133200,0.91005840,0.27997060,0.30548730,0.95412310,0.28107610,0.30722340,0.98169780,0.26958890,0.30709370,0.99759380,0.25781220,0.34212140,0.96494360,0.22656850,0.35282430,0.93449120,0.24253500,0.33908560,0.92418740,0.25208900,0.32349570,0.93300940,0.24188900,0.30927740,1.01484700,0.24536460,6,7
0.32927570,0.87392320,0.28210710,0.32927570,0.87392320,0.28210710,0.32927570,0.87392320,0.28210710,0.33957230,0.89279260,0.26981010,0.35776980,0.90550660,0.26015750,0.37415440,0.92436800,0.24069830,0.36162680,0.95235840,0.22874030,0.36476950,0.96341070,0.27491580,0.35373830,0.97429540,0.24138180,0.34963760,0.95305170,0.23177660,0.34546370,0.96567930,0.28470140,0.33603630,0.97233970,0.24451480,0.33465830,0.94575980,0.24110140,0.32553850,0.96206630,0.28522640,0.32043720,0.97236290,0.24902350,0.31880550,0.95340910,0.23147310,0.31104670,0.91071090,0.28076330,0.30576250,0.95483820,0.28215420,0.30773190,0.98255650,0.27105690,0.30769200,0.99866730,0.25957520,0.34180110,0.96578180,0.22737460,0.35243020,0.93449210,0.24288000,0.33848160,0.92445930,0.25224880,0.32312140,0.93297400,0.24277370,0.30996320,1.01621400,0.24756000,6,7
0.32861910,0.87430020,0.28253530,0.32861910,0.87430020,0.28253530,0.32861910,0.87430020,0.28253530,0.33904880,0.89311390,0.27026520,0.35733270,0.90566140,0.26055830,0.37379450,0.92440710,0.24105260,0.36162920,0.95262370,0.22925330,0.36510010,0.96340720,0.27556320,0.35397520,0.97463230,0.24217280,0.34951610,0.95354560,0.23238320,0.34589030,0.96584740,0.28549550,0.33628010,0.97280480,0.24540260,0.33443350,0.94627570,0.24181960,0.32592860,0.96246280,0.28614100,0.32061760,0.97295580,0.25002480,0.31880970,0.95410290,0.23238330,0.31081010,0.91130320,0.28151120,0.30604900,0.95548080,0.28316960,0.30825270,0.98311160,0.27189940,0.30832410,0.99905150,0.26018170,0.34199710,0.96634380,0.22804800,0.35208610,0.93478200,0.24319370,0.33795360,0.92480460,0.25273730,0.32313520,0.93358580,0.24353050,0.31071580,1.01642500,0.24794060,6,7
0.32894810,0.87420420,0.28308770,0.32894810,0.87420420,0.28308770,0.32894810,0.87420420,0.28308770,0.33931990,0.89317010,0.27100410,0.35754960,0.90582710,0.26133750,0.37388000,0.92480440,0.24194570,0.36177480,0.95321800,0.23056450,0.36551810,0.96334530,0.27708500,0.35418070,0.97506340,0.24393620,0.34957790,0.95417500,0.23379430,0.34638320,0.96567650,0.28718650,0.33651650,0.97317930,0.24725460,0.33447100,0.94672070,0.24327940,0.32642120,0.96231260,0.28792740,0.32079570,0.97322340,0.25198310,0.31898950,0.95458190,0.23411830,0.31119020,0.91124400,0.28270070,0.30651020,0.95540140,0.28500170,0.30865800,0.98308870,0.27386020,0.30866830,0.99899390,0.26209530,0.34220130,0.96704350,0.22964380,0.35211370,0.93515340,0.24415260,0.33790040,0.92502540,0.25377460,0.32351890,0.93393690,0.24494380,0.31099330,1.01636600,0.24983950,6,7
0.32923100,0.87413100,0.28362140,0.32923100,0.87413100,0.28362140,0.32923100,0.87413100,0.28362140,0.33956260,0.89323000,0.27171440,0.35777480,0.90595730,0.26210730,0.37401100,0.92508870,0.24278780,0.36174630,0.95361460,0.23186780,0.36594760,0.96326820,0.27852390,0.35444410,0.97543140,0.24559340,0.34964570,0.95471660,0.23518960,0.34688470,0.96550760,0.28878120,0.33677590,0.97372160,0.24905030,0.33473000,0.94731790,0.24472550,0.32692110,0.96217460,0.28961110,0.32098620,0.97343180,0.25382360,0.31921500,0.95501800,0.23572060,0.31154870,0.91120830,0.28382870,0.30697670,0.95534180,0.28672870,0.30927810,0.98305330,0.27567870,0.30934160,0.99896220,0.26391880,0.34207470,0.96732350,0.23141490,0.35211160,0.93550560,0.24520960,0.33827220,0.92551650,0.25496000,0.32398760,0.93431750,0.24633350,0.31172210,1.01639600,0.25176120,6,7
0.32973650,0.87411560,0.28498790,0.32973650,0.87411560,0.28498790,0.32973650,0.87411560,0.28498790,0.34001890,0.89339050,0.27332420,0.35821960,0.90630570,0.26394870,0.37443150,0.92567090,0.24484310,0.36192820,0.95418240,0.23415860,0.36596530,0.96350690,0.28096330,0.35458510,0.97592040,0.24808340,0.34988040,0.95531310,0.23742640,0.34683760,0.96553560,0.29114340,0.33688940,0.97425240,0.25147910,0.33508900,0.94788070,0.24685970,0.32688950,0.96208080,0.29183680,0.32098720,0.97352320,0.25610270,0.31959560,0.95526270,0.23781230,0.31184040,0.91108760,0.28547060,0.30699980,0.95516330,0.28878370,0.30935730,0.98289610,0.27779900,0.30948060,0.99879150,0.26602140,0.34207720,0.96763490,0.23388040,0.35231270,0.93596740,0.24719250,0.33877930,0.92602590,0.25692670,0.32463030,0.93457340,0.24832550,0.31191650,1.01628500,0.25396110,6,7
0.33019270,0.87411120,0.28627530,0.33019270,0.87411120,0.28627530,0.33019270,0.87411120,0.28627530,0.34043590,0.89354450,0.27484220,0.35862510,0.90662700,0.26567900,0.37481180,0.92620740,0.24677220,0.36209400,0.95471070,0.23632180,0.36601630,0.96370550,0.28326560,0.35474660,0.97636290,0.25044070,0.35011030,0.95586650,0.23954260,0.34683390,0.96554740,0.29337820,0.33702450,0.97475770,0.25379100,0.33543630,0.94842350,0.24888870,0.32689950,0.96199270,0.29394880,0.32102310,0.97360110,0.25826400,0.31997430,0.95548390,0.23980890,0.31212010,0.91099270,0.28702950,0.30705650,0.95501160,0.29074030,0.30948510,0.98276420,0.27982120,0.30967320,0.99864920,0.26803060,0.34208560,0.96793060,0.23621640,0.35249920,0.93639000,0.24905610,0.33925300,0.92651320,0.25878640,0.32524670,0.93480750,0.25023060,0.31216940,1.01620400,0.25607190,6,7
0.33060980,0.87411530,0.28749920,0.33060980,0.87411530,0.28749920,0.33060980,0.87411530,0.28749920,0.34082160,0.89369310,0.27628660,0.35897800,0.90694450,0.26730270,0.37506290,0.92670370,0.24849530,0.36224590,0.95521860,0.23819900,0.36609300,0.96387230,0.28545820,0.35489640,0.97676960,0.25270170,0.35039490,0.95634820,0.24160790,0.34686390,0.96554610,0.29551090,0.33716930,0.97537160,0.25604360,0.33588640,0.94905720,0.25094910,0.32694140,0.96190880,0.29596950,0.32111760,0.97391310,0.26040730,0.32033360,0.95594260,0.24179630,0.31238980,0.91091780,0.28852150,0.30713880,0.95488050,0.29261790,0.30964690,0.98266740,0.28180440,0.30989580,0.99862540,0.27011380,0.34218340,0.96835670,0.23817950,0.35281880,0.93678240,0.25092720,0.33994290,0.92718510,0.26083590,0.32577390,0.93531190,0.25222190,0.31243470,1.01645400,0.25857650,6,7
0.32980020,0.87443360,0.28828980,0.32980020,0.87443360,0.28828980,0.32980020,0.87443360,0.28828980,0.34009480,0.89401540,0.27716030,0.35829330,0.90726830,0.26826420,0.37438600,0.92697630,0.24940990,0.36162650,0.95549710,0.23905830,0.36545350,0.96413010,0.28658100,0.35441260,0.97709000,0.25379640,0.34992920,0.95669290,0.24265070,0.34618490,0.96581840,0.29655550,0.33666720,0.97604390,0.25714670,0.33555120,0.94972180,0.25205280,0.32625420,0.96221630,0.29692200,0.32055540,0.97437260,0.26139120,0.31994940,0.95641060,0.24276540,0.31164230,0.91126690,0.28930930,0.30645340,0.95523070,0.29347220,0.30921090,0.98295480,0.28255880,0.30961950,0.99889500,0.27084850,0.34158190,0.96866260,0.23903070,0.35226910,0.93708790,0.25190880,0.33972500,0.92794110,0.26209150,0.32544340,0.93587710,0.25335390,0.31230910,1.01689800,0.25962060,6,7
0.32906320,0.87473240,0.28907370,0.32906320,0.87473240,0.28907370,0.32906320,0.87473240,0.28907370,0.33943690,0.89432220,0.27803200,0.35767430,0.90757950,0.26922260,0.37377040,0.92724660,0.25032850,0.36106340,0.95577840,0.23994270,0.36488830,0.96436660,0.28772250,0.35399180,0.97740200,0.25491950,0.34951920,0.95703600,0.24371290,0.34558430,0.96606620,0.29762640,0.33622660,0.97669530,0.25828610,0.33526730,0.95036970,0.25317870,0.32564570,0.96250020,0.29790710,0.32005940,0.97480850,0.26241080,0.31962070,0.95685990,0.24376730,0.31096950,0.91159670,0.29011310,0.30584560,0.95555970,0.29436360,0.30884390,0.98322700,0.28336970,0.30940520,0.99915420,0.27164800,0.34103590,0.96896980,0.23992080,0.35177590,0.93738680,0.25289790,0.33955080,0.92867240,0.26335100,0.32516500,0.93641910,0.25450770,0.31224610,1.01726700,0.26063700,6,7
0.32838320,0.87501610,0.28985230,0.32838320,0.87501610,0.28985230,0.32838320,0.87501610,0.28985230,0.33883300,0.89461680,0.27890230,0.35706370,0.90791670,0.27014330,0.37305050,0.92755470,0.25112660,0.36050880,0.95612450,0.24064480,0.36438080,0.96458600,0.28887850,0.35358920,0.97751530,0.25599900,0.34913720,0.95711400,0.24484840,0.34504490,0.96629450,0.29871820,0.33583370,0.97713670,0.25940140,0.33496120,0.95080800,0.25429370,0.32509870,0.96276530,0.29891770,0.31957180,0.97528860,0.26348730,0.31940790,0.95732980,0.24484920,0.31035500,0.91191140,0.29092970,0.30529830,0.95587210,0.29528430,0.30832700,0.98348740,0.28416880,0.30893390,0.99924820,0.27222650,0.34062660,0.96953320,0.24050380,0.35132320,0.93745620,0.25403210,0.33926160,0.92912860,0.26449680,0.32509670,0.93699070,0.25570650,0.31181320,1.01724600,0.26103770,6,7
0.32814320,0.87592640,0.29037300,0.32814320,0.87592640,0.29037300,0.32814320,0.87592640,0.29037300,0.33860400,0.89552740,0.27943400,0.35678210,0.90887220,0.27063410,0.37257280,0.92846010,0.25140290,0.36011260,0.95702400,0.24080860,0.36418860,0.96547750,0.28944870,0.35337040,0.97822240,0.25650600,0.34892510,0.95776020,0.24546500,0.34485300,0.96719120,0.29928820,0.33563570,0.97815520,0.26000680,0.33486730,0.95181210,0.25495720,0.32490500,0.96367250,0.29948480,0.31929790,0.97631050,0.26410790,0.31935810,0.95830170,0.24551750,0.31013460,0.91283070,0.29146900,0.30510120,0.95679170,0.29584670,0.30809840,0.98433450,0.28454410,0.30869550,0.99990970,0.27236040,0.34035070,0.97060820,0.24059230,0.35109780,0.93811480,0.25467820,0.33925030,0.93017980,0.26522510,0.32524430,0.93809630,0.25651850,0.31155790,1.01778300,0.26096930,6,7
