RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40869930,0.86457650,0.31572850,0.40869930,0.86457650,0.31572850,0.40869930,0.86457650,0.31572850,0.41676520,0.88779030,0.31267100,0.42993070,0.90755840,0.30799530,0.43917450,0.93679320,0.30007430,0.42759420,0.96743290,0.30331410,0.43782340,0.95094070,0.34754900,0.42467190,0.97763170,0.32565580,0.42358890,0.95719130,0.31376520,0.41926920,0.94688420,0.35817470,0.40706290,0.97763560,0.33261000,0.40716970,0.95492950,0.31831080,0.39971730,0.94159230,0.35792770,0.38992660,0.97017380,0.33490750,0.39462700,0.94991920,0.31949400,0.38815460,0.89635040,0.33172110,0.38024880,0.93466810,0.35284760,0.37692420,0.96435860,0.35450670,0.37304240,0.98369470,0.35606770,0.40645940,0.97527280,0.31149770,0.42871560,0.93668840,0.31914030,0.41592550,0.93376050,0.32654520,0.40338360,0.92952410,0.32793690,0.37107760,1.00461000,0.36007740,6,2
0.40720830,0.86457660,0.31590360,0.40720830,0.86457660,0.31590360,0.40720830,0.86457660,0.31590360,0.41524030,0.88780930,0.31290050,0.42837870,0.90761450,0.30830650,0.43757670,0.93687470,0.30042620,0.42586090,0.96746930,0.30360490,0.43594920,0.95099660,0.34792030,0.42287830,0.97762510,0.32590290,0.42188570,0.95715890,0.31404890,0.41734130,0.94689560,0.35843430,0.40521520,0.97766740,0.33285590,0.40546840,0.95498160,0.31852620,0.39780300,0.94156010,0.35806960,0.38810280,0.97016480,0.33503990,0.39290750,0.94991720,0.31964930,0.38649780,0.89630000,0.33178240,0.37838070,0.93459380,0.35287190,0.37506820,0.96428720,0.35450420,0.37119200,0.98362630,0.35604160,0.40466020,0.97525270,0.31167110,0.42701850,0.93668070,0.31951200,0.41423400,0.93383320,0.32680300,0.40163870,0.92956190,0.32821360,0.36922290,1.00454400,0.36003580,6,2
0.40575540,0.86459280,0.31609730,0.40575540,0.86459280,0.31609730,0.40575540,0.86459280,0.31609730,0.41375530,0.88784280,0.31314260,0.42684620,0.90769580,0.30862030,0.43596350,0.93698760,0.30076350,0.42416220,0.96755840,0.30385450,0.43412420,0.95107170,0.34828660,0.42111520,0.97758840,0.32609820,0.42023260,0.95708240,0.31430440,0.41546390,0.94693030,0.35869130,0.40341370,0.97763710,0.33299920,0.40381680,0.95493040,0.31870610,0.39593950,0.94155320,0.35821200,0.38633120,0.97010310,0.33507600,0.39123890,0.94986100,0.31971050,0.38488470,0.89627080,0.33185650,0.37656280,0.93454580,0.35290040,0.37332100,0.96424580,0.35455380,0.36948920,0.98359300,0.35610060,0.40292660,0.97537680,0.31179400,0.42537520,0.93662910,0.31985070,0.41257490,0.93379680,0.32702850,0.39994900,0.92953710,0.32837030,0.36756050,1.00451200,0.36011220,6,2
0.40439730,0.86419710,0.31602980,0.40439730,0.86419710,0.31602980,0.40439730,0.86419710,0.31602980,0.41230270,0.88748440,0.31311540,0.42529980,0.90741660,0.30867130,0.43427270,0.93675650,0.30082760,0.42228680,0.96726950,0.30377580,0.43207140,0.95084970,0.34835640,0.41909690,0.97719590,0.32594590,0.41840780,0.95663690,0.31423180,0.41335020,0.94662370,0.35861680,0.40134190,0.97720780,0.33275920,0.40199050,0.95446950,0.31852560,0.39385770,0.94114730,0.35798780,0.38430680,0.96959830,0.33470670,0.38940960,0.94936180,0.31939760,0.38324200,0.89578410,0.33159090,0.37455960,0.93403670,0.35252950,0.37129070,0.96373500,0.35416030,0.36743870,0.98308000,0.35568430,0.40097460,0.97505970,0.31153570,0.42360750,0.93622990,0.31989460,0.41078730,0.93338810,0.32693890,0.39813870,0.92910460,0.32819370,0.36547540,1.00399800,0.35968340,6,2
0.40303360,0.86385160,0.31600380,0.40303360,0.86385160,0.31600380,0.40303360,0.86385160,0.31600380,0.41085110,0.88717320,0.31312620,0.42376120,0.90717820,0.30875640,0.43260180,0.93656080,0.30092240,0.42044040,0.96701770,0.30372850,0.43004500,0.95066750,0.34845260,0.41711380,0.97684740,0.32582310,0.41660830,0.95623650,0.31419090,0.41126470,0.94636340,0.35857160,0.39930640,0.97683020,0.33255290,0.40019000,0.95406200,0.31837990,0.39180390,0.94079390,0.35779690,0.38231670,0.96915340,0.33437850,0.38760560,0.94892140,0.31912670,0.38160860,0.89535390,0.33136640,0.37258260,0.93358640,0.35219640,0.36929290,0.96328380,0.35379960,0.36542470,0.98262760,0.35529760,0.39905460,0.97478060,0.31131140,0.42185810,0.93587560,0.31997180,0.40902060,0.93303250,0.32688730,0.39634690,0.92872970,0.32805990,0.36343110,1.00354600,0.35928050,6,2
0.40173260,0.86355350,0.31600430,0.40173260,0.86355350,0.31600430,0.40173260,0.86355350,0.31600430,0.40947050,0.88690570,0.31315940,0.42236600,0.90693780,0.30887180,0.43116410,0.93632450,0.30100550,0.41887540,0.96674720,0.30362260,0.42813340,0.95051770,0.34855850,0.41522760,0.97649410,0.32568160,0.41493130,0.95581170,0.31417010,0.40929860,0.94614290,0.35854510,0.39738440,0.97642710,0.33229400,0.39849740,0.95361190,0.31821310,0.38986800,0.94048890,0.35763450,0.38043790,0.96882980,0.33417050,0.38586680,0.94868800,0.31884870,0.38006100,0.89497880,0.33117780,0.37071920,0.93319300,0.35190170,0.36743350,0.96289620,0.35340290,0.36356970,0.98225060,0.35476910,0.39743490,0.97456100,0.31099570,0.42024150,0.93550280,0.32007740,0.40735000,0.93262360,0.32679900,0.39462370,0.92846280,0.32769060,0.36156710,1.00319200,0.35862220,6,2
0.40026510,0.86343280,0.31645790,0.40026510,0.86343280,0.31645790,0.40026510,0.86343280,0.31645790,0.40787100,0.88683310,0.31365350,0.42070460,0.90692590,0.30946460,0.42939710,0.93633870,0.30157860,0.41690160,0.96669430,0.30398550,0.42578960,0.95061050,0.34913950,0.41289120,0.97635250,0.32599500,0.41286780,0.95560030,0.31460590,0.40689620,0.94612070,0.35896320,0.39500130,0.97619640,0.33246480,0.39642000,0.95333870,0.31848050,0.38751300,0.94033500,0.35788640,0.37811040,0.96862690,0.33435220,0.38375610,0.94857980,0.31898440,0.37824840,0.89472910,0.33139910,0.36846550,0.93290370,0.35199200,0.36510760,0.96260410,0.35338630,0.36119810,0.98195830,0.35461950,0.39537550,0.97449850,0.31111540,0.41827400,0.93535750,0.32065170,0.40533190,0.93241670,0.32716630,0.39256390,0.92835450,0.32777520,0.35912830,1.00291600,0.35834470,6,2
0.39880580,0.86332230,0.31689230,0.39880580,0.86332230,0.31689230,0.39880580,0.86332230,0.31689230,0.40628790,0.88676700,0.31412500,0.41906690,0.90691420,0.31003180,0.42764770,0.93634260,0.30208170,0.41496610,0.96663930,0.30424460,0.42349460,0.95069830,0.34968640,0.41060850,0.97620400,0.32627490,0.41085620,0.95538570,0.31500960,0.40454530,0.94610080,0.35935110,0.39265860,0.97603270,0.33268670,0.39440420,0.95317170,0.31874490,0.38520910,0.94019140,0.35811330,0.37581480,0.96841180,0.33449020,0.38172620,0.94844370,0.31911980,0.37646310,0.89449650,0.33160300,0.36626080,0.93263290,0.35206290,0.36267220,0.96230910,0.35339550,0.35861270,0.98163810,0.35453540,0.39337790,0.97449710,0.31112330,0.41635380,0.93520710,0.32118580,0.40338250,0.93228980,0.32745880,0.39060640,0.92824300,0.32789480,0.35635730,1.00259100,0.35818020,6,2
0.39696540,0.86306380,0.31818890,0.39696540,0.86306380,0.31818890,0.39696540,0.86306380,0.31818890,0.40439530,0.88653420,0.31550080,0.41717090,0.90670460,0.31151250,0.42571030,0.93614400,0.30355840,0.41295950,0.96641800,0.30562930,0.42126610,0.95044290,0.35126300,0.40839050,0.97583480,0.32772230,0.40878420,0.95498800,0.31651400,0.40228640,0.94577460,0.36083360,0.39040570,0.97569060,0.33414870,0.39233610,0.95286540,0.32017250,0.38297220,0.93981470,0.35949740,0.37358950,0.96807080,0.33591260,0.37962970,0.94820690,0.32045740,0.37447100,0.89414780,0.33285950,0.36407220,0.93221590,0.35334740,0.36037500,0.96187670,0.35472610,0.35624690,0.98119200,0.35585260,0.39136580,0.97437660,0.31237390,0.41432470,0.93483460,0.32273410,0.40134350,0.93196620,0.32881450,0.38854620,0.92797640,0.32912620,0.35390440,1.00213600,0.35949410,6,2
0.39516120,0.86282420,0.31940320,0.39516120,0.86282420,0.31940320,0.39516120,0.86282420,0.31940320,0.40253820,0.88631960,0.31678890,0.41531030,0.90651220,0.31290280,0.42380800,0.93595960,0.30493380,0.41098700,0.96621110,0.30689810,0.41906310,0.95021500,0.35273610,0.40620340,0.97547850,0.32904910,0.40674640,0.95459780,0.31791040,0.40005180,0.94547800,0.36220960,0.38818090,0.97536880,0.33549210,0.39030260,0.95257640,0.32149020,0.38076080,0.93946670,0.36077280,0.37139310,0.96775210,0.33721700,0.37756540,0.94799040,0.32168310,0.37251180,0.89382110,0.33401950,0.36191100,0.93182590,0.35452150,0.35811080,0.96147190,0.35593750,0.35391800,0.98077440,0.35704400,0.38938930,0.97427800,0.31349960,0.41232860,0.93447330,0.32418610,0.39933950,0.93166270,0.33006600,0.38651810,0.92773430,0.33025390,0.35149230,1.00171100,0.36067520,6,2
