RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
-0.02510495,0.87253010,0.31283460,-0.02510495,0.87253010,0.31283460,-0.02510495,0.87253010,0.31283460,-0.04836211,0.88080170,0.31482830,-0.07222279,0.88427310,0.31268720,-0.10096610,0.88608070,0.32585610,-0.11742000,0.90498660,0.34719220,-0.09581407,0.93643510,0.29747520,-0.11985870,0.94322520,0.32468620,-0.10927310,0.92297780,0.33087950,-0.07912587,0.94810000,0.30515990,-0.10532920,0.95035940,0.33766340,-0.09780505,0.92560240,0.34477140,-0.06482191,0.95111220,0.31918370,-0.08964746,0.95448330,0.34773220,-0.09135139,0.93015860,0.35641140,-0.03311753,0.90921100,0.32950020,-0.05101944,0.94949730,0.33529760,-0.07080524,0.96632870,0.35014870,-0.08278716,0.97750580,0.36123460,-0.11220060,0.92299460,0.36214500,-0.09378439,0.91460960,0.31801020,-0.08372504,0.91424230,0.32848340,-0.07861006,0.91678080,0.34149110,-0.09638564,0.99115230,0.37052180,6,3
-0.02322293,0.87148750,0.31421290,-0.02322293,0.87148750,0.31421290,-0.02322293,0.87148750,0.31421290,-0.04639799,0.88003420,0.31599070,-0.07018873,0.88378230,0.31355780,-0.09922000,0.88615680,0.32598410,-0.11572090,0.90542670,0.34695520,-0.09297752,0.93631630,0.29836800,-0.11724350,0.94329720,0.32533320,-0.10698350,0.92289930,0.33158040,-0.07623317,0.94774370,0.30628380,-0.10282230,0.94997160,0.33847470,-0.09542298,0.92518630,0.34561520,-0.06204707,0.95052150,0.32047470,-0.08726482,0.95400580,0.34866360,-0.08912235,0.92967470,0.35729320,-0.03096927,0.90819260,0.33095090,-0.04844145,0.94866980,0.33672990,-0.06818004,0.96579030,0.35131110,-0.08015919,0.97711870,0.36224530,-0.11039280,0.92330490,0.36202480,-0.09144658,0.91435170,0.31888840,-0.08114897,0.91369410,0.32959090,-0.07619154,0.91631410,0.34252130,-0.09369310,0.99094920,0.37135310,6,3
-0.02140039,0.87050810,0.31550170,-0.02140039,0.87050810,0.31550170,-0.02140039,0.87050810,0.31550170,-0.04449429,0.87930770,0.31709210,-0.06821571,0.88330890,0.31439930,-0.09748609,0.88622770,0.32612910,-0.11400580,0.90584720,0.34675840,-0.09027012,0.93617610,0.29924680,-0.11472290,0.94333890,0.32599470,-0.10476310,0.92280610,0.33228570,-0.07347543,0.94738450,0.30736650,-0.10040700,0.94958780,0.33927320,-0.09310912,0.92478320,0.34645080,-0.05939559,0.94994870,0.32170270,-0.08496202,0.95354380,0.34956170,-0.08695117,0.92921210,0.35816000,-0.02889523,0.90723400,0.33230870,-0.04596774,0.94788250,0.33807940,-0.06564935,0.96527580,0.35241260,-0.07761867,0.97674720,0.36320750,-0.10857140,0.92360270,0.36193480,-0.08919200,0.91408900,0.31975180,-0.07866117,0.91316090,0.33067820,-0.07384852,0.91585920,0.34353320,-0.09108742,0.99074630,0.37215270,6,3
-0.01962396,0.86957830,0.31672020,-0.01962396,0.86957830,0.31672020,-0.01962396,0.86957830,0.31672020,-0.04263756,0.87861340,0.31814530,-0.06628440,0.88278330,0.31507840,-0.09589734,0.88633110,0.32572510,-0.11278620,0.90629400,0.34571620,-0.08766350,0.93601910,0.30011390,-0.11228040,0.94334500,0.32666630,-0.10259020,0.92269550,0.33299620,-0.07082283,0.94702300,0.30841610,-0.09795682,0.94909430,0.34015970,-0.09077148,0.92421640,0.34719590,-0.05684009,0.94938990,0.32288070,-0.08267876,0.95281340,0.35050910,-0.08456892,0.92838920,0.35886440,-0.02687871,0.90632190,0.33359360,-0.04357503,0.94712640,0.33936360,-0.06312492,0.96460720,0.35377050,-0.07503769,0.97606690,0.36464020,-0.10752330,0.92394540,0.36107340,-0.08698978,0.91381470,0.32061460,-0.07624585,0.91254660,0.33153020,-0.07123375,0.91533600,0.34417730,-0.08840940,0.99009840,0.37367970,6,3
-0.01734579,0.86907840,0.31785940,-0.01734579,0.86907840,0.31785940,-0.01734579,0.86907840,0.31785940,-0.04027487,0.87837590,0.31890970,-0.06381222,0.88272090,0.31529300,-0.09376474,0.88698330,0.32464940,-0.11107520,0.90742620,0.34377620,-0.08436517,0.93624340,0.30006070,-0.10931490,0.94391050,0.32620300,-0.09995964,0.92317540,0.33275320,-0.06753088,0.94707610,0.30859770,-0.09508618,0.94923210,0.33997060,-0.08808216,0.92431980,0.34706750,-0.05374661,0.94931920,0.32327100,-0.08003902,0.95277120,0.35046440,-0.08192421,0.92831590,0.35872930,-0.02444314,0.90594120,0.33453870,-0.04076339,0.94694500,0.33996150,-0.06027395,0.96462330,0.35417930,-0.07220232,0.97615420,0.36495630,-0.10605970,0.92506040,0.35923560,-0.08425961,0.91404600,0.32068220,-0.07338192,0.91249390,0.33168420,-0.06827791,0.91543770,0.34417410,-0.08553452,0.99028680,0.37389610,6,3
-0.01514580,0.86857710,0.31895500,-0.01514580,0.86857710,0.31895500,-0.01514580,0.86857710,0.31895500,-0.03798664,0.87812080,0.31966470,-0.06140988,0.88262980,0.31554320,-0.09161302,0.88756410,0.32368490,-0.10926190,0.90846160,0.34199360,-0.08118628,0.93641660,0.30008720,-0.10642830,0.94440460,0.32585000,-0.09739110,0.92359150,0.33259620,-0.06435876,0.94708650,0.30883970,-0.09229393,0.94931550,0.33986970,-0.08544958,0.92437400,0.34701930,-0.05075893,0.94921260,0.32370140,-0.07746094,0.95269050,0.35048940,-0.07933019,0.92820830,0.35867790,-0.02208229,0.90554760,0.33546270,-0.03803774,0.94673420,0.34057750,-0.05750302,0.96460060,0.35462120,-0.06944266,0.97619940,0.36531250,-0.10446900,0.92608050,0.35754080,-0.08161096,0.91422740,0.32081290,-0.07059292,0.91240010,0.33190310,-0.06539675,0.91549550,0.34425000,-0.08273514,0.99042620,0.37416160,6,3
-0.01300827,0.86807510,0.32001580,-0.01300827,0.86807510,0.32001580,-0.01300827,0.86807510,0.32001580,-0.03575786,0.87785210,0.32041200,-0.05907934,0.88259740,0.31598960,-0.08935830,0.88806420,0.32348390,-0.10705340,0.90931590,0.34133440,-0.07810219,0.93654920,0.30017590,-0.10362680,0.94491310,0.32553790,-0.09492838,0.92402930,0.33250720,-0.06128198,0.94706300,0.30912910,-0.08956124,0.94947760,0.33983180,-0.08290198,0.92447880,0.34695680,-0.04785566,0.94907730,0.32416300,-0.07481446,0.95246010,0.35070490,-0.07665261,0.92786040,0.35854080,-0.01978141,0.90514400,0.33637000,-0.03538103,0.94650010,0.34120750,-0.05485068,0.96437180,0.35523840,-0.06682108,0.97593160,0.36593760,-0.10228770,0.92691640,0.35691080,-0.07908089,0.91441250,0.32102160,-0.06794809,0.91249420,0.33194540,-0.06253297,0.91547010,0.34401370,-0.08010764,0.99015000,0.37480900,6,3
-0.01008667,0.86805340,0.31996590,-0.01008667,0.86805340,0.31996590,-0.01008667,0.86805340,0.31996590,-0.03280316,0.87791220,0.32019920,-0.05608448,0.88271740,0.31563230,-0.08640940,0.88854670,0.32265260,-0.10415590,0.91009630,0.34009020,-0.07483490,0.93666170,0.29946950,-0.10048900,0.94530380,0.32460660,-0.09193648,0.92443100,0.33178630,-0.05802349,0.94715850,0.30845910,-0.08641993,0.94965770,0.33904670,-0.07971837,0.92467180,0.34617710,-0.04466714,0.94919660,0.32355210,-0.07170720,0.95239750,0.35003380,-0.07327947,0.92770480,0.35763120,-0.01681175,0.90522300,0.33611000,-0.03228904,0.94665620,0.34067230,-0.05177342,0.96445290,0.35477790,-0.06376986,0.97593020,0.36553650,-0.09942456,0.92775710,0.35560880,-0.07605426,0.91463540,0.32050140,-0.06470141,0.91271670,0.33120510,-0.05899656,0.91567880,0.34295820,-0.07707786,0.99008100,0.37448370,6,3
-0.00734041,0.86799500,0.31998150,-0.00734041,0.86799500,0.31998150,-0.00734041,0.86799500,0.31998150,-0.03002115,0.87793820,0.32005970,-0.05326028,0.88280390,0.31534440,-0.08362405,0.88899810,0.32186650,-0.10141840,0.91084130,0.33888490,-0.07173119,0.93675390,0.29887290,-0.09750652,0.94566080,0.32379260,-0.08910197,0.92479580,0.33116720,-0.05492617,0.94722660,0.30790240,-0.08343665,0.94979630,0.33837780,-0.07669398,0.92482120,0.34550710,-0.04163791,0.94927920,0.32305340,-0.06876279,0.95230440,0.34946890,-0.07007375,0.92752770,0.35683920,-0.01400847,0.90525680,0.33593540,-0.02935496,0.94676550,0.34024600,-0.04884993,0.96449290,0.35442420,-0.06087038,0.97589030,0.36524070,-0.09672468,0.92855370,0.35435600,-0.07319069,0.91482790,0.32007580,-0.06161489,0.91289030,0.33057830,-0.05563171,0.91585840,0.34203460,-0.07419714,0.98997590,0.37426250,6,3
-0.00466553,0.86790160,0.32005690,-0.00466553,0.86790160,0.32005690,-0.00466553,0.86790160,0.32005690,-0.02730686,0.87793430,0.31998160,-0.05052000,0.88296290,0.31530930,-0.08080879,0.88935540,0.32198680,-0.09835695,0.91137420,0.33903480,-0.06867637,0.93683060,0.29835580,-0.09457190,0.94601370,0.32304960,-0.08632514,0.92515320,0.33061270,-0.05187587,0.94727220,0.30742970,-0.08054325,0.95009770,0.33773480,-0.07379513,0.92512380,0.34486290,-0.03865629,0.94933160,0.32263970,-0.06585002,0.95247980,0.34896990,-0.06709955,0.92763440,0.35611580,-0.01126663,0.90525130,0.33583220,-0.02647037,0.94683660,0.33990390,-0.04592721,0.96468640,0.35398050,-0.05792811,0.97616530,0.36473230,-0.09344247,0.92911460,0.35440470,-0.07039002,0.91502490,0.31970230,-0.05866443,0.91317810,0.32999830,-0.05260137,0.91617170,0.34120500,-0.07121290,0.99033760,0.37367990,6,3
