RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.33383610,0.80563500,0.30213860,0.33383610,0.80563500,0.30213860,0.33383610,0.80563500,0.30213860,0.34290950,0.82904180,0.30030400,0.35196080,0.85032130,0.29190130,0.35566950,0.88211850,0.28855220,0.36111630,0.90952610,0.30694740,0.40342980,0.87402730,0.31248130,0.42391250,0.90440020,0.32071370,0.42464270,0.92777870,0.32635410,0.40240670,0.86376240,0.33204830,0.42169810,0.89725640,0.34971230,0.42140040,0.92287270,0.35907040,0.39137880,0.85694190,0.34804150,0.40346710,0.88691110,0.36916320,0.39550280,0.91125580,0.37516170,0.34862260,0.82561480,0.33568570,0.37577710,0.85071800,0.36166500,0.37856800,0.87452210,0.38038720,0.36740130,0.89100800,0.37758420,0.36273140,0.93344620,0.31134720,0.42347250,0.94896560,0.33275900,0.41589950,0.94605110,0.36575590,0.38257120,0.93162420,0.37447170,0.35722040,0.90976420,0.37345090,8,6
0.33493740,0.80604640,0.30268230,0.33493740,0.80604640,0.30268230,0.33493740,0.80604640,0.30268230,0.34377030,0.82953950,0.30077660,0.35266230,0.85087170,0.29233780,0.35673440,0.88260320,0.28879300,0.36211090,0.90986390,0.30742560,0.40366480,0.87527560,0.31324820,0.42361380,0.90608420,0.32116580,0.42421410,0.92953480,0.32651510,0.40255710,0.86513360,0.33287470,0.42162230,0.89886550,0.35033050,0.42144240,0.92453550,0.35954350,0.39144400,0.85830060,0.34880330,0.40370410,0.88844250,0.36957740,0.39595420,0.91287470,0.37550060,0.34916290,0.82641750,0.33623680,0.37577490,0.85199710,0.36231250,0.37845510,0.87593010,0.38088610,0.36733950,0.89248740,0.37831090,0.36385720,0.93373290,0.31204720,0.42301230,0.95079590,0.33266260,0.41614580,0.94778690,0.36613990,0.38312990,0.93330970,0.37477740,0.35726670,0.91138110,0.37455680,8,6
0.33629630,0.80690160,0.30275250,0.33629630,0.80690160,0.30275250,0.33629630,0.80690160,0.30275250,0.34458800,0.83059350,0.30087810,0.35305200,0.85212410,0.29250300,0.35702870,0.88386350,0.28892110,0.36190360,0.91094570,0.30794780,0.40323280,0.87777710,0.31388510,0.42223940,0.90921440,0.32164900,0.42238530,0.93271410,0.32681070,0.40214720,0.86766260,0.33352700,0.42048790,0.90181590,0.35093950,0.42003320,0.92749990,0.36010360,0.39102220,0.86060780,0.34935040,0.40301380,0.89099460,0.36992340,0.39513590,0.91538630,0.37584490,0.34965590,0.82769300,0.33640490,0.37535740,0.85396760,0.36270210,0.37758740,0.87798690,0.38122360,0.36630520,0.89446860,0.37889970,0.36341430,0.93475610,0.31293950,0.42084100,0.95400100,0.33279030,0.41458400,0.95072030,0.36668500,0.38214390,0.93571550,0.37513510,0.35609340,0.91336390,0.37555090,8,6
0.33758420,0.80770760,0.30283130,0.33758420,0.80770760,0.30283130,0.33758420,0.80770760,0.30283130,0.34536670,0.83157310,0.30097540,0.35342360,0.85328050,0.29265550,0.35731430,0.88502770,0.28904780,0.36170130,0.91189990,0.30848650,0.40280920,0.88008380,0.31445690,0.42091630,0.91208740,0.32205470,0.42063640,0.93562630,0.32702940,0.40174290,0.86999950,0.33411530,0.41939130,0.90454560,0.35146820,0.41867520,0.93024420,0.36057480,0.39061230,0.86274060,0.34984220,0.40237580,0.89335670,0.37020590,0.39439820,0.91771890,0.37611540,0.35012530,0.82887980,0.33656120,0.37495990,0.85578890,0.36304910,0.37678340,0.87988950,0.38150920,0.36535400,0.89630130,0.37942200,0.36297560,0.93563710,0.31387720,0.41876650,0.95693360,0.33284130,0.41308270,0.95343710,0.36713290,0.38126180,0.93795530,0.37540940,0.35502500,0.91519730,0.37645830,8,6
0.33876940,0.80844690,0.30291150,0.33876940,0.80844690,0.30291150,0.33876940,0.80844690,0.30291150,0.34608540,0.83246020,0.30106420,0.35367900,0.85441610,0.29296340,0.35710610,0.88624440,0.28961010,0.36101330,0.91333420,0.30884810,0.40240470,0.88215730,0.31495710,0.41979350,0.91451670,0.32272370,0.41895060,0.93804840,0.32766890,0.40135490,0.87210360,0.33463210,0.41822670,0.90700960,0.35203700,0.41688280,0.93271800,0.36104430,0.39022370,0.86466110,0.35027250,0.40136050,0.89558270,0.37052660,0.39263840,0.91977600,0.37606620,0.35055770,0.82995430,0.33670080,0.37458970,0.85742770,0.36334930,0.37563040,0.88180550,0.38150370,0.36393560,0.89802590,0.37939130,0.36193890,0.93713390,0.31403000,0.41653870,0.95931410,0.33343320,0.41076460,0.95581280,0.36747810,0.37884890,0.93955140,0.37490070,0.35331350,0.91675920,0.37643100,8,6
0.33880180,0.80878910,0.30280090,0.33880180,0.80878910,0.30280090,0.33880180,0.80878910,0.30280090,0.34584420,0.83287220,0.30080510,0.35312630,0.85495360,0.29275980,0.35636550,0.88680690,0.28945650,0.36007930,0.91409050,0.30845750,0.40149760,0.88333800,0.31461060,0.41845570,0.91594930,0.32227570,0.41728130,0.93950030,0.32705830,0.40045920,0.87342540,0.33435760,0.41691830,0.90863200,0.35155110,0.41523220,0.93439840,0.36033220,0.38933150,0.86597320,0.34999590,0.40021130,0.89719670,0.36992400,0.39104200,0.92131800,0.37503900,0.35015170,0.83069560,0.33648370,0.37371280,0.85865690,0.36304490,0.37428370,0.88335910,0.38077700,0.36246190,0.89948040,0.37861280,0.36087340,0.93794130,0.31342220,0.41454730,0.96076980,0.33266260,0.40884430,0.95747810,0.36655460,0.37682810,0.94075780,0.37341540,0.35170870,0.91813410,0.37562380,8,6
0.33890830,0.80914450,0.30271330,0.33890830,0.80914450,0.30271330,0.33890830,0.80914450,0.30271330,0.34567590,0.83329450,0.30057920,0.35266510,0.85547730,0.29255320,0.35551610,0.88736770,0.28924980,0.35885920,0.91483210,0.30805810,0.40065100,0.88451690,0.31431550,0.41713740,0.91739660,0.32186210,0.41553970,0.94095780,0.32646870,0.39962160,0.87473620,0.33412870,0.41572680,0.91019550,0.35113710,0.41368700,0.93600930,0.35970150,0.38849710,0.86726620,0.34976070,0.39896440,0.89884500,0.36934690,0.38929800,0.92286070,0.37402500,0.34981270,0.83142830,0.33629550,0.37289460,0.85985980,0.36277830,0.37273560,0.88495900,0.37995240,0.36062060,0.90080060,0.37738200,0.35936340,0.93871520,0.31290360,0.41233800,0.96220910,0.33189120,0.40700730,0.95906210,0.36571340,0.37466600,0.94194540,0.37196280,0.34952990,0.91917690,0.37394240,8,6
0.33893940,0.80929110,0.30223870,0.33893940,0.80929110,0.30223870,0.33893940,0.80929110,0.30223870,0.34560270,0.83346460,0.30004310,0.35248350,0.85571040,0.29209800,0.35520080,0.88761840,0.28885350,0.35828510,0.91517130,0.30757660,0.40017940,0.88504250,0.31403520,0.41637950,0.91806380,0.32158430,0.41451310,0.94163230,0.32605030,0.39901090,0.87535940,0.33388860,0.41492450,0.91092910,0.35084680,0.41268670,0.93678220,0.35924130,0.38777600,0.86791270,0.34945260,0.39797930,0.89971990,0.36880710,0.38799250,0.92368040,0.37307730,0.34940720,0.83180500,0.33580650,0.37208800,0.86049280,0.36235930,0.37132410,0.88591580,0.37903370,0.35905390,0.90156800,0.37606990,0.35865060,0.93906400,0.31238700,0.41098640,0.96287150,0.33131640,0.40586360,0.95984070,0.36506800,0.37311270,0.94252030,0.37058190,0.34778950,0.91975470,0.37221210,8,6
0.33902710,0.80946350,0.30181100,0.33902710,0.80946350,0.30181100,0.33902710,0.80946350,0.30181100,0.34557100,0.83366390,0.29955410,0.35232630,0.85597540,0.29168600,0.35490950,0.88790030,0.28849780,0.35773250,0.91552010,0.30716330,0.39971780,0.88562780,0.31378640,0.41560970,0.91880060,0.32132580,0.41346940,0.94237240,0.32564880,0.39842150,0.87603800,0.33367710,0.41412940,0.91172500,0.35058040,0.41169390,0.93761350,0.35880930,0.38708630,0.86860440,0.34917450,0.39703190,0.90063570,0.36829220,0.38673610,0.92453240,0.37216850,0.34905410,0.83220620,0.33535900,0.37132270,0.86115850,0.36197360,0.36996640,0.88687920,0.37814620,0.35754690,0.90233900,0.37481680,0.35795630,0.93941600,0.31196660,0.40961710,0.96359380,0.33075590,0.40472990,0.96067380,0.36445910,0.37161750,0.94312110,0.36926000,0.34611690,0.92033610,0.37057550,8,6
0.33915920,0.80965600,0.30142020,0.33915920,0.80965600,0.30142020,0.33915920,0.80965600,0.30142020,0.34557180,0.83388570,0.29910170,0.35221220,0.85624240,0.29126410,0.35458060,0.88818270,0.28806370,0.35717410,0.91614200,0.30625100,0.39926290,0.88625850,0.31356020,0.41507380,0.91948090,0.32105100,0.41253970,0.94304630,0.32519220,0.39784770,0.87675860,0.33348590,0.41327720,0.91256120,0.35040110,0.41046030,0.93846800,0.35844870,0.38642020,0.86933000,0.34891790,0.39575390,0.90162770,0.36789550,0.38509510,0.92541630,0.37144170,0.34874190,0.83262600,0.33494330,0.37058900,0.86184820,0.36161210,0.36866090,0.88782830,0.37730490,0.35606080,0.90303560,0.37352190,0.35726920,0.94014240,0.31050620,0.40811930,0.96420880,0.33007940,0.40311950,0.96147010,0.36385350,0.36976720,0.94377550,0.36819110,0.34441510,0.92076360,0.36876540,8,6
