RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35931010,0.90122640,0.27090770,0.35931010,0.90122640,0.27090770,0.35931010,0.90122640,0.27090770,0.37204060,0.91939130,0.28280510,0.38758000,0.93568440,0.29272510,0.40172200,0.95807650,0.31101790,0.40010510,0.98302130,0.33325240,0.38748940,0.95117990,0.35052140,0.38366400,0.97408450,0.38002690,0.38472230,0.99809000,0.37879390,0.36544120,0.95003000,0.35187640,0.35801330,0.98215510,0.37868740,0.35955930,1.00910500,0.37479000,0.34689660,0.95270480,0.34334050,0.34385480,0.98473690,0.36467370,0.35087460,1.00821600,0.35510600,0.33953950,0.92915990,0.29482610,0.33019450,0.95596370,0.32999260,0.33051610,0.98230390,0.34519260,0.33844830,0.99928590,0.33791050,0.39068470,1.00134400,0.34627850,0.38487990,1.01982700,0.37446410,0.36310440,1.03168300,0.36531050,0.36135930,1.01672900,0.33510180,0.35032440,1.01460300,0.32806820,8,1
0.35872510,0.90149490,0.27101660,0.35872510,0.90149490,0.27101660,0.35872510,0.90149490,0.27101660,0.37150290,0.91975060,0.28272260,0.38702490,0.93621710,0.29238010,0.40124370,0.95862690,0.31059180,0.39946750,0.98339190,0.33301420,0.38801190,0.95143960,0.35023520,0.38441180,0.97426990,0.37982650,0.38515750,0.99828210,0.37850120,0.36601040,0.95004390,0.35204270,0.35857120,0.98206140,0.37897880,0.35968080,1.00903700,0.37511550,0.34726440,0.95254980,0.34390480,0.34401400,0.98451600,0.36530560,0.35053700,1.00811600,0.35568540,0.33915500,0.92911670,0.29545610,0.33025390,0.95567860,0.33092020,0.33025830,0.98219380,0.34581620,0.33787730,0.99917830,0.33821280,0.38976590,1.00141200,0.34625420,0.38500280,1.01997600,0.37396060,0.36276190,1.03168200,0.36563290,0.36061840,1.01686900,0.33557720,0.34952150,1.01431800,0.32783330,8,1
0.35814600,0.90177010,0.27112930,0.35814600,0.90177010,0.27112930,0.35814600,0.90177010,0.27112930,0.37096320,0.92011700,0.28264840,0.38647380,0.93673960,0.29205350,0.40077980,0.95931770,0.30998690,0.39908010,0.98403500,0.33246780,0.38850410,0.95171790,0.34994160,0.38522830,0.97443650,0.37965640,0.38571970,0.99844040,0.37808500,0.36656020,0.95007740,0.35219050,0.35928650,0.98204890,0.37922640,0.36006150,1.00901700,0.37522920,0.34762640,0.95241230,0.34444610,0.34431320,0.98434410,0.36588870,0.35029240,1.00815800,0.35644350,0.33878300,0.92908290,0.29607590,0.33032220,0.95540800,0.33182310,0.33037570,0.98193930,0.34669040,0.33766780,0.99900100,0.33894090,0.38946210,1.00192400,0.34594410,0.38528630,1.02006500,0.37324170,0.36278700,1.03160000,0.36549330,0.35989660,1.01767800,0.33645070,0.34902980,1.01403600,0.32810700,8,1
0.35729320,0.90126170,0.27028720,0.35729320,0.90126170,0.27028720,0.35729320,0.90126170,0.27028720,0.36991580,0.91969220,0.28188720,0.38522660,0.93644420,0.29138970,0.39922300,0.95920290,0.30933900,0.39707740,0.98397470,0.33172170,0.38678980,0.95142890,0.34928700,0.38312730,0.97418490,0.37892790,0.38351730,0.99816420,0.37699360,0.36484120,0.94965390,0.35138300,0.35713000,0.98172900,0.37817390,0.35779800,1.00866600,0.37395470,0.34594810,0.95186860,0.34350520,0.34210880,0.98388060,0.36473950,0.34790260,1.00783600,0.35553860,0.33758770,0.92846480,0.29508500,0.32871450,0.95475200,0.33076010,0.32847850,0.98139300,0.34542810,0.33573880,0.99844320,0.33762340,0.38721680,1.00182100,0.34507920,0.38303850,1.01968500,0.37171270,0.36053640,1.03112800,0.36394630,0.35761040,1.01795400,0.33589300,0.34719990,1.01322300,0.32654490,8,1
0.35646720,0.90082310,0.26952690,0.35646720,0.90082310,0.26952690,0.35646720,0.90082310,0.26952690,0.36891320,0.91933580,0.28118660,0.38403760,0.93621700,0.29075880,0.39775420,0.95914600,0.30870720,0.39520030,0.98395360,0.33100720,0.38525240,0.95118490,0.34866520,0.38125940,0.97396140,0.37824750,0.38153940,0.99791220,0.37597070,0.36330600,0.94926710,0.35065470,0.35520330,0.98142000,0.37723580,0.35574560,1.00832800,0.37281940,0.34443730,0.95135830,0.34268500,0.34010980,0.98343350,0.36372920,0.34568850,1.00752400,0.35475180,0.33646490,0.92789840,0.29422660,0.32724740,0.95412890,0.32985610,0.32672290,0.98087660,0.34432110,0.33393310,0.99791380,0.33644210,0.38510130,1.00173700,0.34426950,0.38100160,1.01932600,0.37027750,0.35846830,1.03067900,0.36256150,0.35543610,1.01820500,0.33542620,0.34547120,1.01244300,0.32511480,8,1
0.35566240,0.90043910,0.26883090,0.35566240,0.90043910,0.26883090,0.35566240,0.90043910,0.26883090,0.36794540,0.91903310,0.28053420,0.38297480,0.93596630,0.29016380,0.39654230,0.95900820,0.30808110,0.39372940,0.98386210,0.33029810,0.38385340,0.95097610,0.34807130,0.37966100,0.97369310,0.37767190,0.37993200,0.99754920,0.37455510,0.36191420,0.94890930,0.34999040,0.35361480,0.98092840,0.37667230,0.35401140,1.00784900,0.37231610,0.34305730,0.95087460,0.34196100,0.33851840,0.98280740,0.36317660,0.34386370,1.00709400,0.35459460,0.33539840,0.92737250,0.29347250,0.32589000,0.95353170,0.32907800,0.32534740,0.98016640,0.34374920,0.33246030,0.99729930,0.33599000,0.38347120,1.00161800,0.34347500,0.37948590,1.01860300,0.36764160,0.35666390,1.03018200,0.36200160,0.35349570,1.01841300,0.33557640,0.34395070,1.01181400,0.32459620,8,1
0.35495720,0.89991030,0.26739230,0.35495720,0.89991030,0.26739230,0.35495720,0.89991030,0.26739230,0.36712930,0.91859140,0.27907260,0.38209970,0.93559110,0.28867690,0.39559380,0.95875350,0.30649410,0.39261840,0.98364340,0.32864950,0.38296030,0.95063010,0.34658250,0.37871340,0.97328450,0.37622320,0.37893480,0.99702310,0.37230770,0.36104180,0.94839930,0.34855320,0.35266140,0.98028550,0.37536870,0.35286810,1.00721600,0.37106310,0.34215170,0.95022670,0.34056950,0.33747110,0.98202740,0.36195220,0.34251870,1.00649700,0.35371550,0.33455210,0.92668410,0.29209140,0.32493440,0.95276020,0.32772840,0.32438960,0.97931110,0.34255050,0.33135470,0.99652800,0.33484320,0.38225020,1.00135500,0.34180000,0.37851800,1.01767000,0.36425640,0.35537740,1.02953200,0.36067490,0.35192360,1.01842900,0.33496090,0.34273670,1.01100900,0.32329810,8,1
0.35425730,0.89943090,0.26605950,0.35425730,0.89943090,0.26605950,0.35425730,0.89943090,0.26605950,0.36632300,0.91819770,0.27771280,0.38123380,0.93526780,0.28728490,0.39465590,0.95855090,0.30499880,0.39152090,0.98346910,0.32710040,0.38211540,0.95032160,0.34519130,0.37782720,0.97290990,0.37487640,0.37798610,0.99650740,0.37018210,0.36022040,0.94792390,0.34722710,0.35176520,0.97967760,0.37417580,0.35177500,1.00661700,0.36991910,0.34129290,0.94961230,0.33930150,0.33646450,0.98128610,0.36083890,0.34120620,1.00592700,0.35293730,0.33372510,0.92603710,0.29083420,0.32401810,0.95202170,0.32651380,0.32344900,0.97850560,0.34145440,0.33026170,0.99579760,0.33377930,0.38104000,1.00112700,0.34023390,0.37758200,1.01669500,0.36103980,0.35413110,1.02891400,0.35945590,0.35036830,1.01845900,0.33445550,0.34153330,1.01022700,0.32206320,8,1
0.35356240,0.89899080,0.26481130,0.35356240,0.89899080,0.26481130,0.35356240,0.89899080,0.26481130,0.36552500,0.91784210,0.27643450,0.38036960,0.93499100,0.28596860,0.39368720,0.95865440,0.30325210,0.38982850,0.98382000,0.32495540,0.38130850,0.95004300,0.34387840,0.37667710,0.97287440,0.37332500,0.37653910,0.99649740,0.36876020,0.35943980,0.94747630,0.34598960,0.35090200,0.97901580,0.37316290,0.35065730,1.00599200,0.36915220,0.34047210,0.94902470,0.33813180,0.33540240,0.98053880,0.35984730,0.33982450,1.00533800,0.35226220,0.33291440,0.92542310,0.28967570,0.32313440,0.95130980,0.32540660,0.32267540,0.97772600,0.34047030,0.32937350,0.99504260,0.33274960,0.37883080,1.00138800,0.33778240,0.37594110,1.01662900,0.35950640,0.35281280,1.02834300,0.35876130,0.34874440,1.01848000,0.33408820,0.34054490,1.00932000,0.32075430,8,1
0.35343630,0.89880270,0.26589550,0.35343630,0.89880270,0.26589550,0.35343630,0.89880270,0.26589550,0.36536280,0.91768070,0.27751240,0.38019750,0.93485550,0.28701550,0.39349340,0.95880500,0.30391730,0.38905680,0.98410890,0.32534750,0.38142220,0.94970180,0.34497670,0.37659440,0.97266050,0.37429260,0.37619850,0.99629840,0.36982100,0.35958560,0.94698920,0.34723160,0.35110910,0.97823910,0.37475640,0.35063970,1.00525900,0.37107260,0.34055330,0.94845060,0.33951440,0.33536940,0.97974070,0.36152500,0.33948130,1.00470700,0.35432430,0.33280010,0.92500200,0.29101510,0.32311190,0.95067920,0.32692160,0.32282520,0.97698530,0.34218110,0.32940020,0.99434490,0.33445120,0.37764130,1.00154100,0.33799390,0.37542360,1.01635600,0.36042120,0.35259160,1.02769000,0.36081480,0.34810460,1.01848700,0.33648300,0.34044300,1.00849900,0.32219320,8,1
