RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42398850,0.82801630,0.28521680,0.42398850,0.82801630,0.28521680,0.42398850,0.82801630,0.28521680,0.41883530,0.85265280,0.28546360,0.41553180,0.87648500,0.28031980,0.40791120,0.90775720,0.28041330,0.39870500,0.93441210,0.29841300,0.43954250,0.92083080,0.31298930,0.43051230,0.95219060,0.33155930,0.41344890,0.96779100,0.33822040,0.43959110,0.90906690,0.33172130,0.42368150,0.94218230,0.35308190,0.40502280,0.96019910,0.36151450,0.43062200,0.89533370,0.34416600,0.41323820,0.92304340,0.36466930,0.38993120,0.93519320,0.36355200,0.41665840,0.84805380,0.32110570,0.41824660,0.87998260,0.35305090,0.40180720,0.90182420,0.36637890,0.38440930,0.90994510,0.36040410,0.38974150,0.95189250,0.31284310,0.39661300,0.98062830,0.34478030,0.38504830,0.97412660,0.36590070,0.36905450,0.93917260,0.35211090,0.36811060,0.91681850,0.34776940,8,2
0.42259600,0.82783970,0.28572550,0.42259600,0.82783970,0.28572550,0.42259600,0.82783970,0.28572550,0.41736830,0.85246130,0.28587110,0.41398330,0.87625940,0.28062330,0.40618230,0.90748730,0.28056750,0.39692820,0.93436680,0.29820490,0.43792670,0.92082710,0.31304030,0.42879800,0.95221040,0.33152210,0.41160520,0.96770430,0.33809870,0.43805170,0.90914910,0.33182570,0.42202390,0.94223380,0.35314540,0.40326840,0.96016840,0.36153860,0.42915140,0.89544560,0.34435230,0.41171060,0.92311950,0.36485560,0.38837440,0.93521900,0.36380540,0.41528240,0.84801860,0.32153840,0.41684210,0.88009770,0.35333410,0.40024500,0.90190040,0.36652980,0.38281010,0.90987990,0.36047290,0.38793950,0.95210720,0.31229800,0.39463280,0.98041100,0.34456010,0.38319030,0.97396930,0.36585130,0.36743080,0.93921790,0.35249400,0.36648820,0.91660610,0.34778890,8,2
0.42125340,0.82767690,0.28625180,0.42125340,0.82767690,0.28625180,0.42125340,0.82767690,0.28625180,0.41595460,0.85228370,0.28629820,0.41249350,0.87604840,0.28094990,0.40451970,0.90723190,0.28074880,0.39521190,0.93432220,0.29803200,0.43636180,0.92082740,0.31313070,0.42713320,0.95223310,0.33152480,0.40981360,0.96762230,0.33801400,0.43655330,0.90923260,0.33196700,0.42040420,0.94228430,0.35324650,0.40155320,0.96013820,0.36159750,0.42771440,0.89555880,0.34456930,0.41020900,0.92319680,0.36506580,0.38684500,0.93524720,0.36407080,0.41394340,0.84799200,0.32198840,0.41546530,0.88021500,0.35363990,0.39870250,0.90197710,0.36669260,0.38123550,0.90981450,0.36054350,0.38619270,0.95230730,0.31179160,0.39270760,0.98020030,0.34437410,0.38137440,0.97381540,0.36583380,0.36584180,0.93926530,0.35287740,0.36489920,0.91639340,0.34780090,8,2
0.41995040,0.82752480,0.28679160,0.41995040,0.82752480,0.28679160,0.41995040,0.82752480,0.28679160,0.41458340,0.85211690,0.28674060,0.41102120,0.87585120,0.28132400,0.40276350,0.90695980,0.28100470,0.39326410,0.93406790,0.29815510,0.43483800,0.92083080,0.31325170,0.42566390,0.95235320,0.33147270,0.40829310,0.96772430,0.33786680,0.43508790,0.90931700,0.33213700,0.41880240,0.94237480,0.35330270,0.39993720,0.96021750,0.36164560,0.42630470,0.89567270,0.34481000,0.40869100,0.92330280,0.36522420,0.38528420,0.93526820,0.36420990,0.41263410,0.84797200,0.32245160,0.41411090,0.88033400,0.35396330,0.39734120,0.90208830,0.36701960,0.37984280,0.90987800,0.36089910,0.38412450,0.95208200,0.31179680,0.39114140,0.98027990,0.34414780,0.37976090,0.97388840,0.36591370,0.36424660,0.93922220,0.35305820,0.36347120,0.91637780,0.34816130,8,2
0.41950200,0.82728050,0.28645010,0.41950200,0.82728050,0.28645010,0.41950200,0.82728050,0.28645010,0.41415300,0.85187640,0.28637010,0.41063200,0.87562070,0.28097020,0.40219400,0.90668020,0.28060080,0.39240160,0.93375650,0.29763650,0.43419370,0.92055050,0.31314550,0.42497860,0.95212510,0.33125500,0.40753340,0.96749970,0.33743490,0.43424990,0.90901850,0.33202120,0.41769970,0.94202080,0.35306780,0.39878540,0.95986970,0.36128540,0.42533300,0.89536820,0.34459400,0.40747370,0.92293980,0.36487350,0.38407770,0.93490600,0.36364070,0.41184970,0.84769860,0.32205620,0.41303910,0.88002930,0.35361210,0.39617240,0.90176170,0.36657990,0.37873930,0.90958570,0.36031830,0.38304920,0.95177130,0.31113220,0.39030390,0.98005290,0.34350420,0.37860770,0.97357690,0.36542880,0.36314460,0.93893290,0.35231990,0.36250380,0.91611940,0.34742460,8,2
0.41900940,0.82705130,0.28619150,0.41900940,0.82705130,0.28619150,0.41900940,0.82705130,0.28619150,0.41367290,0.85164970,0.28607750,0.41018480,0.87540090,0.28068670,0.40156970,0.90641110,0.28025840,0.39150120,0.93346480,0.29716840,0.43350260,0.92029870,0.31307360,0.42424810,0.95192640,0.33107010,0.40673180,0.96730120,0.33704430,0.43338250,0.90875560,0.33194230,0.41657920,0.94170600,0.35286950,0.39761670,0.95955800,0.36096840,0.42434560,0.89510230,0.34442580,0.40625300,0.92261980,0.36457160,0.38286650,0.93458180,0.36313440,0.41104450,0.84745230,0.32173870,0.41196320,0.87976400,0.35332320,0.39499430,0.90147440,0.36619400,0.37762140,0.90931990,0.35979370,0.38194940,0.95148890,0.31051120,0.38942790,0.97984870,0.34291050,0.37743510,0.97329450,0.36499390,0.36202940,0.93867240,0.35166030,0.36151430,0.91587310,0.34674980,8,2
0.41848230,0.82683400,0.28599790,0.41848230,0.82683400,0.28599790,0.41848230,0.82683400,0.28599790,0.41315420,0.85143400,0.28584600,0.40959780,0.87519640,0.28055000,0.40091810,0.90619000,0.28024090,0.39079970,0.93334380,0.29695950,0.43277540,0.92006920,0.31302890,0.42348170,0.95176210,0.33088980,0.40598520,0.96721230,0.33672620,0.43249230,0.90852060,0.33189250,0.41552590,0.94153110,0.35259210,0.39659360,0.95946910,0.36057060,0.42334610,0.89486640,0.34429510,0.40509840,0.92245810,0.36419810,0.38170810,0.93437110,0.36245010,0.41022320,0.84722700,0.32148250,0.41088440,0.87952920,0.35308300,0.39389710,0.90127200,0.36587460,0.37658740,0.90912150,0.35930990,0.38120810,0.95153820,0.31004010,0.38872010,0.97986100,0.34248850,0.37649850,0.97334410,0.36455370,0.36099010,0.93836860,0.35073020,0.36065020,0.91558200,0.34601350,8,2
0.41789270,0.82620560,0.28533860,0.41789270,0.82620560,0.28533860,0.41789270,0.82620560,0.28533860,0.41249900,0.85079030,0.28507220,0.40884600,0.87454360,0.27980110,0.39999980,0.90549000,0.27948540,0.38960920,0.93272660,0.29589970,0.43148880,0.91951110,0.31248620,0.42192270,0.95126360,0.33009590,0.40434890,0.96673590,0.33563390,0.43093480,0.90798320,0.33135640,0.41354480,0.94101990,0.35165880,0.39452330,0.95898940,0.35934910,0.42162870,0.89431730,0.34362650,0.40298930,0.92194430,0.36311310,0.37957950,0.93373510,0.36086830,0.40900740,0.84661530,0.32066200,0.40907040,0.87895490,0.35223100,0.39188920,0.90069100,0.36477270,0.37467170,0.90847710,0.35789730,0.37981690,0.95106530,0.30862510,0.38703260,0.97943070,0.34113510,0.37443550,0.97293620,0.36311210,0.35906070,0.93756950,0.34875020,0.35899170,0.91477720,0.34422340,8,2
0.41728420,0.82561980,0.28476300,0.41728420,0.82561980,0.28476300,0.41728420,0.82561980,0.28476300,0.41183020,0.85018990,0.28438540,0.40808200,0.87393270,0.27913410,0.39906900,0.90483080,0.27880640,0.38842390,0.93214530,0.29492550,0.43022600,0.91899370,0.31199530,0.42041510,0.95080600,0.32936050,0.40277190,0.96629850,0.33461420,0.42941980,0.90748700,0.33086930,0.41163710,0.94054580,0.35079210,0.39253770,0.95854540,0.35821430,0.41996700,0.89381120,0.34301570,0.40096570,0.92146960,0.36210420,0.37754610,0.93314210,0.35939280,0.40781690,0.84604840,0.31992390,0.40732180,0.87842610,0.35145020,0.38995910,0.90015550,0.36375130,0.37283300,0.90787810,0.35658250,0.37844770,0.95061970,0.30730720,0.38540980,0.97903590,0.33986690,0.37246120,0.97256120,0.36177590,0.35722010,0.93682290,0.34690750,0.35740490,0.91401940,0.34255450,8,2
0.41666090,0.82506780,0.28425350,0.41666090,0.82506780,0.28425350,0.41666090,0.82506780,0.28425350,0.41115130,0.84962340,0.28376700,0.40726340,0.87335640,0.27857280,0.39827390,0.90426230,0.27835670,0.38754860,0.93158680,0.29440550,0.42898270,0.91850830,0.31154480,0.41893070,0.95039640,0.32863090,0.40126880,0.96595040,0.33363410,0.42793880,0.90702340,0.33042050,0.40983080,0.94010040,0.35001730,0.39072830,0.95817010,0.35725900,0.41834970,0.89333920,0.34244980,0.39919560,0.92109950,0.36123500,0.37583960,0.93285230,0.35832800,0.40664680,0.84551670,0.31925080,0.40562520,0.87793270,0.35072490,0.38823180,0.89971390,0.36289020,0.37117700,0.90748790,0.35560770,0.37750390,0.95007720,0.30670770,0.38393040,0.97879600,0.33869820,0.37073200,0.97232230,0.36073100,0.35559050,0.93664400,0.34575130,0.35590160,0.91360910,0.34140490,8,2
