RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42392430,0.84717600,0.23617770,0.42392430,0.84717600,0.23617770,0.42392430,0.84717600,0.23617770,0.41796710,0.87115540,0.24098140,0.41276740,0.89512210,0.24295870,0.40173780,0.92421970,0.25118740,0.38351200,0.94238570,0.27256590,0.42086390,0.92742240,0.29255970,0.40151010,0.95350970,0.31139340,0.38132430,0.96654440,0.31015640,0.41318830,0.91105750,0.30530950,0.38872870,0.93934800,0.32549360,0.36743290,0.95612750,0.32845960,0.40033130,0.89523430,0.30818060,0.37558310,0.91930760,0.32545500,0.35520640,0.93270780,0.31559060,0.40043910,0.85725910,0.26919330,0.38608680,0.87909850,0.30606480,0.36436640,0.89812360,0.31561550,0.35095280,0.90893940,0.30525060,0.36698540,0.94454040,0.29035260,0.36170010,0.97656460,0.30775600,0.34699480,0.96828550,0.32162870,0.34211570,0.93995750,0.29665260,0.34452270,0.91807320,0.28660250,8,0
0.42439340,0.84700830,0.23634040,0.42439340,0.84700830,0.23634040,0.42439340,0.84700830,0.23634040,0.41843370,0.87096900,0.24123370,0.41319110,0.89491800,0.24330970,0.40218100,0.92397240,0.25171530,0.38404930,0.94204250,0.27325460,0.42147170,0.92709240,0.29296010,0.40201430,0.95309540,0.31180350,0.38180220,0.96609840,0.31066450,0.41385650,0.91068490,0.30569160,0.38941320,0.93884420,0.32607790,0.36815380,0.95561450,0.32934180,0.40102340,0.89484290,0.30856470,0.37631970,0.91886400,0.32597500,0.35589770,0.93227450,0.31621900,0.40102060,0.85697810,0.26946990,0.38678480,0.87870100,0.30645540,0.36515300,0.89762710,0.31639590,0.35155040,0.90856390,0.30641140,0.36760720,0.94411690,0.29112880,0.36215990,0.97611490,0.30840010,0.34766000,0.96789600,0.32291010,0.34274290,0.93954720,0.29733430,0.34474030,0.91797180,0.28803650,8,0
0.42445720,0.84693490,0.23630340,0.42445720,0.84693490,0.23630340,0.42445720,0.84693490,0.23630340,0.41849760,0.87089810,0.24118430,0.41322940,0.89484180,0.24325490,0.40224770,0.92389520,0.25170090,0.38418040,0.94196380,0.27329560,0.42160950,0.92707250,0.29285080,0.40204080,0.95307720,0.31157660,0.38181380,0.96605830,0.31045310,0.41402370,0.91067470,0.30561200,0.38957740,0.93879930,0.32604250,0.36835580,0.95558170,0.32948630,0.40120170,0.89483060,0.30852400,0.37652560,0.91887940,0.32593520,0.35608160,0.93227570,0.31620570,0.40114130,0.85692810,0.26946600,0.38696520,0.87868150,0.30645630,0.36541020,0.89755670,0.31665710,0.35166080,0.90856960,0.30696160,0.36778890,0.94403460,0.29121660,0.36216460,0.97607550,0.30825400,0.34783020,0.96795930,0.32334720,0.34289400,0.93951170,0.29732970,0.34454710,0.91815800,0.28879610,8,0
0.42453210,0.84685840,0.23627560,0.42453210,0.84685840,0.23627560,0.42453210,0.84685840,0.23627560,0.41857420,0.87082390,0.24114740,0.41328840,0.89476420,0.24321330,0.40234350,0.92381980,0.25169930,0.38434240,0.94188790,0.27334950,0.42176340,0.92704240,0.29276130,0.40209530,0.95305040,0.31137780,0.38185620,0.96601430,0.31027450,0.41420600,0.91065280,0.30555000,0.38976120,0.93874700,0.32602420,0.36857790,0.95554180,0.32963890,0.40139420,0.89480730,0.30849860,0.37674940,0.91888460,0.32591490,0.35628360,0.93227140,0.31621820,0.40127390,0.85687210,0.26947240,0.38715880,0.87865220,0.30647040,0.36567940,0.89747730,0.31692010,0.35179530,0.90856090,0.30750100,0.36799990,0.94395450,0.29131590,0.36220210,0.97603680,0.30814420,0.34802560,0.96800930,0.32377730,0.34305920,0.93947780,0.29735670,0.34440190,0.91831640,0.28953730,8,0
0.42461860,0.84677760,0.23625510,0.42461860,0.84677760,0.23625510,0.42461860,0.84677760,0.23625510,0.41866370,0.87074510,0.24112040,0.41334360,0.89467740,0.24319140,0.40233220,0.92371190,0.25166370,0.38435290,0.94182300,0.27329600,0.42193520,0.92700250,0.29268680,0.40232100,0.95303610,0.31132440,0.38210700,0.96604940,0.31034980,0.41440590,0.91062050,0.30550170,0.38999220,0.93880160,0.32589340,0.36882570,0.95562080,0.32949280,0.40160370,0.89477390,0.30848600,0.37699890,0.91888800,0.32590780,0.35650360,0.93228650,0.31628980,0.40142010,0.85680990,0.26948800,0.38736870,0.87861360,0.30649640,0.36597230,0.89750610,0.31699460,0.35205110,0.90860050,0.30764310,0.36804340,0.94390340,0.29129060,0.36247100,0.97614000,0.30838020,0.34826680,0.96808990,0.32365800,0.34317170,0.93953310,0.29751960,0.34455240,0.91835210,0.28972100,8,0
0.42476000,0.84663250,0.23632750,0.42476000,0.84663250,0.23632750,0.42476000,0.84663250,0.23632750,0.41878470,0.87059910,0.24117260,0.41341990,0.89452220,0.24323470,0.40232010,0.92353400,0.25166920,0.38429890,0.94167480,0.27324180,0.42197180,0.92689060,0.29270690,0.40233900,0.95293940,0.31130380,0.38214550,0.96598910,0.31039400,0.41444180,0.91051150,0.30552520,0.38999030,0.93875980,0.32577820,0.36882500,0.95559350,0.32931610,0.40164750,0.89465820,0.30850770,0.37702490,0.91879700,0.32587000,0.35652180,0.93219950,0.31627420,0.40152470,0.85667000,0.26953310,0.38742520,0.87848720,0.30651520,0.36607100,0.89742650,0.31701510,0.35213030,0.90852950,0.30770300,0.36797190,0.94375830,0.29122020,0.36252840,0.97613540,0.30852380,0.34826960,0.96806090,0.32346510,0.34313550,0.93947960,0.29755580,0.34456830,0.91828450,0.28980930,8,0
0.42490210,0.84649220,0.23639650,0.42490210,0.84649220,0.23639650,0.42490210,0.84649220,0.23639650,0.41890940,0.87045790,0.24122430,0.41347960,0.89436600,0.24328950,0.40219560,0.92332970,0.25164480,0.38413350,0.94161230,0.27306280,0.42202960,0.92678000,0.29272930,0.40239730,0.95282950,0.31132560,0.38223180,0.96592970,0.31052480,0.41450100,0.91040360,0.30555190,0.38998770,0.93864520,0.32573920,0.36882250,0.95547560,0.32929380,0.40171420,0.89454440,0.30853490,0.37705590,0.91873930,0.32576800,0.35656140,0.93211190,0.31611240,0.40163920,0.85653430,0.26958140,0.38750270,0.87836380,0.30654220,0.36614770,0.89735790,0.31694090,0.35221900,0.90844020,0.30758650,0.36778320,0.94383070,0.29100380,0.36263630,0.97613990,0.30878060,0.34826000,0.96796700,0.32351950,0.34321390,0.93931320,0.29733590,0.34463360,0.91817130,0.28968970,8,0
0.42528740,0.84625400,0.23661590,0.42528740,0.84625400,0.23661590,0.42528740,0.84625400,0.23661590,0.41925570,0.87022720,0.24135700,0.41374500,0.89412250,0.24335490,0.40225890,0.92305360,0.25154640,0.38412930,0.94151880,0.27274970,0.42223040,0.92672200,0.29268120,0.40256010,0.95280840,0.31118540,0.38241180,0.96593820,0.31043720,0.41470670,0.91037750,0.30554730,0.39009690,0.93864740,0.32557710,0.36891720,0.95546820,0.32909040,0.40193730,0.89451090,0.30856510,0.37721440,0.91878770,0.32558900,0.35672470,0.93208940,0.31582590,0.40196620,0.85637330,0.26973650,0.38775040,0.87830450,0.30660640,0.36637410,0.89735980,0.31684820,0.35245160,0.90838790,0.30742060,0.36774130,0.94390490,0.29063470,0.36283110,0.97618990,0.30877200,0.34834230,0.96795350,0.32334720,0.34342180,0.93915280,0.29696550,0.34484350,0.91804590,0.28949390,8,0
0.42565490,0.84602610,0.23682180,0.42565490,0.84602610,0.23682180,0.42565490,0.84602610,0.23682180,0.41958820,0.87000600,0.24148380,0.41400350,0.89388920,0.24342040,0.40233190,0.92278810,0.25146150,0.38414360,0.94142410,0.27246420,0.42243530,0.92665910,0.29264050,0.40273000,0.95277970,0.31105900,0.38259830,0.96593760,0.31036230,0.41491760,0.91034410,0.30554740,0.39022100,0.93863870,0.32543510,0.36902950,0.95545120,0.32891630,0.40216460,0.89447080,0.30859900,0.37738490,0.91882370,0.32543060,0.35689870,0.93205980,0.31557140,0.40228430,0.85621620,0.26988570,0.38800010,0.87824090,0.30667340,0.36660680,0.89735100,0.31677680,0.35268740,0.90833040,0.30728820,0.36772210,0.94396770,0.29029670,0.36303190,0.97622900,0.30877470,0.34844240,0.96793340,0.32321010,0.34363500,0.93899510,0.29663600,0.34505170,0.91792450,0.28933890,8,0
0.42600830,0.84580660,0.23701690,0.42600830,0.84580660,0.23701690,0.42600830,0.84580660,0.23701690,0.41990960,0.86979250,0.24160570,0.41423100,0.89365730,0.24349590,0.40246530,0.92252930,0.25149630,0.38431250,0.94132550,0.27238660,0.42264330,0.92659240,0.29260550,0.40289630,0.95274000,0.31094090,0.38278100,0.96592590,0.31030260,0.41513230,0.91030510,0.30555120,0.39039240,0.93864240,0.32532380,0.36921810,0.95547180,0.32882870,0.40239480,0.89442560,0.30863550,0.37757850,0.91882880,0.32534000,0.35707950,0.93203490,0.31546740,0.40259490,0.85606260,0.27003010,0.38825080,0.87817410,0.30674240,0.36682050,0.89729840,0.31673990,0.35290270,0.90822950,0.30719320,0.36790120,0.94401680,0.29020680,0.36323060,0.97626140,0.30880700,0.34862320,0.96798770,0.32322540,0.34382410,0.93888800,0.29649620,0.34529710,0.91774130,0.28918740,8,0
