RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.34941330,0.77184210,0.26448290,0.34941330,0.77184210,0.26448290,0.34941330,0.77184210,0.26448290,0.34648380,0.79687150,0.26200690,0.34009130,0.82058500,0.25893770,0.32309300,0.84813770,0.25831850,0.30090830,0.85900280,0.28117590,0.35813690,0.86535810,0.29484810,0.36345020,0.90073010,0.30698680,0.36646290,0.92339860,0.31491890,0.34908470,0.85445410,0.31200390,0.34911390,0.89241810,0.33166210,0.34907000,0.91666370,0.34450510,0.33451170,0.84180610,0.31953110,0.31890650,0.87145360,0.33917300,0.30798380,0.89161150,0.35239210,0.32853180,0.79409800,0.29334150,0.31830880,0.82756540,0.32236580,0.29893440,0.85028110,0.31568100,0.29180820,0.84999190,0.29675150,0.28534750,0.85908980,0.30012640,0.37161440,0.94234530,0.32548580,0.35298690,0.93612930,0.35951500,0.30053200,0.91018090,0.36614770,0.29856020,0.83869090,0.27929010,2,1
0.34947280,0.77201470,0.26400670,0.34947280,0.77201470,0.26400670,0.34947280,0.77201470,0.26400670,0.34649000,0.79704000,0.26155220,0.34000000,0.82073410,0.25853820,0.32285400,0.84819660,0.25798820,0.30064870,0.85957410,0.28057460,0.35808240,0.86552890,0.29440990,0.36346440,0.90084800,0.30667210,0.36653160,0.92347870,0.31469070,0.34908790,0.85459730,0.31157850,0.34905190,0.89252900,0.33129900,0.34896700,0.91675320,0.34418200,0.33455540,0.84191670,0.31912930,0.31885530,0.87156620,0.33869260,0.30786840,0.89172400,0.35185860,0.32861060,0.79421320,0.29292350,0.31838580,0.82764350,0.32199000,0.29889370,0.85028420,0.31539360,0.29176830,0.85001780,0.29646350,0.28502290,0.86001000,0.29946670,0.37174300,0.94237110,0.32532510,0.35285920,0.93620430,0.35921700,0.30035730,0.91030560,0.36556540,0.29862220,0.83877410,0.27900490,2,1
0.34953680,0.77216680,0.26358380,0.34953680,0.77216680,0.26358380,0.34953680,0.77216680,0.26358380,0.34652180,0.79719000,0.26114810,0.33995510,0.82086920,0.25818360,0.32269300,0.84826000,0.25769340,0.30046500,0.86015650,0.27998820,0.35807480,0.86567270,0.29403270,0.36352650,0.90094030,0.30641160,0.36664810,0.92353450,0.31451170,0.34911430,0.85472020,0.31120570,0.34902180,0.89261780,0.33099140,0.34890100,0.91681970,0.34391620,0.33460580,0.84201820,0.31876680,0.31881600,0.87167300,0.33824950,0.30776830,0.89183330,0.35136070,0.32868440,0.79432350,0.29253960,0.31845650,0.82772430,0.32163880,0.29887630,0.85030290,0.31509070,0.29177390,0.85004560,0.29615190,0.28477030,0.86092810,0.29881240,0.37191440,0.94237490,0.32521120,0.35276850,0.93625230,0.35898150,0.30019990,0.91042720,0.36501920,0.29874010,0.83883510,0.27871640,2,1
0.34960450,0.77230250,0.26320330,0.34960450,0.77230250,0.26320330,0.34960450,0.77230250,0.26320330,0.34657370,0.79732540,0.26078410,0.33993320,0.82099060,0.25787240,0.32259590,0.84833520,0.25746680,0.30036380,0.86090430,0.27938540,0.35810400,0.86579530,0.29370350,0.36351130,0.90110920,0.30596900,0.36658490,0.92374030,0.31398420,0.34915880,0.85482730,0.31087460,0.34924780,0.89278980,0.33053550,0.34924370,0.91703440,0.34338060,0.33466170,0.84211240,0.31843570,0.31887890,0.87171640,0.33800120,0.30783600,0.89184220,0.35116920,0.32875440,0.79442980,0.29218320,0.31852210,0.82780740,0.32130760,0.29890340,0.85037120,0.31482440,0.29170800,0.85025380,0.29591930,0.28446130,0.86240180,0.29799010,0.37180770,0.94263540,0.32460820,0.35321720,0.93650310,0.35837150,0.30027370,0.91040220,0.36487710,0.29858500,0.83916410,0.27837140,2,1
0.34968910,0.77236810,0.26288900,0.34968910,0.77236810,0.26288900,0.34968910,0.77236810,0.26288900,0.34676700,0.79740440,0.26047530,0.34017900,0.82108400,0.25756150,0.32288000,0.84845150,0.25706710,0.30046230,0.86171000,0.27838200,0.35816290,0.86578660,0.29362310,0.36352760,0.90110830,0.30588480,0.36655510,0.92375190,0.31388220,0.34899530,0.85482250,0.31067900,0.34916430,0.89281920,0.33027320,0.34920870,0.91708650,0.34307520,0.33437500,0.84214420,0.31806230,0.31848350,0.87174300,0.33754760,0.30736820,0.89186670,0.35065780,0.32859740,0.79452070,0.29167410,0.31815820,0.82788830,0.32073640,0.29866260,0.85051450,0.31410090,0.29160710,0.85055800,0.29514280,0.28419390,0.86389370,0.29659850,0.37169170,0.94266460,0.32451710,0.35317870,0.93655500,0.35806740,0.29972250,0.91041160,0.36433990,0.29857710,0.83955910,0.27757450,2,1
0.34977420,0.77242830,0.26259920,0.34977420,0.77242830,0.26259920,0.34977420,0.77242830,0.26259920,0.34695990,0.79747760,0.26019160,0.34042580,0.82117190,0.25727600,0.32316950,0.84856470,0.25669800,0.30060340,0.86246620,0.27743900,0.35824060,0.86577490,0.29355300,0.36357610,0.90110040,0.30581670,0.36656870,0.92375310,0.31380120,0.34886200,0.85481750,0.31049810,0.34910630,0.89284100,0.33003930,0.34919640,0.91712630,0.34280690,0.33412470,0.84217740,0.31771260,0.31813280,0.87177600,0.33711580,0.30695060,0.89190080,0.35016720,0.32846110,0.79461050,0.29119790,0.31783430,0.82797170,0.32019950,0.29846040,0.85065750,0.31341270,0.29154490,0.85084420,0.29440400,0.28402330,0.86526970,0.29528570,0.37163130,0.94267840,0.32444920,0.35316200,0.93659090,0.35780530,0.29922710,0.91043440,0.36382100,0.29861270,0.83992080,0.27682770,2,1
0.34985790,0.77248350,0.26233310,0.34985790,0.77248350,0.26233310,0.34985790,0.77248350,0.26233310,0.34714820,0.79754490,0.25993210,0.34068640,0.82125750,0.25700420,0.32343460,0.84864990,0.25629080,0.30069300,0.86281010,0.27666180,0.35832960,0.86576130,0.29349190,0.36382090,0.90104770,0.30579920,0.36692890,0.92367230,0.31381950,0.34875290,0.85481240,0.31033130,0.34919370,0.89285420,0.32983340,0.34940730,0.91715210,0.34257560,0.33390590,0.84221100,0.31738690,0.31799130,0.87192610,0.33667530,0.30686270,0.89213230,0.34964660,0.32834300,0.79469760,0.29075530,0.31754620,0.82805530,0.31969810,0.29837840,0.85084680,0.31268410,0.29161450,0.85103140,0.29362090,0.28388400,0.86588610,0.29424780,0.37206160,0.94254780,0.32452200,0.35343930,0.93659840,0.35758000,0.29917750,0.91072330,0.36324380,0.29873340,0.84002750,0.27611560,2,1
0.35038160,0.77244870,0.26261220,0.35038160,0.77244870,0.26261220,0.35038160,0.77244870,0.26261220,0.34791250,0.79753650,0.26022710,0.34165980,0.82129750,0.25723750,0.32454140,0.84876260,0.25618690,0.30139850,0.86327490,0.27584560,0.35875360,0.86556580,0.29427480,0.36433920,0.90076880,0.30677720,0.36751910,0.92333840,0.31492320,0.34868600,0.85463490,0.31083730,0.34916680,0.89265380,0.33038320,0.34939970,0.91693760,0.34315180,0.33357930,0.84212020,0.31748380,0.31755520,0.87196680,0.33647620,0.30635540,0.89226590,0.34923950,0.32833290,0.79473090,0.29056820,0.31706610,0.82807680,0.31934510,0.29830240,0.85105650,0.31186770,0.29198170,0.85130510,0.29265370,0.28412110,0.86668300,0.29290860,0.37262160,0.94212720,0.32579140,0.35333990,0.93632130,0.35826120,0.29856740,0.91091260,0.36270120,0.29937770,0.84022970,0.27530910,2,1
0.35086480,0.77241940,0.26285410,0.35086480,0.77241940,0.26285410,0.35086480,0.77241940,0.26285410,0.34862210,0.79753040,0.26048910,0.34256400,0.82133520,0.25744860,0.32557770,0.84886880,0.25609100,0.30209490,0.86375310,0.27505620,0.35914650,0.86538530,0.29498120,0.36482190,0.90050830,0.30766690,0.36806920,0.92302520,0.31593100,0.34862880,0.85447650,0.31127650,0.34915870,0.89247230,0.33086600,0.34941720,0.91674200,0.34366090,0.33328910,0.84204720,0.31753850,0.31717420,0.87201650,0.33625890,0.30591600,0.89240230,0.34883120,0.32833570,0.79477270,0.29036680,0.31664230,0.82811270,0.31897980,0.29826790,0.85126540,0.31108120,0.29236090,0.85157320,0.29173690,0.28439970,0.86750680,0.29161100,0.37314190,0.94173320,0.32695160,0.35327690,0.93606650,0.35886650,0.29803800,0.91110080,0.36216810,0.30000950,0.84042870,0.27454690,2,1
0.35130020,0.77239510,0.26306160,0.35130020,0.77239510,0.26306160,0.35130020,0.77239510,0.26306160,0.34926400,0.79752580,0.26071940,0.34332410,0.82135870,0.25766520,0.32645700,0.84895590,0.25612600,0.30269920,0.86393370,0.27467050,0.35949950,0.86522310,0.29560600,0.36505580,0.90023420,0.30864860,0.36823060,0.92267740,0.31713840,0.34857980,0.85433870,0.31165120,0.34896300,0.89214730,0.33160310,0.34912200,0.91629530,0.34462770,0.33303670,0.84199030,0.31756190,0.31688180,0.87198030,0.33621460,0.30559900,0.89238390,0.34873590,0.32834880,0.79481880,0.29016510,0.31627680,0.82815750,0.31862180,0.29831080,0.85155010,0.31049390,0.29277040,0.85190300,0.29104210,0.28474630,0.86761890,0.29096110,0.37315460,0.94128250,0.32839800,0.35279890,0.93545150,0.36008950,0.29766800,0.91106440,0.36206650,0.30062360,0.84065100,0.27401500,2,1
0.35169900,0.77280790,0.26311830,0.35169900,0.77280790,0.26311830,0.35169900,0.77280790,0.26311830,0.34976130,0.79793730,0.26068060,0.34383470,0.82176100,0.25753050,0.32698030,0.84935450,0.25579770,0.30306830,0.86450180,0.27400310,0.35977210,0.86570610,0.29549340,0.36520990,0.90070130,0.30862820,0.36831360,0.92313190,0.31717730,0.34863220,0.85489830,0.31143870,0.34892000,0.89264580,0.33150740,0.34901480,0.91675440,0.34460550,0.33298540,0.84261010,0.31719950,0.31684040,0.87267150,0.33574560,0.30556580,0.89312530,0.34819220,0.32849060,0.79537310,0.28988330,0.31617530,0.82882700,0.31809960,0.29846260,0.85233870,0.30976190,0.29312200,0.85260920,0.29025310,0.28497620,0.86821010,0.29013380,0.37312620,0.94171820,0.32851590,0.35258160,0.93585130,0.36016610,0.29762700,0.91183730,0.36147380,0.30107250,0.84118810,0.27338450,2,1
0.35208020,0.77318230,0.26316930,0.35208020,0.77318230,0.26316930,0.35208020,0.77318230,0.26316930,0.35024610,0.79831130,0.26064830,0.34441860,0.82214280,0.25737530,0.32768090,0.84979120,0.25540270,0.30365830,0.86533060,0.27312580,0.36004550,0.86613510,0.29541420,0.36534870,0.90113630,0.30858790,0.36836860,0.92356940,0.31716040,0.34868560,0.85539900,0.31125240,0.34892230,0.89308130,0.33144400,0.34898150,0.91714770,0.34461970,0.33293530,0.84317100,0.31685700,0.31673220,0.87328870,0.33526050,0.30541970,0.89378210,0.34760710,0.32862380,0.79588090,0.28960320,0.31607480,0.82943960,0.31759120,0.29860940,0.85318900,0.30940710,0.29326120,0.85373620,0.28990610,0.28536780,0.86935450,0.28895410,0.37304820,0.94216560,0.32853860,0.35246260,0.93617890,0.36027990,0.29742760,0.91251990,0.36082040,0.30105070,0.84244930,0.27287280,2,1
0.35238110,0.77271950,0.26348290,0.35238110,0.77271950,0.26348290,0.35238110,0.77271950,0.26348290,0.35062270,0.79785420,0.26096560,0.34486130,0.82169970,0.25767650,0.32821060,0.84939620,0.25564500,0.30418010,0.86525430,0.27307290,0.36037830,0.86563470,0.29582810,0.36561440,0.90060680,0.30910550,0.36859430,0.92301950,0.31774530,0.34889840,0.85491720,0.31159220,0.34918300,0.89248340,0.33199850,0.34927130,0.91647430,0.34531080,0.33308560,0.84272420,0.31709590,0.31691290,0.87283810,0.33553230,0.30562200,0.89333060,0.34790020,0.32882240,0.79545990,0.28978970,0.31618790,0.82903320,0.31772170,0.29890670,0.85302300,0.30985400,0.29344950,0.85389470,0.29039510,0.28578780,0.86953440,0.28871490,0.37320260,0.94159530,0.32918550,0.35274870,0.93540240,0.36109640,0.29764170,0.91205300,0.36114230,0.30100140,0.84279720,0.27313190,2,1
0.35267650,0.77229780,0.26377150,0.35267650,0.77229780,0.26377150,0.35267650,0.77229780,0.26377150,0.35099900,0.79743840,0.26125840,0.34530750,0.82129840,0.25795260,0.32874610,0.84904370,0.25585630,0.30470940,0.86522980,0.27297100,0.36070390,0.86517260,0.29622480,0.36587630,0.90011500,0.30960540,0.36881810,0.92250690,0.31831180,0.34909520,0.85447530,0.31190810,0.34942510,0.89192680,0.33252330,0.34954080,0.91584350,0.34596850,0.33321600,0.84231970,0.31730230,0.31706900,0.87243310,0.33576190,0.30579620,0.89292690,0.34814440,0.32900740,0.79508290,0.28994010,0.31627950,0.82867190,0.31781080,0.29919130,0.85289590,0.31024480,0.29364280,0.85409000,0.29082890,0.28621190,0.86977670,0.28841250,0.37335460,0.94106200,0.32981400,0.35301040,0.93466930,0.36187750,0.29782380,0.91163580,0.36141030,0.30097180,0.84318510,0.27334830,2,1
0.35296760,0.77190850,0.26404050,0.35296760,0.77190850,0.26404050,0.35296760,0.77190850,0.26404050,0.35137500,0.79705520,0.26153230,0.34579360,0.82093650,0.25819330,0.32935100,0.84874390,0.25598720,0.30527510,0.86514150,0.27284350,0.36102350,0.86474080,0.29660820,0.36621280,0.89961000,0.31017170,0.36916710,0.92195460,0.31899480,0.34927940,0.85406490,0.31220500,0.34950000,0.89139170,0.33304660,0.34954380,0.91522720,0.34663580,0.33333100,0.84194880,0.31748280,0.31697520,0.87201110,0.33584180,0.30555890,0.89247140,0.34814760,0.32918200,0.79474090,0.29006190,0.31635480,0.82834630,0.31786700,0.29945770,0.85275160,0.31045580,0.29389290,0.85416400,0.29105920,0.28669740,0.86972930,0.28817620,0.37369260,0.94043820,0.33061610,0.35291670,0.93395280,0.36268320,0.29743610,0.91114910,0.36136640,0.30105670,0.84340620,0.27341970,2,1
0.35315840,0.77176260,0.26468580,0.35315840,0.77176260,0.26468580,0.35315840,0.77176260,0.26468580,0.35165680,0.79691180,0.26214620,0.34618860,0.82081060,0.25874590,0.32987140,0.84868120,0.25641140,0.30579730,0.86536090,0.27299130,0.36132090,0.86459970,0.29721330,0.36655720,0.89941280,0.31090240,0.36954360,0.92172100,0.31980630,0.34945860,0.85397420,0.31275500,0.34961350,0.89120130,0.33377500,0.34961360,0.91497180,0.34747740,0.33344440,0.84191200,0.31795630,0.31691650,0.87195380,0.33619420,0.30537870,0.89240280,0.34840510,0.32930070,0.79469170,0.29055560,0.31642460,0.82836200,0.31825960,0.29972530,0.85295190,0.31101230,0.29410850,0.85457370,0.29164710,0.28716040,0.87004950,0.28822130,0.37407760,0.94014900,0.33151210,0.35291920,0.93361540,0.36363400,0.29712790,0.91107180,0.36155670,0.30106260,0.84395040,0.27384300,2,1
0.35335430,0.77161880,0.26528640,0.35335430,0.77161880,0.26528640,0.35335430,0.77161880,0.26528640,0.35194610,0.79677060,0.26271940,0.34659170,0.82068690,0.25926140,0.33040030,0.84861990,0.25679920,0.30632900,0.86558290,0.27309320,0.36161600,0.86445470,0.29779220,0.36689360,0.89921120,0.31160870,0.36990830,0.92148280,0.32059430,0.34962980,0.85387820,0.31327200,0.34971710,0.89100580,0.33446750,0.34967220,0.91471170,0.34828130,0.33354780,0.84186980,0.31838830,0.31685360,0.87189290,0.33650530,0.30519710,0.89233250,0.34861900,0.32941730,0.79464200,0.29099900,0.31648430,0.82837330,0.31860200,0.29998590,0.85314310,0.31150910,0.29433190,0.85497370,0.29217330,0.28762660,0.87038250,0.28820790,0.37444400,0.93985680,0.33238410,0.35290770,0.93327310,0.36454640,0.29682030,0.91099360,0.36170180,0.30109230,0.84448880,0.27421320,2,1
