RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.38632580,0.80671500,0.24252900,0.38632580,0.80671500,0.24252900,0.38632580,0.80671500,0.24252900,0.38748630,0.83117770,0.23609360,0.38533070,0.85455300,0.22824720,0.37163140,0.88200870,0.21790370,0.34660310,0.90281870,0.22645890,0.39831640,0.90277950,0.26179660,0.40999290,0.93709190,0.27243020,0.41613600,0.95982960,0.27800810,0.38349680,0.89561230,0.27676880,0.39087530,0.93296910,0.29620440,0.39489860,0.95735870,0.30811040,0.36588530,0.88566110,0.28122050,0.35261860,0.92053540,0.29199460,0.34292360,0.94439490,0.29808700,0.36129940,0.83506310,0.26081140,0.34782580,0.87353060,0.28095360,0.33837370,0.89812150,0.26539730,0.33154590,0.90369570,0.24719010,0.32651320,0.91507480,0.23334770,0.42033680,0.98100440,0.28358980,0.39922230,0.97840830,0.32067080,0.33496170,0.96677150,0.30313380,0.32629080,0.91091100,0.22722700,2,2
0.38599910,0.80678140,0.24280460,0.38599910,0.80678140,0.24280460,0.38599910,0.80678140,0.24280460,0.38706840,0.83125790,0.23640640,0.38481740,0.85463820,0.22860170,0.37094980,0.88201500,0.21827330,0.34584910,0.90274630,0.22680750,0.39769460,0.90285490,0.26220770,0.40904520,0.93727140,0.27285800,0.41494340,0.96008000,0.27841070,0.38292030,0.89561440,0.27718940,0.39012150,0.93303470,0.29656910,0.39401500,0.95747160,0.30842120,0.36534860,0.88559710,0.28165000,0.35197540,0.92043050,0.29242450,0.34219590,0.94426230,0.29849080,0.36090360,0.83501630,0.26116710,0.34732960,0.87340640,0.28138940,0.33788350,0.89804610,0.26590680,0.33102240,0.90357680,0.24769890,0.32573970,0.91503850,0.23357400,0.41890050,0.98131350,0.28394740,0.39821690,0.97858510,0.32091560,0.33412620,0.96662270,0.30343670,0.32573050,0.91074870,0.22772990,2,2
0.38568310,0.80685140,0.24306550,0.38568310,0.80685140,0.24306550,0.38568310,0.80685140,0.24306550,0.38667080,0.83134000,0.23670010,0.38429230,0.85472350,0.22894300,0.37027330,0.88205500,0.21869970,0.34516900,0.90279840,0.22719400,0.39711130,0.90293280,0.26258870,0.40815330,0.93743220,0.27329510,0.41379700,0.96031200,0.27881940,0.38237660,0.89562680,0.27757780,0.38930550,0.93308030,0.29699270,0.39300870,0.95754370,0.30885110,0.36484060,0.88555030,0.28204510,0.35135630,0.92032460,0.29287210,0.34147730,0.94412070,0.29891720,0.36052410,0.83498490,0.26149700,0.34685810,0.87330560,0.28178870,0.33739590,0.89796190,0.26634250,0.33051170,0.90342020,0.24812150,0.32507840,0.91519230,0.23382960,0.41748450,0.98161280,0.28428320,0.39704120,0.97869140,0.32134350,0.33328380,0.96645840,0.30376110,0.32520360,0.91047060,0.22811350,2,2
0.38514390,0.80725050,0.24344190,0.38514390,0.80725050,0.24344190,0.38514390,0.80725050,0.24344190,0.38602840,0.83173100,0.23703060,0.38350070,0.85509100,0.22924980,0.36930450,0.88233690,0.21902240,0.34419410,0.90310210,0.22744510,0.39627410,0.90340700,0.26276630,0.40700640,0.93802460,0.27340580,0.41239280,0.96099190,0.27882300,0.38160190,0.89607510,0.27780390,0.38826430,0.93362210,0.29713110,0.39177950,0.95814890,0.30891570,0.36411300,0.88594370,0.28233150,0.35050900,0.92068520,0.29311420,0.34052370,0.94445810,0.29907530,0.35992860,0.83532650,0.26188390,0.34617400,0.87363420,0.28214030,0.33666060,0.89824670,0.26665570,0.32972810,0.90356590,0.24841190,0.32412270,0.91560160,0.23393910,0.41580840,0.98237430,0.28414300,0.39564630,0.97937050,0.32133490,0.33219920,0.96678190,0.30375690,0.32437490,0.91042540,0.22834970,2,2
0.38462940,0.80762640,0.24379930,0.38462940,0.80762640,0.24379930,0.38462940,0.80762640,0.24379930,0.38541900,0.83209900,0.23734580,0.38275320,0.85543660,0.22954380,0.36839410,0.88260280,0.21933170,0.34327730,0.90338790,0.22768620,0.39548230,0.90385100,0.26294140,0.40592460,0.93857560,0.27352080,0.41106920,0.96162140,0.27883850,0.38086690,0.89649540,0.27802260,0.38727730,0.93412640,0.29727160,0.39061440,0.95871030,0.30898880,0.36342140,0.88631370,0.28260460,0.34970380,0.92102400,0.29334360,0.33961790,0.94477460,0.29922380,0.35936080,0.83564920,0.26224940,0.34552300,0.87394460,0.28247230,0.33596410,0.89851340,0.26694630,0.32898910,0.90369880,0.24868010,0.32322360,0.91598460,0.23404560,0.41422870,0.98307610,0.28402380,0.39432310,0.97999950,0.32134020,0.33116920,0.96708370,0.30375050,0.32359670,0.91037580,0.22856690,2,2
0.38413450,0.80798400,0.24414160,0.38413450,0.80798400,0.24414160,0.38413450,0.80798400,0.24414160,0.38483570,0.83244900,0.23764890,0.38207270,0.85576580,0.22981880,0.36765550,0.88291870,0.21965300,0.34248530,0.90357400,0.22816670,0.39472650,0.90427120,0.26311440,0.40504630,0.93900350,0.27378840,0.41009660,0.96205870,0.27915570,0.38016330,0.89689370,0.27823530,0.38647130,0.93451040,0.29754620,0.38971260,0.95910430,0.30926900,0.36275840,0.88666510,0.28286700,0.34887060,0.92128710,0.29367240,0.33865550,0.94497740,0.29957260,0.35881530,0.83595690,0.26259780,0.34489820,0.87424050,0.28278880,0.33528770,0.89881220,0.26729920,0.32830060,0.90379240,0.24898070,0.32238470,0.91598400,0.23474130,0.41315470,0.98352110,0.28436940,0.39334190,0.98040500,0.32162450,0.33005560,0.96724080,0.30403920,0.32291870,0.91013260,0.22875600,2,2
0.38334250,0.80830040,0.24427120,0.38334250,0.80830040,0.24427120,0.38334250,0.80830040,0.24427120,0.38397710,0.83274560,0.23769740,0.38113970,0.85602830,0.22979270,0.36669190,0.88315260,0.21959450,0.34146180,0.90370970,0.22816860,0.39366620,0.90467890,0.26292580,0.40384580,0.93943810,0.27364660,0.40879110,0.96251340,0.27902510,0.37912130,0.89731140,0.27806930,0.38529420,0.93494820,0.29738450,0.38842040,0.95957300,0.30907390,0.36174400,0.88705030,0.28273260,0.34767570,0.92160840,0.29350880,0.33732700,0.94525250,0.29936100,0.35794360,0.83626440,0.26263120,0.34391810,0.87457630,0.28269320,0.33429790,0.89912240,0.26716930,0.32733930,0.90386400,0.24877680,0.32131150,0.91596840,0.23487390,0.41173630,0.98399470,0.28422650,0.39194810,0.98090740,0.32140050,0.32857380,0.96748050,0.30370480,0.32201360,0.90983030,0.22842380,2,2
0.38258750,0.80860780,0.24440760,0.38258750,0.80860780,0.24440760,0.38258750,0.80860780,0.24440760,0.38315810,0.83303410,0.23775840,0.38024840,0.85628420,0.22978460,0.36576890,0.88338090,0.21955780,0.34048360,0.90384690,0.22818720,0.39265470,0.90507050,0.26276500,0.40269650,0.93985650,0.27352840,0.40753770,0.96295210,0.27891460,0.37812780,0.89771150,0.27792990,0.38416950,0.93536690,0.29725040,0.38718440,0.96002020,0.30890880,0.36077730,0.88741890,0.28262340,0.34653710,0.92191510,0.29337200,0.33606110,0.94551460,0.29917780,0.35711300,0.83656120,0.26267880,0.34298440,0.87489770,0.28262100,0.33335490,0.89941880,0.26706320,0.32642280,0.90393500,0.24860410,0.32028960,0.91596880,0.23500870,0.41037070,0.98445220,0.28410060,0.39061340,0.98138650,0.32120780,0.32716160,0.96770730,0.30340340,0.32115070,0.90954780,0.22813700,2,2
0.38186190,0.80890780,0.24454960,0.38186190,0.80890780,0.24454960,0.38186190,0.80890780,0.24454960,0.38237060,0.83331600,0.23782910,0.37942400,0.85653600,0.22978150,0.36498940,0.88365200,0.21954210,0.33968130,0.90405790,0.22824640,0.39168160,0.90544900,0.26262610,0.40185300,0.94017340,0.27346680,0.40679800,0.96322950,0.27892720,0.37717260,0.89809720,0.27781160,0.38312770,0.93579040,0.29708510,0.38605730,0.96048620,0.30867520,0.35984810,0.88777410,0.28253410,0.34560410,0.92228370,0.29323460,0.33516150,0.94588190,0.29910550,0.35631490,0.83684930,0.26273770,0.34208720,0.87520760,0.28256710,0.33242060,0.89976600,0.26709150,0.32549100,0.90421730,0.24861560,0.31945430,0.91602540,0.23524070,0.40973120,0.98469830,0.28418690,0.38940300,0.98190740,0.32090150,0.32628980,0.96807440,0.30338970,0.32024790,0.90964930,0.22809230,2,2
0.38131560,0.80900580,0.24484630,0.38131560,0.80900580,0.24484630,0.38131560,0.80900580,0.24484630,0.38173140,0.83340190,0.23807550,0.37871830,0.85659330,0.22997010,0.36429320,0.88371090,0.21972200,0.33891640,0.90400650,0.22848410,0.39070680,0.90562470,0.26273420,0.40092380,0.94029690,0.27369840,0.40591660,0.96331910,0.27925740,0.37620800,0.89824390,0.27791540,0.38198580,0.93596770,0.29718300,0.38477230,0.96070010,0.30873040,0.35892050,0.88785820,0.28263610,0.34459510,0.92234580,0.29329880,0.33413370,0.94591900,0.29923630,0.35562730,0.83687790,0.26294140,0.34121230,0.87521760,0.28267140,0.33149160,0.89980780,0.26728040,0.32458240,0.90419140,0.24878080,0.31862960,0.91578180,0.23562940,0.40889590,0.98475880,0.28460900,0.38798140,0.98217020,0.32090750,0.32524000,0.96809200,0.30357580,0.31938800,0.90944400,0.22819850,2,2
