RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32521370,0.82286960,0.24449690,0.32521370,0.82286960,0.24449690,0.32521370,0.82286960,0.24449690,0.31429860,0.82918930,0.26645380,0.30598350,0.83248640,0.28953210,0.30234650,0.83819360,0.32119710,0.32239690,0.84957390,0.34571510,0.30064470,0.88627490,0.31604780,0.28925090,0.91060130,0.34260270,0.28227240,0.92541220,0.36042940,0.32248660,0.88915670,0.31291970,0.31905550,0.92463910,0.33651920,0.31710030,0.94747670,0.35159950,0.34157090,0.88126020,0.31135720,0.35036430,0.91110070,0.33460630,0.35646130,0.93121960,0.35068270,0.34755620,0.84033870,0.27547790,0.35902520,0.86842940,0.30933600,0.35863030,0.87269970,0.33962890,0.34973470,0.85509160,0.34410260,0.34352770,0.85590170,0.35642590,0.27749010,0.94222660,0.37427060,0.31661460,0.97079370,0.36029600,0.36136630,0.95150240,0.36309710,0.33821490,0.83850640,0.33571060,2,0
0.32548930,0.82251920,0.24433590,0.32548930,0.82251920,0.24433590,0.32548930,0.82251920,0.24433590,0.31459620,0.82877900,0.26632090,0.30631210,0.83201830,0.28941840,0.30273680,0.83758900,0.32111480,0.32291950,0.84890300,0.34555490,0.30091720,0.88574840,0.31604130,0.28955580,0.91005670,0.34262680,0.28260020,0.92486590,0.36046380,0.32274930,0.88867440,0.31288570,0.31924480,0.92410530,0.33655170,0.31724220,0.94691060,0.35167470,0.34184500,0.88081430,0.31127980,0.35058160,0.91069220,0.33450250,0.35664070,0.93083680,0.35056080,0.34784790,0.83997010,0.27531560,0.35931870,0.86801800,0.30920840,0.35898850,0.87208540,0.33953000,0.35010850,0.85445850,0.34396030,0.34413640,0.85521360,0.35610440,0.27783190,0.94167390,0.37431760,0.31670390,0.97021130,0.36041170,0.36150340,0.95114020,0.36295840,0.33855550,0.83789390,0.33557320,2,0
0.32574130,0.82218780,0.24419220,0.32574130,0.82218780,0.24419220,0.32574130,0.82218780,0.24419220,0.31486880,0.82839240,0.26620300,0.30661540,0.83157830,0.28931900,0.30309930,0.83702740,0.32104310,0.32339200,0.84828650,0.34541740,0.30116580,0.88525500,0.31603900,0.28983340,0.90954740,0.34265140,0.28289830,0.92435540,0.36049740,0.32298850,0.88822230,0.31285770,0.31941790,0.92360570,0.33658490,0.31737280,0.94638120,0.35174700,0.34209490,0.88039650,0.31121180,0.35078370,0.91030670,0.33441070,0.35681100,0.93047370,0.35045290,0.34811460,0.83962310,0.27517000,0.35958670,0.86763260,0.30909420,0.35931660,0.87150830,0.33944150,0.35045140,0.85386440,0.34383370,0.34468080,0.85458680,0.35582720,0.27814210,0.94115780,0.37436220,0.31678660,0.96966660,0.36052150,0.36163740,0.95079480,0.36283560,0.33886650,0.83731720,0.33545640,2,0
0.32597480,0.82187140,0.24406210,0.32597480,0.82187140,0.24406210,0.32597480,0.82187140,0.24406210,0.31512180,0.82802440,0.26609690,0.30695290,0.83114940,0.28925120,0.30354510,0.83654980,0.32099550,0.32400800,0.84781520,0.34522410,0.30139540,0.88478730,0.31604010,0.29018180,0.90900620,0.34276940,0.28332580,0.92375960,0.36069110,0.32320930,0.88779390,0.31283470,0.31963080,0.92313510,0.33662350,0.31758040,0.94588390,0.35182490,0.34232570,0.88000070,0.31115120,0.35091710,0.90996050,0.33432240,0.35687880,0.93016200,0.35034580,0.34836170,0.83929330,0.27503760,0.35983480,0.86726760,0.30899050,0.35957810,0.87136080,0.33930940,0.35080500,0.85372320,0.34390730,0.34538400,0.85413300,0.35544300,0.27863320,0.94052590,0.37462120,0.31697610,0.96915020,0.36064850,0.36163880,0.95051010,0.36270970,0.33927810,0.83704220,0.33571750,2,0
0.32619980,0.82147190,0.24412710,0.32619980,0.82147190,0.24412710,0.32619980,0.82147190,0.24412710,0.31526450,0.82763070,0.26611960,0.30705510,0.83074170,0.28926150,0.30358970,0.83612140,0.32100300,0.32411380,0.84731450,0.34521340,0.30147040,0.88437630,0.31606380,0.29031600,0.90858580,0.34282640,0.28349300,0.92332570,0.36077170,0.32330680,0.88732580,0.31296010,0.31973320,0.92265100,0.33677340,0.31768640,0.94538890,0.35199160,0.34240900,0.87948130,0.31135420,0.35090770,0.90945890,0.33453660,0.35680470,0.92967250,0.35056850,0.34849490,0.83879720,0.27522270,0.35989210,0.86670200,0.30925830,0.35949200,0.87098800,0.33954890,0.35069940,0.85339680,0.34428500,0.34553590,0.85356250,0.35537820,0.27885050,0.94008410,0.37472800,0.31711260,0.96864310,0.36084910,0.36152060,0.95002990,0.36293410,0.33919750,0.83664440,0.33620640,2,0
0.32642150,0.82107340,0.24418610,0.32642150,0.82107340,0.24418610,0.32642150,0.82107340,0.24418610,0.31541030,0.82723510,0.26613990,0.30716530,0.83033030,0.28927120,0.30364890,0.83568700,0.32101100,0.32422880,0.84681250,0.34520530,0.30155040,0.88395950,0.31608990,0.29045130,0.90815820,0.34288530,0.28365920,0.92288440,0.36085360,0.32340680,0.88685790,0.31308030,0.31983510,0.92216590,0.33691930,0.31778990,0.94489210,0.35215510,0.34249580,0.87896750,0.31154480,0.35090880,0.90896180,0.33473690,0.35674580,0.92918710,0.35077620,0.34863040,0.83830850,0.27539340,0.35995570,0.86614690,0.30950720,0.35942590,0.87060400,0.33977120,0.35061420,0.85305730,0.34463520,0.34569360,0.85299710,0.35531870,0.27906310,0.93963430,0.37483530,0.31724250,0.96813420,0.36104620,0.36142070,0.94955310,0.36314290,0.33913200,0.83623990,0.33666430,2,0
0.32662860,0.82069860,0.24423840,0.32662860,0.82069860,0.24423840,0.32662860,0.82069860,0.24423840,0.31554970,0.82686140,0.26615780,0.30731840,0.82993140,0.28929730,0.30380730,0.83529430,0.32103670,0.32453930,0.84638430,0.34511700,0.30162890,0.88356360,0.31611600,0.29054010,0.90773080,0.34294410,0.28375040,0.92242910,0.36093620,0.32350250,0.88641730,0.31319040,0.31982570,0.92170500,0.33704340,0.31771350,0.94441820,0.35228960,0.34257980,0.87848680,0.31171730,0.35089750,0.90843800,0.33499910,0.35666820,0.92863350,0.35109980,0.34875940,0.83785240,0.27554600,0.36001900,0.86563010,0.30973080,0.35948420,0.87009840,0.33999300,0.35061140,0.85261130,0.34495960,0.34598730,0.85252900,0.35529030,0.27917290,0.93916690,0.37493850,0.31710970,0.96760200,0.36132800,0.36129630,0.94897650,0.36352220,0.33904510,0.83578390,0.33713280,2,0
0.32683870,0.82051320,0.24446850,0.32683870,0.82051320,0.24446850,0.32683870,0.82051320,0.24446850,0.31568450,0.82668970,0.26634580,0.30744620,0.82974520,0.28948470,0.30391530,0.83511330,0.32122110,0.32477600,0.84613870,0.34521980,0.30173470,0.88338510,0.31630380,0.29066440,0.90753650,0.34315360,0.28388090,0.92221730,0.36116230,0.32363050,0.88616850,0.31347700,0.31988470,0.92144050,0.33734260,0.31772880,0.94414310,0.35259850,0.34268740,0.87817570,0.31207890,0.35093450,0.90807770,0.33544890,0.35665540,0.92823920,0.35161000,0.34888930,0.83755930,0.27589110,0.36009200,0.86526270,0.31015490,0.35952490,0.86974290,0.34041480,0.35057000,0.85232200,0.34546600,0.34620980,0.85221620,0.35546310,0.27933080,0.93894910,0.37518080,0.31709670,0.96727430,0.36176870,0.36125530,0.94855550,0.36408630,0.33891480,0.83550090,0.33775850,2,0
0.32704090,0.82032190,0.24467780,0.32704090,0.82032190,0.24467780,0.32704090,0.82032190,0.24467780,0.31581720,0.82650970,0.26651640,0.30745650,0.82957430,0.28961020,0.30376270,0.83492390,0.32133110,0.32458320,0.84584590,0.34541190,0.30183800,0.88319550,0.31647690,0.29078490,0.90721260,0.34345410,0.28400780,0.92175850,0.36157440,0.32375330,0.88591530,0.31374150,0.31985600,0.92116910,0.33760970,0.31760320,0.94386000,0.35286890,0.34279130,0.87786590,0.31241200,0.35090090,0.90767510,0.33594820,0.35652620,0.92777230,0.35222240,0.34901600,0.83726830,0.27620710,0.36016430,0.86490210,0.31054480,0.35943200,0.86935250,0.34080550,0.35042280,0.85194730,0.34581400,0.34597900,0.85182990,0.35578870,0.27947530,0.93838970,0.37571770,0.31689570,0.96694160,0.36215780,0.36105690,0.94803880,0.36480460,0.33878230,0.83514860,0.33803530,2,0
0.32712100,0.82002600,0.24433530,0.32712100,0.82002600,0.24433530,0.32712100,0.82002600,0.24433530,0.31580640,0.82626130,0.26611340,0.30730570,0.82937400,0.28914960,0.30342400,0.83476080,0.32084170,0.32418080,0.84563030,0.34500110,0.30173540,0.88302350,0.31596140,0.29066730,0.90695600,0.34300740,0.28387530,0.92140170,0.36120200,0.32367130,0.88568130,0.31333230,0.31959700,0.92095950,0.33713480,0.31723110,0.94366600,0.35235370,0.34269360,0.87757900,0.31210310,0.35063730,0.90734410,0.33575140,0.35614740,0.92741080,0.35210250,0.34898620,0.83693670,0.27596010,0.36004010,0.86456630,0.31033170,0.35911590,0.86904560,0.34058290,0.35005360,0.85166380,0.34557700,0.34552960,0.85154730,0.35551240,0.27934210,0.93795920,0.37543140,0.31643580,0.96671630,0.36171280,0.36059230,0.94765360,0.36475320,0.33843910,0.83486780,0.33775420,2,0
0.32720540,0.81973430,0.24402180,0.32720540,0.81973430,0.24402180,0.32720540,0.81973430,0.24402180,0.31580580,0.82601230,0.26574320,0.30717450,0.82916830,0.28872490,0.30311750,0.83458800,0.32038940,0.32381710,0.84540610,0.34462090,0.30164850,0.88284200,0.31548970,0.29056890,0.90668800,0.34260740,0.28376410,0.92103300,0.36087680,0.32360310,0.88544230,0.31296080,0.31935790,0.92074160,0.33670200,0.31688280,0.94346150,0.35188340,0.34261020,0.87729070,0.31182500,0.35039090,0.90701320,0.33558080,0.35578820,0.92705050,0.35200550,0.34896670,0.83660940,0.27573700,0.35993130,0.86423280,0.31014220,0.35882520,0.86874000,0.34038320,0.34971480,0.85138050,0.34536700,0.34512220,0.85125950,0.35525560,0.27923130,0.93751540,0.37519310,0.31600060,0.96648090,0.36131110,0.36014830,0.94727030,0.36472220,0.33812620,0.83458430,0.33750630,2,0
0.32729300,0.81944580,0.24373090,0.32729300,0.81944580,0.24373090,0.32729300,0.81944580,0.24373090,0.31581310,0.82576290,0.26539870,0.30712920,0.82894300,0.28835720,0.30299850,0.83439250,0.32000710,0.32359250,0.84519470,0.34433540,0.30157380,0.88265330,0.31505230,0.29057650,0.90646720,0.34223160,0.28381800,0.92073230,0.36058060,0.32354550,0.88519940,0.31261880,0.31926670,0.92052120,0.33632050,0.31677050,0.94325500,0.35147760,0.34253770,0.87700150,0.31157090,0.35024160,0.90677250,0.33529100,0.35558500,0.92684320,0.35169240,0.34895510,0.83628560,0.27553280,0.35983470,0.86390100,0.30997130,0.35870430,0.86845680,0.34020410,0.34951510,0.85115600,0.34524690,0.34482060,0.85102800,0.35513410,0.27934050,0.93715300,0.37498500,0.31586140,0.96621920,0.36103590,0.35991010,0.94708880,0.36438020,0.33784910,0.83437170,0.33747540,2,0
