RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.02913211,0.85082810,0.27252100,0.02913211,0.85082810,0.27252100,0.02913211,0.85082810,0.27252100,0.01685911,0.86872990,0.25947950,0.00364393,0.88448800,0.24570790,-0.02322594,0.89756950,0.23324350,-0.04902368,0.90886350,0.25167140,0.00244788,0.94399230,0.25376530,-0.00945156,0.97899560,0.26150700,-0.01756370,1.00122000,0.26661600,-0.00135913,0.94107510,0.27549450,-0.01305340,0.98212830,0.27785910,-0.02207204,1.00802200,0.27885940,-0.00984801,0.93013810,0.29089990,-0.02317503,0.96646420,0.29423280,-0.03256939,0.99110440,0.29646870,0.00208582,0.87670730,0.29157200,-0.01935589,0.91503170,0.30334020,-0.03461078,0.94154270,0.30405160,-0.04528834,0.95859220,0.30617130,-0.06618135,0.91383930,0.26846800,-0.02207957,1.02173200,0.27410320,-0.02598386,1.03230000,0.28270560,-0.03832821,1.01454100,0.29914240,-0.05393565,0.97856800,0.30826830,2,3
0.03008316,0.85084140,0.27262580,0.03008316,0.85084140,0.27262580,0.03008316,0.85084140,0.27262580,0.01780950,0.86868130,0.25950030,0.00459817,0.88437530,0.24565190,-0.02218284,0.89759240,0.23313950,-0.04797140,0.90916710,0.25140540,0.00346297,0.94392410,0.25338090,-0.00843321,0.97896790,0.26094230,-0.01667812,1.00118300,0.26587860,-0.00031694,0.94113340,0.27513130,-0.01206693,0.98215700,0.27772310,-0.02114438,1.00802400,0.27886340,-0.00879516,0.93029180,0.29060990,-0.02200744,0.96668260,0.29368460,-0.03132400,0.99136750,0.29574560,0.00308807,0.87685410,0.29156740,-0.01830046,0.91526510,0.30314840,-0.03359498,0.94175330,0.30385990,-0.04429379,0.95878930,0.30598160,-0.06513621,0.91434170,0.26813450,-0.02136192,1.02172000,0.27319100,-0.02511425,1.03227700,0.28281090,-0.03700836,1.01484100,0.29825030,-0.05296776,0.97875440,0.30806940,2,3
0.03036898,0.85098490,0.27256390,0.03036898,0.85098490,0.27256390,0.03036898,0.85098490,0.27256390,0.01824845,0.86885290,0.25933480,0.00519352,0.88457950,0.24537560,-0.02137753,0.89805270,0.23268990,-0.04722252,0.90995050,0.25066610,0.00432294,0.94415270,0.25294870,-0.00746548,0.97925630,0.26040040,-0.01576814,1.00147800,0.26520840,0.00042962,0.94144050,0.27468910,-0.01120756,0.98247920,0.27753670,-0.02023270,1.00835700,0.27882600,-0.00817541,0.93068500,0.29015770,-0.02113669,0.96718340,0.29301710,-0.03028286,0.99194380,0.29493030,0.00342418,0.87718890,0.29131250,-0.01781598,0.91574190,0.30269290,-0.03303383,0.94227460,0.30339050,-0.04368899,0.95933940,0.30550010,-0.06447120,0.91533980,0.26724050,-0.02056095,1.02203100,0.27240420,-0.02417672,1.03259200,0.28290920,-0.03580800,1.01546800,0.29731030,-0.05231136,0.97932710,0.30758490,2,3
0.03073398,0.85112010,0.27253380,0.03073398,0.85112010,0.27253380,0.03073398,0.85112010,0.27253380,0.01874964,0.86900760,0.25920730,0.00583685,0.88475780,0.24514290,-0.02054405,0.89845340,0.23229940,-0.04643635,0.91066130,0.24999750,0.00521393,0.94435480,0.25254890,-0.00647241,0.97951030,0.25991640,-0.01482993,1.00173500,0.26461490,0.00122673,0.94172560,0.27428250,-0.01030602,0.98277630,0.27737190,-0.01928326,1.00866400,0.27880310,-0.00748785,0.93105760,0.28975040,-0.02020768,0.96765610,0.29240630,-0.02918993,0.99248680,0.29418000,0.00384735,0.87750950,0.29110490,-0.01724740,0.91619830,0.30229320,-0.03239258,0.94277280,0.30298240,-0.04300526,0.95986500,0.30508400,-0.06375545,0.91625860,0.26642890,-0.01972278,1.02230000,0.27170880,-0.02320537,1.03288100,0.28301100,-0.03456172,1.01605800,0.29644030,-0.05157786,0.97987430,0.30716740,2,3
0.03116100,0.85124860,0.27252880,0.03116100,0.85124860,0.27252880,0.03116100,0.85124860,0.27252880,0.01929935,0.86914880,0.25910980,0.00645665,0.88490830,0.24499180,-0.01984861,0.89869500,0.23209070,-0.04577606,0.91113920,0.24957140,0.00612860,0.94453570,0.25217470,-0.00536868,0.97975840,0.25951880,-0.01371743,1.00200000,0.26415090,0.00206297,0.94199280,0.27390400,-0.00940302,0.98306490,0.27695760,-0.01835760,1.00896200,0.27835170,-0.00674755,0.93141320,0.28937830,-0.01949723,0.96800820,0.29193840,-0.02849965,0.99283620,0.29364610,0.00433858,0.87781850,0.29093480,-0.01661324,0.91663800,0.30193730,-0.03174682,0.94322340,0.30243470,-0.04235990,0.96033060,0.30440860,-0.06319604,0.91693500,0.26582630,-0.01859645,1.02258400,0.27119870,-0.02230787,1.03318300,0.28251140,-0.03389221,1.01640800,0.29585260,-0.05093172,0.98035360,0.30635920,2,3
0.03208119,0.85117460,0.27220900,0.03208119,0.85117460,0.27220900,0.03208119,0.85117460,0.27220900,0.02010609,0.86902970,0.25883080,0.00709838,0.88473860,0.24480780,-0.01934217,0.89853540,0.23219740,-0.04507116,0.91120800,0.24980680,0.00704015,0.94441000,0.25162970,-0.00423746,0.97968970,0.25903980,-0.01255508,1.00194100,0.26368100,0.00322510,0.94199840,0.27341930,-0.00820705,0.98307610,0.27652380,-0.01716686,1.00896900,0.27796200,-0.00542815,0.93152740,0.28905530,-0.01822156,0.96810710,0.29161620,-0.02725398,0.99292390,0.29332880,0.00554350,0.87791430,0.29078100,-0.01518124,0.91684740,0.30181240,-0.03034522,0.94341570,0.30229440,-0.04096070,0.96052160,0.30426700,-0.06235604,0.91720420,0.26613310,-0.01736099,1.02254900,0.27070850,-0.02112805,1.03319400,0.28208400,-0.03266820,1.01649400,0.29550160,-0.04953983,0.98054560,0.30617470,2,3
0.03300273,0.85111320,0.27193290,0.03300273,0.85111320,0.27193290,0.03300273,0.85111320,0.27193290,0.02092625,0.86892490,0.25858790,0.00777163,0.88458590,0.24464860,-0.01878449,0.89839880,0.23230140,-0.04433148,0.91130000,0.25000950,0.00796795,0.94429710,0.25111450,-0.00309908,0.97963080,0.25858500,-0.01138996,1.00189100,0.26323440,0.00438506,0.94201470,0.27295740,-0.00700996,0.98309840,0.27611880,-0.01597191,1.00898800,0.27760440,-0.00412272,0.93165140,0.28874430,-0.01694769,0.96822070,0.29129610,-0.02600176,0.99302970,0.29300630,0.00673521,0.87802110,0.29064550,-0.01377205,0.91706620,0.30168760,-0.02896345,0.94361910,0.30215570,-0.03958049,0.96072410,0.30412730,-0.06149219,0.91749360,0.26639300,-0.01613107,1.02252100,0.27024200,-0.01994392,1.03321700,0.28169600,-0.03143067,1.01660000,0.29514180,-0.04816616,0.98074910,0.30599490,2,3
0.03397711,0.85106080,0.27168490,0.03397711,0.85106080,0.27168490,0.03397711,0.85106080,0.27168490,0.02180525,0.86882790,0.25836730,0.00850231,0.88443980,0.24451390,-0.01816259,0.89827900,0.23243350,-0.04341538,0.91132150,0.25045740,0.00896349,0.94419040,0.25059980,-0.00191773,0.97957030,0.25812510,-0.01009203,1.00186300,0.26282500,0.00560781,0.94204230,0.27249240,-0.00567829,0.98314490,0.27579490,-0.01455468,1.00905700,0.27740300,-0.00275799,0.93179200,0.28842820,-0.01553228,0.96837930,0.29097550,-0.02455218,0.99320070,0.29268660,0.00798049,0.87814470,0.29052140,-0.01230654,0.91730650,0.30155700,-0.02762333,0.94378970,0.30186210,-0.03830931,0.96086290,0.30373420,-0.06030667,0.91762050,0.26707890,-0.01462501,1.02252700,0.26986930,-0.01833520,1.03329900,0.28159220,-0.02994312,1.01678200,0.29478750,-0.04697930,0.98086450,0.30545690,2,3
0.03600507,0.85097040,0.27154670,0.03600507,0.85097040,0.27154670,0.03600507,0.85097040,0.27154670,0.02375960,0.86872290,0.25827710,0.01034788,0.88431430,0.24450570,-0.01639106,0.89813480,0.23256850,-0.04156434,0.91109510,0.25076200,0.01074004,0.94406490,0.25060620,-0.00017898,0.97938990,0.25833110,-0.00838674,1.00164300,0.26315840,0.00744936,0.94189210,0.27250620,-0.00394658,0.98293790,0.27612420,-0.01287471,1.00881700,0.27794880,-0.00085106,0.93161160,0.28845680,-0.01376449,0.96814070,0.29113440,-0.02287883,0.99292140,0.29293510,0.01000446,0.87798520,0.29047690,-0.01033321,0.91709580,0.30160010,-0.02589228,0.94343830,0.30181580,-0.03673529,0.96041850,0.30362960,-0.05835984,0.91732280,0.26750710,-0.01287743,1.02227200,0.27033180,-0.01662512,1.03302700,0.28235180,-0.02835800,1.01647600,0.29511090,-0.04558956,0.98034500,0.30528470,2,3
0.03792427,0.85089060,0.27142360,0.03792427,0.85089060,0.27142360,0.03792427,0.85089060,0.27142360,0.02561032,0.86862650,0.25819540,0.01209734,0.88419580,0.24449810,-0.01470967,0.89800160,0.23269720,-0.03980424,0.91090740,0.25103760,0.01244330,0.94394890,0.25058460,0.00150364,0.97922820,0.25848740,-0.00673202,1.00144600,0.26342670,0.00922079,0.94176450,0.27249350,-0.00226528,0.98275910,0.27639510,-0.01123554,1.00861000,0.27841480,0.00098448,0.93146570,0.28846550,-0.01204799,0.96794430,0.29125270,-0.02124316,0.99268940,0.29312890,0.01193483,0.87785690,0.29043820,-0.00843479,0.91693060,0.30163260,-0.02421019,0.94314450,0.30176630,-0.03519267,0.96004050,0.30352700,-0.05650875,0.91708680,0.26789120,-0.01118067,1.02204500,0.27071190,-0.01495597,1.03278900,0.28300550,-0.02679762,1.01622100,0.29536570,-0.04421115,0.97989840,0.30511860,2,3
