RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.41009570,1.02971500,0.29753140,0.41009570,1.02971500,0.29753140,0.41009570,1.02971500,0.29753140,0.39461510,1.04576700,0.30851770,0.37170900,1.05199700,0.31371200,0.34457950,1.06846200,0.31557620,0.32023620,1.09080000,0.31522470,0.35537000,1.10965000,0.30014100,0.36060980,1.12241400,0.33456230,0.36486150,1.09905200,0.33546610,0.37477240,1.11621500,0.29254420,0.37814410,1.12611600,0.33319210,0.38189360,1.09955900,0.33569200,0.39501760,1.11697900,0.29429100,0.39581940,1.12080000,0.33221940,0.39648020,1.09496100,0.33486650,0.41974180,1.06968200,0.30069860,0.41549830,1.11410200,0.29963170,0.41079420,1.11385800,0.32929710,0.41048400,1.09404300,0.33059590,0.29910810,1.10232000,0.31589600,0.36426970,1.08447500,0.31914520,0.37937910,1.08296800,0.31792730,0.39420020,1.08135900,0.31542300,0.40909840,1.08207900,0.31282360,5,5
0.41054760,1.02867400,0.29613770,0.41054760,1.02867400,0.29613770,0.41054760,1.02867400,0.29613770,0.39501070,1.04464500,0.30716260,0.37212870,1.05094000,0.31238370,0.34506430,1.06749500,0.31439390,0.32084180,1.08996700,0.31424840,0.35584590,1.10861400,0.29907310,0.36092420,1.12101500,0.33365060,0.36512930,1.09763800,0.33435510,0.37529550,1.11523000,0.29164300,0.37848120,1.12459200,0.33243340,0.38214990,1.09799400,0.33458620,0.39553050,1.11596900,0.29351440,0.39613350,1.11934700,0.33148840,0.39667520,1.09346900,0.33375160,0.42019410,1.06860900,0.29968400,0.41597820,1.11303800,0.29895120,0.41108500,1.11270500,0.32858520,0.41068390,1.09288300,0.32973370,0.29978180,1.10160200,0.31504280,0.36461650,1.08318400,0.31792300,0.37970620,1.08160000,0.31663020,0.39444880,1.08014600,0.31411000,0.40936060,1.08107100,0.31185480,5,5
0.41078340,1.02780800,0.29437920,0.41078340,1.02780800,0.29437920,0.41078340,1.02780800,0.29437920,0.39510960,1.04379300,0.30518800,0.37221810,1.05010700,0.31034430,0.34512390,1.06662700,0.31224230,0.32089250,1.08908700,0.31194490,0.35565900,1.10748700,0.29635020,0.36053080,1.12014200,0.33086560,0.36482290,1.09678700,0.33176520,0.37511160,1.11413900,0.28896020,0.37808840,1.12367800,0.32972560,0.38183120,1.09709800,0.33198750,0.39533280,1.11499900,0.29092600,0.39574830,1.11857100,0.32888480,0.39632700,1.09269800,0.33120180,0.42020730,1.06782100,0.29762800,0.41576770,1.11222100,0.29648990,0.41071470,1.11224000,0.32609890,0.41034270,1.09242800,0.32741890,0.29983390,1.10072900,0.31268220,0.36445870,1.08217500,0.31546900,0.37954040,1.08057600,0.31412920,0.39421830,1.07930000,0.31159840,0.40913610,1.08046500,0.30963270,5,5
0.41104510,1.02693600,0.29267180,0.41104510,1.02693600,0.29267180,0.41104510,1.02693600,0.29267180,0.39524330,1.04292700,0.30328310,0.37234390,1.04926100,0.30837970,0.34522520,1.06575100,0.31018280,0.32099260,1.08820800,0.30975750,0.35553660,1.10636500,0.29377290,0.36020820,1.11923900,0.32823480,0.36457790,1.09590600,0.32930850,0.37499370,1.11305300,0.28642780,0.37776770,1.12273300,0.32717420,0.38157500,1.09617100,0.32952620,0.39520080,1.11402400,0.28848540,0.39543350,1.11774600,0.32643130,0.39604370,1.09187800,0.32877810,0.42026420,1.06701700,0.29566440,0.41562090,1.11138500,0.29416960,0.41041200,1.11170900,0.32374980,0.41006520,1.09190600,0.32521360,0.29993970,1.09986300,0.31044920,0.36435530,1.08115400,0.31313640,0.37943100,1.07953300,0.31175710,0.39404830,1.07841700,0.30920520,0.40897010,1.07981300,0.30750840,5,5
0.41132730,1.02605800,0.29100400,0.41132730,1.02605800,0.29100400,0.41132730,1.02605800,0.29100400,0.39540450,1.04205000,0.30143250,0.37249210,1.04839200,0.30646010,0.34534650,1.06485100,0.30813600,0.32107120,1.08725800,0.30753330,0.35546500,1.10524500,0.29130830,0.35992580,1.11830900,0.32572690,0.36440290,1.09500200,0.32692490,0.37492740,1.11197100,0.28401150,0.37749110,1.12189900,0.32471190,0.38131650,1.09536500,0.32733430,0.39511990,1.11304500,0.28615910,0.39513780,1.11717400,0.32406350,0.39581610,1.09132000,0.32654450,0.42035530,1.06619900,0.29377210,0.41552400,1.11053400,0.29195820,0.41011780,1.11154500,0.32148740,0.40974810,1.09177000,0.32328190,0.30000720,1.09889700,0.30813750,0.36432730,1.08015900,0.31083490,0.37929060,1.07855200,0.30971590,0.39396130,1.07776200,0.30702510,0.40876150,1.07939600,0.30576510,5,5
0.41137060,1.02504000,0.29067790,0.41137060,1.02504000,0.29067790,0.41137060,1.02504000,0.29067790,0.39548970,1.04109700,0.30107020,0.37264050,1.04751600,0.30628390,0.34552780,1.06401300,0.30811430,0.32126010,1.08642900,0.30756890,0.35534650,1.10411400,0.29064110,0.36003920,1.11745200,0.32492320,0.36457990,1.09416500,0.32626050,0.37474200,1.11081000,0.28314170,0.37760480,1.12108300,0.32373640,0.38142200,1.09457600,0.32664250,0.39494710,1.11194500,0.28513370,0.39521600,1.11655100,0.32298220,0.39592960,1.09071600,0.32564740,0.42033440,1.06522300,0.29300420,0.41539750,1.10953000,0.29080910,0.41015420,1.11128100,0.32033310,0.40974290,1.09154400,0.32250000,0.30022240,1.09810900,0.30830880,0.36442340,1.07918400,0.31029930,0.37926840,1.07755100,0.30924590,0.39394840,1.07701300,0.30624170,0.40862750,1.07885900,0.30521550,5,5
0.41144740,1.02403800,0.29026830,0.41144740,1.02403800,0.29026830,0.41144740,1.02403800,0.29026830,0.39559710,1.04015000,0.30062100,0.37280730,1.04664400,0.30599950,0.34572770,1.06317900,0.30797030,0.32147250,1.08561000,0.30747850,0.35526030,1.10299400,0.28990280,0.36014790,1.11658000,0.32406040,0.36474880,1.09331300,0.32552470,0.37459560,1.10966600,0.28222780,0.37771330,1.12024300,0.32272550,0.38152400,1.09376500,0.32588770,0.39481010,1.11085800,0.28408590,0.39529130,1.11588700,0.32187850,0.39603680,1.09006900,0.32469860,0.42034190,1.06425700,0.29219760,0.41529970,1.10853300,0.28965600,0.41019210,1.11096800,0.31915530,0.40974450,1.09127300,0.32166340,0.30046330,1.09733200,0.30834270,0.36452880,1.07820600,0.30968360,0.37926560,1.07654400,0.30869780,0.39394920,1.07624000,0.30539440,0.40852110,1.07830300,0.30459850,5,5
0.41154610,1.02306600,0.28980810,0.41154610,1.02306600,0.28980810,0.41154610,1.02306600,0.28980810,0.39571790,1.03922700,0.30011970,0.37295160,1.04573200,0.30558320,0.34586350,1.06225800,0.30751300,0.32157950,1.08465500,0.30691330,0.35519870,1.10190700,0.28913030,0.36021170,1.11582400,0.32313560,0.36489170,1.09258600,0.32478950,0.37447990,1.10855700,0.28130230,0.37775010,1.11959400,0.32166500,0.38169510,1.09317400,0.32513250,0.39470140,1.10980400,0.28304480,0.39535230,1.11528600,0.32077160,0.39614470,1.08949500,0.32381130,0.42036940,1.06331700,0.29138070,0.41522470,1.10756200,0.28852460,0.41026950,1.11020400,0.31803210,0.40986590,1.09051300,0.32058110,0.30056590,1.09637100,0.30775610,0.36464350,1.07732700,0.30909530,0.37940950,1.07578600,0.30811570,0.39397580,1.07556300,0.30458980,0.40856810,1.07749200,0.30356040,5,5
0.41148770,1.02184900,0.28978910,0.41148770,1.02184900,0.28978910,0.41148770,1.02184900,0.28978910,0.39571080,1.03797200,0.30023780,0.37298250,1.04449000,0.30584200,0.34593360,1.06106200,0.30791770,0.32169000,1.08350800,0.30747390,0.35519700,1.10073300,0.28970200,0.36032690,1.11453500,0.32373740,0.36501730,1.09129100,0.32529170,0.37445340,1.10740600,0.28183280,0.37785300,1.11836800,0.32220550,0.38184200,1.09195000,0.32564120,0.39468230,1.10863100,0.28350440,0.39546430,1.11407800,0.32123380,0.39622620,1.08827200,0.32416000,0.42034700,1.06208500,0.29152040,0.41522460,1.10634800,0.28889540,0.41038260,1.10887500,0.31843170,0.40995800,1.08916200,0.32079850,0.30070770,1.09527100,0.30842740,0.36472050,1.07607900,0.30955230,0.37950220,1.07461300,0.30857960,0.39396460,1.07448200,0.30484700,0.40857340,1.07628800,0.30367330,5,5
0.41146230,1.02066200,0.28968270,0.41146230,1.02066200,0.28968270,0.41146230,1.02066200,0.28968270,0.39572850,1.03674900,0.30024950,0.37300160,1.04321800,0.30591730,0.34594380,1.05977700,0.30797630,0.32164220,1.08215900,0.30751100,0.35520930,1.09957100,0.29010320,0.36045710,1.11323300,0.32417690,0.36514950,1.08998200,0.32561470,0.37444210,1.10626700,0.28219580,0.37794800,1.11719000,0.32256980,0.38198890,1.09077400,0.32595600,0.39467720,1.10747500,0.28380400,0.39558280,1.11284100,0.32154230,0.39631360,1.08702200,0.32435330,0.42034660,1.06088700,0.29154600,0.41523640,1.10516100,0.28911640,0.41051750,1.10738100,0.31869730,0.41007710,1.08763900,0.32080720,0.30061710,1.09384900,0.30842440,0.36479980,1.07483100,0.30981850,0.37959470,1.07351900,0.30881860,0.39396600,1.07335800,0.30496150,0.40859930,1.07493200,0.30356580,5,5
