RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.24457790,0.85282660,0.23328620,0.24457790,0.85282660,0.23328620,0.24457790,0.85282660,0.23328620,0.22254170,0.85641030,0.22235100,0.20962330,0.86352350,0.20303800,0.18744060,0.87409920,0.18287200,0.16224250,0.88825110,0.16685580,0.16524240,0.90451830,0.21266770,0.13888420,0.87844720,0.21352770,0.15870830,0.86744620,0.20640980,0.16725380,0.90550100,0.23439910,0.13964520,0.87416750,0.23020000,0.16144500,0.86029570,0.22258860,0.16964640,0.89614830,0.25229620,0.14615520,0.86697230,0.24517470,0.16773000,0.85767790,0.23407420,0.21112950,0.86211890,0.25554110,0.17335860,0.88229840,0.26812830,0.15525570,0.86093350,0.25726320,0.17242140,0.85732500,0.24795090,0.14842590,0.89687050,0.14912600,0.17629760,0.88040530,0.20503660,0.18164930,0.87370460,0.21956490,0.18787080,0.87018640,0.23159500,0.19082600,0.86772500,0.24420500,5,7
0.24516880,0.85348360,0.23351550,0.24516880,0.85348360,0.23351550,0.24516880,0.85348360,0.23351550,0.22317200,0.85742310,0.22262360,0.21021130,0.86469890,0.20339970,0.18802370,0.87554050,0.18338070,0.16299130,0.89004190,0.16741760,0.16659880,0.90641840,0.21312070,0.13976030,0.88084260,0.21399800,0.15933250,0.86941590,0.20685370,0.16866090,0.90733160,0.23485040,0.14047990,0.87650820,0.23067800,0.16201100,0.86226430,0.22298960,0.17093970,0.89791150,0.25272700,0.14692710,0.86915680,0.24563090,0.16825780,0.85943880,0.23442190,0.21190310,0.86324630,0.25584270,0.17446590,0.88397840,0.26852860,0.15593350,0.86296130,0.25770920,0.17297910,0.85903450,0.24830540,0.14886760,0.89884380,0.15002250,0.17715660,0.88204830,0.20546560,0.18247220,0.87526790,0.21992360,0.18863820,0.87153540,0.23185750,0.19154850,0.86911730,0.24450630,5,7
0.24575150,0.85415200,0.23373110,0.24575150,0.85415200,0.23373110,0.24575150,0.85415200,0.23373110,0.22379670,0.85843310,0.22288340,0.21058520,0.86575660,0.20384920,0.18813600,0.87659100,0.18412020,0.16311170,0.89120880,0.16825090,0.16792450,0.90826320,0.21357620,0.14056090,0.88324950,0.21443960,0.15996800,0.87148590,0.20739230,0.17003430,0.90910010,0.23530430,0.14127250,0.87881150,0.23117880,0.16263290,0.86437480,0.22337480,0.17220490,0.89960990,0.25315730,0.14772570,0.87124670,0.24607980,0.16883290,0.86125180,0.23469260,0.21266650,0.86434810,0.25613310,0.17555400,0.88559340,0.26892370,0.15678960,0.86481210,0.25804870,0.17368960,0.86059470,0.24850890,0.14867980,0.89999880,0.15110450,0.17795960,0.88388630,0.20607340,0.18322250,0.87717470,0.22031090,0.18930890,0.87318740,0.23213590,0.19240160,0.87037100,0.24460970,5,7
0.24642110,0.85501320,0.23429500,0.24642110,0.85501320,0.23429500,0.24642110,0.85501320,0.23429500,0.22461920,0.85982700,0.22336260,0.21136190,0.86748190,0.20449140,0.18887360,0.87863730,0.18498700,0.16404330,0.89364720,0.16917890,0.16967850,0.91074310,0.21439470,0.14173560,0.88636510,0.21471250,0.16098830,0.87428930,0.20777070,0.17165120,0.91123490,0.23614620,0.14227980,0.88162060,0.23145820,0.16349040,0.86702050,0.22354990,0.17353400,0.90145620,0.25387570,0.14857650,0.87365230,0.24626910,0.16952390,0.86345100,0.23477050,0.21336140,0.86546120,0.25661810,0.17653180,0.88716150,0.26946210,0.15756180,0.86681530,0.25813070,0.17438180,0.86237910,0.24854900,0.14947770,0.90269560,0.15228190,0.17919390,0.88640730,0.20681420,0.18427280,0.87958140,0.22081610,0.19015930,0.87517480,0.23253550,0.19329090,0.87184100,0.24482870,5,7
0.24707360,0.85586030,0.23481680,0.24707360,0.85586030,0.23481680,0.24707360,0.85586030,0.23481680,0.22542110,0.86117550,0.22382010,0.21212130,0.86914550,0.20510980,0.18959490,0.88060440,0.18582670,0.16494700,0.89598070,0.17008560,0.17137500,0.91310040,0.21520610,0.14289850,0.88934630,0.21502800,0.16198820,0.87696570,0.20817330,0.17322130,0.91327130,0.23697370,0.14328500,0.88431480,0.23177720,0.16434720,0.86955800,0.22376410,0.17483480,0.90322890,0.25458190,0.14942910,0.87597150,0.24649640,0.17021300,0.86556880,0.23488210,0.21405170,0.86655230,0.25708030,0.17750270,0.88868170,0.26999350,0.15833690,0.86875800,0.25824840,0.17507220,0.86411450,0.24861670,0.15023860,0.90527570,0.15344800,0.18039250,0.88880180,0.20754530,0.18531000,0.88187840,0.22132990,0.19099980,0.87707480,0.23293670,0.19416010,0.87327320,0.24505400,5,7
0.24770030,0.85667960,0.23529780,0.24770030,0.85667960,0.23529780,0.24770030,0.85667960,0.23529780,0.22619250,0.86246320,0.22425340,0.21290800,0.87075790,0.20567390,0.19035790,0.88238100,0.18651710,0.16584740,0.89797140,0.17077210,0.17299810,0.91531740,0.21599810,0.14394520,0.89227810,0.21543820,0.16283740,0.87959980,0.20858060,0.17472740,0.91519170,0.23777560,0.14401960,0.88710740,0.23230150,0.16485710,0.87223010,0.22393180,0.17609000,0.90490940,0.25526620,0.15015340,0.87826620,0.24682670,0.17081920,0.86780090,0.23505890,0.21472480,0.86760440,0.25751700,0.17844960,0.89013400,0.27051010,0.15912860,0.87059100,0.25838600,0.17581090,0.86592640,0.24867280,0.15081300,0.90741490,0.15451400,0.18147150,0.89108180,0.20820270,0.18604650,0.88418270,0.22163010,0.19172470,0.87913050,0.23336680,0.19500100,0.87492590,0.24525690,5,7
0.24819880,0.85745380,0.23585190,0.24819880,0.85745380,0.23585190,0.24819880,0.85745380,0.23585190,0.22694070,0.86402090,0.22476240,0.21381890,0.87295700,0.20636560,0.19142640,0.88517490,0.18739500,0.16726220,0.90138900,0.17174480,0.17514680,0.91835920,0.21727180,0.14534230,0.89633040,0.21600050,0.16393310,0.88325550,0.20906430,0.17667720,0.91769700,0.23905450,0.14501410,0.89083710,0.23291810,0.16551930,0.87574380,0.22412510,0.17762800,0.90699030,0.25631620,0.15097040,0.88131070,0.24716590,0.17145090,0.87069980,0.23520610,0.21530600,0.86869160,0.25803750,0.17948450,0.89181890,0.27123740,0.15987240,0.87298450,0.25847580,0.17648760,0.86822990,0.24869160,0.15208120,0.91130510,0.15590980,0.18288820,0.89420590,0.20911410,0.18703910,0.88715270,0.22215200,0.19258780,0.88165010,0.23394890,0.19587700,0.87690620,0.24557830,5,7
0.24870060,0.85822550,0.23637680,0.24870060,0.85822550,0.23637680,0.24870060,0.85822550,0.23637680,0.22769340,0.86552450,0.22526680,0.21471940,0.87505070,0.20706230,0.19246290,0.88781260,0.18829080,0.16862190,0.90459760,0.17274730,0.17724690,0.92121350,0.21853980,0.14676590,0.90017930,0.21662640,0.16505840,0.88673320,0.20960720,0.17858280,0.92005450,0.24031450,0.14606170,0.89438490,0.23359840,0.16625390,0.87911100,0.22440200,0.17914160,0.90896540,0.25735040,0.15183060,0.88422520,0.24756120,0.17212740,0.87347900,0.23541060,0.21589880,0.86976250,0.25854350,0.18052060,0.89344210,0.27195810,0.16065140,0.87529280,0.25861490,0.17719750,0.87045090,0.24875670,0.15329630,0.91494660,0.15733410,0.18429820,0.89716610,0.21004670,0.18806720,0.88999720,0.22272080,0.19347330,0.88405600,0.23455040,0.19676740,0.87880920,0.24591520,5,7
0.24918090,0.85895960,0.23685940,0.24918090,0.85895960,0.23685940,0.24918090,0.85895960,0.23685940,0.22841670,0.86692210,0.22574820,0.21568040,0.87702660,0.20768820,0.19367010,0.89038840,0.18904440,0.17026060,0.90779580,0.17352930,0.17922540,0.92380490,0.21975440,0.14820740,0.90361930,0.21738260,0.16616760,0.88992240,0.20999980,0.18037660,0.92219860,0.24151120,0.14714640,0.89758560,0.23432690,0.16719100,0.88240300,0.22466820,0.18057300,0.91077420,0.25833230,0.15261050,0.88697360,0.24806480,0.17272530,0.87623140,0.23561170,0.21647230,0.87077230,0.25901850,0.18151220,0.89494660,0.27264530,0.16129560,0.87750920,0.25888120,0.17769980,0.87260720,0.24881750,0.15525850,0.91860820,0.15811610,0.18560140,0.89997390,0.21070860,0.18910820,0.89312490,0.22331440,0.19423920,0.88648280,0.23504250,0.19741330,0.88066860,0.24611340,5,7
0.24947310,0.85954520,0.23727040,0.24947310,0.85954520,0.23727040,0.24947310,0.85954520,0.23727040,0.22892340,0.86799480,0.22612030,0.21635100,0.87841270,0.20812360,0.19450200,0.89208500,0.18951520,0.17144570,0.90986060,0.17388930,0.18091560,0.92589520,0.22027530,0.14940010,0.90650940,0.21779380,0.16702510,0.89249660,0.21019890,0.18193720,0.92412950,0.24202620,0.14804330,0.90045300,0.23479570,0.16792380,0.88524530,0.22484170,0.18182830,0.91259830,0.25877500,0.15325360,0.88957590,0.24841890,0.17317180,0.87870190,0.23576590,0.21691060,0.87187650,0.25936240,0.18238440,0.89666550,0.27299100,0.16183240,0.87973920,0.25908640,0.17807890,0.87467100,0.24885070,0.15663630,0.92090320,0.15845280,0.18663830,0.90218630,0.21099830,0.18994240,0.89577350,0.22361740,0.19483330,0.88864310,0.23530470,0.19791500,0.88242080,0.24613290,5,7
