RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.38409410,0.92857530,0.36172790,0.38409410,0.92857530,0.36172790,0.38409410,0.92857530,0.36172790,0.36975640,0.94345940,0.37554490,0.34760640,0.95016590,0.38295270,0.32171770,0.96705890,0.39036810,0.29754360,0.98897950,0.39554860,0.33347230,1.00954700,0.37822730,0.33895540,1.02186300,0.41277370,0.34265690,0.99839040,0.41265200,0.35293960,1.01631700,0.37098410,0.35705050,1.02497200,0.41184780,0.36043880,0.99830220,0.41352390,0.37324090,1.01591300,0.37207900,0.37518660,1.02033000,0.40990100,0.37386890,0.99448230,0.41218970,0.39578620,0.96714410,0.37045570,0.39370490,1.01136200,0.37617400,0.38996560,1.01475300,0.40578400,0.38711690,0.99509920,0.40595830,0.27697040,1.00066500,0.39999160,0.34131300,0.98533290,0.39513330,0.35639820,0.98494790,0.39346170,0.37009060,0.98530340,0.39051630,0.38400810,0.98498080,0.38728020,5,0
0.38419450,0.92870070,0.36199790,0.38419450,0.92870070,0.36199790,0.38419450,0.92870070,0.36199790,0.36984500,0.94355170,0.37583820,0.34768120,0.95020030,0.38325690,0.32175510,0.96700970,0.39073150,0.29756830,0.98889420,0.39600370,0.33343640,1.00956800,0.37859060,0.33896090,1.02182700,0.41315080,0.34268840,0.99835850,0.41297880,0.35288180,1.01637800,0.37132630,0.35704450,1.02496500,0.41219930,0.36046150,0.99829390,0.41380520,0.37318510,1.01601400,0.37239620,0.37517460,1.02052400,0.41020490,0.37388160,0.99468280,0.41257640,0.39582270,0.96728860,0.37072640,0.39366290,1.01150100,0.37646450,0.38997800,1.01511300,0.40605490,0.38710670,0.99546470,0.40635500,0.27700360,1.00056600,0.40052020,0.34133510,0.98532190,0.39544530,0.35638730,0.98502710,0.39369180,0.37008340,0.98544780,0.39093040,0.38396240,0.98526360,0.38772790,5,0
0.38427090,0.92850150,0.36212260,0.38427090,0.92850150,0.36212260,0.38427090,0.92850150,0.36212260,0.36992180,0.94336310,0.37595180,0.34775210,0.94998150,0.38338010,0.32179910,0.96673480,0.39088690,0.29760880,0.98860410,0.39620670,0.33340160,1.00932200,0.37860270,0.33899280,1.02162900,0.41313490,0.34274310,0.99816430,0.41298220,0.35282080,1.01614700,0.37128310,0.35706550,1.02479000,0.41213580,0.36050730,0.99812320,0.41375260,0.37312670,1.01582200,0.37231480,0.37518730,1.02052900,0.41009570,0.37391760,0.99470030,0.41262000,0.39584740,0.96713250,0.37072820,0.39362030,1.01135500,0.37635520,0.39001050,1.01525900,0.40591790,0.38711660,0.99561750,0.40639310,0.27705910,1.00028000,0.40078000,0.34136640,0.98509510,0.39547490,0.35638360,0.98487950,0.39363400,0.37008320,0.98535280,0.39102870,0.38392350,0.98528840,0.38784500,5,0
0.38436000,0.92832060,0.36224900,0.38436000,0.92832060,0.36224900,0.38436000,0.92832060,0.36224900,0.37001090,0.94319180,0.37606790,0.34783610,0.94978050,0.38350750,0.32185780,0.96647820,0.39105060,0.29766550,0.98833260,0.39642200,0.33337900,1.00909300,0.37862150,0.33903530,1.02144700,0.41312610,0.34280880,0.99798630,0.41299220,0.35277220,1.01593400,0.37124780,0.35709770,1.02463200,0.41208030,0.36056360,0.99796860,0.41370840,0.37308060,1.01564600,0.37224160,0.37521090,1.02053900,0.40999500,0.37396540,0.99472470,0.41266470,0.39588450,0.96699360,0.37073480,0.39358970,1.01122700,0.37625430,0.39005380,1.01541400,0.40578730,0.38713930,0.99577960,0.40643360,0.27713160,1.00001300,0.40105460,0.34140980,0.98488500,0.39551060,0.35639120,0.98474630,0.39358580,0.37009580,0.98527180,0.39112560,0.38389860,0.98532590,0.38796360,5,0
0.38445930,0.92815380,0.36237670,0.38445930,0.92815380,0.36237670,0.38445930,0.92815380,0.36237670,0.37010970,0.94303370,0.37618570,0.34792340,0.94958420,0.38362430,0.32190740,0.96626370,0.39107750,0.29769300,0.98811570,0.39635820,0.33336620,1.00887600,0.37864540,0.33908220,1.02129800,0.41311590,0.34287870,0.99784060,0.41301540,0.35273330,1.01573300,0.37121840,0.35710890,1.02457900,0.41201390,0.36063310,0.99792650,0.41369540,0.37304410,1.01548400,0.37217490,0.37524750,1.02052500,0.40990460,0.37401040,0.99471540,0.41262990,0.39593110,0.96686790,0.37074540,0.39356850,1.01111000,0.37616000,0.39010550,1.01544500,0.40568020,0.38716990,0.99581620,0.40637570,0.27715000,0.99980120,0.40093790,0.34145460,0.98471060,0.39555740,0.35642970,0.98470900,0.39357620,0.37010080,0.98530020,0.39108150,0.38388900,0.98537000,0.38790860,5,0
0.38468450,0.92781330,0.36221280,0.38468450,0.92781330,0.36221280,0.38468450,0.92781330,0.36221280,0.37024480,0.94268560,0.37593590,0.34799790,0.94921060,0.38321440,0.32191070,0.96588550,0.39042490,0.29766560,0.98775400,0.39549180,0.33346290,1.00851400,0.37818090,0.33897900,1.02090400,0.41269560,0.34276660,0.99744500,0.41259630,0.35287290,1.01538000,0.37087440,0.35698520,1.02425300,0.41169120,0.36051400,0.99760230,0.41338200,0.37317750,1.01513800,0.37195590,0.37515770,1.02022200,0.40969210,0.37387240,0.99441310,0.41239790,0.39609050,0.96653010,0.37065880,0.39367850,1.01077100,0.37606640,0.39005740,1.01518300,0.40555610,0.38706870,0.99556170,0.40623010,0.27709590,0.99946050,0.39989500,0.34143980,0.98433410,0.39511630,0.35642170,0.98444830,0.39319830,0.37008350,0.98509070,0.39078770,0.38388170,0.98516990,0.38771590,5,0
0.38490590,0.92749740,0.36207460,0.38490590,0.92749740,0.36207460,0.38490590,0.92749740,0.36207460,0.37038450,0.94236300,0.37571850,0.34808310,0.94886200,0.38285220,0.32193080,0.96552850,0.38984280,0.29765900,0.98741110,0.39471780,0.33355870,1.00817400,0.37776150,0.33889760,1.02053800,0.41231310,0.34267940,0.99707830,0.41221670,0.35300490,1.01504800,0.37056070,0.35688300,1.02395500,0.41139320,0.36041910,0.99730560,0.41309470,0.37330340,1.01481600,0.37175270,0.37508650,1.01995200,0.40949190,0.37375900,0.99414350,0.41218580,0.39624690,0.96622000,0.37058160,0.39378380,1.01046000,0.37597500,0.39002550,1.01495800,0.40543460,0.38698710,0.99534330,0.40609510,0.27706720,0.99913680,0.39896380,0.34143960,0.98398260,0.39471890,0.35642490,0.98421090,0.39285280,0.37007780,0.98490480,0.39052120,0.38388270,0.98499860,0.38754060,5,0
0.38512440,0.92720070,0.36195640,0.38512440,0.92720070,0.36195640,0.38512440,0.92720070,0.36195640,0.37052770,0.94206020,0.37552630,0.34818310,0.94854110,0.38254020,0.32198010,0.96520160,0.38935300,0.29769440,0.98710210,0.39407630,0.33365390,1.00785000,0.37737740,0.33879980,1.02026200,0.41194110,0.34260950,0.99680650,0.41189200,0.35313110,1.01473400,0.37027060,0.35679080,1.02364300,0.41112280,0.36037200,0.99700370,0.41288590,0.37342360,1.01451500,0.37156190,0.37502330,1.01982500,0.40928520,0.37367210,0.99403360,0.41212760,0.39640100,0.96593150,0.37051180,0.39388570,1.01017000,0.37588520,0.39000230,1.01497400,0.40528030,0.38692970,0.99537060,0.40610280,0.27708920,0.99884810,0.39819880,0.34147240,0.98369610,0.39439830,0.35651080,0.98386390,0.39264750,0.37009290,0.98466980,0.39049960,0.38389850,0.98488120,0.38761760,5,0
0.38539700,0.92682610,0.36211820,0.38539700,0.92682610,0.36211820,0.38539700,0.92682610,0.36211820,0.37086490,0.94164860,0.37579750,0.34855030,0.94808610,0.38294570,0.32236140,0.96471220,0.38989550,0.29810090,0.98660740,0.39477000,0.33392430,1.00739100,0.37796540,0.33925010,1.01979300,0.41250540,0.34309910,0.99634420,0.41242060,0.35334980,1.01430900,0.37075070,0.35723390,1.02315800,0.41159530,0.36089210,0.99652710,0.41333440,0.37365000,1.01411200,0.37191900,0.37547610,1.01953200,0.40961630,0.37414780,0.99375230,0.41257310,0.39667870,0.96555820,0.37066060,0.39414310,1.00978600,0.37611220,0.39045430,1.01483500,0.40549120,0.38736780,0.99524150,0.40647040,0.27752100,0.99835430,0.39901480,0.34187970,0.98324850,0.39492140,0.35694690,0.98337940,0.39311740,0.37043950,0.98430690,0.39100240,0.38421340,0.98464410,0.38806750,5,0
0.38566450,0.92646940,0.36227060,0.38566450,0.92646940,0.36227060,0.38566450,0.92646940,0.36227060,0.37118910,0.94125830,0.37604610,0.34890070,0.94765340,0.38331290,0.32272170,0.96424540,0.39038080,0.29848360,0.98613560,0.39538730,0.33418080,1.00695300,0.37849220,0.33966710,1.01935000,0.41300890,0.34355410,0.99590750,0.41289380,0.35355840,1.01390300,0.37118010,0.35764290,1.02270300,0.41201570,0.36137500,0.99608120,0.41373670,0.37386490,1.01372900,0.37223760,0.37589440,1.01926400,0.40990790,0.37458880,0.99349640,0.41297870,0.39694550,0.96520530,0.37079690,0.39438580,1.00942400,0.37631410,0.39087400,1.01471600,0.40567210,0.38777440,0.99513240,0.40680410,0.27792690,0.99788360,0.39973990,0.34226210,0.98282340,0.39539110,0.35735610,0.98292520,0.39353960,0.37076510,0.98397200,0.39146300,0.38450900,0.98443030,0.38848140,5,0
