RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.31740890,0.81265960,0.25669520,0.31740890,0.81265960,0.25669520,0.31740890,0.81265960,0.25669520,0.31757860,0.83730060,0.25998240,0.33196560,0.85561850,0.26690660,0.34339030,0.88060960,0.28289120,0.35329390,0.90468390,0.30324020,0.30566850,0.89337660,0.30902310,0.29066870,0.91817730,0.28589020,0.30148490,0.90155990,0.27279230,0.28742240,0.88178240,0.31217220,0.27551170,0.90853040,0.28209990,0.28858660,0.89085960,0.26653150,0.27160910,0.87145430,0.30463740,0.26355420,0.89677610,0.27729290,0.27897020,0.88120900,0.26332540,0.28365670,0.83256660,0.26953780,0.25772500,0.86082660,0.29236780,0.25573280,0.88380410,0.27312480,0.26823240,0.87196560,0.26322460,0.36738620,0.91972020,0.31568440,0.31185700,0.88414750,0.28106470,0.30116640,0.87357270,0.27836660,0.28934870,0.86393210,0.27605560,0.27747860,0.85539490,0.27326660,5,3
0.31861450,0.81273650,0.25681960,0.31861450,0.81273650,0.25681960,0.31861450,0.81273650,0.25681960,0.31880370,0.83737000,0.26016100,0.33316800,0.85572410,0.26703650,0.34460970,0.88076530,0.28293020,0.35448380,0.90493000,0.30318610,0.30709720,0.89333990,0.30937170,0.29200410,0.91819660,0.28635990,0.30278260,0.90162070,0.27317860,0.28886010,0.88174360,0.31256480,0.27678710,0.90862600,0.28267770,0.28981190,0.89102000,0.26699430,0.27301510,0.87143650,0.30506770,0.26483310,0.89683550,0.27783280,0.28023830,0.88133220,0.26378260,0.28491740,0.83262390,0.26983570,0.25908120,0.86084000,0.29282780,0.25703420,0.88381510,0.27358760,0.26955440,0.87201110,0.26367250,0.36859920,0.92003250,0.31552350,0.31317610,0.88422210,0.28145320,0.30243350,0.87372800,0.27877730,0.29062840,0.86407190,0.27652570,0.27884130,0.85545710,0.27370430,5,3
0.31995660,0.81284630,0.25682660,0.31995660,0.81284630,0.25682660,0.31995660,0.81284630,0.25682660,0.32017630,0.83746470,0.26027550,0.33451890,0.85582730,0.26717380,0.34596300,0.88086980,0.28306360,0.35578350,0.90506560,0.30330850,0.30861170,0.89323010,0.30975130,0.29349520,0.91819890,0.28687670,0.30425030,0.90168140,0.27360350,0.29036850,0.88163810,0.31292550,0.27822240,0.90871940,0.28324840,0.29121460,0.89119780,0.26744370,0.27450030,0.87137970,0.30541110,0.26627330,0.89691310,0.27831580,0.28168420,0.88148740,0.26418670,0.28630220,0.83271000,0.26998860,0.26053440,0.86085080,0.29314920,0.25849140,0.88386700,0.27395790,0.27103990,0.87210610,0.26402710,0.36990500,0.92019300,0.31560840,0.31463380,0.88427100,0.28186620,0.30383810,0.87386660,0.27916680,0.29204560,0.86420860,0.27692820,0.28033150,0.85553860,0.27403230,5,3
0.32130090,0.81295970,0.25684410,0.32130090,0.81295970,0.25684410,0.32130090,0.81295970,0.25684410,0.32154710,0.83756370,0.26039280,0.33586730,0.85593770,0.26730680,0.34731250,0.88098450,0.28318910,0.35707930,0.90521350,0.30342030,0.31012360,0.89313600,0.31011800,0.29497680,0.91820390,0.28737210,0.30570830,0.90174030,0.27401300,0.29187740,0.88154550,0.31328060,0.27965180,0.90880820,0.28380270,0.29260970,0.89136590,0.26788260,0.27598630,0.87133050,0.30575540,0.26770860,0.89698340,0.27878880,0.28312430,0.88163050,0.26458580,0.28768810,0.83279620,0.27015270,0.26198810,0.86086270,0.29347800,0.25994220,0.88391420,0.27432950,0.27251640,0.87219380,0.26438340,0.37120520,0.92036910,0.31568030,0.31608560,0.88432270,0.28226810,0.30523930,0.87400200,0.27955060,0.29346210,0.86433890,0.27732910,0.28181590,0.85561650,0.27436510,5,3
0.32264710,0.81307590,0.25686990,0.32264710,0.81307590,0.25686990,0.32264710,0.81307590,0.25686990,0.32291650,0.83766600,0.26051240,0.33723220,0.85603550,0.26744770,0.34869640,0.88106270,0.28334720,0.35844630,0.90528740,0.30359170,0.31163380,0.89305440,0.31047430,0.29645510,0.91823080,0.28787010,0.30711820,0.90183630,0.27437190,0.29338690,0.88146340,0.31363110,0.28110640,0.90886940,0.28430930,0.29398910,0.89150010,0.26824900,0.27747340,0.87128740,0.30610040,0.26915250,0.89704000,0.27924220,0.28455760,0.88175030,0.26495980,0.28907520,0.83288250,0.27032550,0.26344250,0.86087570,0.29381260,0.26133560,0.88400240,0.27476160,0.27394850,0.87238300,0.26474640,0.37257630,0.92045200,0.31583590,0.31750110,0.88437340,0.28252340,0.30662920,0.87408410,0.27982770,0.29486080,0.86445440,0.27772520,0.28331040,0.85578390,0.27463300,5,3
0.32465870,0.81348940,0.25672330,0.32465870,0.81348940,0.25672330,0.32465870,0.81348940,0.25672330,0.32492600,0.83806720,0.26044820,0.33921080,0.85644810,0.26741690,0.35064850,0.88147320,0.28333890,0.36032880,0.90571210,0.30359970,0.31366490,0.89328550,0.31060290,0.29846800,0.91854360,0.28810240,0.30909930,0.90221870,0.27449530,0.29542220,0.88168060,0.31373230,0.28310730,0.90920520,0.28453640,0.29595510,0.89191110,0.26836740,0.27950570,0.87152700,0.30617770,0.27116130,0.89735810,0.27940230,0.28659010,0.88213660,0.26507280,0.29109180,0.83324460,0.27026670,0.26546900,0.86115400,0.29386390,0.26331610,0.88434020,0.27489060,0.27598920,0.87282070,0.26483600,0.37443170,0.92090350,0.31584180,0.31948870,0.88472680,0.28257620,0.30860200,0.87446130,0.27988770,0.29685490,0.86485020,0.27788210,0.28540670,0.85621390,0.27465650,5,3
0.32660310,0.81387720,0.25659760,0.32660310,0.81387720,0.25659760,0.32660310,0.81387720,0.25659760,0.32686840,0.83844290,0.26040140,0.34112280,0.85683700,0.26739750,0.35253590,0.88186280,0.28333610,0.36214840,0.90611930,0.30360800,0.31563930,0.89349690,0.31074350,0.30041880,0.91883100,0.28834440,0.31101770,0.90257250,0.27463280,0.29740170,0.88187810,0.31385140,0.28504460,0.90951650,0.28478110,0.29785580,0.89229540,0.26850550,0.28148080,0.87174550,0.30627790,0.27310650,0.89765020,0.27958320,0.28855650,0.88249460,0.26520660,0.29304380,0.83358140,0.27023370,0.26743560,0.86140910,0.29394300,0.26523570,0.88464890,0.27504070,0.27796490,0.87322380,0.26494920,0.37622610,0.92134000,0.31584280,0.32141490,0.88505580,0.28264940,0.31051200,0.87481550,0.27996960,0.29878690,0.86521920,0.27805810,0.28743670,0.85661190,0.27470860,5,3
0.32845990,0.81423870,0.25648920,0.32845990,0.81423870,0.25648920,0.32845990,0.81423870,0.25648920,0.32872330,0.83879270,0.26036790,0.34303670,0.85711230,0.26743880,0.35457190,0.88214990,0.28327050,0.36417110,0.90651170,0.30342220,0.31753270,0.89368990,0.31088950,0.30224580,0.91911730,0.28864200,0.31286740,0.90293380,0.27485960,0.29930100,0.88205740,0.31398040,0.28688430,0.90979680,0.28503200,0.29970520,0.89267470,0.26865970,0.28337480,0.87194410,0.30639220,0.27493540,0.89795270,0.27981920,0.29040040,0.88286760,0.26538490,0.29490990,0.83389320,0.27021970,0.26931940,0.86164220,0.29404000,0.26696070,0.88502620,0.27533560,0.27976680,0.87375810,0.26516520,0.37820000,0.92183740,0.31558170,0.32328780,0.88541720,0.28284660,0.31239460,0.87517170,0.28005170,0.30058070,0.86561330,0.27830440,0.28929590,0.85714540,0.27486750,5,3
0.33080270,0.81437150,0.25612870,0.33080270,0.81437150,0.25612870,0.33080270,0.81437150,0.25612870,0.33100900,0.83888830,0.26023900,0.34533720,0.85713330,0.26747100,0.35694250,0.88211140,0.28334520,0.36649430,0.90646730,0.30352660,0.31980500,0.89327350,0.31130840,0.30435310,0.91889200,0.28939650,0.31501090,0.90289790,0.27542220,0.30161400,0.88156150,0.31433830,0.28901890,0.90955440,0.28571270,0.30186050,0.89266750,0.26911410,0.28569510,0.87147620,0.30669780,0.27708260,0.89773140,0.28042450,0.29257650,0.88284810,0.26581260,0.29723630,0.83380160,0.27013550,0.27163450,0.86125250,0.29428680,0.26903880,0.88487760,0.27591990,0.28192820,0.87385580,0.26558620,0.38045840,0.92184970,0.31568920,0.32551050,0.88535680,0.28325000,0.31464450,0.87510230,0.28030300,0.30277470,0.86555660,0.27866810,0.29156910,0.85720620,0.27511310,5,3
0.33306600,0.81451170,0.25580280,0.33306600,0.81451170,0.25580280,0.33306600,0.81451170,0.25580280,0.33322130,0.83899200,0.26012740,0.34756140,0.85717000,0.26750270,0.35922910,0.88209640,0.28341270,0.36873520,0.90644880,0.30361980,0.32201730,0.89289870,0.31170170,0.30641120,0.91868940,0.29010330,0.31709770,0.90287220,0.27595060,0.30386420,0.88111410,0.31467740,0.29109980,0.90933950,0.28635680,0.30395480,0.89267220,0.26954790,0.28795030,0.87105550,0.30699130,0.27917520,0.89753430,0.28099770,0.29469340,0.88283920,0.26622200,0.29948830,0.83373240,0.27006920,0.27388230,0.86090510,0.29452860,0.27106680,0.88474430,0.27647350,0.28403060,0.87395170,0.26599200,0.38264020,0.92188480,0.31578220,0.32767040,0.88530980,0.28363090,0.31682630,0.87505170,0.28054770,0.30490820,0.86551420,0.27901910,0.29377570,0.85727060,0.27535640,5,3
