RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.37269830,0.82410940,0.24384970,0.37269830,0.82410940,0.24384970,0.37269830,0.82410940,0.24384970,0.34901990,0.82708590,0.23483860,0.32630660,0.82817180,0.22460820,0.29428390,0.82813730,0.21839350,0.27163830,0.82739840,0.24361570,0.28653220,0.87277320,0.23407020,0.25117020,0.88677520,0.23528090,0.22844710,0.89555160,0.23638020,0.29042660,0.87205430,0.25613480,0.24919560,0.88439450,0.25775870,0.22276220,0.89236820,0.25905950,0.29505630,0.86115230,0.27331340,0.25880870,0.84642820,0.27306310,0.26956840,0.82558340,0.26039270,0.33991230,0.82921510,0.27010690,0.30114840,0.84593830,0.28786780,0.28007680,0.82405510,0.28266180,0.28447250,0.81692930,0.26408270,0.25779000,0.82467030,0.26388880,0.20888860,0.90617880,0.23939670,0.20106130,0.90454820,0.26213910,0.29234430,0.82256600,0.25199670,0.29715920,0.82424960,0.24762740,1,7
0.37258770,0.82430630,0.24374980,0.37258770,0.82430630,0.24374980,0.37258770,0.82430630,0.24374980,0.34881610,0.82732280,0.23500120,0.32607760,0.82856140,0.22484430,0.29403780,0.82852730,0.21871840,0.27155310,0.82751060,0.24407450,0.28630700,0.87298710,0.23513430,0.25096680,0.88701600,0.23663420,0.22825990,0.89580930,0.23791870,0.29043010,0.87214730,0.25715300,0.24920640,0.88444260,0.25923830,0.22278020,0.89238620,0.26083520,0.29524160,0.86115200,0.27422180,0.25907390,0.84623220,0.27399420,0.26981480,0.82543030,0.26123770,0.34007360,0.82925210,0.27037330,0.30148970,0.84585990,0.28862750,0.28042040,0.82392360,0.28364130,0.28431870,0.81692950,0.26490190,0.25785320,0.82456990,0.26441860,0.20875520,0.90648320,0.24111320,0.20109640,0.90452530,0.26418520,0.29253210,0.82235290,0.25270530,0.29658270,0.82448390,0.24823330,1,7
0.37248130,0.82442640,0.24364480,0.37248130,0.82442640,0.24364480,0.37248130,0.82442640,0.24364480,0.34862530,0.82749090,0.23514630,0.32574600,0.82872770,0.22531080,0.29362470,0.82846670,0.21963310,0.27141310,0.82726760,0.24522080,0.28612530,0.87315700,0.23613810,0.25073520,0.88699600,0.23814180,0.22800140,0.89566580,0.23974860,0.29046420,0.87219880,0.25811050,0.24926150,0.88444080,0.26082730,0.22285200,0.89234830,0.26282940,0.29544190,0.86111180,0.27507200,0.25931070,0.84610270,0.27494360,0.27012830,0.82541190,0.26207190,0.34023070,0.82923080,0.27061240,0.30182960,0.84574230,0.28933330,0.28044250,0.82406770,0.28455970,0.28451310,0.81693250,0.26591030,0.25810780,0.82421710,0.26580920,0.20841960,0.90611020,0.24321840,0.20117600,0.90439630,0.26653920,0.29288130,0.82264890,0.25352710,0.29713490,0.82440690,0.24947430,1,7
0.37257290,0.82400690,0.24344160,0.37257290,0.82400690,0.24344160,0.37257290,0.82400690,0.24344160,0.34874930,0.82732420,0.23494720,0.32586020,0.82877700,0.22516380,0.29372730,0.82858520,0.21955000,0.27149660,0.82734350,0.24511910,0.28662820,0.87349830,0.23619600,0.25129240,0.88745820,0.23831550,0.22859290,0.89620370,0.23999520,0.29094300,0.87236050,0.25816450,0.24983760,0.88488320,0.26106880,0.22349140,0.89296840,0.26319160,0.29581650,0.86112200,0.27505640,0.25960460,0.84631450,0.27462530,0.27045200,0.82565390,0.26173000,0.34034350,0.82890140,0.27041830,0.30206660,0.84560710,0.28922110,0.28029200,0.82433030,0.28440950,0.28455270,0.81709050,0.26584310,0.25831880,0.82425550,0.26578380,0.20899590,0.90659820,0.24352890,0.20188670,0.90510280,0.26703290,0.29329160,0.82297680,0.25339160,0.29762330,0.82445160,0.24970950,1,7
0.37265020,0.82358420,0.24324460,0.37265020,0.82358420,0.24324460,0.37265020,0.82358420,0.24324460,0.34885430,0.82714030,0.23476910,0.32596010,0.82880770,0.22503210,0.29381750,0.82868590,0.21947180,0.27157380,0.82739120,0.24502690,0.28709470,0.87378820,0.23630180,0.25181340,0.88786800,0.23853360,0.22914830,0.89668870,0.24028400,0.29139750,0.87247900,0.25826310,0.25038650,0.88526280,0.26136050,0.22410200,0.89351330,0.26360740,0.29618090,0.86109720,0.27508470,0.25989940,0.84647200,0.27437470,0.27077050,0.82583740,0.26145770,0.34045610,0.82856040,0.27024860,0.30230790,0.84544560,0.28915240,0.28018920,0.82453170,0.28431960,0.28456250,0.81721000,0.26581160,0.25852230,0.82425660,0.26576460,0.20954010,0.90704110,0.24387810,0.20256610,0.90572730,0.26758080,0.29368300,0.82321970,0.25330260,0.29798550,0.82448330,0.24992950,1,7
0.37271560,0.82316830,0.24305620,0.37271560,0.82316830,0.24305620,0.37271560,0.82316830,0.24305620,0.34894390,0.82694790,0.23460960,0.32599280,0.82874920,0.22503170,0.29381320,0.82872050,0.21968840,0.27139950,0.82750320,0.24509850,0.28752610,0.87403430,0.23643930,0.25235150,0.88836320,0.23876830,0.22975340,0.89734200,0.24057980,0.29182530,0.87256340,0.25839110,0.25076430,0.88500470,0.26214880,0.22445030,0.89303190,0.26481990,0.29653040,0.86104730,0.27514310,0.26009590,0.84681800,0.27424610,0.27085790,0.82612530,0.26133080,0.34056620,0.82821830,0.27009960,0.30254720,0.84526820,0.28911560,0.28015250,0.82468380,0.28414090,0.28462550,0.81721640,0.26571510,0.25824070,0.82440820,0.26577420,0.21006210,0.90753360,0.24417960,0.20284880,0.90498610,0.26920590,0.29381670,0.82342960,0.25333270,0.29833870,0.82420830,0.24995500,1,7
0.37285350,0.82286410,0.24258120,0.37285350,0.82286410,0.24258120,0.37285350,0.82286410,0.24258120,0.34908440,0.82674550,0.23417330,0.32605910,0.82855390,0.22477660,0.29383200,0.82857940,0.21972750,0.27135350,0.82792910,0.24510110,0.28808950,0.87439150,0.23562490,0.25305030,0.88905780,0.23789390,0.23053850,0.89825770,0.23966960,0.29245760,0.87316200,0.25757800,0.25139610,0.88542770,0.26186940,0.22508520,0.89334340,0.26488210,0.29712400,0.86181890,0.27445830,0.26052910,0.84799640,0.27375050,0.27111820,0.82699940,0.26118800,0.34085080,0.82854110,0.26967440,0.30305420,0.84616630,0.28860900,0.28034940,0.82584610,0.28396500,0.28481440,0.81790640,0.26573570,0.25817510,0.82526570,0.26582430,0.21080260,0.90840330,0.24315280,0.20346560,0.90517210,0.26951250,0.29408900,0.82404410,0.25331710,0.29873810,0.82433760,0.24992150,1,7
0.37297700,0.82254710,0.24213550,0.37297700,0.82254710,0.24213550,0.37297700,0.82254710,0.24213550,0.34921030,0.82653560,0.23377120,0.32612000,0.82837380,0.22454130,0.29385200,0.82846720,0.21976090,0.27131350,0.82832010,0.24508910,0.28862300,0.87470720,0.23491610,0.25371410,0.88968770,0.23714090,0.23128540,0.89909310,0.23889080,0.29306210,0.87368330,0.25686540,0.25201450,0.88579910,0.26168350,0.22571590,0.89361940,0.26503360,0.29769580,0.86248820,0.27385340,0.26095900,0.84903990,0.27330400,0.27138690,0.82777700,0.26105820,0.34112380,0.82879230,0.26927980,0.30354690,0.84694330,0.28815480,0.28054770,0.82689110,0.28380420,0.28499360,0.81852070,0.26576390,0.25812130,0.82603930,0.26584910,0.21151250,0.90919840,0.24228050,0.20408980,0.90533520,0.26991390,0.29436560,0.82458630,0.25330320,0.29911100,0.82443330,0.24991910,1,7
0.37308550,0.82223790,0.24172950,0.37308550,0.82223790,0.24172950,0.37308550,0.82223790,0.24172950,0.34932120,0.82633160,0.23340930,0.32617410,0.82821090,0.22433110,0.29387030,0.82825300,0.21979910,0.27101830,0.82853010,0.24484380,0.28911270,0.87498100,0.23430480,0.25426700,0.89008690,0.23666670,0.23188030,0.89957520,0.23850620,0.29362060,0.87413040,0.25624760,0.25255940,0.88613800,0.26121790,0.22625330,0.89389080,0.26466520,0.29822710,0.86306080,0.27332490,0.26146220,0.84967910,0.27318320,0.27151310,0.82824810,0.26091500,0.34137690,0.82898690,0.26892240,0.30400790,0.84760700,0.28775310,0.28065050,0.82796030,0.28346110,0.28547190,0.81904790,0.26578050,0.25762880,0.82658450,0.26551150,0.21210920,0.90966770,0.24194370,0.20465900,0.90563620,0.26961430,0.29436040,0.82481190,0.25288150,0.30019580,0.82435720,0.25027780,1,7
0.37283270,0.82185320,0.24249250,0.37283270,0.82185320,0.24249250,0.37283270,0.82185320,0.24249250,0.34903090,0.82607600,0.23434600,0.32578320,0.82802500,0.22554380,0.29342250,0.82806620,0.22143740,0.27042140,0.82879470,0.24633610,0.28926520,0.87526740,0.23529650,0.25452070,0.89055510,0.23796020,0.23220200,0.90016280,0.23999520,0.29396470,0.87459440,0.25720520,0.25294100,0.88655780,0.26257540,0.22666180,0.89428380,0.26627850,0.29862820,0.86365430,0.27435030,0.26181570,0.85041060,0.27478520,0.27141700,0.82878640,0.26249610,0.34143350,0.82915450,0.26990080,0.30440320,0.84829350,0.28887980,0.28066090,0.82906960,0.28479020,0.28569390,0.81960590,0.26745850,0.25696730,0.82720290,0.26699210,0.21246150,0.91026650,0.24357320,0.20514170,0.90608240,0.27142080,0.29409230,0.82506750,0.25410900,0.30088320,0.82429300,0.25220610,1,7
