RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36189870,0.80395810,0.25720450,0.36189870,0.80395810,0.25720450,0.36189870,0.80395810,0.25720450,0.34606390,0.81412660,0.27442620,0.32855910,0.82323020,0.28967220,0.30846450,0.82600020,0.31521840,0.31598580,0.82195150,0.34802950,0.33658710,0.87047050,0.32665830,0.32945290,0.89789610,0.35205380,0.32383720,0.91395620,0.36952120,0.35690430,0.86313170,0.33264860,0.35639280,0.88340940,0.37064160,0.35568360,0.89567460,0.39540170,0.36993500,0.84734910,0.33671060,0.35271290,0.84474800,0.37174460,0.33534390,0.82511170,0.36689200,0.37377210,0.80870670,0.29753950,0.37983920,0.82789580,0.33868220,0.36115860,0.82195420,0.36246700,0.34531220,0.81002980,0.35777870,0.32635410,0.81584320,0.36960270,0.32101460,0.92946170,0.38552700,0.35835200,0.90928260,0.41629350,0.33088980,0.81445290,0.34533060,0.33630290,0.80359150,0.33873410,1,1
0.36273540,0.80382140,0.25788390,0.36273540,0.80382140,0.25788390,0.36273540,0.80382140,0.25788390,0.34682810,0.81416380,0.27493440,0.32928120,0.82340360,0.29004950,0.30905180,0.82631780,0.31547300,0.31648070,0.82229970,0.34830890,0.33727620,0.87081450,0.32681970,0.33001800,0.89858870,0.35179780,0.32430170,0.91489260,0.36900480,0.35750440,0.86338910,0.33300110,0.35644190,0.88414360,0.37072430,0.35530220,0.89664350,0.39535050,0.37041290,0.84755240,0.33723900,0.35295980,0.84558340,0.37219990,0.33542580,0.82599500,0.36776540,0.37432720,0.80869850,0.29828540,0.38018980,0.82805270,0.33938040,0.36122290,0.82249020,0.36302990,0.34527970,0.81053230,0.35877500,0.32675370,0.81619870,0.36992970,0.32144040,0.93065450,0.38475120,0.35754630,0.91040300,0.41619290,0.33082960,0.81486990,0.34647110,0.33605690,0.80359320,0.34001060,1,1
0.36353640,0.80369230,0.25852070,0.36353640,0.80369230,0.25852070,0.36353640,0.80369230,0.25852070,0.34756200,0.81420360,0.27540430,0.32997600,0.82357760,0.29039080,0.30961430,0.82663470,0.31569170,0.31694450,0.82264080,0.34855260,0.33795070,0.87114270,0.32696200,0.33058990,0.89924730,0.35153730,0.32478680,0.91578280,0.36849230,0.35808850,0.86362850,0.33332870,0.35652490,0.88483030,0.37078470,0.35498980,0.89755130,0.39527590,0.37087240,0.84773670,0.33773460,0.35319750,0.84637420,0.37261280,0.33549620,0.82685240,0.36856600,0.37485280,0.80868490,0.29898610,0.38051940,0.82819060,0.34003690,0.36128720,0.82300440,0.36355730,0.34524380,0.81104160,0.35971240,0.32711560,0.81654200,0.37022230,0.32189770,0.93178540,0.38398880,0.35684040,0.91145040,0.41606420,0.33075780,0.81529850,0.34753280,0.33581020,0.80364690,0.34122880,1,1
0.36427600,0.80357420,0.25910000,0.36427600,0.80357420,0.25910000,0.36427600,0.80357420,0.25910000,0.34824190,0.81424270,0.27582780,0.33060190,0.82377760,0.29064840,0.31004510,0.82691040,0.31578170,0.31712680,0.82292100,0.34869760,0.33858500,0.87144430,0.32708540,0.33124280,0.89958750,0.35162200,0.32542300,0.91613890,0.36855580,0.35863520,0.86384480,0.33362460,0.35676550,0.88527210,0.37093790,0.35500320,0.89811800,0.39534850,0.37129910,0.84790050,0.33818500,0.35334970,0.84730540,0.37294440,0.33555080,0.82779910,0.36926740,0.37533480,0.80866940,0.29962380,0.38082070,0.82831090,0.34063440,0.36127200,0.82339100,0.36395030,0.34519260,0.81142940,0.36025520,0.32703640,0.81682750,0.37048950,0.32254870,0.93216660,0.38402910,0.35683900,0.91224760,0.41598220,0.33086130,0.81580690,0.34846990,0.33571460,0.80372080,0.34192320,1,1
0.36422640,0.80334150,0.25917410,0.36422640,0.80334150,0.25917410,0.36422640,0.80334150,0.25917410,0.34809600,0.81429620,0.27562200,0.33037250,0.82412110,0.29015050,0.30950040,0.82751200,0.31498880,0.31613570,0.82358120,0.34800460,0.33840570,0.87194580,0.32636890,0.33107940,0.90026770,0.35070380,0.32522630,0.91693730,0.36750970,0.35828630,0.86417440,0.33321700,0.35600580,0.88595830,0.37030030,0.35393730,0.89901410,0.39457510,0.37071600,0.84812550,0.33804650,0.35230540,0.84847090,0.37256720,0.33431120,0.82908750,0.36920510,0.37481870,0.80859200,0.29980260,0.37999110,0.82845120,0.34074900,0.35998780,0.82398410,0.36376850,0.34381560,0.81210920,0.36020130,0.32563750,0.81750120,0.36998110,0.32235920,0.93307190,0.38287290,0.35568060,0.91340060,0.41503860,0.32969580,0.81663700,0.34866180,0.33432100,0.80407760,0.34201710,1,1
0.36423330,0.80312340,0.25927380,0.36423330,0.80312340,0.25927380,0.36423330,0.80312340,0.25927380,0.34801820,0.81434870,0.27545370,0.33017920,0.82453570,0.28958620,0.30891000,0.82835510,0.31402210,0.31521310,0.82446090,0.34710720,0.33831030,0.87241660,0.32571810,0.33094070,0.90092620,0.34981950,0.32500190,0.91770420,0.36648700,0.35802350,0.86448340,0.33285810,0.35535920,0.88677130,0.36961490,0.35291890,0.90005160,0.39373290,0.37022520,0.84833760,0.33793980,0.35140530,0.84960300,0.37221750,0.33325450,0.83033480,0.36903920,0.37438240,0.80852170,0.29999590,0.37926090,0.82858580,0.34087850,0.35882800,0.82452630,0.36359420,0.34259640,0.81273810,0.36000920,0.32436480,0.81836660,0.36922790,0.32205720,0.93391220,0.38175790,0.35440400,0.91463230,0.41407900,0.32878700,0.81751810,0.34868940,0.33320400,0.80449130,0.34186830,1,1
0.36446980,0.80309810,0.25909510,0.36446980,0.80309810,0.25909510,0.36446980,0.80309810,0.25909510,0.34818830,0.81455400,0.27504500,0.33025730,0.82506430,0.28881990,0.30862640,0.82925340,0.31287470,0.31462030,0.82532230,0.34601290,0.33850940,0.87291720,0.32497180,0.33111820,0.90157160,0.34889440,0.32510850,0.91843000,0.36545500,0.35805660,0.86480950,0.33236750,0.35504830,0.88751740,0.36883960,0.35226040,0.90097080,0.39282360,0.37003160,0.84855890,0.33765050,0.35085010,0.85065600,0.37168620,0.33252840,0.83152450,0.36866690,0.37420890,0.80855250,0.29990970,0.37882800,0.82872680,0.34076820,0.35800120,0.82503310,0.36318660,0.34169690,0.81334450,0.35960540,0.32343860,0.81916770,0.36825200,0.32210290,0.93468880,0.38065990,0.35350090,0.91569730,0.41308080,0.32816400,0.81839010,0.34849810,0.33235620,0.80490940,0.34152460,1,1
0.36472630,0.80306750,0.25895620,0.36472630,0.80306750,0.25895620,0.36472630,0.80306750,0.25895620,0.34838540,0.81474690,0.27468160,0.33037510,0.82557050,0.28810600,0.30840360,0.83012130,0.31178350,0.31409810,0.82615610,0.34497040,0.33874160,0.87339600,0.32427920,0.33133180,0.90220020,0.34801520,0.32525390,0.91914390,0.36446350,0.35812360,0.86512170,0.33192150,0.35478820,0.88824850,0.36810080,0.35166180,0.90187740,0.39194360,0.36987580,0.84877280,0.33739780,0.35036220,0.85168970,0.37118330,0.33186470,0.83270230,0.36833070,0.37406810,0.80858150,0.29985560,0.37843770,0.82886590,0.34068700,0.35723970,0.82553940,0.36281300,0.34085710,0.81395130,0.35926240,0.32259120,0.81994720,0.36732070,0.32219110,0.93546040,0.37959500,0.35265990,0.91674920,0.41210780,0.32757790,0.81925260,0.34835400,0.33153940,0.80531890,0.34126300,1,1
0.36499920,0.80303250,0.25884830,0.36499920,0.80303250,0.25884830,0.36499920,0.80303250,0.25884830,0.34860490,0.81492990,0.27435320,0.33052010,0.82607660,0.28740800,0.30824730,0.83116510,0.31069120,0.31364290,0.82725810,0.34393500,0.33900200,0.87385710,0.32362800,0.33162790,0.90282470,0.34717560,0.32555800,0.91990330,0.36348670,0.35821860,0.86542330,0.33150970,0.35437930,0.88907520,0.36729740,0.35081870,0.90296710,0.39092650,0.36975040,0.84898130,0.33717260,0.34995560,0.85252490,0.37073390,0.33129240,0.83369770,0.36789910,0.37395330,0.80860950,0.29982580,0.37808120,0.82900440,0.34062730,0.35669040,0.82615700,0.36263440,0.34023650,0.81470090,0.35898700,0.32186220,0.82102570,0.36638090,0.32253200,0.93633410,0.37850150,0.35144180,0.91803820,0.41095750,0.32706500,0.82006360,0.34803500,0.33108590,0.80603230,0.34091930,1,1
0.36600090,0.80277550,0.25853350,0.36600090,0.80277550,0.25853350,0.36600090,0.80277550,0.25853350,0.34948390,0.81480010,0.27380840,0.33126630,0.82617820,0.28647310,0.30864550,0.83168220,0.30932220,0.31371880,0.82780660,0.34262030,0.33960240,0.87390030,0.32282020,0.33210570,0.90297340,0.34619850,0.32594670,0.92014180,0.36238140,0.35867520,0.86538180,0.33095630,0.35418340,0.88951400,0.36634520,0.35008830,0.90362910,0.38975440,0.37004720,0.84889150,0.33679910,0.34992170,0.85297800,0.37010100,0.33117190,0.83423750,0.36726290,0.37448490,0.80840530,0.29960370,0.37822600,0.82887830,0.34040330,0.35662350,0.82640280,0.36224790,0.34014480,0.81501160,0.35850980,0.32165650,0.82155490,0.36516200,0.32286650,0.93665720,0.37729200,0.35023290,0.91888180,0.40965660,0.32707580,0.82040010,0.34751220,0.33119040,0.80625540,0.34038620,1,1
