RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.36875080,0.72562230,0.27707250,0.36875080,0.72562230,0.27707250,0.36875080,0.72562230,0.27707250,0.35420870,0.74657710,0.27668750,0.33835950,0.76577130,0.27523180,0.31232130,0.78482230,0.28004360,0.29553150,0.79331500,0.30824820,0.34683650,0.81935560,0.30201690,0.34311770,0.85596260,0.31171710,0.34056880,0.87931330,0.31826050,0.35169760,0.80909320,0.32134510,0.34120140,0.84270540,0.34614360,0.33457150,0.86415360,0.36226860,0.34886540,0.79320350,0.33456960,0.31478910,0.80812770,0.34668700,0.30122240,0.79374800,0.32879890,0.35431230,0.74274330,0.31297290,0.34346220,0.77432930,0.34431540,0.31347940,0.77955430,0.34918490,0.30125330,0.77623060,0.33322380,0.29231500,0.78950150,0.33244180,0.34229940,0.90033560,0.32598370,0.33427020,0.88368700,0.37798870,0.31453740,0.78085360,0.31283680,0.30619060,0.77336610,0.31194620,1,4
0.36870010,0.72774310,0.27733950,0.36870010,0.72774310,0.27733950,0.36870010,0.72774310,0.27733950,0.35413100,0.74867910,0.27695160,0.33825610,0.76785220,0.27549740,0.31220020,0.78686930,0.28034730,0.29553510,0.79537380,0.30862220,0.34677350,0.82152410,0.30209350,0.34305520,0.85814800,0.31172950,0.34050400,0.88150990,0.31823250,0.35172640,0.81132550,0.32143220,0.34123560,0.84503080,0.34610620,0.33461010,0.86654000,0.36215150,0.34896800,0.79547200,0.33471560,0.31503830,0.81049920,0.34711350,0.30114710,0.79620580,0.32940640,0.35438820,0.74495390,0.31324760,0.34362810,0.77662040,0.34453980,0.31369090,0.78187350,0.34965400,0.30130550,0.77851520,0.33382350,0.29243820,0.79160700,0.33283870,0.34216980,0.90255780,0.32589920,0.33431580,0.88614570,0.37778150,0.31414580,0.78320880,0.31326760,0.30600050,0.77558780,0.31249970,1,4
0.36868520,0.72973910,0.27760610,0.36868520,0.72973910,0.27760610,0.36868520,0.72973910,0.27760610,0.35408890,0.75065610,0.27721800,0.33818890,0.76980860,0.27576660,0.31211480,0.78879090,0.28065440,0.29556840,0.79730350,0.30899650,0.34674130,0.82356130,0.30218760,0.34302490,0.86020060,0.31176580,0.34046900,0.88357200,0.31823220,0.35178310,0.81342230,0.32153460,0.34129370,0.84721210,0.34609320,0.33467000,0.86877680,0.36206470,0.34909670,0.79760220,0.33487260,0.31530940,0.81272550,0.34753970,0.30110480,0.79851970,0.33001140,0.35449400,0.74703160,0.31352280,0.34381870,0.77877140,0.34476980,0.31392900,0.78405280,0.35012690,0.30138840,0.78066420,0.33442560,0.29258550,0.79357950,0.33323390,0.34207010,0.90464390,0.32584720,0.33438020,0.88844940,0.37761050,0.31379170,0.78542580,0.31370400,0.30584490,0.77767910,0.31305860,1,4
0.36869840,0.73163760,0.27787240,0.36869840,0.73163760,0.27787240,0.36869840,0.73163760,0.27787240,0.35407500,0.75253580,0.27748630,0.33815980,0.77167460,0.27602250,0.31204070,0.79059250,0.28091970,0.29563100,0.79902890,0.30936390,0.34673340,0.82549630,0.30229540,0.34309070,0.86218480,0.31171200,0.34058660,0.88559000,0.31807630,0.35186170,0.81541350,0.32164910,0.34149770,0.84929250,0.34613810,0.33495540,0.87091500,0.36206490,0.34924580,0.79962470,0.33503800,0.31554860,0.81482740,0.34784930,0.30135950,0.80051840,0.33039260,0.35462360,0.74900570,0.31379850,0.34402890,0.78081320,0.34500410,0.31426820,0.78623630,0.35090930,0.30134420,0.78288930,0.33551290,0.29271660,0.79535490,0.33361720,0.34224130,0.90669610,0.32558400,0.33474440,0.89064200,0.37754280,0.31403240,0.78739160,0.31410060,0.30520210,0.77984000,0.31403880,1,4
0.36946810,0.73357510,0.27832500,0.36946810,0.73357510,0.27832500,0.36946810,0.73357510,0.27832500,0.35474020,0.75440000,0.27795100,0.33873810,0.77346610,0.27648550,0.31250720,0.79222270,0.28140590,0.29620740,0.80052110,0.30995370,0.34713820,0.82737930,0.30262580,0.34343030,0.86409770,0.31190000,0.34088860,0.88752310,0.31817410,0.35239390,0.81736580,0.32198130,0.34202440,0.85128530,0.34641180,0.33548000,0.87293490,0.36230090,0.34990990,0.80159470,0.33541600,0.31625240,0.81674860,0.34838850,0.30209690,0.80230740,0.33101360,0.35545220,0.75095490,0.31426850,0.34482600,0.78278020,0.34544510,0.31517620,0.78822210,0.35186830,0.30190890,0.78486800,0.33676840,0.29338110,0.79687890,0.33422230,0.34251360,0.90866580,0.32558470,0.33527160,0.89271030,0.37771700,0.31477170,0.78919190,0.31471400,0.30520900,0.78177730,0.31520740,1,4
0.37019570,0.73545350,0.27876400,0.37019570,0.73545350,0.27876400,0.37019570,0.73545350,0.27876400,0.35537030,0.75620930,0.27840310,0.33928720,0.77520720,0.27693730,0.31295230,0.79381080,0.28188250,0.29676350,0.80198010,0.31053050,0.34752840,0.82920660,0.30294970,0.34376300,0.86595310,0.31208790,0.34118770,0.88939760,0.31827620,0.35290670,0.81925960,0.32230590,0.34253360,0.85321990,0.34667820,0.33598820,0.87489680,0.36252970,0.35054860,0.80350660,0.33578450,0.31693780,0.81862310,0.34892050,0.30279250,0.80406690,0.33163340,0.35624150,0.75284680,0.31472500,0.34559140,0.78469090,0.34587440,0.31605700,0.79015540,0.35279120,0.30246630,0.78679530,0.33798310,0.29402330,0.79836950,0.33481360,0.34278430,0.91057500,0.32559330,0.33578290,0.89471940,0.37788500,0.31544680,0.79095440,0.31531560,0.30522890,0.78366280,0.31635270,1,4
0.37089000,0.73728540,0.27919250,0.37089000,0.73728540,0.27919250,0.37089000,0.73728540,0.27919250,0.35597270,0.75797550,0.27884560,0.33981810,0.77691190,0.27737210,0.31340200,0.79539570,0.28233360,0.29736450,0.80341720,0.31110830,0.34790690,0.83098970,0.30326870,0.34399700,0.86774520,0.31230970,0.34133200,0.89119580,0.31843660,0.35340390,0.82110750,0.32262470,0.34296470,0.85508390,0.34694620,0.33637820,0.87677220,0.36276500,0.35116720,0.80537310,0.33614560,0.31767920,0.82051350,0.34956450,0.30335180,0.80596360,0.33242270,0.35699980,0.75469400,0.31517080,0.34633170,0.78655730,0.34629430,0.31687260,0.79201390,0.35353110,0.30311540,0.78859280,0.33889170,0.29471790,0.79982360,0.33540430,0.34286050,0.91240220,0.32568430,0.33613840,0.89663390,0.37806930,0.31580110,0.79281310,0.31597820,0.30563370,0.78539370,0.31724120,1,4
0.37068480,0.73833300,0.28017900,0.37068480,0.73833300,0.28017900,0.37068480,0.73833300,0.28017900,0.35575470,0.75901320,0.27979350,0.33959900,0.77794460,0.27826740,0.31317720,0.79642450,0.28321310,0.29734860,0.80446130,0.31209890,0.34776910,0.83215450,0.30386040,0.34387030,0.86896320,0.31268690,0.34121500,0.89245000,0.31867770,0.35336650,0.82238010,0.32324230,0.34301800,0.85649350,0.34741020,0.33649080,0.87827100,0.36313070,0.35120480,0.80671780,0.33685900,0.31790760,0.82204980,0.35053290,0.30333650,0.80749950,0.33359830,0.35696200,0.75592900,0.31613040,0.34642950,0.78795480,0.34713300,0.31708080,0.79354440,0.35470880,0.30312350,0.79007170,0.34027220,0.29480620,0.80097700,0.33642200,0.34276520,0.91370250,0.32578420,0.33630900,0.89822320,0.37831770,0.31552150,0.79421090,0.31706700,0.30534640,0.78672670,0.31861140,1,4
0.37053280,0.73941450,0.28111070,0.37053280,0.73941450,0.28111070,0.37053280,0.73941450,0.28111070,0.35558600,0.76008190,0.28069180,0.33942540,0.77900520,0.27911810,0.31299330,0.79747370,0.28405200,0.29736640,0.80551790,0.31304530,0.34766270,0.83333890,0.30442530,0.34377070,0.87019640,0.31304880,0.34112190,0.89371640,0.31891090,0.35335980,0.82366680,0.32382950,0.34309330,0.85790740,0.34785230,0.33661990,0.87976780,0.36347980,0.35127450,0.80807240,0.33753560,0.31816220,0.82358250,0.35145560,0.30336070,0.80903240,0.33472160,0.35696930,0.75718310,0.31703760,0.34656200,0.78935850,0.34792750,0.31732810,0.79507740,0.35584310,0.30317090,0.79156020,0.34161350,0.29492540,0.80213540,0.33739310,0.34268910,0.91501210,0.32588290,0.33649080,0.89980490,0.37855500,0.31529100,0.79561530,0.31810860,0.30509040,0.78807900,0.31994520,1,4
0.37042250,0.74052300,0.28199990,0.37042250,0.74052300,0.28199990,0.37042250,0.74052300,0.28199990,0.35545620,0.76117580,0.28155160,0.33928700,0.78008810,0.27993520,0.31289210,0.79861000,0.28486760,0.29746430,0.80672900,0.31394660,0.34758100,0.83453940,0.30496940,0.34367720,0.87143150,0.31343830,0.34102280,0.89497510,0.31920250,0.35337710,0.82496570,0.32439300,0.34323970,0.85947550,0.34808300,0.33684980,0.88151090,0.36349760,0.35136950,0.80943570,0.33818360,0.31836920,0.82508100,0.35221770,0.30348150,0.81042970,0.33564940,0.35701200,0.75845300,0.31790410,0.34672160,0.79076800,0.34868720,0.31762280,0.79667890,0.35695180,0.30325790,0.79309640,0.34294840,0.29516260,0.80342640,0.33831900,0.34263510,0.91630200,0.32606810,0.33680060,0.90171220,0.37835250,0.31528050,0.79689000,0.31904210,0.30488020,0.78941700,0.32128860,1,4
