RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.37569010,1.01458800,0.47357640,0.37569010,1.01458800,0.47357640,0.37569010,1.01458800,0.47357640,0.37589140,1.03568900,0.48703090,0.37716620,1.05733000,0.49836520,0.37090640,1.08551500,0.51217180,0.35454840,1.10839800,0.52992610,0.36648820,1.06571400,0.55615450,0.34770240,1.09549600,0.56855960,0.33977660,1.11482200,0.55689950,0.34842020,1.05322500,0.55503980,0.33033370,1.09138300,0.55357070,0.33867450,1.09013800,0.52779790,0.33214700,1.04649400,0.54460210,0.31889860,1.08197600,0.53836850,0.33213590,1.07858200,0.51606550,0.34240920,1.02625300,0.49547680,0.31753010,1.04155600,0.52962300,0.31041750,1.07090900,0.53110680,0.32120550,1.06975700,0.51431380,0.34320320,1.12679900,0.54088180,0.33229910,1.13102000,0.54396190,0.35327010,1.07102200,0.52262470,0.34349080,1.05760000,0.51865760,0.33123640,1.05064000,0.51330300,12,5
0.37607180,1.01250600,0.47274040,0.37607180,1.01250600,0.47274040,0.37607180,1.01250600,0.47274040,0.37625050,1.03362500,0.48616790,0.37749980,1.05528300,0.49747220,0.37120350,1.08346700,0.51126380,0.35503790,1.10644400,0.52907350,0.36697340,1.06370700,0.55528350,0.34833130,1.09348600,0.56790830,0.34022800,1.11286400,0.55645800,0.34894060,1.05116000,0.55424170,0.33076380,1.08927200,0.55265650,0.33906780,1.08791500,0.52687730,0.33265530,1.04436600,0.54386390,0.31932840,1.07981900,0.53763220,0.33243220,1.07638100,0.51525740,0.34282450,1.02409600,0.49473150,0.31800650,1.03936500,0.52893740,0.31078680,1.06868900,0.53046810,0.32150960,1.06760900,0.51362860,0.34384890,1.12492100,0.54006100,0.33254300,1.12913500,0.54373500,0.35369390,1.06880300,0.52178030,0.34382140,1.05541500,0.51783860,0.33162350,1.04853900,0.51253790,12,5
0.37643030,1.01048300,0.47193780,0.37643030,1.01048300,0.47193780,0.37643030,1.01048300,0.47193780,0.37658840,1.03161800,0.48533990,0.37791090,1.05327700,0.49663380,0.37166120,1.08153400,0.51029740,0.35545360,1.10455400,0.52801170,0.36741990,1.06175600,0.55444560,0.34878550,1.09125600,0.56772080,0.34042600,1.11078900,0.55672670,0.34941870,1.04915900,0.55346830,0.33126010,1.08726800,0.55163190,0.33951250,1.08564400,0.52585170,0.33312340,1.04230800,0.54314360,0.31971810,1.07774300,0.53697400,0.33268500,1.07423800,0.51452960,0.34321230,1.02200800,0.49400720,0.31844710,1.03724900,0.52826350,0.31121810,1.06657500,0.52972290,0.32188240,1.06537300,0.51285450,0.34416650,1.12301700,0.53892440,0.33245950,1.12726200,0.54444550,0.35410610,1.06646300,0.52091980,0.34407440,1.05327700,0.51714090,0.33192590,1.04625700,0.51193900,12,5
0.37671050,1.00886700,0.47006300,0.37671050,1.00886700,0.47006300,0.37671050,1.00886700,0.47006300,0.37702620,1.03001100,0.48344820,0.37857710,1.05166200,0.49472900,0.37257260,1.08000100,0.50833230,0.35656220,1.10312500,0.52609170,0.36857860,1.06020800,0.55262030,0.35019790,1.08952700,0.56662950,0.34160670,1.10923000,0.55612730,0.35055380,1.04763200,0.55183030,0.33253610,1.08580300,0.54991070,0.34054170,1.08391700,0.52407050,0.33414890,1.04079300,0.54167230,0.32076090,1.07626300,0.53566980,0.33342030,1.07265700,0.51306650,0.34372640,1.02044700,0.49245250,0.31931990,1.03574100,0.52694200,0.31219800,1.06509300,0.52840410,0.32267770,1.06375600,0.51143040,0.34535320,1.12162000,0.53702940,0.33336160,1.12591400,0.54432370,0.35500010,1.06462600,0.51917270,0.34475130,1.05165600,0.51561330,0.33258770,1.04456700,0.51058330,12,5
0.37698640,1.00722400,0.46829940,0.37698640,1.00722400,0.46829940,0.37698640,1.00722400,0.46829940,0.37744340,1.02837700,0.48166620,0.37914390,1.05003000,0.49292160,0.37330170,1.07841700,0.50649610,0.35748860,1.10162000,0.52432780,0.36964570,1.05863100,0.55088960,0.35159920,1.08783100,0.56556740,0.34284750,1.10765600,0.55543580,0.35160190,1.04607200,0.55026980,0.33369140,1.08428900,0.54825260,0.34151360,1.08213500,0.52237740,0.33509980,1.03924300,0.54026410,0.32174790,1.07475800,0.53444860,0.33409240,1.07098200,0.51169940,0.34421580,1.01885300,0.49097500,0.32013450,1.03419600,0.52567060,0.31312130,1.06357500,0.52710210,0.32343800,1.06207600,0.51004250,0.34635840,1.12013500,0.53531280,0.33441380,1.12447300,0.54395920,0.35586260,1.06274200,0.51756010,0.34533580,1.04993000,0.51421500,0.33317630,1.04279300,0.50936950,12,5
0.37682860,1.00559400,0.46558400,0.37682860,1.00559400,0.46558400,0.37682860,1.00559400,0.46558400,0.37735470,1.02672900,0.47897650,0.37913340,1.04836400,0.49025320,0.37336180,1.07675400,0.50385120,0.35767110,1.09996400,0.52178250,0.37003240,1.05687500,0.54829890,0.35224940,1.08588600,0.56365590,0.34331450,1.10583000,0.55392380,0.35200290,1.04429000,0.54779700,0.33410360,1.08251000,0.54573970,0.34178090,1.08017000,0.51983720,0.33543630,1.03745000,0.53790580,0.32204390,1.07298800,0.53232870,0.33411480,1.06912200,0.50944810,0.34421210,1.01714200,0.48852120,0.32036930,1.03240100,0.52341810,0.31338540,1.06178600,0.52487400,0.32356630,1.06019300,0.50774150,0.34656650,1.11845100,0.53283950,0.33467640,1.12277900,0.54279910,0.35607810,1.06072500,0.51507470,0.34532120,1.04804400,0.51190560,0.33318970,1.04084800,0.50721020,12,5
0.37670180,1.00394200,0.46301670,0.37670180,1.00394200,0.46301670,0.37670180,1.00394200,0.46301670,0.37729220,1.02506100,0.47643100,0.37914370,1.04668200,0.48772460,0.37343710,1.07507600,0.50134130,0.35786620,1.09829700,0.51936280,0.37041290,1.05511400,0.54583930,0.35289510,1.08395400,0.56181070,0.34379950,1.10400300,0.55245100,0.35239780,1.04250500,0.54544810,0.33450760,1.08072700,0.54334830,0.34204900,1.07821000,0.51742240,0.33577200,1.03565400,0.53566460,0.32234530,1.07121200,0.53030540,0.33415920,1.06726000,0.50730590,0.34423040,1.01541700,0.48619520,0.32061110,1.03060100,0.52127640,0.31365310,1.05999100,0.52275280,0.32370680,1.05831000,0.50555370,0.34679020,1.11676200,0.53048540,0.33497910,1.12107100,0.54165550,0.35629910,1.05871700,0.51271430,0.34533140,1.04615700,0.50971270,0.33322660,1.03891100,0.50515670,12,5
0.37659960,1.00227400,0.46056840,0.37659960,1.00227400,0.46056840,0.37659960,1.00227400,0.46056840,0.37725050,1.02338100,0.47400090,0.37911870,1.04499700,0.48530100,0.37342300,1.07336800,0.49896930,0.35799230,1.09658800,0.51711180,0.37078810,1.05335100,0.54348480,0.35347000,1.08198300,0.56003740,0.34420660,1.10214100,0.55108580,0.35278730,1.04071800,0.54319860,0.33484510,1.07892500,0.54126470,0.34224710,1.07633800,0.51530550,0.33610650,1.03385600,0.53351720,0.32263530,1.06943300,0.52840040,0.33419420,1.06544600,0.50527750,0.34426620,1.01368300,0.48397180,0.32085800,1.02879900,0.51922350,0.31386720,1.05817900,0.52074350,0.32384000,1.05647300,0.50349990,0.34703460,1.11507300,0.52831790,0.33520170,1.11933700,0.54065160,0.35647460,1.05682600,0.51060990,0.34535270,1.04432600,0.50758830,0.33330730,1.03704600,0.50320890,12,5
0.37646270,1.00013800,0.45860010,0.37646270,1.00013800,0.45860010,0.37646270,1.00013800,0.45860010,0.37717300,1.02123200,0.47204870,0.37908370,1.04283600,0.48336570,0.37344400,1.07122700,0.49701490,0.35812070,1.09455400,0.51511160,0.37061880,1.05119000,0.54152930,0.35353040,1.07973400,0.55846870,0.34432510,1.10005200,0.54982240,0.35255570,1.03864900,0.54117190,0.33482870,1.07695300,0.53919350,0.34233620,1.07423000,0.51327860,0.33587450,1.03187700,0.53142780,0.32263920,1.06755500,0.52640120,0.33414950,1.06345000,0.50327490,0.34410560,1.01169500,0.48189800,0.32065080,1.02690600,0.51707760,0.31380050,1.05632100,0.51855940,0.32385260,1.05451900,0.50137160,0.34728540,1.11313300,0.52628170,0.33535620,1.11742400,0.53965210,0.35646240,1.05460500,0.50875160,0.34513580,1.04224200,0.50561230,0.33314560,1.03500600,0.50128710,12,5
0.37634530,0.99802870,0.45667330,0.37634530,0.99802870,0.45667330,0.37634530,0.99802870,0.45667330,0.37711230,1.01911200,0.47013640,0.37906150,1.04070400,0.48146770,0.37347100,1.06911500,0.49509670,0.35826050,1.09254600,0.51315370,0.37049230,1.04905900,0.53961540,0.35364960,1.07749200,0.55698140,0.34448620,1.09796800,0.54867160,0.35237350,1.03660000,0.53919810,0.33484670,1.07499400,0.53717140,0.34244700,1.07212200,0.51129960,0.33569010,1.02990900,0.52940150,0.32267530,1.06568300,0.52447780,0.33411590,1.06145700,0.50133860,0.34397340,1.00971900,0.47988390,0.32048570,1.02501600,0.51500420,0.31376430,1.05446300,0.51644800,0.32388560,1.05256300,0.49931130,0.34755000,1.11121600,0.52429200,0.33553580,1.11551700,0.53879330,0.35647420,1.05238700,0.50694720,0.34493620,1.04016700,0.50369880,0.33300510,1.03296800,0.49944000,12,5
