RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35659830,0.85128830,0.35822650,0.35659830,0.85128830,0.35822650,0.35659830,0.85128830,0.35822650,0.33207510,0.85420700,0.36227930,0.30778250,0.85518810,0.36498740,0.27854040,0.84713010,0.37519340,0.25227000,0.84193790,0.39492520,0.27890860,0.89784380,0.39448420,0.24688390,0.88030140,0.40225540,0.23683620,0.85874110,0.40480100,0.29298920,0.89612910,0.41129160,0.26086240,0.87183250,0.42405560,0.27435800,0.85413840,0.40855890,0.30522510,0.88469170,0.42306180,0.27577270,0.86160370,0.43159840,0.28681260,0.84581350,0.41390780,0.34156230,0.85439340,0.39679590,0.31738820,0.86918580,0.43166580,0.29162730,0.85523070,0.43914950,0.29717850,0.84622970,0.42218250,0.23216070,0.83584340,0.40700070,0.22782530,0.83898680,0.40857370,0.29323230,0.86217690,0.39498160,0.30536970,0.85641040,0.40298750,0.31268480,0.85550760,0.41032490,12,7
0.35676680,0.85132500,0.35789830,0.35676680,0.85132500,0.35789830,0.35676680,0.85132500,0.35789830,0.33227440,0.85455940,0.36189760,0.30798690,0.85588040,0.36450510,0.27861460,0.84830280,0.37470510,0.25227090,0.84366450,0.39447710,0.27956230,0.89919560,0.39347360,0.24739650,0.88200140,0.40143820,0.23717970,0.86055580,0.40426460,0.29361720,0.89756160,0.41031050,0.26126820,0.87372150,0.42337060,0.27462060,0.85574140,0.40808040,0.30572620,0.88615700,0.42224280,0.27604680,0.86350020,0.43114080,0.28686840,0.84739850,0.41359650,0.34174950,0.85511740,0.39641350,0.31772030,0.87064190,0.43106470,0.29182070,0.85714570,0.43890310,0.29721430,0.84790780,0.42201270,0.23207560,0.83795500,0.40659720,0.22798120,0.84094130,0.40830380,0.29355110,0.86353150,0.39443680,0.30549300,0.85774180,0.40254880,0.31278570,0.85693400,0.41004650,12,7
0.35691550,0.85133310,0.35760270,0.35691550,0.85133310,0.35760270,0.35691550,0.85133310,0.35760270,0.33245570,0.85487120,0.36154390,0.30817700,0.85651890,0.36404610,0.27868240,0.84939720,0.37422170,0.25227710,0.84527720,0.39402630,0.28019170,0.90044010,0.39252700,0.24789110,0.88357910,0.40065660,0.23751520,0.86224440,0.40373100,0.29421890,0.89886870,0.40939300,0.26165350,0.87546780,0.42270740,0.27486190,0.85722230,0.40760770,0.30620150,0.88748750,0.42147420,0.27630370,0.86524920,0.43069090,0.28690580,0.84885960,0.41327980,0.34191550,0.85575800,0.39605710,0.31802840,0.87195910,0.43049610,0.29200010,0.85890570,0.43865140,0.29723810,0.84945430,0.42183040,0.23200480,0.83992950,0.40618270,0.22813760,0.84276510,0.40800640,0.29384910,0.86477620,0.39391030,0.30559800,0.85895590,0.40211810,0.31287090,0.85823330,0.40976100,12,7
0.35704880,0.85131880,0.35733240,0.35704880,0.85131880,0.35733240,0.35704880,0.85131880,0.35733240,0.33262340,0.85515080,0.36121180,0.30835910,0.85709460,0.36363940,0.27872110,0.85062750,0.37383510,0.25219270,0.84723020,0.39361230,0.28080430,0.90159990,0.39162990,0.24833380,0.88521920,0.40005910,0.23768750,0.86405280,0.40336470,0.29480190,0.90007710,0.40852490,0.26197150,0.87720750,0.42210900,0.27501910,0.85868050,0.40721370,0.30665840,0.88871220,0.42074510,0.27649000,0.86699580,0.43031780,0.28691180,0.85035300,0.41303840,0.34206560,0.85633300,0.39572100,0.31831920,0.87316730,0.42995300,0.29216580,0.86058570,0.43844280,0.29712760,0.85084310,0.42170440,0.23174260,0.84239490,0.40568530,0.22799570,0.84478080,0.40787220,0.29406830,0.86601680,0.39348400,0.30568170,0.86020990,0.40179360,0.31280600,0.85927830,0.40945050,12,7
0.35754980,0.85173990,0.35698860,0.35754980,0.85173990,0.35698860,0.35754980,0.85173990,0.35698860,0.33313180,0.85568150,0.36080390,0.30886920,0.85773470,0.36315790,0.27915360,0.85169620,0.37339070,0.25255700,0.84884290,0.39316230,0.28140740,0.90267000,0.39054740,0.24890880,0.88652740,0.39932080,0.23817440,0.86545270,0.40291480,0.29539500,0.90135200,0.40746780,0.26249360,0.87878770,0.42138660,0.27551800,0.86004640,0.40674120,0.30722090,0.89013230,0.41985080,0.27696710,0.86872350,0.42983790,0.28732260,0.85186000,0.41273360,0.34256350,0.85732530,0.39529710,0.31884260,0.87469130,0.42928020,0.29267310,0.86240380,0.43814270,0.29743040,0.85237250,0.42151580,0.23199110,0.84437460,0.40517980,0.22833860,0.84632250,0.40770560,0.29456400,0.86727580,0.39295050,0.30608700,0.86158710,0.40136710,0.31307820,0.86054970,0.40904970,12,7
0.35801000,0.85210860,0.35666740,0.35801000,0.85210860,0.35666740,0.35801000,0.85210860,0.35666740,0.33360160,0.85617120,0.36041660,0.30934210,0.85834610,0.36269240,0.27954830,0.85273670,0.37294190,0.25288950,0.85041590,0.39269930,0.28199890,0.90369660,0.38951130,0.24946430,0.88780190,0.39859830,0.23863600,0.86682250,0.40245820,0.29597350,0.90255990,0.40645560,0.26298780,0.88030950,0.42067690,0.27597770,0.86136150,0.40626880,0.30775980,0.89146910,0.41899150,0.27740960,0.87038080,0.42936070,0.28768500,0.85330260,0.41242200,0.34301950,0.85823980,0.39489060,0.31933120,0.87611930,0.42862940,0.29313940,0.86413920,0.43784030,0.29769320,0.85383700,0.42132240,0.23221410,0.84630810,0.40465750,0.22865340,0.84783630,0.40751070,0.29502720,0.86847970,0.39242520,0.30645220,0.86289110,0.40094300,0.31331630,0.86175400,0.40865890,12,7
0.35843830,0.85243630,0.35636400,0.35843830,0.85243630,0.35636400,0.35843830,0.85243630,0.35636400,0.33404140,0.85662850,0.36004520,0.30978490,0.85895790,0.36219470,0.27991410,0.85365530,0.37238360,0.25315170,0.85173410,0.39204370,0.28258250,0.90468760,0.38851090,0.24993590,0.88912930,0.39777660,0.23887180,0.86832840,0.40192290,0.29654190,0.90371380,0.40547790,0.26344710,0.88186010,0.42005650,0.27624820,0.86262020,0.40586800,0.30828180,0.89273940,0.41815890,0.27776460,0.87211660,0.42896480,0.28779560,0.85467940,0.41224680,0.34344350,0.85909300,0.39449750,0.31979420,0.87747110,0.42799490,0.29354130,0.86591760,0.43756980,0.29784650,0.85526110,0.42121060,0.23237890,0.84789470,0.40392190,0.22877080,0.84946820,0.40720710,0.29530760,0.86943350,0.39188530,0.30661620,0.86386220,0.40052590,0.31344580,0.86270340,0.40823380,12,7
0.35916840,0.85283200,0.35620360,0.35916840,0.85283200,0.35620360,0.35916840,0.85283200,0.35620360,0.33483070,0.85721340,0.36005290,0.31060540,0.85977970,0.36228330,0.28070420,0.85476580,0.37252890,0.25397270,0.85305010,0.39224990,0.28395490,0.90557740,0.38904540,0.25119160,0.89035430,0.39845480,0.23983380,0.86971370,0.40260830,0.29800880,0.90441020,0.40592200,0.26480050,0.88286880,0.42070580,0.27722830,0.86352350,0.40632980,0.30973260,0.89328070,0.41848220,0.27903180,0.87308750,0.42957570,0.28862460,0.85553970,0.41271680,0.34446330,0.85944480,0.39445740,0.32117510,0.87787210,0.42817990,0.29487980,0.86670860,0.43809490,0.29877510,0.85596870,0.42168780,0.23316930,0.84938540,0.40412970,0.22955610,0.85094450,0.40787560,0.29623430,0.87018490,0.39220190,0.30745520,0.86443640,0.40079310,0.31429050,0.86309460,0.40843560,12,7
0.35985150,0.85319410,0.35604300,0.35985150,0.85319410,0.35604300,0.35985150,0.85319410,0.35604300,0.33557250,0.85776500,0.36003920,0.31137930,0.86056660,0.36233400,0.28144510,0.85585250,0.37262560,0.25473860,0.85436330,0.39239870,0.28525960,0.90645220,0.38946980,0.25238450,0.89156350,0.39902300,0.24074540,0.87108470,0.40319850,0.29939430,0.90511070,0.40626570,0.26607130,0.88388920,0.42125270,0.27814200,0.86443420,0.40672140,0.31109250,0.89384130,0.41872470,0.28021690,0.87407900,0.43010530,0.28938890,0.85641740,0.41313150,0.34540920,0.85979910,0.39439820,0.32245820,0.87830510,0.42830830,0.29612820,0.86753140,0.43855660,0.29962770,0.85670420,0.42211770,0.23390080,0.85088670,0.40427500,0.23029030,0.85241330,0.40846410,0.29710080,0.87094060,0.39245850,0.30822700,0.86503080,0.40101340,0.31505610,0.86351700,0.40860200,12,7
0.36049740,0.85352950,0.35588250,0.36049740,0.85352950,0.35588250,0.36049740,0.85352950,0.35588250,0.33627670,0.85828990,0.36000870,0.31212290,0.86122140,0.36254450,0.28224300,0.85681780,0.37312700,0.25556400,0.85563320,0.39295790,0.28651090,0.90731440,0.38980740,0.25364620,0.89258690,0.39964260,0.24178330,0.87224150,0.40384010,0.30071550,0.90581330,0.40653070,0.26731930,0.88488300,0.42176220,0.27909680,0.86543120,0.40698810,0.31238080,0.89441610,0.41890380,0.28134890,0.87505770,0.43055050,0.29008390,0.85725490,0.41349390,0.34629680,0.86015490,0.39432420,0.32366440,0.87876220,0.42839270,0.29732150,0.86840000,0.43902510,0.30014650,0.85730860,0.42263260,0.23470590,0.85239480,0.40486570,0.23116300,0.85366670,0.40911690,0.29796580,0.87193490,0.39260540,0.30892840,0.86555330,0.40116770,0.31535810,0.86346130,0.40856580,12,7
