RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.38819440,0.81930600,0.37893220,0.38819440,0.81930600,0.37893220,0.38819440,0.81930600,0.37893220,0.38601070,0.84334750,0.37233160,0.38253880,0.86727450,0.36860690,0.37954380,0.89863940,0.37421640,0.38491670,0.93060210,0.38169630,0.42103590,0.90275120,0.34051290,0.41294710,0.93401930,0.35923690,0.40224490,0.94952540,0.37397850,0.43668920,0.89628790,0.35454480,0.42185440,0.92893960,0.37688700,0.40024500,0.91323920,0.38156600,0.44226040,0.89003730,0.37322530,0.42312480,0.91751120,0.39199720,0.40142760,0.90310560,0.39442200,0.41483360,0.84782670,0.39308290,0.44301330,0.88282480,0.39346920,0.42640140,0.90580800,0.40396660,0.40877110,0.89643350,0.40296460,0.38381900,0.95433040,0.38650310,0.39315190,0.96324130,0.38863620,0.40081520,0.89269830,0.36804040,0.40274680,0.88219330,0.38272370,0.40722490,0.87782070,0.39208800,12,6
0.38812540,0.81967230,0.37964990,0.38812540,0.81967230,0.37964990,0.38812540,0.81967230,0.37964990,0.38564920,0.84373900,0.37324720,0.38186910,0.86763750,0.36964130,0.37839660,0.89889000,0.37559210,0.38351380,0.93077530,0.38356550,0.41983100,0.90373130,0.34161610,0.41139360,0.93462740,0.36079840,0.40066380,0.94990890,0.37575270,0.43565440,0.89732280,0.35548120,0.42071070,0.92967470,0.37818410,0.39927840,0.91373780,0.38287780,0.44142940,0.89098980,0.37407190,0.42218340,0.91813220,0.39320960,0.40052180,0.90369450,0.39575870,0.41458140,0.84835580,0.39381540,0.44240820,0.88363450,0.39425470,0.42527790,0.90607490,0.40508780,0.40761760,0.89674420,0.40421320,0.38230690,0.95440020,0.38883330,0.39165130,0.96350750,0.39056860,0.39994440,0.89331540,0.36917830,0.40159390,0.88281330,0.38397990,0.40568320,0.87822760,0.39323510,12,6
0.38803970,0.82000800,0.38036310,0.38803970,0.82000800,0.38036310,0.38803970,0.82000800,0.38036310,0.38528510,0.84409670,0.37415950,0.38120970,0.86796440,0.37067440,0.37727200,0.89909390,0.37697100,0.38214250,0.93088980,0.38544050,0.41866360,0.90465700,0.34275370,0.40990870,0.93516850,0.36240360,0.39915100,0.95022270,0.37756700,0.43464280,0.89830020,0.35646310,0.41956950,0.93033950,0.37952100,0.39831380,0.91416360,0.38420070,0.44060580,0.89188500,0.37496600,0.42123660,0.91868640,0.39445680,0.39961170,0.90421220,0.39710780,0.41431020,0.84884270,0.39456670,0.44179380,0.88438850,0.39508550,0.42415660,0.90627490,0.40623420,0.40647660,0.89697210,0.40546830,0.38083340,0.95440270,0.39116530,0.39021190,0.96369740,0.39253970,0.39908890,0.89386680,0.37032140,0.40044610,0.88336470,0.38525030,0.40418340,0.87855450,0.39439310,12,6
0.38794090,0.82031980,0.38107310,0.38794090,0.82031980,0.38107310,0.38794090,0.82031980,0.38107310,0.38491920,0.84442710,0.37506960,0.38055910,0.86826240,0.37170820,0.37622600,0.89928470,0.37826820,0.38083850,0.93102550,0.38708180,0.41752500,0.90553800,0.34391960,0.40870310,0.93582080,0.36389070,0.39794780,0.95069250,0.37923460,0.43364890,0.89923100,0.35748180,0.41822810,0.93080370,0.38094960,0.39728830,0.91415940,0.38540520,0.43978760,0.89273370,0.37589850,0.42023620,0.91913250,0.39575350,0.39878230,0.90438300,0.39827340,0.41402430,0.84929600,0.39533330,0.44117180,0.88509760,0.39595280,0.42323670,0.90657220,0.40742210,0.40569490,0.89702590,0.40649180,0.37948160,0.95444100,0.39318230,0.38903540,0.96401300,0.39436050,0.39843800,0.89408540,0.37123090,0.39978990,0.88368490,0.38617010,0.40369860,0.87875090,0.39512680,12,6
0.38739050,0.82049630,0.38227770,0.38739050,0.82049630,0.38227770,0.38739050,0.82049630,0.38227770,0.38410420,0.84457550,0.37630060,0.37942140,0.86833940,0.37286920,0.37445700,0.89925830,0.37947010,0.37853990,0.93099530,0.38855440,0.41619640,0.90619930,0.34563170,0.40684620,0.93629620,0.36564330,0.39578000,0.95101000,0.38091830,0.43226460,0.90007680,0.35934360,0.41601000,0.93124210,0.38279340,0.39538040,0.91409870,0.38677880,0.43830200,0.89361700,0.37780690,0.41814360,0.91963070,0.39756280,0.39687150,0.90456000,0.39969330,0.41293190,0.84978650,0.39687340,0.43958440,0.88595010,0.39785620,0.42105390,0.90696570,0.40922900,0.40368680,0.89714680,0.40793000,0.37693590,0.95433130,0.39489480,0.38659610,0.96421320,0.39598460,0.39719200,0.89418570,0.37244740,0.39828850,0.88394660,0.38748680,0.40215560,0.87895160,0.39636640,12,6
0.38686910,0.82066770,0.38343860,0.38686910,0.82066770,0.38343860,0.38686910,0.82066770,0.38343860,0.38332470,0.84471990,0.37750040,0.37833120,0.86841210,0.37401180,0.37275590,0.89921370,0.38067290,0.37633310,0.93092810,0.39004480,0.41489200,0.90684590,0.34730340,0.40504330,0.93673300,0.36739020,0.39369090,0.95127870,0.38261620,0.43091250,0.90089170,0.36114470,0.41388340,0.93164090,0.38459420,0.39356940,0.91402940,0.38813480,0.43686430,0.89445590,0.37964410,0.41614070,0.92007810,0.39932670,0.39504530,0.90471520,0.40109660,0.41189300,0.85024340,0.39835170,0.43806290,0.88674660,0.39968240,0.41895010,0.90727980,0.41097250,0.40174670,0.89722530,0.40934040,0.37449600,0.95417540,0.39664300,0.38426250,0.96435760,0.39763980,0.39600210,0.89429320,0.37365160,0.39681900,0.88418910,0.38879020,0.40060700,0.87912030,0.39759150,12,6
0.38634940,0.82084300,0.38461590,0.38634940,0.82084300,0.38461590,0.38634940,0.82084300,0.38461590,0.38253970,0.84486760,0.37873090,0.37718900,0.86845860,0.37508870,0.37087080,0.89911620,0.38175070,0.37371460,0.93085400,0.39129350,0.41354370,0.90751080,0.34902240,0.40308870,0.93703060,0.36934440,0.39134790,0.95124420,0.38458940,0.42952210,0.90171790,0.36298030,0.41179950,0.93205780,0.38644900,0.39171730,0.91411300,0.38961900,0.43539960,0.89529460,0.38150780,0.41398330,0.92036020,0.40116550,0.39314260,0.90460770,0.40246540,0.41085330,0.85069120,0.39984630,0.43652800,0.88753000,0.40152880,0.41677940,0.90749870,0.41273660,0.39991260,0.89697460,0.41062290,0.37142390,0.95402410,0.39801950,0.38145400,0.96391400,0.39966410,0.39461930,0.89452800,0.37501750,0.39543070,0.88424610,0.38997210,0.39950360,0.87900700,0.39861790,12,6
0.38590350,0.82127820,0.38556220,0.38590350,0.82127820,0.38556220,0.38590350,0.82127820,0.38556220,0.38179000,0.84529110,0.37983550,0.37607180,0.86879130,0.37616570,0.36910480,0.89927460,0.38297920,0.37134540,0.93098410,0.39277300,0.41198880,0.90850790,0.35051560,0.40114230,0.93760440,0.37123910,0.38917710,0.95145580,0.38664230,0.42804780,0.90282480,0.36442600,0.40987210,0.93268680,0.38815960,0.39005280,0.91441160,0.39108680,0.43401780,0.89635550,0.38290780,0.41213080,0.92082370,0.40279850,0.39154500,0.90471740,0.40378960,0.41004310,0.85133090,0.40097130,0.43525680,0.88847600,0.40287730,0.41500190,0.90784740,0.41422920,0.39842840,0.89693450,0.41179200,0.36869900,0.95404810,0.39972960,0.37899740,0.96370040,0.40187720,0.39328210,0.89502940,0.37628480,0.39418530,0.88455440,0.39104620,0.39854500,0.87915060,0.39951000,12,6
0.38547110,0.82168560,0.38649540,0.38547110,0.82168560,0.38649540,0.38547110,0.82168560,0.38649540,0.38106360,0.84568280,0.38092420,0.37499290,0.86909100,0.37723200,0.36739920,0.89938940,0.38419830,0.36906440,0.93105290,0.39425260,0.41047930,0.90944840,0.35199900,0.39925510,0.93812380,0.37310480,0.38707830,0.95162340,0.38865370,0.42661230,0.90387190,0.36586700,0.40799380,0.93325530,0.38985340,0.38843950,0.91465900,0.39253020,0.43266850,0.89735740,0.38430480,0.41033570,0.92123980,0.40441070,0.38999640,0.90480780,0.40509980,0.40925050,0.85193010,0.40208800,0.43401180,0.88936590,0.40422300,0.41327050,0.90813930,0.41570020,0.39697570,0.89688490,0.41295550,0.36608550,0.95400270,0.40144800,0.37663600,0.96346140,0.40403170,0.39199450,0.89548600,0.37753180,0.39295980,0.88484070,0.39212110,0.39756090,0.87929180,0.40041490,12,6
0.38505780,0.82206420,0.38739940,0.38505780,0.82206420,0.38739940,0.38505780,0.82206420,0.38739940,0.38036990,0.84604260,0.38197820,0.37392580,0.86933030,0.37815880,0.36561300,0.89942400,0.38519160,0.36665470,0.93103540,0.39549030,0.40903390,0.91032470,0.35344430,0.39716050,0.93854050,0.37481260,0.38473180,0.95168350,0.39046750,0.42523430,0.90485040,0.36727440,0.40630770,0.93391780,0.39140430,0.38714950,0.91488490,0.39386890,0.43137060,0.89829250,0.38567030,0.40871330,0.92172420,0.40594270,0.38864960,0.90494910,0.40640300,0.40848750,0.85248610,0.40317520,0.43281200,0.89019350,0.40553810,0.41189640,0.90868410,0.41715760,0.39586010,0.89712790,0.41415700,0.36323710,0.95386970,0.40285630,0.37403490,0.96315960,0.40594430,0.39114550,0.89592810,0.37870750,0.39196590,0.88515830,0.39324100,0.39697390,0.87971170,0.40140700,12,6
