RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.40017100,0.81746880,0.42868410,0.40017100,0.81746880,0.42868410,0.40017100,0.81746880,0.42868410,0.40403320,0.83511880,0.44600140,0.40867050,0.85368790,0.46123670,0.40680490,0.87872390,0.48108390,0.39273260,0.89774580,0.50446280,0.40451820,0.85053000,0.52036710,0.38739820,0.87428830,0.54352240,0.38028370,0.89652210,0.53829510,0.38510560,0.84031060,0.51881740,0.37100990,0.87843380,0.53036340,0.37731270,0.88029790,0.50405450,0.36727860,0.83750400,0.50915340,0.35823460,0.87441750,0.51453530,0.36702520,0.87407640,0.48990240,0.37060090,0.82728410,0.45611750,0.35088110,0.83725090,0.49524430,0.34780510,0.86719820,0.49808470,0.35881410,0.86654200,0.48140880,0.38962200,0.91658600,0.51938650,0.37317750,0.91623780,0.53147940,0.38895200,0.86040890,0.49544350,0.37525700,0.85182670,0.48628350,0.36682020,0.84668480,0.47845550,12,1
0.40047140,0.81706040,0.42849600,0.40047140,0.81706040,0.42849600,0.40047140,0.81706040,0.42849600,0.40433640,0.83490670,0.44561050,0.40902150,0.85363790,0.46063110,0.40709870,0.87905660,0.47998020,0.39271320,0.89829730,0.50298640,0.40521610,0.85106380,0.51981410,0.38818000,0.87490000,0.54295100,0.38079320,0.89706990,0.53783070,0.38585860,0.84070800,0.51849590,0.37159030,0.87898870,0.52928420,0.37783500,0.88045620,0.50293640,0.36798620,0.83769330,0.50897970,0.35875050,0.87464220,0.51376020,0.36746080,0.87409920,0.48910250,0.37102200,0.82696440,0.45602720,0.35149890,0.83719840,0.49518370,0.34830750,0.86717180,0.49758930,0.35922540,0.86641660,0.48085780,0.38941730,0.91739670,0.51753610,0.37339870,0.91672920,0.53116020,0.38956980,0.86053550,0.49453060,0.37586840,0.85189520,0.48560880,0.36742400,0.84663110,0.47795200,12,1
0.40077790,0.81656920,0.42837700,0.40077790,0.81656920,0.42837700,0.40077790,0.81656920,0.42837700,0.40464480,0.83461050,0.44528540,0.40939100,0.85349920,0.46008800,0.40743080,0.87927870,0.47894990,0.39273060,0.89870370,0.50159950,0.40593160,0.85151530,0.51931630,0.38897620,0.87543820,0.54242300,0.38132240,0.89753920,0.53739800,0.38663330,0.84102240,0.51823630,0.37218210,0.87943600,0.52828310,0.37836050,0.88051580,0.50190090,0.36871560,0.83779750,0.50887540,0.35927740,0.87476580,0.51307490,0.36789610,0.87403340,0.48838980,0.37145560,0.82655850,0.45601270,0.35213710,0.83705830,0.49520040,0.34881900,0.86704960,0.49717050,0.35964640,0.86619640,0.48038510,0.38924670,0.91804060,0.51578720,0.37364640,0.91713520,0.53086080,0.39019330,0.86057100,0.49369190,0.37648250,0.85188040,0.48500870,0.36804180,0.84648710,0.47752370,12,1
0.40108930,0.81601250,0.42831220,0.40108930,0.81601250,0.42831220,0.40108930,0.81601250,0.42831220,0.40495650,0.83424750,0.44501150,0.40975250,0.85329550,0.45959220,0.40770360,0.87947160,0.47789000,0.39281620,0.89919380,0.50015740,0.40665870,0.85190160,0.51885890,0.38972430,0.87573740,0.54207060,0.38174550,0.89778260,0.53731290,0.38742340,0.84127160,0.51802260,0.37278670,0.87979490,0.52735560,0.37889750,0.88044610,0.50094360,0.36946130,0.83783530,0.50882350,0.35989870,0.87485000,0.51226380,0.36836810,0.87377750,0.48753960,0.37189890,0.82608530,0.45605720,0.35279100,0.83685000,0.49527610,0.34924140,0.86682590,0.49707020,0.35993430,0.86606120,0.48019440,0.38920110,0.91880670,0.51392710,0.37373670,0.91733900,0.53106270,0.39082300,0.86045120,0.49299480,0.37707870,0.85164020,0.48438030,0.36849770,0.84642400,0.47733460,12,1
0.40106110,0.81520560,0.42773960,0.40106110,0.81520560,0.42773960,0.40106110,0.81520560,0.42773960,0.40494680,0.83352070,0.44434650,0.40984040,0.85261580,0.45883290,0.40778700,0.87909050,0.47669540,0.39267950,0.89907230,0.49857970,0.40666880,0.85154530,0.51810380,0.38977500,0.87532830,0.54139940,0.38168600,0.89739530,0.53693810,0.38742310,0.84093020,0.51732180,0.37282450,0.87961340,0.52603190,0.37906050,0.87992880,0.49964310,0.36945730,0.83746510,0.50814070,0.36001360,0.87456210,0.51096820,0.36850420,0.87323080,0.48626380,0.37188160,0.82544670,0.45543420,0.35278550,0.83642790,0.49459890,0.34923160,0.86640850,0.49630440,0.35991050,0.86570720,0.47941700,0.38896970,0.91889840,0.51201510,0.37355150,0.91699490,0.53099320,0.39098500,0.85984030,0.49193230,0.37719990,0.85106600,0.48326030,0.36851640,0.84609280,0.47652910,12,1
0.40106480,0.81438160,0.42724960,0.40106480,0.81438160,0.42724960,0.40106480,0.81438160,0.42724960,0.40496790,0.83278620,0.44375320,0.40996120,0.85193570,0.45813350,0.40791040,0.87869990,0.47555950,0.39257410,0.89891290,0.49706920,0.40675420,0.85121260,0.51740970,0.38990300,0.87494870,0.54078380,0.38169040,0.89702500,0.53660360,0.38750560,0.84059730,0.51670130,0.37292420,0.87942270,0.52478580,0.37926260,0.87940170,0.49841950,0.36953160,0.83708600,0.50755390,0.36017440,0.87424580,0.50978150,0.36866820,0.87266780,0.48509280,0.37191010,0.82477970,0.45491190,0.35284850,0.83597830,0.49403180,0.34927580,0.86596330,0.49561600,0.35993250,0.86531060,0.47871270,0.38875960,0.91894050,0.51017210,0.37341780,0.91665330,0.53095050,0.39119540,0.85923060,0.49094070,0.37736770,0.85048530,0.48223530,0.36859670,0.84572510,0.47580280,12,1
0.40109090,0.81356270,0.42682820,0.40109090,0.81356270,0.42682820,0.40109090,0.81356270,0.42682820,0.40501000,0.83206120,0.44322270,0.41004660,0.85128440,0.45748900,0.40804510,0.87815570,0.47475520,0.39304870,0.89867360,0.49621590,0.40688990,0.85090220,0.51677190,0.39023340,0.87454780,0.54037610,0.38180720,0.89665090,0.53680680,0.38764400,0.84027670,0.51614940,0.37304800,0.87916000,0.52392280,0.37938030,0.87900610,0.49755550,0.36965880,0.83670780,0.50704630,0.36033430,0.87388450,0.50912520,0.36868210,0.87227320,0.48438880,0.37197020,0.82410650,0.45447110,0.35295780,0.83551860,0.49355330,0.34929730,0.86549540,0.49509110,0.35994510,0.86494700,0.47817850,0.38972270,0.91890530,0.50913720,0.37326540,0.91634800,0.53183480,0.39132630,0.85883550,0.49009640,0.37737450,0.85008920,0.48152070,0.36868960,0.84540090,0.47524430,12,1
0.40109500,0.81281040,0.42623010,0.40109500,0.81281040,0.42623010,0.40109500,0.81281040,0.42623010,0.40503780,0.83130240,0.44262620,0.41014440,0.85050380,0.45689700,0.40822190,0.87741860,0.47410420,0.39346210,0.89814480,0.49552860,0.40684010,0.85015960,0.51617310,0.39037010,0.87365100,0.54006060,0.38183920,0.89580980,0.53714650,0.38756510,0.83958910,0.51551930,0.37305840,0.87854440,0.52309730,0.37947910,0.87834980,0.49675160,0.36958600,0.83606920,0.50638510,0.36040960,0.87328430,0.50843450,0.36870060,0.87172260,0.48367580,0.37195520,0.82344570,0.45381780,0.35290580,0.83492370,0.49286260,0.34925880,0.86489800,0.49448030,0.35994880,0.86449470,0.47759020,0.39055090,0.91850820,0.50834270,0.37314010,0.91560450,0.53288540,0.39139710,0.85817130,0.48926930,0.37732590,0.84952350,0.48072330,0.36872020,0.84497550,0.47455850,12,1
0.40111860,0.81204140,0.42569310,0.40111860,0.81204140,0.42569310,0.40111860,0.81204140,0.42569310,0.40508370,0.83054210,0.44207400,0.41026340,0.84973390,0.45633140,0.40841230,0.87671770,0.47343830,0.39383060,0.89764080,0.49479310,0.40684940,0.84947250,0.51560310,0.39055850,0.87282060,0.53975230,0.38192310,0.89501110,0.53745060,0.38755250,0.83894250,0.51494010,0.37311570,0.87797010,0.52227520,0.37961300,0.87770210,0.49594890,0.36957550,0.83545130,0.50579080,0.36052320,0.87270130,0.50775780,0.36875090,0.87116320,0.48297660,0.37197270,0.82276790,0.45323920,0.35290700,0.83432730,0.49225190,0.34925900,0.86429900,0.49391550,0.35997890,0.86402600,0.47704180,0.39127090,0.91813440,0.50747400,0.37307240,0.91487120,0.53385840,0.39151250,0.85751250,0.48846700,0.37732520,0.84895280,0.47996050,0.36878990,0.84453830,0.47392310,12,1
0.40115300,0.81129920,0.42521890,0.40115300,0.81129920,0.42521890,0.40115300,0.81129920,0.42521890,0.40513860,0.82981730,0.44157510,0.41044760,0.84899010,0.45581050,0.40866110,0.87616780,0.47261460,0.39412740,0.89737390,0.49372160,0.40689450,0.84885140,0.51507770,0.39079600,0.87219510,0.53935980,0.38212570,0.89440520,0.53740530,0.38758130,0.83835100,0.51441940,0.37318150,0.87738470,0.52179500,0.37966280,0.87719340,0.49546410,0.36960380,0.83487520,0.50526540,0.36059760,0.87214020,0.50715680,0.36886270,0.87055240,0.48239130,0.37200930,0.82211170,0.45273350,0.35294080,0.83375810,0.49171910,0.34931390,0.86373790,0.49327700,0.36011580,0.86340490,0.47645680,0.39159040,0.91800710,0.50617870,0.37318940,0.91430160,0.53425320,0.39154690,0.85703980,0.48786150,0.37740790,0.84832140,0.47944460,0.36888770,0.84387500,0.47349670,12,1
