RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.41982820,0.84168120,0.41884590,0.41982820,0.84168120,0.41884590,0.41982820,0.84168120,0.41884590,0.40438810,0.86132810,0.42023620,0.38756810,0.87898260,0.42219450,0.36441520,0.89719130,0.43470760,0.34939740,0.91817370,0.45569900,0.39994180,0.93684510,0.42697550,0.37242970,0.94952180,0.44879520,0.35218340,0.94479610,0.46062900,0.41414660,0.93249780,0.44319320,0.37926050,0.93963170,0.46594060,0.37427440,0.91445920,0.45717450,0.41970650,0.92118190,0.45932110,0.38581760,0.92378780,0.47715720,0.37785190,0.90193810,0.46518630,0.42126720,0.86771120,0.45115210,0.42187470,0.90610140,0.47449610,0.39366770,0.90930250,0.48491200,0.38708210,0.89577290,0.47174790,0.33434680,0.93194000,0.46878760,0.33454700,0.93715270,0.47140850,0.39008290,0.90585230,0.44040520,0.39262320,0.89268380,0.44869140,0.39726230,0.88780040,0.45442950,12,7
0.41720930,0.84215800,0.41882290,0.41720930,0.84215800,0.41882290,0.41720930,0.84215800,0.41882290,0.40171890,0.86177550,0.42006120,0.38485450,0.87939210,0.42197850,0.36166670,0.89755360,0.43449560,0.34659530,0.91858230,0.45540210,0.39707890,0.93733040,0.42621980,0.36947570,0.94994990,0.44795750,0.34924480,0.94524820,0.45982720,0.41129340,0.93314420,0.44247140,0.37638120,0.94029460,0.46517370,0.37148090,0.91506200,0.45653300,0.41688070,0.92196680,0.45868610,0.38295840,0.92452880,0.47646490,0.37504630,0.90257430,0.46465100,0.41857880,0.86843910,0.45092830,0.41908610,0.90700890,0.47397670,0.39080100,0.91007050,0.48422120,0.38427310,0.89636430,0.47121200,0.33154600,0.93234810,0.46849270,0.33161350,0.93775950,0.47072290,0.38733430,0.90644220,0.43981270,0.38980600,0.89320330,0.44821160,0.39439750,0.88817950,0.45396000,12,7
0.41467290,0.84260850,0.41881330,0.41467290,0.84260850,0.41881330,0.41467290,0.84260850,0.41881330,0.39913170,0.86219440,0.41990990,0.38222130,0.87978360,0.42166570,0.35891670,0.89788280,0.43405540,0.34380610,0.91891040,0.45493470,0.39429610,0.93777860,0.42553420,0.36658550,0.95027920,0.44720380,0.34636900,0.94561270,0.45911190,0.40851760,0.93374370,0.44181800,0.37361100,0.94102520,0.46448720,0.36869510,0.91572840,0.45604530,0.41412990,0.92269540,0.45811240,0.38016870,0.92521610,0.47582260,0.37233090,0.90314450,0.46417860,0.41596740,0.86911880,0.45073270,0.41637030,0.90785150,0.47350850,0.38805860,0.91088260,0.48368850,0.38154060,0.89704540,0.47081370,0.32875870,0.93265030,0.46805470,0.32874490,0.93824760,0.47010300,0.38450520,0.90692990,0.43937720,0.38709490,0.89365660,0.44781040,0.39164060,0.88870640,0.45362130,12,7
0.41284450,0.84334870,0.41816450,0.41284450,0.84334870,0.41816450,0.41284450,0.84334870,0.41816450,0.39719140,0.86284730,0.41922170,0.38018180,0.88034560,0.42092750,0.35673640,0.89826100,0.43331890,0.34155930,0.91916790,0.45427100,0.39192540,0.93842140,0.42459040,0.36411730,0.95064350,0.44629400,0.34395530,0.94590330,0.45826520,0.40620050,0.93452670,0.44086140,0.37132160,0.94174050,0.46359480,0.36645920,0.91639450,0.45527020,0.41190750,0.92356860,0.45718380,0.37793840,0.92587600,0.47490810,0.37022010,0.90370550,0.46337250,0.41404380,0.86997810,0.44998840,0.41426310,0.90879220,0.47262760,0.38593510,0.91165930,0.48280990,0.37944630,0.89771560,0.47003570,0.32649480,0.93278820,0.46749570,0.32638550,0.93856490,0.46936060,0.38222480,0.90753650,0.43859150,0.38498430,0.89420680,0.44701080,0.38951060,0.88931360,0.45285310,12,7
0.41101060,0.84404670,0.41757880,0.41101060,0.84404670,0.41757880,0.41101060,0.84404670,0.41757880,0.39525120,0.86346170,0.41859470,0.37814720,0.88087200,0.42025660,0.35456960,0.89860790,0.43265550,0.33932540,0.91939830,0.45367460,0.38957410,0.93902330,0.42371480,0.36167080,0.95097700,0.44544570,0.34155910,0.94616720,0.45747360,0.40389620,0.93526330,0.43997610,0.36903990,0.94241390,0.46276390,0.36422920,0.91702160,0.45455110,0.40968980,0.92439280,0.45632650,0.37571090,0.92649540,0.47405760,0.36810780,0.90423140,0.46262620,0.41211230,0.87079070,0.44931000,0.41215170,0.90968240,0.47181670,0.38380540,0.91238880,0.48199190,0.37734650,0.89834170,0.46931620,0.32424390,0.93290350,0.46699760,0.32403850,0.93885940,0.46866660,0.37995620,0.90810690,0.43786620,0.38287380,0.89471910,0.44627400,0.38737640,0.88987340,0.45214590,12,7
0.40917310,0.84471120,0.41704310,0.40917310,0.84471120,0.41704310,0.40917310,0.84471120,0.41704310,0.39331190,0.86404530,0.41801620,0.37611630,0.88137700,0.41954910,0.35238370,0.89898290,0.43183700,0.33687000,0.91976100,0.45267030,0.38723890,0.93959210,0.42289330,0.35913290,0.95114050,0.44458210,0.33907020,0.94628250,0.45667230,0.40160290,0.93596260,0.43914730,0.36676020,0.94295230,0.46200570,0.36211710,0.91754550,0.45374180,0.40747640,0.92517750,0.45552570,0.37353240,0.92724570,0.47332720,0.36603150,0.90489850,0.46199100,0.41017520,0.87156610,0.44868380,0.41003780,0.91053210,0.47106120,0.38169740,0.91313680,0.48127940,0.37530080,0.89901730,0.46865260,0.32159380,0.93321200,0.46582520,0.32160240,0.93901770,0.46797530,0.37790020,0.90879090,0.43702510,0.38085380,0.89543170,0.44566320,0.38541140,0.89058620,0.45151150,12,7
0.40742900,0.84513690,0.41794840,0.40742900,0.84513690,0.41794840,0.40742900,0.84513690,0.41794840,0.39149120,0.86440750,0.41893020,0.37422850,0.88167790,0.42040040,0.35039680,0.89916710,0.43266280,0.33470570,0.91992370,0.45338450,0.38512260,0.93994090,0.42363550,0.35689340,0.95111140,0.44536210,0.33690190,0.94621810,0.45755560,0.39956100,0.93641300,0.43984580,0.36479440,0.94327280,0.46285890,0.36026020,0.91786210,0.45454670,0.40553940,0.92569460,0.45623020,0.37167080,0.92774470,0.47417690,0.36421760,0.90533230,0.46293840,0.40843550,0.87207730,0.44951610,0.40821840,0.91110010,0.47179380,0.37990840,0.91362270,0.48211600,0.37352390,0.89944540,0.46954790,0.31929760,0.93332110,0.46644000,0.31950390,0.93900820,0.46900040,0.37604280,0.90924730,0.43775710,0.37904070,0.89589930,0.44659190,0.38365220,0.89104150,0.45240390,12,7
0.40577330,0.84553730,0.41873670,0.40577330,0.84553730,0.41873670,0.40577330,0.84553730,0.41873670,0.38976400,0.86474840,0.41972260,0.37243810,0.88196030,0.42113300,0.34851040,0.89933420,0.43337240,0.33265030,0.92006280,0.45399320,0.38311700,0.94026780,0.42426440,0.35477000,0.95107420,0.44602180,0.33484290,0.94614810,0.45830710,0.39762060,0.93683550,0.44043700,0.36292200,0.94357660,0.46358740,0.35848760,0.91816330,0.45522900,0.40369270,0.92618050,0.45682830,0.36989010,0.92821270,0.47490090,0.36248280,0.90573910,0.46375470,0.40677580,0.87255850,0.45023540,0.40647810,0.91163460,0.47241860,0.37819280,0.91407690,0.48282770,0.37182030,0.89984380,0.47031670,0.31711850,0.93340400,0.46695950,0.31750690,0.93899610,0.46988180,0.37427020,0.90967650,0.43837440,0.37730760,0.89633350,0.44739380,0.38196360,0.89145930,0.45317210,12,7
0.40408750,0.84594090,0.41945960,0.40408750,0.84594090,0.41945960,0.40408750,0.84594090,0.41945960,0.38800630,0.86509180,0.42044490,0.37061590,0.88224790,0.42173730,0.34656620,0.89952170,0.43387890,0.33046230,0.92025140,0.45430880,0.38107790,0.94059590,0.42481940,0.35267980,0.95119530,0.44661190,0.33280770,0.94628840,0.45899370,0.39564210,0.93726030,0.44095790,0.36096550,0.94377080,0.46420710,0.35666890,0.91835180,0.45579450,0.40180370,0.92666980,0.45735750,0.36807270,0.92868910,0.47556510,0.36077260,0.90617300,0.46443380,0.40507670,0.87304400,0.45088830,0.40469140,0.91217360,0.47297560,0.37648170,0.91466840,0.48357550,0.37008450,0.90041600,0.47109920,0.31477310,0.93355360,0.46712450,0.31552920,0.93916340,0.47067060,0.37247340,0.91001620,0.43888500,0.37565910,0.89689110,0.44805850,0.38024830,0.89208640,0.45393990,12,7
0.40198300,0.84635370,0.42013750,0.40198300,0.84635370,0.42013750,0.40198300,0.84635370,0.42013750,0.38583920,0.86545240,0.42111210,0.36839150,0.88255940,0.42227670,0.34419470,0.89971640,0.43429090,0.32780530,0.92040130,0.45453830,0.37866320,0.94093420,0.42547160,0.35014580,0.95128410,0.44722830,0.33028390,0.94637480,0.45962540,0.39323040,0.93764840,0.44161750,0.35850560,0.94390880,0.46486350,0.35435280,0.91850690,0.45632800,0.39941850,0.92708060,0.45802180,0.36569700,0.92906270,0.47625090,0.35852040,0.90653410,0.46506490,0.40286900,0.87346480,0.45156250,0.40234590,0.91259620,0.47364350,0.37417160,0.91512170,0.48433030,0.36778460,0.90087870,0.47183810,0.31193320,0.93363960,0.46719410,0.31301820,0.93926500,0.47133030,0.37022690,0.91034470,0.43939890,0.37350970,0.89739350,0.44870380,0.37801650,0.89262970,0.45468030,12,7
0.39989270,0.84676800,0.42077450,0.39989270,0.84676800,0.42077450,0.39989270,0.84676800,0.42077450,0.38368520,0.86581330,0.42173590,0.36618000,0.88286940,0.42277790,0.34184040,0.89990760,0.43467240,0.32517680,0.92054480,0.45474390,0.37625680,0.94127260,0.42606330,0.34762240,0.95136770,0.44778590,0.32777270,0.94645450,0.46020100,0.39082920,0.93804160,0.44221560,0.35606150,0.94406020,0.46546140,0.35205060,0.91867410,0.45681180,0.39704660,0.92750070,0.45862620,0.36333560,0.92944520,0.47687880,0.35627800,0.90690050,0.46564970,0.40067760,0.87389420,0.45218910,0.40001660,0.91303240,0.47425450,0.37187500,0.91557800,0.48502220,0.36549880,0.90133800,0.47252100,0.30912980,0.93371680,0.46724730,0.31052150,0.93936430,0.47193910,0.36798990,0.91067950,0.43986410,0.37136270,0.89789130,0.44930330,0.37579480,0.89316230,0.45536660,12,7
0.39781500,0.84718320,0.42137880,0.39781500,0.84718320,0.42137880,0.39781500,0.84718320,0.42137880,0.38154300,0.86617420,0.42232520,0.36398020,0.88317880,0.42323170,0.33956480,0.90025340,0.43491660,0.32288030,0.92093740,0.45492250,0.37385870,0.94161040,0.42660710,0.34534980,0.95190570,0.44840090,0.32550350,0.94702280,0.46083330,0.38843790,0.93843800,0.44276490,0.35368150,0.94430710,0.46606580,0.34959840,0.91895170,0.45736000,0.39468680,0.92792770,0.45918310,0.36098000,0.92976260,0.47745500,0.35395630,0.90722830,0.46618380,0.39850040,0.87433000,0.45277790,0.39770170,0.91347840,0.47482060,0.36962940,0.91611340,0.48574680,0.36321250,0.90191600,0.47321810,0.30689110,0.93415000,0.46745710,0.30825750,0.93988480,0.47255000,0.36545770,0.91091480,0.44035740,0.36906640,0.89830390,0.44981450,0.37350770,0.89381520,0.45602760,12,7
0.39500300,0.84713440,0.42194010,0.39500300,0.84713440,0.42194010,0.39500300,0.84713440,0.42194010,0.37869410,0.86609760,0.42280780,0.36109960,0.88307920,0.42350290,0.33655600,0.90018870,0.43486390,0.31972790,0.92089010,0.45473100,0.37085830,0.94151320,0.42717470,0.34231940,0.95194410,0.44886440,0.32238650,0.94709100,0.46116940,0.38532940,0.93833430,0.44342810,0.35043520,0.94405540,0.46655920,0.34630960,0.91875780,0.45770660,0.39148040,0.92780360,0.45987020,0.35765920,0.92954880,0.47793810,0.35071130,0.90706240,0.46652510,0.39542510,0.87422400,0.45339320,0.39440940,0.91333030,0.47550170,0.36633540,0.91606970,0.48639770,0.35993780,0.90195300,0.47376820,0.30371380,0.93412990,0.46720500,0.30505590,0.93991730,0.47273860,0.36219920,0.91070650,0.44073920,0.36594440,0.89823660,0.45021650,0.37033360,0.89394630,0.45659420,12,7
0.39227860,0.84712560,0.42247980,0.39227860,0.84712560,0.42247980,0.39227860,0.84712560,0.42247980,0.37593050,0.86605820,0.42327340,0.35830440,0.88301430,0.42376520,0.33363780,0.90014750,0.43481970,0.31666210,0.92086320,0.45454580,0.36793220,0.94145320,0.42770320,0.33936150,0.95198300,0.44930300,0.31935380,0.94715760,0.46149710,0.38230680,0.93827580,0.44404230,0.34728870,0.94384820,0.46702200,0.34313170,0.91860380,0.45803310,0.38837350,0.92773150,0.46050690,0.35445160,0.92939040,0.47839340,0.34758050,0.90694500,0.46685380,0.39245490,0.87416880,0.45397510,0.39123030,0.91324000,0.47613500,0.36315960,0.91607490,0.48701490,0.35677790,0.90203060,0.47429700,0.30061580,0.93412360,0.46695620,0.30194980,0.93995570,0.47293790,0.35904820,0.91054610,0.44109390,0.36292880,0.89821550,0.45060140,0.36726520,0.89411210,0.45713770,12,7
0.38967250,0.84714510,0.42299270,0.38967250,0.84714510,0.42299270,0.38967250,0.84714510,0.42299270,0.37328470,0.86604610,0.42371710,0.35562680,0.88297270,0.42405580,0.33085110,0.90009400,0.43488260,0.31377800,0.92078320,0.45455240,0.36511980,0.94142050,0.42819290,0.33653590,0.95206300,0.44972000,0.31647010,0.94711910,0.46177020,0.37940800,0.93825000,0.44460890,0.34438330,0.94395650,0.46754540,0.34001460,0.91877330,0.45848560,0.38540170,0.92769710,0.46109470,0.35146340,0.92944790,0.47894120,0.34445640,0.90710830,0.46727870,0.38962060,0.87415020,0.45452120,0.38819770,0.91319190,0.47672110,0.36013280,0.91610740,0.48759450,0.35369350,0.90213260,0.47482910,0.29770840,0.93403230,0.46694490,0.29902940,0.93971380,0.47302370,0.35590240,0.91067710,0.44153790,0.35983850,0.89845770,0.45101620,0.36418290,0.89424350,0.45765760,12,7
0.38605760,0.84680350,0.42314640,0.38605760,0.84680350,0.42314640,0.38605760,0.84680350,0.42314640,0.36978410,0.86580090,0.42392640,0.35223340,0.88283940,0.42422390,0.32749660,0.90008500,0.43494190,0.31049920,0.92077080,0.45468070,0.36206580,0.94119140,0.42889630,0.33356640,0.95203100,0.45043710,0.31341270,0.94708010,0.46233680,0.37625510,0.93781630,0.44535730,0.34128300,0.94378050,0.46830860,0.33651380,0.91875000,0.45903010,0.38210390,0.92711030,0.46179630,0.34817500,0.92910700,0.47963490,0.34086440,0.90699520,0.46772710,0.38602190,0.87358560,0.45486450,0.38473470,0.91247820,0.47733290,0.35670870,0.91563280,0.48823990,0.35009810,0.90185450,0.47534920,0.29451670,0.93406440,0.46713800,0.29588250,0.93957520,0.47338340,0.35229950,0.91059490,0.44201520,0.35620480,0.89839730,0.45139730,0.36052090,0.89401640,0.45811390,12,7
0.38257970,0.84651720,0.42332200,0.38257970,0.84651720,0.42332200,0.38257970,0.84651720,0.42332200,0.36640410,0.86559600,0.42414900,0.34894700,0.88273120,0.42439680,0.32423770,0.90008690,0.43499970,0.30729570,0.92076860,0.45479050,0.35906440,0.94099400,0.42955970,0.33064310,0.95200740,0.45111550,0.31040940,0.94705400,0.46287760,0.37316130,0.93743970,0.44606240,0.33824000,0.94362700,0.46903200,0.33310850,0.91874410,0.45955220,0.37887900,0.92659950,0.46245960,0.34496160,0.92881210,0.48029460,0.33738240,0.90691340,0.46816320,0.38254350,0.87309930,0.45520790,0.38136200,0.91185630,0.47791520,0.35337680,0.91522800,0.48886220,0.34661230,0.90163180,0.47585840,0.29138720,0.93409990,0.46730210,0.29279740,0.93946190,0.47373270,0.34879880,0.91054000,0.44247280,0.35269080,0.89837260,0.45177340,0.35697790,0.89384660,0.45856470,12,7
0.37935280,0.84627880,0.42350130,0.37935280,0.84627880,0.42350130,0.37935280,0.84627880,0.42350130,0.36326040,0.86542600,0.42436770,0.34588060,0.88263950,0.42462720,0.32118850,0.90002460,0.43522210,0.30436810,0.92061160,0.45521430,0.35623930,0.94082550,0.43016550,0.32802480,0.95196080,0.45192940,0.30772530,0.94697190,0.46356220,0.37025200,0.93711630,0.44670570,0.33543760,0.94362890,0.46974750,0.32990860,0.91889570,0.46010090,0.37585320,0.92616000,0.46306590,0.34197580,0.92865400,0.48093970,0.33414550,0.90694680,0.46862490,0.37930570,0.87268450,0.45553340,0.37820610,0.91132070,0.47844970,0.35024640,0.91484580,0.48941340,0.34339420,0.90141590,0.47628330,0.28850560,0.93390940,0.46781950,0.29002830,0.93928740,0.47421240,0.34548320,0.91063090,0.44294520,0.34950540,0.89854270,0.45221280,0.35375610,0.89371910,0.45894790,12,7
0.37523550,0.84706140,0.42168350,0.37523550,0.84706140,0.42168350,0.37523550,0.84706140,0.42168350,0.35931460,0.86635590,0.42244520,0.34210010,0.88373640,0.42254050,0.31737780,0.90124990,0.43284930,0.30051080,0.92176740,0.45287360,0.35291700,0.94176630,0.42879620,0.32467130,0.95308740,0.45042320,0.30413030,0.94813590,0.46164080,0.36660640,0.93777590,0.44554030,0.33163200,0.94469150,0.46821960,0.32572390,0.92017720,0.45824460,0.37181970,0.92662240,0.46189550,0.33776490,0.92949700,0.47937060,0.32974800,0.90806730,0.46669510,0.37488920,0.87318400,0.45394500,0.37376480,0.91162630,0.47718400,0.34571160,0.91541570,0.48781570,0.33887650,0.90223360,0.47442810,0.28459820,0.93507640,0.46540370,0.28617330,0.94042410,0.47182580,0.34136760,0.91183640,0.44118870,0.34532750,0.89976760,0.45043760,0.34942080,0.89462730,0.45716290,12,7
0.37125920,0.84777930,0.42006300,0.37125920,0.84777930,0.42006300,0.37125920,0.84777930,0.42006300,0.35549520,0.86720560,0.42073250,0.33842630,0.88472930,0.42076070,0.31372280,0.90237000,0.43089630,0.29677640,0.92285410,0.45088780,0.34964840,0.94261530,0.42760140,0.32125890,0.95387950,0.44906930,0.30050780,0.94895550,0.45990580,0.36303650,0.93837010,0.44452560,0.32782830,0.94547850,0.46677950,0.32177470,0.92113650,0.45647500,0.36789420,0.92703960,0.46086860,0.33366250,0.93018480,0.47794690,0.32545080,0.90901800,0.46495840,0.37062820,0.87364240,0.45252870,0.36946800,0.91190410,0.47606200,0.34135750,0.91599820,0.48642600,0.33450900,0.90302840,0.47283930,0.28078870,0.93619110,0.46329190,0.28230860,0.94136350,0.46974500,0.33758760,0.91282690,0.43956050,0.34117560,0.90075190,0.44882410,0.34518540,0.89545470,0.45564110,12,7
0.36888700,0.84864990,0.41953600,0.36888700,0.84864990,0.41953600,0.36888700,0.84864990,0.41953600,0.35311480,0.86807490,0.42002330,0.33604200,0.88559440,0.41989610,0.31121480,0.90320810,0.42977330,0.29402670,0.92362730,0.44962420,0.34716730,0.94346700,0.42699880,0.31855090,0.95456190,0.44825240,0.29764830,0.94955560,0.45875480,0.36030500,0.93917790,0.44410720,0.32483020,0.94629560,0.46593050,0.31883720,0.92201910,0.45543800,0.36492170,0.92780540,0.46049080,0.33050700,0.93101330,0.47718530,0.32228900,0.90996540,0.46400870,0.36777830,0.87442970,0.45205510,0.36627190,0.91263090,0.47566690,0.33808130,0.91683570,0.48576540,0.33132680,0.90394370,0.47205820,0.27786440,0.93692670,0.46184100,0.27929050,0.94198110,0.46830880,0.33486990,0.91377900,0.43869730,0.33821320,0.90177510,0.44803210,0.34218670,0.89640160,0.45496120,12,7
0.36649170,0.84946190,0.41905900,0.36649170,0.84946190,0.41905900,0.36649170,0.84946190,0.41905900,0.35071570,0.86888740,0.41937800,0.33364240,0.88640460,0.41910520,0.30870330,0.90399600,0.42873740,0.29129250,0.92435470,0.44845590,0.34467820,0.94426210,0.42646240,0.31585490,0.95519570,0.44751930,0.29481400,0.95011220,0.45770380,0.35757810,0.93992820,0.44373960,0.32186410,0.94705890,0.46516480,0.31591890,0.92285100,0.45448820,0.36196740,0.92851360,0.46015640,0.32739010,0.93178680,0.47649850,0.31915560,0.91086070,0.46313970,0.36493620,0.87515910,0.45162520,0.36310690,0.91330040,0.47531100,0.33484940,0.91761870,0.48517220,0.32817640,0.90480660,0.47135070,0.27497100,0.93762000,0.46049690,0.27631070,0.94255650,0.46698800,0.33215040,0.91467700,0.43790750,0.33526160,0.90274420,0.44730830,0.33920240,0.89729620,0.45434640,12,7
0.36407430,0.85022930,0.41862070,0.36407430,0.85022930,0.41862070,0.36407430,0.85022930,0.41862070,0.34829810,0.86965660,0.41878190,0.33121860,0.88716660,0.41843750,0.30625470,0.90482480,0.42788110,0.28862090,0.92523990,0.44734140,0.34217830,0.94501420,0.42597710,0.31328450,0.95599920,0.44691030,0.29210750,0.95102640,0.45686470,0.35484990,0.94063440,0.44341090,0.31892520,0.94786570,0.46444670,0.31297800,0.92369820,0.45368000,0.35902210,0.92917760,0.45985500,0.32428930,0.93257680,0.47583780,0.31611560,0.91169970,0.46236530,0.36209530,0.87584450,0.45122850,0.35996070,0.91392600,0.47498470,0.33160140,0.91829490,0.48452590,0.32500820,0.90550700,0.47064380,0.27213310,0.93855570,0.45909680,0.27343230,0.94371180,0.46599660,0.32934470,0.91546320,0.43726320,0.33240020,0.90358760,0.44671540,0.33612610,0.89793310,0.45372770,12,7
0.36321630,0.85049920,0.42004870,0.36321630,0.85049920,0.42004870,0.36321630,0.85049920,0.42004870,0.34719590,0.86972560,0.42020910,0.32988370,0.88700740,0.41997070,0.30478970,0.90443510,0.42949740,0.28691710,0.92471870,0.44887730,0.34011780,0.94499430,0.42745600,0.31128110,0.95569560,0.44861360,0.29015600,0.95058140,0.45860670,0.35282650,0.94076130,0.44489900,0.31686380,0.94767680,0.46597600,0.31108180,0.92346080,0.45522830,0.35712680,0.92934530,0.46133840,0.32239790,0.93246400,0.47738670,0.31437530,0.91151620,0.46393330,0.36088190,0.87606190,0.45267420,0.35824300,0.91409490,0.47645740,0.32985130,0.91818140,0.48602710,0.32332150,0.90531370,0.47218880,0.27024220,0.93789760,0.46052240,0.27151700,0.94329330,0.46783330,0.32748280,0.91534510,0.43878630,0.33074810,0.90359350,0.44827840,0.33441320,0.89778540,0.45523520,12,7
