RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.42892450,0.88088790,0.42272760,0.42892450,0.88088790,0.42272760,0.42892450,0.88088790,0.42272760,0.41185060,0.89918330,0.42242180,0.39372020,0.91555760,0.42115690,0.36650840,0.93059490,0.42874560,0.34399040,0.94877740,0.44513990,0.39955140,0.97325610,0.43382160,0.36688220,0.97949640,0.45077740,0.34528050,0.97201030,0.45782080,0.41059900,0.96844950,0.45222100,0.37119420,0.96957390,0.46743240,0.36977570,0.94506840,0.45590710,0.41383510,0.95611890,0.46823830,0.37709810,0.95489300,0.47929540,0.37252970,0.93400660,0.46422700,0.42166460,0.90387120,0.45652680,0.41427840,0.93989720,0.48234720,0.38455930,0.94151930,0.48768790,0.38099490,0.92815300,0.47325350,0.32617900,0.96014210,0.45701170,0.32664290,0.96205200,0.46407650,0.38912710,0.93909710,0.44194060,0.39070250,0.92728600,0.45006730,0.39427970,0.92109780,0.45773380,12,0
0.42883270,0.88067610,0.42267070,0.42883270,0.88067610,0.42267070,0.42883270,0.88067610,0.42267070,0.41175120,0.89896480,0.42239020,0.39362500,0.91534110,0.42109190,0.36642690,0.93039860,0.42868980,0.34395510,0.94864610,0.44507530,0.39949690,0.97308190,0.43354750,0.36685870,0.97968780,0.45042430,0.34530580,0.97218630,0.45759970,0.41065720,0.96835750,0.45190000,0.37131000,0.96944640,0.46726210,0.37001620,0.94487030,0.45587350,0.41399430,0.95609650,0.46795000,0.37730630,0.95488360,0.47916980,0.37283090,0.93387040,0.46425040,0.42177000,0.90380150,0.45641470,0.41452830,0.93993530,0.48212510,0.38487140,0.94171920,0.48775180,0.38149690,0.92829700,0.47332370,0.32616010,0.96005900,0.45692540,0.32675530,0.96215920,0.46400240,0.38931020,0.93880750,0.44186700,0.39101830,0.92715360,0.45010760,0.39500530,0.92140230,0.45792530,12,0
0.42873020,0.88056030,0.42268280,0.42873020,0.88056030,0.42268280,0.42873020,0.88056030,0.42268280,0.41161610,0.89882030,0.42256980,0.39346700,0.91517900,0.42137280,0.36630320,0.93020500,0.42915350,0.34394130,0.94844390,0.44569800,0.39936340,0.97293140,0.43376850,0.36683720,0.97979560,0.45075810,0.34538350,0.97222300,0.45815270,0.41073610,0.96824930,0.45200120,0.37152450,0.96919120,0.46771570,0.37033530,0.94458000,0.45639180,0.41427300,0.95601470,0.46802850,0.37769550,0.95472900,0.47959600,0.37325880,0.93363210,0.46478350,0.42200650,0.90371780,0.45647390,0.41499240,0.93987290,0.48221750,0.38542700,0.94175540,0.48827680,0.38216950,0.92831480,0.47383890,0.32621350,0.95984980,0.45765520,0.32697190,0.96207540,0.46476300,0.38951090,0.93850230,0.44223000,0.39139190,0.92698440,0.45053870,0.39580850,0.92163110,0.45846260,12,0
0.42862860,0.88044270,0.42270150,0.42862860,0.88044270,0.42270150,0.42862860,0.88044270,0.42270150,0.41148750,0.89867760,0.42274050,0.39329400,0.91500080,0.42175180,0.36620200,0.92999010,0.42984740,0.34401470,0.94820520,0.44665100,0.39924200,0.97278580,0.43396700,0.36684050,0.97981350,0.45112700,0.34546960,0.97223530,0.45875190,0.41080860,0.96814450,0.45208780,0.37174710,0.96903800,0.46817450,0.37058810,0.94440210,0.45690110,0.41452800,0.95593640,0.46809410,0.37806650,0.95460220,0.48001650,0.37365210,0.93346380,0.46525680,0.42221900,0.90363540,0.45652950,0.41541700,0.93981460,0.48229610,0.38591610,0.94166980,0.48866990,0.38262950,0.92821940,0.47424780,0.32637580,0.95959580,0.45875350,0.32714170,0.96209760,0.46560580,0.38964540,0.93832460,0.44258050,0.39172620,0.92690750,0.45089520,0.39623800,0.92163810,0.45880040,12,0
0.42788820,0.88049760,0.42258010,0.42788820,0.88049760,0.42258010,0.42788820,0.88049760,0.42258010,0.41076610,0.89875020,0.42266370,0.39257570,0.91508220,0.42176770,0.36556960,0.93013270,0.43003480,0.34355200,0.94843660,0.44696480,0.39867720,0.97291980,0.43365110,0.36636730,0.98024410,0.45085980,0.34504100,0.97273010,0.45867080,0.41037140,0.96834680,0.45170720,0.37141480,0.96932760,0.46804140,0.37026580,0.94463610,0.45688930,0.41419570,0.95620580,0.46773970,0.37781360,0.95494880,0.47991080,0.37341040,0.93373450,0.46525700,0.42174950,0.90384630,0.45635100,0.41517250,0.94014600,0.48200620,0.38572460,0.94207060,0.48860110,0.38242190,0.92857250,0.47422730,0.32599520,0.95989660,0.45912100,0.32675770,0.96265800,0.46573730,0.38923330,0.93847020,0.44248750,0.39144920,0.92717810,0.45085090,0.39603000,0.92201110,0.45877100,12,0
0.42719950,0.88053740,0.42247440,0.42719950,0.88053740,0.42247440,0.42719950,0.88053740,0.42247440,0.41009540,0.89880660,0.42260090,0.39190960,0.91514810,0.42178760,0.36498580,0.93026000,0.43020960,0.34313020,0.94865060,0.44725520,0.39815210,0.97303310,0.43336140,0.36592750,0.98064610,0.45060460,0.34464580,0.97318870,0.45858980,0.40996760,0.96852440,0.45135470,0.37111030,0.96957850,0.46791910,0.36998190,0.94483510,0.45688060,0.41389220,0.95644690,0.46741090,0.37758680,0.95526080,0.47981590,0.37319990,0.93397440,0.46526210,0.42131790,0.90403290,0.45618920,0.41495350,0.94044600,0.48173730,0.38555830,0.94243930,0.48854330,0.38224800,0.92889580,0.47421400,0.32565090,0.96017800,0.45945920,0.32640990,0.96317230,0.46585490,0.38886600,0.93858770,0.44240450,0.39120690,0.92742110,0.45081500,0.39586170,0.92235840,0.45875260,12,0
0.42655180,0.88056540,0.42238120,0.42655180,0.88056540,0.42238120,0.42655180,0.88056540,0.42238120,0.40946470,0.89885030,0.42254900,0.39126690,0.91518600,0.42190770,0.36443030,0.93029530,0.43060820,0.34273330,0.94871520,0.44782400,0.39765840,0.97312990,0.43309230,0.36556560,0.98103300,0.45045050,0.34429010,0.97382460,0.45867710,0.40959010,0.96868250,0.45102410,0.37084560,0.96982550,0.46784470,0.36972880,0.94505660,0.45686240,0.41361160,0.95666560,0.46710180,0.37738050,0.95555190,0.47972880,0.37296400,0.93418900,0.46529660,0.42091640,0.90420070,0.45604040,0.41475480,0.94072110,0.48148470,0.38538930,0.94270770,0.48841980,0.38195220,0.92909290,0.47418820,0.32530610,0.96026700,0.46007920,0.32602000,0.96407870,0.46621890,0.38857710,0.93888100,0.44230900,0.39088720,0.92755850,0.45078080,0.39539730,0.92242180,0.45863660,12,0
0.42579070,0.88082040,0.42193310,0.42579070,0.88082040,0.42193310,0.42579070,0.88082040,0.42193310,0.40877370,0.89916990,0.42216310,0.39062140,0.91556140,0.42167480,0.36384020,0.93067200,0.43054220,0.34220320,0.94902960,0.44789950,0.39723060,0.97343670,0.43308080,0.36513700,0.98156290,0.45033440,0.34378000,0.97457140,0.45853710,0.40910680,0.96884720,0.45101350,0.37032930,0.97003200,0.46775520,0.36925090,0.94534310,0.45659030,0.41304770,0.95672870,0.46703480,0.37677720,0.95567640,0.47955360,0.37239670,0.93438610,0.46500340,0.42017430,0.90429620,0.45570690,0.41409890,0.94070290,0.48133410,0.38471030,0.94271240,0.48816400,0.38124800,0.92917190,0.47386770,0.32475420,0.96054680,0.46015630,0.32539220,0.96505930,0.46609130,0.38816990,0.93930890,0.44206940,0.39034610,0.92776420,0.45051610,0.39465850,0.92248750,0.45829200,12,0
0.42506720,0.88104840,0.42152290,0.42506720,0.88104840,0.42152290,0.42506720,0.88104840,0.42152290,0.40811500,0.89945700,0.42181280,0.39000420,0.91589800,0.42147030,0.36327800,0.93100990,0.43049990,0.34170430,0.94931270,0.44799320,0.39681820,0.97371240,0.43306010,0.36473070,0.98206280,0.45021760,0.34330350,0.97527530,0.45840830,0.40865040,0.96899700,0.45098930,0.36984860,0.97022090,0.46767160,0.36881120,0.94560390,0.45634530,0.41252370,0.95679000,0.46695970,0.37622200,0.95579680,0.47939250,0.37187620,0.93456850,0.46474190,0.41948200,0.90438590,0.45539750,0.41349610,0.94069390,0.48118550,0.38408940,0.94272730,0.48792960,0.38060760,0.92925150,0.47357720,0.32423830,0.96080120,0.46025280,0.32481280,0.96598300,0.46598510,0.38779180,0.93969820,0.44185210,0.38984640,0.92795220,0.45027770,0.39398690,0.92255610,0.45797940,12,0
0.42437340,0.88125540,0.42114270,0.42437340,0.88125540,0.42114270,0.42437340,0.88125540,0.42114270,0.40748190,0.89971860,0.42149060,0.38942720,0.91622200,0.42118970,0.36272020,0.93134660,0.43025480,0.34117290,0.94960950,0.44782230,0.39641850,0.97396400,0.43303260,0.36436220,0.98240090,0.45020600,0.34288360,0.97576770,0.45838860,0.40821580,0.96913540,0.45095460,0.36939250,0.97039050,0.46758460,0.36844770,0.94583990,0.45610710,0.41203140,0.95684980,0.46687870,0.37571760,0.95595270,0.47928330,0.37136600,0.93480100,0.46452390,0.41882890,0.90447120,0.45510750,0.41293530,0.94069200,0.48103880,0.38353200,0.94279810,0.48777540,0.37988800,0.92940130,0.47338920,0.32363780,0.96108310,0.45999680,0.32430530,0.96666050,0.46597580,0.38752730,0.94014230,0.44166060,0.38934390,0.92820200,0.45006150,0.39310220,0.92262080,0.45768770,12,0
