RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.01861196,0.85998680,0.36376270,0.01861196,0.85998680,0.36376270,0.01861196,0.85998680,0.36376270,-0.00037776,0.87614550,0.36161390,-0.02014668,0.88994150,0.35745580,-0.04801803,0.90469970,0.36289410,-0.06736962,0.92566980,0.37998820,-0.01959157,0.94930350,0.35477690,-0.04840878,0.96536440,0.37225060,-0.06379237,0.94980540,0.38192260,-0.00540661,0.95073710,0.37152270,-0.04194898,0.95505800,0.39229200,-0.04314005,0.92809230,0.38968630,0.00165402,0.94373060,0.38941480,-0.03297063,0.94319660,0.40597440,-0.03394832,0.91809300,0.39869280,0.01382422,0.89102450,0.39091160,0.00615205,0.93225810,0.40703730,-0.02255533,0.93307410,0.41650280,-0.02269164,0.91596930,0.40615300,-0.08448755,0.93864540,0.39121120,-0.07604367,0.93403700,0.39124580,-0.02555523,0.91915570,0.37498570,-0.01421273,0.91485930,0.38542770,-0.00468798,0.91448580,0.39428730,12,7
0.02099503,0.85978170,0.36429940,0.02099503,0.85978170,0.36429940,0.02099503,0.85978170,0.36429940,0.00214212,0.87607510,0.36197020,-0.01751858,0.89001350,0.35777400,-0.04530787,0.90490730,0.36326250,-0.06458537,0.92602300,0.38026060,-0.01646583,0.94933510,0.35457230,-0.04518581,0.96594200,0.37169210,-0.06104178,0.95103690,0.38162750,-0.00233327,0.95076870,0.37136230,-0.03894912,0.95547080,0.39191840,-0.04018531,0.92849040,0.38949190,0.00460405,0.94382660,0.38932760,-0.03011482,0.94353730,0.40569490,-0.03109950,0.91837580,0.39861690,0.01635077,0.89103730,0.39122220,0.00894454,0.93243730,0.40704330,-0.01982440,0.93350820,0.41629400,-0.01982860,0.91628320,0.40614460,-0.08170506,0.93909160,0.39137250,-0.07385949,0.93594160,0.39129700,-0.02256877,0.91934290,0.37496000,-0.01129249,0.91499340,0.38549610,-0.00170302,0.91469300,0.39448000,12,7
0.02333215,0.85958700,0.36483560,0.02333215,0.85958700,0.36483560,0.02333215,0.85958700,0.36483560,0.00460775,0.87600340,0.36233960,-0.01495192,0.89007420,0.35811330,-0.04266305,0.90509180,0.36365920,-0.06187075,0.92633990,0.38057130,-0.01343490,0.94934990,0.35441770,-0.04205401,0.96646610,0.37120160,-0.05833723,0.95219210,0.38136990,0.00065111,0.95078570,0.37124670,-0.03602836,0.95583740,0.39160550,-0.03730028,0.92884390,0.38934810,0.00747645,0.94390630,0.38927890,-0.02732612,0.94384190,0.40546990,-0.02831230,0.91862670,0.39858600,0.01882748,0.89104520,0.39154540,0.01167313,0.93259750,0.40708060,-0.01714909,0.93390540,0.41613280,-0.01703036,0.91656790,0.40617750,-0.07899352,0.93949110,0.39158030,-0.07166870,0.93775630,0.39134690,-0.01965525,0.91950520,0.37497310,-0.00844038,0.91511030,0.38559920,0.00120566,0.91488230,0.39470000,12,7
0.02563359,0.85940030,0.36537160,0.02563359,0.85940030,0.36537160,0.02563359,0.85940030,0.36537160,0.00703129,0.87593060,0.36271920,-0.01243002,0.89012320,0.35844660,-0.04008294,0.90522950,0.36404200,-0.05926282,0.92658080,0.38085530,-0.01047763,0.94935130,0.35430210,-0.03902294,0.96686800,0.37079580,-0.05562503,0.95309050,0.38113210,0.00356643,0.95079060,0.37116580,-0.03316109,0.95628820,0.39132130,-0.03455230,0.92928100,0.38931170,0.01028866,0.94397270,0.38926000,-0.02457813,0.94406050,0.40531210,-0.02562488,0.91881570,0.39854640,0.02126560,0.89104880,0.39187840,0.01435224,0.93274230,0.40714200,-0.01453447,0.93412390,0.41597510,-0.01424076,0.91670620,0.40616430,-0.07640804,0.93979130,0.39175800,-0.06935562,0.93920340,0.39134390,-0.01692395,0.91963200,0.37512250,-0.00574544,0.91506440,0.38563710,0.00410170,0.91499670,0.39486130,12,7
0.02907733,0.85940340,0.36557460,0.02907733,0.85940340,0.36557460,0.02907733,0.85940340,0.36557460,0.01056451,0.87601630,0.36281400,-0.00882187,0.89030680,0.35852720,-0.03646384,0.90540890,0.36418750,-0.05570316,0.92672840,0.38097330,-0.00656655,0.94951080,0.35426530,-0.03511246,0.96726830,0.37049840,-0.05201798,0.95390000,0.38088000,0.00739335,0.95089570,0.37120320,-0.02943839,0.95662830,0.39110150,-0.03087477,0.92961700,0.38918160,0.01398762,0.94405730,0.38933670,-0.02097924,0.94413240,0.40516970,-0.02200710,0.91889160,0.39838610,0.02471071,0.89108570,0.39204120,0.01790449,0.93281830,0.40724610,-0.01106559,0.93416400,0.41580740,-0.01054151,0.91672120,0.40605110,-0.07292572,0.93989970,0.39180120,-0.06612708,0.94048450,0.39120540,-0.01320788,0.91978910,0.37516420,-0.00208033,0.91502990,0.38558280,0.00793249,0.91509060,0.39495250,12,7
0.03240240,0.85939590,0.36580580,0.03240240,0.85939590,0.36580580,0.03240240,0.85939590,0.36580580,0.01397770,0.87608870,0.36294030,-0.00533601,0.89047430,0.35864320,-0.03296501,0.90557380,0.36437330,-0.05225731,0.92686650,0.38113230,-0.00278311,0.94965170,0.35424750,-0.03131974,0.96765340,0.37022600,-0.04851938,0.95470540,0.38065710,0.01109902,0.95098850,0.37125310,-0.02582675,0.95695200,0.39090780,-0.02730416,0.92993630,0.38908190,0.01757310,0.94413590,0.38942440,-0.01748622,0.94420480,0.40505170,-0.01849338,0.91896500,0.39826120,0.02804644,0.89111940,0.39222490,0.02135134,0.93289450,0.40736200,-0.00769510,0.93420770,0.41566590,-0.00694666,0.91673750,0.40597330,-0.06955284,0.94000180,0.39188750,-0.06299415,0.94177540,0.39109540,-0.00960432,0.91993360,0.37523060,0.00147666,0.91499460,0.38555900,0.01165078,0.91518400,0.39507160,12,7
0.03563148,0.85938010,0.36605910,0.03563148,0.85938010,0.36605910,0.03563148,0.85938010,0.36605910,0.01729384,0.87615080,0.36309130,-0.00195009,0.89063000,0.35879590,-0.02954913,0.90575890,0.36459260,-0.04877956,0.92705240,0.38142140,0.00089729,0.94977750,0.35424490,-0.02774723,0.96768480,0.37013620,-0.04497316,0.95469950,0.38047710,0.01470667,0.95107130,0.37131290,-0.02227363,0.95742850,0.39074040,-0.02402040,0.93041620,0.38911430,0.02106674,0.94420950,0.38952110,-0.01404967,0.94463790,0.40501380,-0.01527072,0.91938610,0.39830380,0.03129355,0.89115040,0.39242480,0.02471276,0.93297050,0.40748760,-0.00435586,0.93448390,0.41567900,-0.00376079,0.91697910,0.40603840,-0.06602418,0.94019960,0.39224360,-0.05952726,0.94182250,0.39087040,-0.00639782,0.92002210,0.37545410,0.00466942,0.91505620,0.38567220,0.01481596,0.91513270,0.39514710,12,7
0.04004869,0.85987690,0.36571010,0.04004869,0.85987690,0.36571010,0.04004869,0.85987690,0.36571010,0.02161273,0.87655440,0.36282770,0.00226420,0.89094970,0.35872440,-0.02539763,0.90583170,0.36485160,-0.04463200,0.92691180,0.38194260,0.00480006,0.95010100,0.35409690,-0.02397051,0.96764540,0.37016430,-0.04104173,0.95450030,0.38055970,0.01867151,0.95145520,0.37110980,-0.01825718,0.95779990,0.39063920,-0.02000682,0.93077890,0.38916950,0.02514061,0.94461460,0.38928750,-0.00990338,0.94501180,0.40494420,-0.01113390,0.91974940,0.39827610,0.03565328,0.89160720,0.39211440,0.02891737,0.93338300,0.40723160,-0.00011915,0.93479150,0.41555440,0.00043831,0.91727480,0.40593310,-0.06186684,0.93988360,0.39298950,-0.05549655,0.94157480,0.39103100,-0.00247298,0.92020960,0.37552930,0.00871213,0.91529570,0.38553970,0.01892802,0.91536350,0.39490580,12,7
0.04409747,0.86030910,0.36543040,0.04409747,0.86030910,0.36543040,0.04409747,0.86030910,0.36543040,0.02558111,0.87690910,0.36261700,0.00614589,0.89123630,0.35868870,-0.02156451,0.90589660,0.36512320,-0.04079711,0.92678450,0.38245050,0.00842643,0.95038690,0.35397230,-0.02045232,0.96761860,0.37018340,-0.03740736,0.95436910,0.38063620,0.02234962,0.95179360,0.37093870,-0.01453678,0.95815290,0.39054310,-0.01629781,0.93112460,0.38922840,0.02890934,0.94497360,0.38909160,-0.00607330,0.94535810,0.40488520,-0.00731817,0.92008450,0.39826210,0.03965678,0.89201040,0.39186190,0.03279465,0.93375140,0.40701840,0.00378451,0.93507520,0.41544650,0.00431553,0.91754320,0.40585170,-0.05802134,0.93959770,0.39369730,-0.05180262,0.94144500,0.39119100,0.00115392,0.92037620,0.37562290,0.01244199,0.91550060,0.38543880,0.02273121,0.91556680,0.39471250,12,7
0.04805660,0.86070500,0.36520310,0.04805660,0.86070500,0.36520310,0.04805660,0.86070500,0.36520310,0.02947224,0.87723850,0.36244690,0.00997140,0.89149870,0.35860110,-0.01778775,0.90599720,0.36519020,-0.03698388,0.92675760,0.38271020,0.01202711,0.95065500,0.35386330,-0.01697131,0.96723990,0.37052900,-0.03386301,0.95391660,0.38099060,0.02599529,0.95210970,0.37078850,-0.01088510,0.95829980,0.39045830,-0.01261087,0.93126340,0.38926850,0.03263327,0.94531110,0.38892100,-0.00229684,0.94561670,0.40483220,-0.00354765,0.92033940,0.39822420,0.04357984,0.89238670,0.39165210,0.03661207,0.93410060,0.40683460,0.00767070,0.93559870,0.41546760,0.00803950,0.91806880,0.40586140,-0.05407804,0.93950080,0.39423160,-0.04833125,0.94114450,0.39163040,0.00482322,0.92048120,0.37566730,0.01616644,0.91575960,0.38532870,0.02637299,0.91600940,0.39460220,12,7
