RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.32412000,0.77591490,0.37023740,0.32412000,0.77591490,0.37023740,0.32412000,0.77591490,0.37023740,0.32103280,0.80073800,0.37102110,0.31577150,0.82462840,0.37105530,0.30564380,0.85310700,0.38157130,0.30396700,0.88084730,0.39984970,0.35629260,0.86798340,0.37269550,0.34378610,0.89549040,0.39461960,0.32723980,0.90567370,0.40857690,0.36751030,0.85751320,0.38845080,0.34434460,0.88329880,0.41261350,0.32619890,0.86426480,0.40599540,0.36776110,0.84550970,0.40503160,0.34307520,0.86727680,0.42478420,0.32477860,0.85154990,0.41468120,0.34116900,0.79859510,0.40054010,0.36311140,0.83198970,0.42109380,0.34394100,0.85177960,0.43355290,0.32854550,0.84349700,0.42385290,0.29999020,0.90075870,0.41308080,0.31048040,0.91150990,0.42164290,0.33321070,0.84779230,0.38912270,0.33190460,0.83535920,0.39846400,0.33321450,0.82960000,0.40797220,12,4
0.32417080,0.77856570,0.37107160,0.32417080,0.77856570,0.37107160,0.32417080,0.77856570,0.37107160,0.32117570,0.80340340,0.37174540,0.31601070,0.82731470,0.37174560,0.30595630,0.85586240,0.38214400,0.30412800,0.88376580,0.40015770,0.35668690,0.87050960,0.37367190,0.34422230,0.89818570,0.39540620,0.32761760,0.90855760,0.40915380,0.36766230,0.86003980,0.38959730,0.34466090,0.88628270,0.41342220,0.32632600,0.86742510,0.40682080,0.36765500,0.84808370,0.40621420,0.34309510,0.87026330,0.42566280,0.32487420,0.85453150,0.41543170,0.34092960,0.80126460,0.40152200,0.36274800,0.83462950,0.42225500,0.34363240,0.85459370,0.43451880,0.32832000,0.84641080,0.42460480,0.29999770,0.90382980,0.41310840,0.31082340,0.91467170,0.42204690,0.33330330,0.85077880,0.39010510,0.33223060,0.83825120,0.39940830,0.33320320,0.83249530,0.40880490,12,4
0.32428690,0.78228500,0.37139420,0.32428690,0.78228500,0.37139420,0.32428690,0.78228500,0.37139420,0.32121220,0.80711520,0.37197610,0.31597180,0.83101010,0.37198310,0.30586670,0.85955330,0.38234470,0.30381980,0.88761490,0.40008710,0.35650720,0.87433640,0.37386510,0.34407330,0.90210210,0.39550270,0.32745000,0.91255150,0.40916850,0.36743750,0.86395000,0.38987570,0.34459320,0.89048300,0.41353000,0.32614940,0.87167320,0.40709730,0.36738660,0.85204550,0.40652960,0.34292440,0.87444900,0.42584430,0.32481080,0.85857370,0.41564420,0.34082830,0.80512990,0.40185430,0.36244340,0.83862610,0.42258840,0.34329940,0.85860500,0.43478380,0.32805550,0.85040770,0.42477680,0.29948970,0.90780530,0.41277350,0.31068720,0.91883520,0.42202090,0.33307030,0.85489410,0.39049130,0.33237170,0.84224380,0.39976710,0.33312170,0.83650640,0.40902200,12,4
0.32438380,0.78587000,0.37175080,0.32438380,0.78587000,0.37175080,0.32438380,0.78587000,0.37175080,0.32124320,0.81069390,0.37224510,0.31593980,0.83457480,0.37226020,0.30579500,0.86311550,0.38258990,0.30354680,0.89132540,0.40007080,0.35635750,0.87801060,0.37410140,0.34396630,0.90586670,0.39564680,0.32732940,0.91639680,0.40923410,0.36723900,0.86769910,0.39019360,0.34455300,0.89451600,0.41367940,0.32599420,0.87576430,0.40741010,0.36714030,0.85584350,0.40688200,0.34276380,0.87845910,0.42605740,0.32474610,0.86245310,0.41589160,0.34072380,0.80884640,0.40222050,0.36215600,0.84245860,0.42295700,0.34297160,0.86244530,0.43507570,0.32779180,0.85423830,0.42497950,0.29903260,0.91163330,0.41250290,0.31060020,0.92284880,0.42204680,0.33284740,0.85885210,0.39091140,0.33248640,0.84607010,0.40015640,0.33302370,0.84034990,0.40926760,12,4
0.32446570,0.78934930,0.37213390,0.32446570,0.78934930,0.37213390,0.32446570,0.78934930,0.37213390,0.32126980,0.81416770,0.37254400,0.31591060,0.83803580,0.37268430,0.30570770,0.86650080,0.38316470,0.30314590,0.89486800,0.40034530,0.35623130,0.88156470,0.37437160,0.34366540,0.90932660,0.39593740,0.32682510,0.91967830,0.40941090,0.36706100,0.87132190,0.39054240,0.34426920,0.89819060,0.41386580,0.32576820,0.87939580,0.40755500,0.36691110,0.85951290,0.40726350,0.34255940,0.88226890,0.42630360,0.32463120,0.86617340,0.41612120,0.34061680,0.81244620,0.40261340,0.36188190,0.84616240,0.42335300,0.34270330,0.86618260,0.43542560,0.32760980,0.85795990,0.42521330,0.29835450,0.91529300,0.41247810,0.31000120,0.92607370,0.42212750,0.33287970,0.86254040,0.39110760,0.33260190,0.84978800,0.40050380,0.33308690,0.84410020,0.40955970,12,4
0.32380320,0.79364370,0.37126330,0.32380320,0.79364370,0.37126330,0.32380320,0.79364370,0.37126330,0.32064850,0.81846950,0.37150080,0.31532650,0.84234600,0.37164540,0.30504840,0.87079970,0.38208260,0.30208830,0.89935760,0.39887900,0.35570320,0.88581010,0.37360160,0.34282480,0.91358700,0.39496290,0.32567230,0.92387280,0.40808840,0.36623680,0.87562510,0.39000280,0.34317340,0.90269290,0.41282370,0.32472410,0.88392260,0.40629250,0.36578010,0.86389670,0.40677500,0.34130940,0.88692650,0.42532720,0.32353150,0.87079150,0.41494570,0.33947830,0.81685670,0.40190270,0.36045250,0.85063280,0.42284010,0.34119700,0.87077700,0.43457940,0.32628450,0.86257820,0.42408600,0.29696580,0.91993220,0.41061730,0.30863180,0.93031750,0.42048790,0.33220860,0.86705210,0.39002710,0.33184400,0.85433510,0.39958330,0.33213070,0.84869210,0.40859010,12,4
0.32319340,0.79779710,0.37051710,0.32319340,0.79779710,0.37051710,0.32319340,0.79779710,0.37051710,0.32008070,0.82262930,0.37059300,0.31479180,0.84651300,0.37074870,0.30444600,0.87495430,0.38115280,0.30112170,0.90368910,0.39757510,0.35522110,0.88991690,0.37294490,0.34206600,0.91771260,0.39411220,0.32463060,0.92793990,0.40690650,0.36547560,0.87978760,0.38955620,0.34218190,0.90705190,0.41190440,0.32377370,0.88830980,0.40517900,0.36473250,0.86813600,0.40637160,0.34017120,0.89143100,0.42446730,0.32253260,0.87525640,0.41391130,0.33842490,0.82112090,0.40129570,0.35912750,0.85495440,0.42241000,0.33980220,0.87521050,0.43383790,0.32506280,0.86703500,0.42308510,0.29569610,0.92440160,0.40892860,0.30739790,0.93443770,0.41900900,0.33159580,0.87142080,0.38909260,0.33115530,0.85872960,0.39879740,0.33124990,0.85312520,0.40774360,12,4
0.32262490,0.80183980,0.36986860,0.32262490,0.80183980,0.36986860,0.32262490,0.80183980,0.36986860,0.31955530,0.82667740,0.36979180,0.31430260,0.85056950,0.36984090,0.30382830,0.87902240,0.38008370,0.30042680,0.90764330,0.39668820,0.35477550,0.89391460,0.37237750,0.34152080,0.92169430,0.39350380,0.32392000,0.93196030,0.40603800,0.36476400,0.88383970,0.38918280,0.34118260,0.91124120,0.41105640,0.32288210,0.89246890,0.40412470,0.36375040,0.87226210,0.40603510,0.33890960,0.89560810,0.42367800,0.32137120,0.87948200,0.41288360,0.33743830,0.82527020,0.40077010,0.35788430,0.85915930,0.42204470,0.33840080,0.87945640,0.43312580,0.32377800,0.87134710,0.42216560,0.29499000,0.92826530,0.40819980,0.30661460,0.93866130,0.41792410,0.33104860,0.87556280,0.38822850,0.33027370,0.86294050,0.39794900,0.33014780,0.85740550,0.40692800,12,4
0.32325300,0.80341670,0.37221810,0.32325300,0.80341670,0.37221810,0.32325300,0.80341670,0.37221810,0.32008200,0.82823880,0.37184940,0.31472580,0.85210750,0.37168090,0.30403350,0.88057400,0.38165690,0.30046620,0.90920340,0.39821210,0.35500390,0.89564730,0.37398610,0.34162300,0.92347230,0.39497260,0.32388260,0.93375060,0.40729810,0.36490100,0.88579550,0.39097680,0.34103950,0.91334020,0.41236130,0.32290110,0.89439200,0.40548240,0.36380230,0.87439550,0.40794450,0.33868710,0.89777240,0.42515250,0.32127250,0.88151220,0.41435890,0.33772590,0.82723980,0.40298030,0.35786410,0.86144100,0.42404790,0.33818960,0.88173720,0.43478810,0.32366150,0.87353180,0.42377360,0.29494600,0.92980160,0.40972650,0.30654610,0.94061820,0.41904300,0.33138750,0.87741250,0.38983390,0.33044580,0.86490800,0.39965970,0.33019850,0.85949910,0.40869120,12,4
0.32379070,0.80500770,0.37429470,0.32379070,0.80500770,0.37429470,0.32379070,0.80500770,0.37429470,0.32053520,0.82981370,0.37366400,0.31509080,0.85366030,0.37331170,0.30420690,0.88213270,0.38306140,0.30047930,0.91077440,0.39955960,0.35520320,0.89736430,0.37541090,0.34171350,0.92522260,0.39628330,0.32384330,0.93550660,0.40841520,0.36500820,0.88771150,0.39256830,0.34090270,0.91538820,0.41350390,0.32290590,0.89628880,0.40667120,0.36382350,0.87647080,0.40963620,0.33846800,0.89987900,0.42644490,0.32116520,0.88350140,0.41564870,0.33795060,0.82917640,0.40493270,0.35781130,0.86365010,0.42581910,0.33796880,0.88394370,0.43625070,0.32352980,0.87565960,0.42517810,0.29487610,0.93135450,0.41106650,0.30648180,0.94252800,0.42003140,0.33168560,0.87925020,0.39125030,0.33059090,0.86684570,0.40116920,0.33022520,0.86155130,0.41023650,12,4
