RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35873910,1.02963600,0.46506350,0.35873910,1.02963600,0.46506350,0.35873910,1.02963600,0.46506350,0.35440470,1.05062700,0.47717330,0.35829610,1.07157100,0.48836610,0.35491400,1.10055400,0.50018190,0.34900080,1.12817000,0.51670500,0.33909000,1.08111300,0.54363760,0.31581020,1.10310900,0.56160460,0.30031620,1.12079100,0.56056790,0.32445310,1.06518200,0.54346380,0.30134050,1.09690400,0.52978350,0.31471240,1.09178600,0.50727640,0.31026350,1.05465200,0.53380550,0.29337020,1.08464500,0.51828970,0.30915550,1.08022700,0.49845680,0.32434450,1.03481200,0.48645950,0.29726130,1.04595200,0.51956840,0.28802540,1.07253100,0.50992320,0.30000950,1.07112600,0.49439290,0.35060200,1.15038000,0.52522120,0.28459570,1.13558600,0.56254450,0.33285160,1.07581400,0.50849310,0.32377910,1.06288000,0.50497690,0.31265630,1.05457400,0.49864960,13,5
0.35950470,1.02747300,0.46555220,0.35950470,1.02747300,0.46555220,0.35950470,1.02747300,0.46555220,0.35511900,1.04845400,0.47766090,0.35890540,1.06939600,0.48889270,0.35544350,1.09831200,0.50084880,0.34929720,1.12580500,0.51749250,0.33943700,1.07887600,0.54406870,0.31612060,1.10094700,0.56189720,0.30066270,1.11865900,0.56084580,0.32478520,1.06296100,0.54378800,0.30170740,1.09472900,0.53015660,0.31518420,1.08973000,0.50768530,0.31064310,1.05245700,0.53403220,0.29377780,1.08251500,0.51861160,0.30963340,1.07818200,0.49881600,0.32498760,1.03265800,0.48674770,0.29771770,1.04378700,0.51970700,0.28845160,1.07040800,0.51020790,0.30054110,1.06906800,0.49475380,0.35089720,1.14797700,0.52610710,0.28496160,1.13347400,0.56283340,0.33333180,1.07376800,0.50890170,0.32424130,1.06081100,0.50530830,0.31315350,1.05250300,0.49905960,13,5
0.36025370,1.02534600,0.46602500,0.36025370,1.02534600,0.46602500,0.36025370,1.02534600,0.46602500,0.35582290,1.04631800,0.47813310,0.35953870,1.06725200,0.48940500,0.35600170,1.09615300,0.50137300,0.34959610,1.12358900,0.51801350,0.33980220,1.07668100,0.54448690,0.31644220,1.09887100,0.56210890,0.30105430,1.11663100,0.56085340,0.32513500,1.06078200,0.54410600,0.30209900,1.09260200,0.53052480,0.31567670,1.08766700,0.50810050,0.31103640,1.05030500,0.53425910,0.29421040,1.08042300,0.51891460,0.31012850,1.07615700,0.49915470,0.32562410,1.03054500,0.48703300,0.29818210,1.04166500,0.51985190,0.28888340,1.06832300,0.51048650,0.30107120,1.06708600,0.49510100,0.35112170,1.14575800,0.52664820,0.28539050,1.13151100,0.56263710,0.33381280,1.07169500,0.50936340,0.32472930,1.05876300,0.50559900,0.31371490,1.05053300,0.49935960,13,5
0.36051520,1.02306000,0.46591960,0.36051520,1.02306000,0.46591960,0.36051520,1.02306000,0.46591960,0.35598350,1.04400500,0.47803820,0.35956560,1.06494900,0.48933290,0.35585450,1.09382200,0.50131860,0.34910190,1.12116700,0.51797000,0.33970940,1.07424600,0.54438600,0.31627090,1.09645400,0.56188000,0.30086800,1.11419100,0.56048300,0.32509960,1.05829500,0.54395740,0.30190710,1.09005700,0.53050580,0.31553340,1.08524900,0.50808310,0.31105990,1.04777700,0.53406930,0.29407550,1.07787700,0.51886250,0.31000660,1.07375200,0.49908330,0.32582130,1.02811600,0.48685630,0.29826800,1.03910600,0.51962550,0.28877270,1.06575400,0.51043020,0.30101310,1.06467900,0.49507440,0.35047750,1.14334300,0.52661290,0.28518120,1.12906200,0.56213130,0.33373780,1.06935300,0.50933210,0.32470510,1.05640300,0.50542770,0.31378110,1.04819900,0.49924520,13,5
0.36080450,1.02081200,0.46584980,0.36080450,1.02081200,0.46584980,0.36080450,1.02081200,0.46584980,0.35618090,1.04173100,0.47797820,0.35963790,1.06268400,0.48929490,0.35576500,1.09152900,0.50129720,0.34868270,1.11878600,0.51795660,0.33966570,1.07185700,0.54431840,0.31615920,1.09409000,0.56169040,0.30074690,1.11180700,0.56016560,0.32510650,1.05586200,0.54384220,0.30177410,1.08757300,0.53051260,0.31544860,1.08288400,0.50809390,0.31112150,1.04531000,0.53391300,0.29399460,1.07539600,0.51883820,0.30993870,1.07140100,0.49904250,0.32604870,1.02574000,0.48671420,0.29838870,1.03661300,0.51943240,0.28871200,1.06325100,0.51039980,0.30100410,1.06232700,0.49507540,0.34991990,1.14096700,0.52660660,0.28504260,1.12667300,0.56169390,0.33371400,1.06705800,0.50933140,0.32472520,1.05409300,0.50529280,0.31388510,1.04591500,0.49916620,13,5
0.36111550,1.01859300,0.46580840,0.36111550,1.01859300,0.46580840,0.36111550,1.01859300,0.46580840,0.35640700,1.03948800,0.47794600,0.35970230,1.06045900,0.48927690,0.35562070,1.08927000,0.50129190,0.34793210,1.11636100,0.51795240,0.33966060,1.06950600,0.54427740,0.31588150,1.09160400,0.56144950,0.30038070,1.10923600,0.55983300,0.32514670,1.05347100,0.54375360,0.30170830,1.08513600,0.53050170,0.31544050,1.08052800,0.50810160,0.31121320,1.04289000,0.53378320,0.29395820,1.07296900,0.51884170,0.30989780,1.06908600,0.49902020,0.32629970,1.02340500,0.48659960,0.29853680,1.03417200,0.51926610,0.28881200,1.06077700,0.51018990,0.30120880,1.05988900,0.49494800,0.34875360,1.13854400,0.52664790,0.28457820,1.12400500,0.56128220,0.33375330,1.06475700,0.50934410,0.32474750,1.05180700,0.50520060,0.31416030,1.04353800,0.49906040,13,5
0.36114960,1.01697200,0.46624730,0.36114960,1.01697200,0.46624730,0.36114960,1.01697200,0.46624730,0.35644600,1.03784700,0.47841900,0.35966940,1.05882700,0.48975670,0.35548790,1.08760700,0.50180880,0.34734580,1.11454300,0.51850650,0.33979720,1.06777200,0.54481760,0.31587780,1.08978700,0.56189960,0.30032280,1.10736900,0.56026130,0.32529590,1.05172500,0.54430130,0.30175770,1.08339100,0.53123150,0.31544730,1.07884600,0.50879260,0.31135280,1.04114400,0.53434390,0.29396810,1.07125100,0.51961200,0.30981630,1.06745500,0.49970070,0.32636830,1.02172900,0.48710890,0.29865690,1.03243300,0.51983980,0.28888850,1.05902900,0.51078370,0.30132060,1.05816500,0.49556920,0.34785800,1.13671800,0.52724480,0.28446390,1.12207900,0.56170200,0.33378270,1.06309600,0.50996050,0.32472110,1.05017600,0.50574710,0.31433000,1.04184900,0.49963840,13,5
0.36122160,1.01532100,0.46666600,0.36122160,1.01532100,0.46666600,0.36122160,1.01532100,0.46666600,0.35651970,1.03617900,0.47886920,0.35967050,1.05716500,0.49021480,0.35538990,1.08591600,0.50230180,0.34681170,1.11269600,0.51903210,0.33994600,1.06601200,0.54532750,0.31589390,1.08795600,0.56231490,0.30029120,1.10549300,0.56064980,0.32545640,1.04995500,0.54481380,0.30182560,1.08162300,0.53191660,0.31548060,1.07713900,0.50944410,0.31150690,1.03937400,0.53486470,0.29400180,1.06951000,0.52033390,0.30976660,1.06579700,0.50034080,0.32646750,1.02002700,0.48758460,0.29879630,1.03067000,0.52036910,0.28898300,1.05725900,0.51133940,0.30145270,1.05642400,0.49615420,0.34703170,1.13486000,0.52781020,0.28438090,1.12014900,0.56207740,0.33383740,1.06140900,0.51054450,0.32472230,1.04851800,0.50625960,0.31451870,1.04014300,0.50018100,13,5
0.36132340,1.01364700,0.46706860,0.36132340,1.01364700,0.46706860,0.36132340,1.01364700,0.46706860,0.35662080,1.03448700,0.47930140,0.35969360,1.05548100,0.49065490,0.35528420,1.08423100,0.50269820,0.34637020,1.11092700,0.51938640,0.34010460,1.06423200,0.54581380,0.31591170,1.08606600,0.56274290,0.30024830,1.10355100,0.56109350,0.32562610,1.04816400,0.54529880,0.30189990,1.07984400,0.53260590,0.31548300,1.07544400,0.51007350,0.31167250,1.03758600,0.53535410,0.29412730,1.06772600,0.52088170,0.30987780,1.06402900,0.50087440,0.32659080,1.01830300,0.48803400,0.29895100,1.02888900,0.52086370,0.28908360,1.05547600,0.51188720,0.30157720,1.05467600,0.49671970,0.34639940,1.13310700,0.52812730,0.28427680,1.11813600,0.56255290,0.33386220,1.05973300,0.51106450,0.32484230,1.04675100,0.50677530,0.31467960,1.03841700,0.50071920,13,5
0.36157760,1.01208300,0.46720850,0.36157760,1.01208300,0.46720850,0.36157760,1.01208300,0.46720850,0.35687940,1.03291900,0.47944950,0.35988180,1.05392400,0.49080070,0.35536120,1.08268400,0.50278010,0.34611610,1.10931000,0.51939990,0.34035800,1.06263900,0.54597130,0.31602780,1.08440600,0.56279090,0.30032710,1.10185500,0.56111960,0.32587420,1.04657700,0.54544580,0.30210570,1.07828300,0.53289790,0.31564770,1.07393400,0.51033070,0.31191920,1.03600800,0.53549320,0.29437990,1.06616300,0.52104540,0.31013560,1.06245700,0.50104390,0.32684180,1.01674100,0.48816800,0.29919810,1.02732200,0.52099600,0.28931610,1.05391100,0.51204220,0.30185410,1.05312400,0.49691080,0.34596410,1.13150800,0.52809330,0.28431010,1.11639000,0.56257410,0.33403080,1.05822400,0.51125360,0.32508580,1.04516900,0.50695070,0.31497130,1.03687700,0.50091070,13,5
