RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.35895790,0.90655020,0.34886750,0.35895790,0.90655020,0.34886750,0.35895790,0.90655020,0.34886750,0.34439980,0.90056570,0.36779690,0.33018100,0.89249910,0.38545540,0.32152290,0.87085580,0.40661360,0.31147760,0.85189910,0.43131930,0.32085080,0.92052700,0.43582920,0.31056540,0.90820840,0.46886090,0.30484360,0.89422060,0.48689900,0.34219430,0.92279930,0.43853720,0.33588040,0.88684580,0.45841430,0.33589220,0.87760650,0.43339020,0.36091690,0.91579180,0.43611380,0.35266320,0.88115910,0.44869000,0.34959780,0.87536170,0.42380960,0.37422610,0.90196370,0.38646300,0.37830080,0.90520370,0.43035720,0.36652000,0.87914070,0.43852560,0.36308720,0.87651510,0.41933950,0.30039240,0.83619380,0.44541920,0.30076210,0.88345200,0.50526550,0.33607510,0.89456290,0.41612560,0.35069300,0.89198360,0.40708260,0.36448630,0.89220380,0.40505940,13,7
0.35955360,0.90656810,0.34772110,0.35955360,0.90656810,0.34772110,0.35955360,0.90656810,0.34772110,0.34491700,0.90085550,0.36667390,0.33058540,0.89306850,0.38436680,0.32180450,0.87170510,0.40575740,0.31167550,0.85307270,0.43067490,0.32105200,0.92181410,0.43429490,0.31062300,0.90953550,0.46729650,0.30485940,0.89558040,0.48534660,0.34238150,0.92414540,0.43706230,0.33600540,0.88839680,0.45728630,0.33615880,0.87886890,0.43237110,0.36112030,0.91711860,0.43482680,0.35284290,0.88265420,0.44784230,0.34987950,0.87651070,0.42303280,0.37465940,0.90255910,0.38544790,0.37853780,0.90646050,0.42930610,0.36675330,0.88053690,0.43790200,0.36337980,0.87759190,0.41875180,0.30062220,0.83754350,0.44499310,0.30071630,0.88487050,0.50373350,0.33641620,0.89558300,0.41487280,0.35102710,0.89289870,0.40607990,0.36481390,0.89304570,0.40422120,13,7
0.36014460,0.90656980,0.34663180,0.36014460,0.90656980,0.34663180,0.36014460,0.90656980,0.34663180,0.34543320,0.90112400,0.36560520,0.33099170,0.89361170,0.38332750,0.32208230,0.87252190,0.40493540,0.31187050,0.85420600,0.43005280,0.32129370,0.92303680,0.43282510,0.31073250,0.91079350,0.46579760,0.30492800,0.89686740,0.48385710,0.34261160,0.92541220,0.43564450,0.33615880,0.88986380,0.45619430,0.33643590,0.88006470,0.43138550,0.36136040,0.91835870,0.43358420,0.35304140,0.88406460,0.44701600,0.35016520,0.87759600,0.42227890,0.37509990,0.90310140,0.38447210,0.37880180,0.90762730,0.42828550,0.36699800,0.88185130,0.43728910,0.36367600,0.87860320,0.41817890,0.30084740,0.83885370,0.44458360,0.30072640,0.88621050,0.50226160,0.33677130,0.89654600,0.41366900,0.35136930,0.89375870,0.40511500,0.36515130,0.89382770,0.40341230,13,7
0.36073170,0.90655890,0.34558760,0.36073170,0.90655890,0.34558760,0.36073170,0.90655890,0.34558760,0.34594860,0.90137580,0.36457890,0.33144750,0.89410450,0.38235290,0.32244190,0.87335700,0.40425040,0.31237320,0.85543360,0.42970650,0.32156800,0.92420880,0.43140440,0.31104210,0.91157870,0.46424210,0.30529960,0.89750600,0.48220750,0.34287600,0.92661680,0.43426990,0.33637050,0.89118460,0.45500320,0.33671160,0.88121660,0.43026270,0.36163010,0.91953090,0.43237520,0.35324450,0.88535770,0.44607110,0.35046820,0.87859530,0.42140130,0.37554610,0.90360240,0.38352660,0.37908760,0.90872370,0.42728770,0.36728850,0.88309060,0.43669610,0.36390320,0.87962410,0.41763550,0.30158000,0.84029020,0.44462390,0.30113610,0.88673510,0.50055430,0.33709700,0.89753130,0.41239370,0.35174330,0.89455870,0.40405690,0.36535420,0.89467500,0.40268960,13,7
0.36097800,0.90618150,0.34368660,0.36097800,0.90618150,0.34368660,0.36097800,0.90618150,0.34368660,0.34614660,0.90137710,0.36273970,0.33161880,0.89445370,0.38063040,0.32261770,0.87423280,0.40301700,0.31278620,0.85692170,0.42898440,0.32139180,0.92567010,0.42890970,0.31097540,0.91291290,0.46173320,0.30537340,0.89883660,0.47974010,0.34267630,0.92825320,0.43179790,0.33630200,0.89311270,0.45306140,0.33676330,0.88273420,0.42849220,0.36147250,0.92121920,0.43014350,0.35319800,0.88726650,0.44444250,0.35056160,0.87994890,0.41991620,0.37565830,0.90420340,0.38174120,0.37900320,0.91038230,0.42538100,0.36734170,0.88493970,0.43545480,0.36391510,0.88104200,0.41648510,0.30231050,0.84209970,0.44444120,0.30130760,0.88810750,0.49813310,0.33711620,0.89870080,0.41031090,0.35182680,0.89553980,0.40223550,0.36526640,0.89576820,0.40121000,13,7
0.36125000,0.90582530,0.34188560,0.36125000,0.90582530,0.34188560,0.36125000,0.90582530,0.34188560,0.34636870,0.90138800,0.36098870,0.33180910,0.89480430,0.37898150,0.32279600,0.87509780,0.40181740,0.31317850,0.85838820,0.42825480,0.32126910,0.92705860,0.42650540,0.31096170,0.91418260,0.45931690,0.30549060,0.90010420,0.47736230,0.34253190,0.92979650,0.42941110,0.33626180,0.89493940,0.45116640,0.33683120,0.88417940,0.42676410,0.36136320,0.92280690,0.42798310,0.35317390,0.88907640,0.44284580,0.35066700,0.88124010,0.41846660,0.37579810,0.90476650,0.38002760,0.37895630,0.91194010,0.42352890,0.36741030,0.88670210,0.43423050,0.36394050,0.88240010,0.41535630,0.30299850,0.84389850,0.44421600,0.30151600,0.88941510,0.49579850,0.33716370,0.89981270,0.40829490,0.35193340,0.89647250,0.40047620,0.36520560,0.89681110,0.39977630,13,7
0.36154220,0.90548620,0.34016490,0.36154220,0.90548620,0.34016490,0.36154220,0.90548620,0.34016490,0.34660970,0.90140650,0.35930770,0.33203100,0.89514630,0.37740030,0.32301270,0.87595650,0.40067000,0.31362340,0.85985520,0.42756300,0.32118930,0.92838750,0.42417090,0.31109390,0.91580520,0.45716180,0.30579290,0.90181290,0.47532460,0.34243190,0.93126400,0.42709020,0.33624290,0.89666000,0.44926860,0.33693550,0.88566210,0.42497590,0.36129280,0.92431340,0.42587750,0.35319000,0.89080360,0.44127700,0.35073470,0.88251220,0.41704350,0.37595980,0.90529950,0.37837060,0.37893980,0.91341710,0.42171830,0.36748950,0.88840120,0.43302710,0.36398520,0.88371340,0.41425150,0.30377340,0.84571680,0.44403800,0.30197770,0.89113780,0.49380250,0.33726400,0.90106770,0.40631640,0.35197490,0.89743300,0.39879210,0.36518590,0.89782120,0.39839140,13,7
0.36158340,0.90547710,0.33850350,0.36158340,0.90547710,0.33850350,0.36158340,0.90547710,0.33850350,0.34651260,0.90185270,0.35762950,0.33178560,0.89601940,0.37574460,0.32238500,0.87730040,0.39924540,0.31289710,0.86173330,0.42641680,0.32124250,0.92998670,0.42206020,0.31109250,0.91754230,0.45508660,0.30568170,0.90355280,0.47321920,0.34251430,0.93257470,0.42503550,0.33573960,0.89813920,0.44730480,0.33636610,0.88711460,0.42302230,0.36127190,0.92532460,0.42398540,0.35261370,0.89205090,0.43959320,0.35007390,0.88358370,0.41542930,0.37584080,0.90552610,0.37676960,0.37876760,0.91411280,0.42003050,0.36693620,0.88943790,0.43169070,0.36332290,0.88461300,0.41297040,0.30309270,0.84798570,0.44324610,0.30180590,0.89278220,0.49162900,0.33699390,0.90245500,0.40431680,0.35158290,0.89833760,0.39706280,0.36473580,0.89854200,0.39697030,13,7
0.36165970,0.90545170,0.33689210,0.36165970,0.90545170,0.33689210,0.36165970,0.90545170,0.33689210,0.34646530,0.90226840,0.35599890,0.33160520,0.89684920,0.37413390,0.32185580,0.87860050,0.39786150,0.31229420,0.86356220,0.42530350,0.32133950,0.93152670,0.41998370,0.31114500,0.91919500,0.45303870,0.30563670,0.90520070,0.47113810,0.34263370,0.93385420,0.42301420,0.33532040,0.89959570,0.44538580,0.33589300,0.88853290,0.42111940,0.36129220,0.92633160,0.42212740,0.35212420,0.89329650,0.43794950,0.34950710,0.88464640,0.41385880,0.37576720,0.90576400,0.37521260,0.37864490,0.91483060,0.41837870,0.36646990,0.89049290,0.43038870,0.36275030,0.88552670,0.41172630,0.30255340,0.85020000,0.44247650,0.30170600,0.89433260,0.48947890,0.33679850,0.90379480,0.40236120,0.35126340,0.89922540,0.39537500,0.36435400,0.89927150,0.39558570,13,7
0.36176360,0.90541340,0.33531980,0.36176360,0.90541340,0.33531980,0.36176360,0.90541340,0.33531980,0.34645750,0.90266030,0.35440420,0.33153810,0.89760820,0.37259640,0.32158720,0.87977770,0.39655720,0.31188320,0.86520490,0.42419960,0.32147320,0.93301950,0.41792990,0.31140530,0.92088010,0.45109470,0.30588020,0.90692100,0.46921620,0.34278430,0.93510840,0.42101510,0.33493330,0.90147140,0.44413520,0.33541350,0.88989260,0.42010880,0.36134680,0.92733490,0.42029300,0.35170520,0.89471910,0.43669290,0.34899590,0.88563590,0.41277240,0.37572990,0.90601100,0.37368850,0.37856280,0.91556570,0.41675220,0.36609920,0.89160600,0.42921780,0.36218280,0.88636480,0.41067120,0.30197890,0.85216890,0.44152910,0.30197810,0.89600550,0.48753480,0.33658950,0.90464810,0.40096430,0.35097010,0.89982090,0.39400620,0.36387870,0.89979080,0.39427360,13,7
