RootPos_x,RootPos_y,RootPos_z,Hand Start_x,Hand Start_y,Hand Start_z,ForearmStub_x,ForearmStub_y,ForearmStub_z,Thumb0_x,Thumb0_y,Thumb0_z,Thumb1_x,Thumb1_y,Thumb1_z,Thumb2_x,Thumb2_y,Thumb2_z,Thumb3_x,Thumb3_y,Thumb3_z,Index1_x,Index1_y,Index1_z,Index2_x,Index2_y,Index2_z,Index3_x,Index3_y,Index3_z,Middle1_x,Middle1_y,Middle1_z,Middle2_x,Middle2_y,Middle2_z,Middle3_x,Middle3_y,Middle3_z,Ring1_x,Ring1_y,Ring1_z,Ring2_x,Ring2_y,Ring2_z,Ring3_x,Ring3_y,Ring3_z,Pinky0_x,Pinky0_y,Pinky0_z,Pinky1_x,Pinky1_y,Pinky1_z,Pinky2_x,Pinky2_y,Pinky2_z,Pinky3_x,Pinky3_y,Pinky3_z,ThumbTip_x,ThumbTip_x,ThumbTip_x,IndexTip_x,IndexTip_y,IndexTip_z,MiddleTip_x,MiddleTip_y,MiddleTip_z,RingTip_x,RingTip_y,RingTip_z,PinkyTip_x,PinkyTip_y,PinkyTip_z,Gesture,Wrist Movement
0.41591940,0.85304950,0.37825540,0.41591940,0.85304950,0.37825540,0.41591940,0.85304950,0.37825540,0.40216990,0.87345960,0.37758450,0.38674720,0.89192800,0.37722700,0.36930210,0.91532030,0.38903940,0.35413090,0.94263120,0.39876500,0.39770040,0.94366230,0.35242490,0.39366560,0.97797500,0.36487450,0.38636740,0.99499730,0.37939160,0.41768050,0.94401600,0.36071440,0.39502880,0.96071140,0.39130510,0.39106520,0.93508160,0.39754830,0.43044180,0.93955620,0.37564000,0.40683350,0.94913790,0.40350660,0.39947240,0.92456260,0.40548280,0.43067250,0.88874610,0.39150930,0.44000170,0.93192980,0.39289950,0.41722560,0.93796030,0.41105650,0.40968900,0.91979590,0.41125130,0.33834980,0.95919820,0.40546080,0.38241410,1.01237500,0.39173360,0.39966560,0.92025390,0.38046650,0.40825660,0.90991630,0.38918520,0.41684090,0.90578950,0.39694440,13,6
0.41532590,0.85272030,0.37900190,0.41532590,0.85272030,0.37900190,0.41532590,0.85272030,0.37900190,0.40153400,0.87310360,0.37839010,0.38604980,0.89152040,0.37802780,0.36847360,0.91485760,0.38975440,0.35300950,0.94206590,0.39930470,0.39700730,0.94343490,0.35360270,0.39224100,0.97740200,0.36672330,0.38469120,0.99419320,0.38138030,0.41695400,0.94378640,0.36197230,0.39414180,0.96033280,0.39252470,0.39022620,0.93467640,0.39868850,0.42966670,0.93927190,0.37692290,0.40594180,0.94870880,0.40473990,0.39862870,0.92410700,0.40655750,0.42994800,0.88837510,0.39251120,0.43917590,0.93157080,0.39417730,0.41627090,0.93726970,0.41227900,0.40877490,0.91908790,0.41239820,0.33706610,0.95854260,0.40583710,0.38057550,1.01149800,0.39377160,0.39893050,0.91991600,0.38160090,0.40745000,0.90947510,0.39026700,0.41598330,0.90512600,0.39807610,13,6
0.41478620,0.85242650,0.37976430,0.41478620,0.85242650,0.37976430,0.41478620,0.85242650,0.37976430,0.40094820,0.87278030,0.37921350,0.38542450,0.89116470,0.37890060,0.36776640,0.91443190,0.39064330,0.35255690,0.94168920,0.40045910,0.39634700,0.94323680,0.35479810,0.39158720,0.97761570,0.36680110,0.38421660,0.99512540,0.38068830,0.41626140,0.94358900,0.36324410,0.39342670,0.96050210,0.39357800,0.38934040,0.93490280,0.39986670,0.42892900,0.93902180,0.37821700,0.40513390,0.94847120,0.40596970,0.39774000,0.92388950,0.40773220,0.42927310,0.88804040,0.39352490,0.43839210,0.93124780,0.39546400,0.41539340,0.93671920,0.41351710,0.40788670,0.91854150,0.41348210,0.33699280,0.95839730,0.40731050,0.38032210,1.01305700,0.39223190,0.39803620,0.91999930,0.38289950,0.40653550,0.90919950,0.39148010,0.41514900,0.90468660,0.39908360,13,6
0.41383100,0.85176420,0.37913780,0.41383100,0.85176420,0.37913780,0.41383100,0.85176420,0.37913780,0.39974960,0.87195400,0.37874290,0.38400340,0.89014970,0.37853120,0.36592430,0.91304100,0.39037160,0.35057010,0.94007110,0.40058250,0.39457630,0.94273820,0.35541380,0.38923530,0.97720530,0.36690830,0.38165850,0.99502520,0.38028040,0.41437930,0.94319530,0.36411300,0.39108620,0.95988520,0.39422120,0.38704070,0.93423150,0.40031140,0.42691710,0.93853930,0.37916760,0.40271710,0.94745190,0.40674720,0.39548440,0.92279760,0.40811960,0.42770460,0.88732290,0.39365260,0.43626270,0.93060090,0.39640380,0.41296480,0.93542420,0.41425700,0.40563340,0.91718030,0.41381570,0.33512020,0.95674540,0.40776660,0.37761940,1.01326700,0.39127430,0.39602740,0.91946640,0.38337470,0.40454740,0.90832200,0.39182220,0.41321030,0.90365620,0.39926570,13,6
0.41294520,0.85115750,0.37866560,0.41294520,0.85115750,0.37866560,0.41294520,0.85115750,0.37866560,0.39863640,0.87118910,0.37841470,0.38268120,0.88920260,0.37829060,0.36420890,0.91173760,0.39020760,0.34870740,0.93854460,0.40077780,0.39291060,0.94225930,0.35610670,0.38695520,0.97674940,0.36722420,0.37914870,0.99479720,0.38015110,0.41260640,0.94280870,0.36504070,0.38889410,0.95929270,0.39493450,0.38488430,0.93359070,0.40084200,0.42502460,0.93806550,0.38016700,0.40045660,0.94647540,0.40757860,0.39337820,0.92175870,0.40858660,0.42623960,0.88664510,0.39387940,0.43426420,0.92997060,0.39738760,0.41069780,0.93418120,0.41504240,0.40353350,0.91588400,0.41422480,0.33335830,0.95517500,0.40827290,0.37494330,1.01328200,0.39066650,0.39413680,0.91895240,0.38393840,0.40268510,0.90748360,0.39225000,0.41139850,0.90267260,0.39954090,13,6
0.41214450,0.85061400,0.37831000,0.41214450,0.85061400,0.37831000,0.41214450,0.85061400,0.37831000,0.39762940,0.87049790,0.37818780,0.38157940,0.88842640,0.37837010,0.36293600,0.91051430,0.39084450,0.34792540,0.93712570,0.40255590,0.39138760,0.94181010,0.35680990,0.38468900,0.97605940,0.36824410,0.37630030,0.99363810,0.38144980,0.41098350,0.94243840,0.36595590,0.38701800,0.95920720,0.39548710,0.38283680,0.93354270,0.40143860,0.42329440,0.93761290,0.38114370,0.39843490,0.94574790,0.40837480,0.39145060,0.92099600,0.40915070,0.42490810,0.88602110,0.39415290,0.43244070,0.92937410,0.39834580,0.40872050,0.93342780,0.41583060,0.40150050,0.91516000,0.41485970,0.33316570,0.95381870,0.41103160,0.37149270,1.01176100,0.39233000,0.39222350,0.91880740,0.38469400,0.40101480,0.90693360,0.39277820,0.40952080,0.90209420,0.40012970,13,6
0.41131040,0.84987590,0.37854070,0.41131040,0.84987590,0.37854070,0.41131040,0.84987590,0.37854070,0.39668710,0.86968050,0.37845980,0.38061760,0.88758830,0.37884970,0.36190280,0.90938240,0.39172740,0.34746240,0.93588700,0.40436160,0.39025120,0.94114770,0.35766490,0.38298440,0.97524250,0.36921350,0.37415540,0.99251120,0.38254060,0.40975640,0.94180040,0.36700110,0.38564520,0.95905970,0.39612820,0.38119040,0.93347530,0.40222430,0.42195060,0.93690530,0.38226060,0.39686430,0.94500260,0.40929420,0.38986020,0.92025300,0.40995540,0.42372800,0.88520770,0.39482070,0.43098020,0.92856150,0.39947370,0.40713950,0.93263040,0.41679010,0.39978920,0.91441860,0.41574920,0.33334180,0.95269200,0.41366460,0.36889470,1.01039300,0.39360970,0.39062880,0.91853970,0.38568750,0.39959350,0.90627600,0.39360940,0.40789140,0.90139520,0.40102640,13,6
0.41051500,0.84918490,0.37880090,0.41051500,0.84918490,0.37880090,0.41051500,0.84918490,0.37880090,0.39578170,0.86890800,0.37876540,0.37959950,0.88671420,0.37914770,0.36054550,0.90799140,0.39238720,0.34622110,0.93415580,0.40583640,0.38913110,0.94052350,0.35855670,0.38087560,0.97432030,0.37031470,0.37147810,0.99122230,0.38372310,0.40854730,0.94120010,0.36807510,0.38412650,0.95827260,0.39705410,0.37978280,0.93260260,0.40286440,0.42063060,0.93623490,0.38340010,0.39530660,0.94421520,0.41024630,0.38836140,0.91944550,0.41075790,0.42258580,0.88443640,0.39551030,0.42955130,0.92778610,0.40061870,0.40564180,0.93207490,0.41778660,0.39816390,0.91391890,0.41668100,0.33232490,0.95077780,0.41578360,0.36563480,1.00883900,0.39492320,0.38946880,0.91788760,0.38627320,0.39832890,0.90564350,0.39440430,0.40642020,0.90100290,0.40194920,13,6
0.41037240,0.84845020,0.37897570,0.41037240,0.84845020,0.37897570,0.41037240,0.84845020,0.37897570,0.39566780,0.86819170,0.37932240,0.37950310,0.88600350,0.38003650,0.36044190,0.90679280,0.39401990,0.34658420,0.93259030,0.40861760,0.38903120,0.94013090,0.36029310,0.38021160,0.97359320,0.37258610,0.37057500,0.99011680,0.38629310,0.40849090,0.94062790,0.36973350,0.38427810,0.95749260,0.39900720,0.37993630,0.93173610,0.40442200,0.42063550,0.93540110,0.38492240,0.39549470,0.94324740,0.41197940,0.38844180,0.91850450,0.41226000,0.42256940,0.88341270,0.39619280,0.42962100,0.92666520,0.40196320,0.40590800,0.93119740,0.41933980,0.39816750,0.91315780,0.41814080,0.33315870,0.94902440,0.41948150,0.36445610,1.00744400,0.39779440,0.38953670,0.91728250,0.38755360,0.39832070,0.90492050,0.39567180,0.40628630,0.90039690,0.40319890,13,6
0.41020390,0.84775140,0.37917740,0.41020390,0.84775140,0.37917740,0.41020390,0.84775140,0.37917740,0.39551630,0.86749600,0.37988120,0.37935690,0.88529790,0.38089930,0.36026840,0.90557990,0.39557340,0.34684740,0.93097230,0.41124970,0.38886870,0.93972500,0.36198760,0.37947250,0.97284270,0.37477670,0.36959280,0.98899910,0.38874580,0.40836240,0.94006210,0.37136470,0.38432300,0.95672510,0.40089570,0.37998800,0.93089090,0.40593290,0.42055710,0.93459270,0.38642750,0.39557030,0.94229760,0.41366730,0.38842580,0.91757950,0.41372440,0.42249010,0.88243520,0.39688770,0.42959650,0.92558840,0.40329920,0.40606580,0.93033690,0.42086490,0.39808290,0.91240930,0.41957710,0.33387910,0.94717910,0.42297590,0.36319760,1.00604500,0.40051310,0.38952400,0.91669180,0.38881360,0.39823720,0.90421060,0.39692290,0.40608600,0.89980440,0.40444170,13,6
